"New Accounts","Novo Accounts"
"Add to Compare","Dodaj za upoređivanje"
"Recently Compared","Nedavno Upoređeni"
"Learn More","Saznajte više"
"Marketing","Marketing"
"Products in Cart","Proizvodi in Korpa"
"Abandoned Cart","Abandoned Korpa"
"Search Terms","Pojmovi za pretragu"
"By Customers","By Kupci"
"By Products","By Proizvodi"
"Refunds","Refunds"
"Order Total","Ukupan iznos"
"Order Count","Porudžbina Count"
"New","Novo"
"Ordered","Porućeno"
"Recently Viewed/Compared Products","Nedavno Pogledano/Upoređeni Proizvodi"
"Show for Current","Prikaži for Current"
"Default Recently Viewed Products Count","Podrazumevano Recently Viewed Proizvodi Count"
"Default Recently Compared Products Count","Podrazumevano Recently Compared Proizvodi Count"
"Dashboard","Kontrolna tabla"
"Year-To-Date Starts","Year-To-Datum Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Izaberi day of the month."
"Average","Prosek"
"Stock Quantity","Zalihe Količina"
"Ordered Quantity","Ordered Količina"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Gost"
"Action","Akcija"
"Average (Approved)","Average (Odobren)"
"Last Review","Poslednji Recenzija"
"Order Created","Porudžbina Kreiran"
"Order Updated","Porudžbina Ažuriran"
"The Order Updated report is created in real time and does not require a refresh.","The Porudžbina Ažuriran report is created in real time and does not require a refresh."
"Last Invoice Created Date","Poslednji Faktura Kreiran Datum"
"Last Credit Memo Created Date","Poslednji Kreditno odobrenje Kreiran Datum"
"First Invoice Created Date","Prvi Faktura Kreiran Datum"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Da li ste sigurni želite da refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Refresh Statistics for the Poslednji Day"
"Are you sure you want to refresh statistics for the last day?","Da li ste sigurni želite da refresh statistics for the last day?"
"Report","Izveštaj"
"Description","Opis"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Nedavno pregledani proizvodi"
"List of Products Recently Viewed by Visitor","Lista proizvoda koju je posetilac nedavno pogledao"
"Number of Products to display","Broj proizvoda za prikaz"
"Viewed Products Grid Template","Šablon mreže pregledanih proizvoda"
"Viewed Products List Template","Šablon liste pregledanih proizvoda"
"Viewed Products Images and Names Template","Viewed Proizvodi Images and Names Template"
"Viewed Products Names Only Template","Viewed Proizvodi Names Only Template"
"Viewed Products Images Only Template","Viewed Proizvodi Images Only Template"
"Recently Compared Products","Nedavno Upoređeni Proizvodi"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista of Proizvodi Recently Compared and Removed from the Compare Lista by Visitor"
"Compared Products Grid Template","Šablon Mreže upoređenih proizvoda"
"Compared Products List Template","Šablon liste upoređenih proizvoda"
"Compared Products Images and Names Template","Compared Proizvodi Images and Names Template"
"Compared Product Names Only Template","Compared Proizvod Names Only Template"
"Compared Product Images Only Template","Compared Proizvod Images Only Template"
"System configuration is not found for report event type ""%1""","Konfiguracija sistema nije pronađena za tip događaja izveštaja ""%1"""
"General Options","Opšte Opcije"
"Enable Reports","Omogući Izveštaji"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Omogući izveštaj ""Pregled proizvoda"""
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Omogući izveštaj ""Pošalji link proizvoda prijatelju"""
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Omogući izveštaj ""Dodaj proizvod u listu za poređenje"""
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare Lista"
"Enable ""Product Added To Cart"" Report","Omogući izveštaj ""Proizvod dodat u korpu"""
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Korpa"
"Enable ""Product Added To WishList"" Report","Omogući izveštaj ""Proizvod dodat u listu želja"""
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Omogući izveštaj ""Podeli listu želja"""
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Poslednje ažuriranje: %1. Da osvežite <a href=""%2"">statistiku</a> poslednjeg dana, kliknite <a href=""#2"" data-post=""%3"">ovde</a>."
