"New Accounts","Yeni Hesaplar"
"Customers by Number of Orders","Sipariş Sayısına Göre Müşteriler"
"Order Count Report","Sipariş Sayısı Raporu"
"Order Total Report","Sipariş toplam raporu"
"Downloads Report","Yüklenen raporlar"
"Low Stock","Düşük Stok"
"Low Stock Report","Düşük Stok Raporu"
"Ordered Products Report","Sipariş Verilen Ürün Raporu"
"Products Most Viewed Report","En çok Görülen Ürünler Raporu"
"Product Views Report","Ürün İzleme Raporu"
"An error occurred while showing the product views report. Please review the log and try again.","Ürün görüntüleme raporu gösterilirken bir hata oluştu. İşlemi kontrol edip tekrar deneyiniz."
"Review","Yorum"
"Reviews","Yorumlar"
"Customers Report","Müşteri Raporu"
"Customer Reviews Report","Müşteri değerlendirme raporu"
"Product Reviews Report","Ürün değerlendirme raporu"
"Product Reviews","Ürün Yorumları"
"Details","Detaylar"
"Sales","Satışlar"
"Bestsellers Report","Çok Satanlar Raporu"
"Coupons","Kuponlar"
"Coupons Report","Kuponlar raporu"
"Invoice Report","Fatura Raporu"
"Refunds Report","Para iadeleri raporu"
"Sales Report","Satış Raporu"
"Orders Report","Sipariş Raporu"
"Shipping Report","Nakliye Raporu"
"Tax Report","Vergi Raporu"
"Shopping Cart","Alışveriş Sepeti"
"Abandoned Carts","Terk Edilmiş Sepetler"
"Customer Shopping Carts","Müşteri Alışveriş Sepetleri"
"Products in Carts","Sepetlerdeki Ürünler"
"Statistics","İstatistikler"
"No report code is specified.","Rapor kodu belirtilmedi."
"You refreshed lifetime statistics.","Yaşam boyu istatistikleri yeniledi."
"We can't refresh lifetime statistics.","Ömür boyu istatistikleri yenileyemiyoruz."
"Recent statistics have been updated.","Son istatistikler güncellendi."
"We can't refresh recent statistics.","Son istatistikleri yenileyemiyoruz."
"The product type filter specified is incorrect.","Belirtilen ürün türü filtresi doğru değil."
"Order Taxes Report Grouped by Tax Rates","Vergi Oranlarına Göre Gruplanmış Vergi Raporu"
"Total Invoiced VS Paid Report","Toplam Tahsil Edilen Faturalar Raporu"
"Promotion Coupons Usage Report","Promosyon Kuponları Kullanım Raporu"
"Bestsellers","En çok Satanlar"
"Most Viewed Products Report","En çok Görülen Ürünler Raporu"
"Error","Hata"
"Show By","Tarafından Gösteriliyor"
"Select Date","Tarih seçiniz"
"Customers that have Wish List: %1","Müşterilerin istek listesi: %1"
"Number of Wish Lists: %1","İstenilen liste sayısı: %1"
"Number of items bought from a Wish List: %1","İstek listesinden alınan ürünlerin sayısı: %1"
"Number of times Wish Lists have been shared (emailed): %1","İstek listelerinin kaç kez paylaşıldığı (e-postayla gönderildi): %1"
"Number of Wish List referrals: %1","İstek listesi tavsiyeleri: %1"
"Number of Wish List conversions: %1","İstek listesi değişimleri sayısı: %1"
"Show Report For:","Rapor Göster:"
"All Websites","Tüm Web siteleri"
"Recently Viewed","En son görülenler"
"Add to Cart","Sepete Ekle"
"In stock","stokta mevcut"
"Out of stock","Stok mevcut değil"
"Add to Wish List","İstek Listesine Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Recently Compared","En son karşılaştırılanlar"
"Learn More","Daha fazla bilgi"
"Marketing","Pazarlama"
"Products in Cart","Sepetteki Ürünler"
"Abandoned Cart","Terk edilmiş Sepet"
"Search Terms","Arama terimleri"
"By Customers","Müşterilere Göre"
"By Products","Ürünler Tarafından"
"Refunds","İadeler"
"Order Total","Sipariş Toplamı"
"Order Count","Sipariş Sayısı"
"New","Yeni "
"Ordered","Sipariş Tarihi"
"Recently Viewed/Compared Products","En son Görülen/Karşılaştırılan Ürünler"
"Show for Current","Mevcutu Göster"
"Default Recently Viewed Products Count","Varsayılan En Son Gördüğünüz Ürünler Sayısı"
"Default Recently Compared Products Count","Varsayılan En Son Karşılaştırdığınız Ürünler Sayısı"
"Dashboard","Panel"
"Year-To-Date Starts","Yıl Başlangıcı"
"Current Month Starts","Ay Başlangıcı"
"Select day of the month.","Ayın gününü seçiniz."
"Average","Ortalama"
"Stock Quantity","Stok Miktarı"
"Ordered Quantity","Sipariş edilen miktar"
"The report displays the top 5 most viewed products for each interval.","Rapor, her aralık için en çok görüntülenen 5 ürünü gösterir."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Doğru raporlama için, saat dilimini değiştirdiğinizde ömür istatistiklerini yenilediğinizden emin olun."
"Guest","Misafir"
"Action","Eylem"
"Average (Approved)","Ortalama (Onaylı)"
"Last Review","Son Yorum"
"Order Created","Oluşturulan sipariş"
"Order Updated","Güncellenen sipariş"
"The Order Updated report is created in real time and does not require a refresh.","Sipariş Güncelleme raporu gerçek zamanlı olarak oluşturulur ve yenileme gerektirmez."
"Last Invoice Created Date","Son Fatura Oluşturulma Tarihi"
"Last Credit Memo Created Date","Son İade Kaydı Oluşturulma Tarihi"
"First Invoice Created Date","İlk Fatura Oluşturulma Tarihi"
"Refresh Lifetime Statistics","Bütün İstatistiği Güncelle"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Ömür boyu istatistikleri şu anda yenilemek istiyor musunuz? Bu işlem, müşterilerinizin alışveriş deneyimini yavaşlatabilir."
"Refresh Statistics for the Last Day","Son Gün İçin İstatistiği Yenile"
"Are you sure you want to refresh statistics for the last day?","Son günün istatistiklerini yenilemek istediğinizden emin misiniz?"
"Report","Rapor"
"Description","Açıklama"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
