"New Accounts","Nieuwe accounts:"
"Order Taxes Report Grouped by Tax Rate","Bestelling BTW-rapport gegroepeerd op BTW-groep"
"Rate","Ratio"
"Tax Amount","BTW-bedrag"
"Abandoned carts","Achtergelaten winkelwagens"
"Email","E-mail"
"Products","Producten"
"Quantity","Aantal"
"Applied Coupon","Gebruikte kortingsbon"
"Updated","Bijgewerkt"
"IP Address","IP Adres"
"Customers","Klanten"
"ID","ID"
"First Name","Voornaam"
"Last Name","Achternaam"
"Items in Cart","Producten in winkelwagen"
"Products in carts","Producten in winkelwagens"
"Carts","Winkelwagens"
"Name","Naam"
"Wish Lists","Verlanglijst"
"Wish List Purchase","Wensenlijst aankoop"
"Wish List vs. Regular Order","Verlanglijst vs normale bestelling"
"Times Deleted","Keer verwijderd"
"Index type is not valid","Indextype is niet geldig"
"Reports","Rapportages"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Nieuwe klanten rapportage"
"Customers by Number of Orders","Klanten o.b.v. bestellingen"
"Order Count Report","Aantal orders verslag"
"Order Total Report","Totale bestelling rapportage"
"Downloads Report","Downloads verslag"
"Low Stock","Lage voorraad"
"Low Stock Report","Rapportage weinig voorraad"
"Ordered Products Report","Bestelde producten rapportage"
"Products Most Viewed Report","Rapportage meest bekeken producten"
"Product Views Report","Bekeken producten rapportage"
"An error occurred while showing the product views report. Please review the log and try again.","Er is een fout opgetreden tijdens het weergeven van de productrapportage. Controleer het logboek en probeer opnieuw."
"Review","Review"
"Reviews","Reviews"
"Customers Report","Klantenrapport"
"Customer Reviews Report","Rapportage Klant Reviews"
"Product Reviews Report","Rapportage Product Reviews"
"Product Reviews","Productreviews"
"Details","Gegevens"
"Sales","Verkopen"
"Bestsellers Report","Best sellers rapport"
"Coupons","Kortingsbonnen"
"Coupons Report","Coupons rapportage"
"Invoice Report","Factuur rapportage"
"Refunds Report","Refunds rapportage"
"Sales Report","Verkooprapport"
"Orders Report","Orders rapport"
"Shipping Report","Verzending verslag"
"Tax Report","Fiscaal verslag"
"Shopping Cart","Winkelwagen"
"Abandoned Carts","Achtergelaten winkelwagens"
"Customer Shopping Carts","Winkelwagens van klant"
"Products in Carts","Producten in winkelwagen"
"Statistics","Statistieken"
"No report code is specified.","Geen rapportage code opgegeven."
"You refreshed lifetime statistics.","Uw vernieuwde levensduur statistieken."
"We can't refresh lifetime statistics.","Statistieken bijwerken niet gelukt."
"Recent statistics have been updated.","Recente statistieken zijn vernieuwd"
"We can't refresh recent statistics.","We kunnen de recente statistieken niet vernieuwen. "
"The product type filter specified is incorrect.","Het opgegeven product type filter is onjuist."
"Order Taxes Report Grouped by Tax Rates","Bestelling BTW-rapportage gegroepeerd op BTW-tarieven"
"Total Invoiced VS Paid Report","Rapportage Totaal Gefactureerd VS Betaald"
"Promotion Coupons Usage Report","Rapportage Kortingsbonnen"
"Bestsellers","Meest verkochte producten"
"Most Viewed Products Report","Rapport meest bekeken producten"
"Error","Foutmelding"
"Show By","Tonen op"
"Select Date","Datum selecteren"
"Customers that have Wish List: %1","Klanten met verlanglijst: %1"
"Number of Wish Lists: %1","Aantal verlanglijsten: %1"
"Number of items bought from a Wish List: %1","Aantal producten gekocht van een verlanglijst: %1"
"Number of times Wish Lists have been shared (emailed): %1","Aantal keren dat verlanglijsten zijn gedeeld (per e-mail): %s"
"Number of Wish List referrals: %1","Aantal verlanglijst verwijzingen: %1"
"Number of Wish List conversions: %1","Aantal conversies van de verlanglijsten: %1"
"Show Report For:","Toon rapport voor:"
"All Websites","Alle Websites"
"Recently Viewed","Recent bekeken"
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Voeg toe aan verlanglijst"
"Add to Compare","Toevoegen om te vergelijken"
"Recently Compared","Recentelijk vergelijken"
"Learn More","Lees verder"
"Marketing","Marketing"
"Products in Cart","Producten in winkelwagen"
"Abandoned Cart","Achtergelaten winkelwagen"
"Search Terms","Zoektermen"
"By Customers","Per klant"
"By Products","Per product"
"Refunds","Terugbetalingen"
"Order Total","Totaal"
"Order Count","Orderaantal"
"New","Nieuw"
"Ordered","Besteld"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Show for Current","Tonen voor huidige"
"Default Recently Viewed Products Count","Standaard-aantal onlangs bekeken producten"
"Default Recently Compared Products Count","Standaard-aantal onlangs vergeleken producten"
"Dashboard","Dashboard"
"Year-To-Date Starts","Startdatum financieel jaar"
"Current Month Starts","Huidige maand start"
"Select day of the month.","Selecteer dag van de maand"
"Average","Gemiddeld"
"Stock Quantity","Voorraadaantal"
"Ordered Quantity","Bestelde aantal"
"The report displays the top 5 most viewed products for each interval.","Het rapport bevat de top 5 meest bekeken producten voor elk interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Voor een nauwkeurige verslaggeving, ververs de levensduur van de statistieken telkens als u de tijdzone wijzigt."
"Guest","Bezoeker"
"Action","Actie"
"Average (Approved)","Gemiddelde (goedgekeurd)"
"Last Review","Laatste Review"
"Order Created","Order gemaakt"
"Order Updated","Bestellingsupdate"
"The Order Updated report is created in real time and does not require a refresh.","Het Bijgewerkte Order overzicht wordt in real-time is gemaakt en hoeft niet vernieuwd te worden."
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Credit Memo Created Date","Laatste creditfactuur aangemaakt op"
"First Invoice Created Date","Eerste factuur aangemaakt op"
"Refresh Lifetime Statistics","Vernieuw Statistieken complete historie"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Weet u zeker dat u de complete levensduur statistieken nu wilt vernieuwen? Deze bewerking kan het winkelen door uw klanten vertragen."
"Refresh Statistics for the Last Day","Vernieuw Statistieken van vandaag"
"Are you sure you want to refresh statistics for the last day?","Weet u zeker dat u de statistieken van afgelopen dag wilt vernieuwen?"
"Report","Verslag"
"Description","Beschrijving"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
