"New Accounts","Akun baru"
"Number of items bought from a Wish List: %1","Jumlah barang yang dibeli dari Daftar Keinginan: %1"
"Number of times Wish Lists have been shared (emailed): %1","Frekuensi Daftar Keinginan telah dibagikan (dikirim melalui email): %1"
"Number of Wish List referrals: %1","Jumlah rujukan daftar keinginan: %1"
"Number of Wish List conversions: %1","Jumlah konversi Daftar Keinginan: %1"
"Show Report For:","Tampilkan Laporan untuk:"
"All Websites","Semua Website"
"Recently Viewed","Baru saja dilihat"
"Add to Cart","Masukkan ke keranjang"
"In stock","Tersedia"
"Out of stock","Habis terjual"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"Add to Compare","Tambahkan untuk membandingkan"
"Recently Compared","Baru Dibanding"
"Learn More","Belajarlah lagi"
"Marketing","Pemasaran"
"Products in Cart","Produk di keranjang"
"Abandoned Cart","Keranjang Terbengkalai"
"Search Terms","Istilah Pencarian"
"By Customers","Oleh pelanggan"
"By Products","Dengan Produk"
"Refunds","Pengembalian dana"
"Order Total","Jumlah pesanan"
"Order Count","Menghitung pesanan"
"New","Baru"
"Ordered","Dipesan"
"Recently Viewed/Compared Products","Produk yang Baru Dilihat / Dibanding"
"Show for Current","Tampilkan untuk saat ini"
"Default Recently Viewed Products Count","Default Produk Terlihat Baru-baru ini"
"Default Recently Compared Products Count","Default Baru Dibanding Hitungan Produk"
"Dashboard","Dasbor"
"Year-To-Date Starts","Tahun-Untuk-Tanggal Mulai"
"Current Month Starts","Bulan Saat Ini Dimulai"
"Select day of the month.","Pilih hari dalam sebulan."
"Average","Rata-rata"
"Stock Quantity","Kuantitas Saham"
"Ordered Quantity","Kuantitas yang Dipesan"
"The report displays the top 5 most viewed products for each interval.","Laporan ini menampilkan 5 produk paling banyak dilihat untuk setiap interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Untuk pelaporan yang akurat, pastikan untuk menyegarkan statistik seumur hidup kapan pun Anda mengubah zona waktu."
"Guest","Tamu"
"Action","Tindakan"
"Average (Approved)","Rata-rata (Disetujui)"
"Last Review","Ulasan terakhir"
"Order Created","Pesanan dibuat"
"Order Updated","Pesanan diperbarui"
"The Order Updated report is created in real time and does not require a refresh.","Laporan pesanan diperbarui secara real time dan tidak memerlukan penyegaran."
"Last Invoice Created Date","Faktur Terakhir Dibuat Tanggal"
"Last Credit Memo Created Date","Hasil Memo Kredit Terakhir"
"First Invoice Created Date","Tanggal Pembuatan Faktur Pertama"
"Refresh Lifetime Statistics","Segarkan Statistik Seumur Hidup"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Yakin ingin menyegarkan statistik seumur hidup sekarang? Operasi ini dapat memperlambat pengalaman berbelanja pelanggan Anda."
"Refresh Statistics for the Last Day","Segarkan Statistik untuk Hari Terakhir"
"Are you sure you want to refresh statistics for the last day?","Yakin ingin menyegarkan statistik untuk hari terakhir?"
"Report","Melaporkan"
"Description","Deskripsi"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
