"New Accounts","Nowe konta"
"Order Total Report","Raport liczby zamówień"
"Downloads Report","Pobierz raport"
"Low Stock","Mało produktów"
"Low Stock Report","Niski zasób raportu"
"Ordered Products Report","Raport zamówionych produktów"
"Products Most Viewed Report","Raport najczęściej oglądanych produktów"
"Product Views Report","Raport oglądanych produktów"
"An error occurred while showing the product views report. Please review the log and try again.","Wystąpił błąd podczas pokazywania raportów wyświetleń produku. Prosimy przejrzeć logi i spróbować ponownie."
"Review","Opinia"
"Reviews","Opinie"
"Customers Report","Raporty klientów"
"Customer Reviews Report","Raport Opinii klientów"
"Product Reviews Report","Raport ocenianych produktów"
"Product Reviews","Opinie"
"Details","Szczegóły"
"Sales","Sprzedaż"
"Bestsellers Report","Raport Bestsellerów "
"Coupons","Kupony"
"Coupons Report","Raport kuponów"
"Invoice Report","Raportu faktur"
"Refunds Report","Raport zwrotów"
"Sales Report","Raport sprzedaży"
"Orders Report","Raport zamówień"
"Shipping Report","Raport dostaw"
"Tax Report","Raport podatkowy"
"Shopping Cart","Koszyk"
"Abandoned Carts","Porzucone koszyki"
"Customer Shopping Carts","Koszyki klienta"
"Products in Carts","Produkty w koszyku"
"Statistics","Statystyki"
"No report code is specified.","Nie wybrano kodu raportu."
"You refreshed lifetime statistics.","Odświeżyłeś statystyki życia."
"We can't refresh lifetime statistics.","Nie możemy odświeżyć statystyki życia."
"Recent statistics have been updated.","Najnowsze statystyki zostały uaktualnione."
"We can't refresh recent statistics.","Nie możemy odświeżyć ostatnich statystyk."
"The product type filter specified is incorrect.","Filtr typu produktu, jest niepoprawnie określony."
"Order Taxes Report Grouped by Tax Rates","Raport podatków zamówienia pogrupowany wg stawek podatku"
"Total Invoiced VS Paid Report","Raport łącznie zafakturowanych kontra opłacone"
"Promotion Coupons Usage Report","Raport wykorzystania kuponów promocyjnych"
"Bestsellers","Bestsellery"
"Most Viewed Products Report","Raport najczęściej oglądanych produktów"
"Error","Błąd"
"Show By","Pokaż wg"
"Select Date","Wybierz datę"
"Customers that have Wish List: %1","Klienci posiadający schowek: %1"
"Number of Wish Lists: %1","Liczba schowków: %1"
"Number of items bought from a Wish List: %1","Ilość produktów zakupionych ze schowka: %1"
"Number of times Wish Lists have been shared (emailed): %1","Ilość razy kiedy zawartość schowka została wysłana do innych: %1"
"Number of Wish List referrals: %1","Ilość osób poleconych za pośrednictwem schowka: %1"
"Number of Wish List conversions: %1","Ilość osób poleconych za pośrednictwem schowka: %1"
"Show Report For:","Pokaż raport dla:"
"All Websites","Wszystkie witryny"
"Recently Viewed","Ostatnio oglądane"
"Add to Cart","Dodaj do koszyka"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Add to Wish List","Dodaj do listy życzeń"
"Add to Compare","Porównaj"
"Recently Compared","Ostatnio porównywane"
"Learn More","Dowiedz się więcej"
"Marketing","Marketing"
"Products in Cart","Produkty w koszyku"
"Abandoned Cart","Porzucone koszyki"
"Search Terms","Szukane frazy"
"By Customers","Klienci"
"By Products","Produkty"
"Refunds","Zwroty"
"Order Total","Podsumowanie"
"Order Count","Liczba zamówień"
"New","Nowy"
"Ordered","Zamówień"
"Recently Viewed/Compared Products","Ostatnio oglądane/porównywane produkty"
"Show for Current","Pokazuj dla bieżącego"
"Default Recently Viewed Products Count","Domyślny licznik ostatnio oglądanych produktów"
"Default Recently Compared Products Count","Domyślny licznik ostatnio porównywanych produktów"
"Dashboard","Panel"
"Year-To-Date Starts","Rok-do-daty zaczyna się"
"Current Month Starts","Bieżący miesiąc zaczyna się"
"Select day of the month.","Wybierz dzień miesiąca."
"Average","Średnia"
"Stock Quantity","Ilość w magazynie"
"Ordered Quantity","Zamówiona ilość"
"The report displays the top 5 most viewed products for each interval.","Raport wyświetla top 5 najczęściej oglądane produkty dla każdego interwału."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Dla dokładnego raportowania, należy odświeżyć życia statystyki po zmianie strefy czasowej."
"Guest","Gość"
"Action","Operacja"
"Average (Approved)","Średnia (zatwierdzone)"
"Last Review","Ostatnia recenzja"
"Order Created","Data utworzenia zamówienia"
"Order Updated","Data aktualizacji zamówienia"
"The Order Updated report is created in real time and does not require a refresh.","Kolejność zaktualizowany raport jest tworzony w czasie rzeczywistym i nie wymagają odświeżenia."
"Last Invoice Created Date","Data utworzenie ostatniej faktury"
"Last Credit Memo Created Date","Data utworzenie ostatniej faktury korygującej"
"First Invoice Created Date","Data wystawienia pierwszej faktury"
"Refresh Lifetime Statistics","Odśwież całkowite statystyki"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Czy na pewno chcesz odświeżania statystyki teraz? Ta operacja może spowalniać zakupy twoim klientom."
"Refresh Statistics for the Last Day","Odśwież statystyki dla ostatniego dnia"
"Are you sure you want to refresh statistics for the last day?","Czy na pewno chcesz odświeżyć statystyki za ostatni dzień?"
"Report","Raport"
"Description","Opis"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
