"New Accounts","Nouveaux comptes"
"Current Month Starts","Le mois en cours commence le"
"Select day of the month.","Choisissez le jour du mois."
"Average","Moyen"
"Stock Quantity","Quantité en stock"
"Ordered Quantity","Quantité commandée"
"The report displays the top 5 most viewed products for each interval.","Le rapport affiche le top 5 des produits les plus vus pour chaque intervalle de temps."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Pour les rapports exacts, n’oubliez pas d’actualiser les statistiques de la durée de vie chaque fois que vous modifiez le fuseau horaire."
"Guest","Invité"
"Action","Action"
"Average (Approved)","Moyenne (approuvé)"
"Last Review","Dernier commentaire"
"Order Created","Commande créée"
"Order Updated","Commande mise à jour"
"The Order Updated report is created in real time and does not require a refresh.","Le rapport de mise à jour de commande est créé en temps réel et ne nécessite pas une actualisation."
"Last Invoice Created Date","Date de création de la dernière facture"
"Last Credit Memo Created Date","Date de création du dernier avoir"
"First Invoice Created Date","Date de création de la première facture"
"Refresh Lifetime Statistics","Rafraîchir les statistiques depuis le début"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Êtes-vous certain de que vouloir actualiser les statistiques depuis le début maintenant ? Cette opération peut ralentir l'expérience de shopping de vos clients."
"Refresh Statistics for the Last Day","Rafraîchir les statistiques pour le dernier jour"
"Are you sure you want to refresh statistics for the last day?","Êtes-vous certain de que vouloir actualiser les statistiques pour le dernier jour ?"
"Report","Rapport"
"Description","Description"
"undefined","indéfini"
"Best Sellers Report","Rapport Meilleurs ventes"
"Recently Viewed Products","Derniers produits consultés"
"List of Products Recently Viewed by Visitor","Liste des derniers produits vus par le visiteur"
"Number of Products to display","Nombre de produits à afficher"
"Viewed Products Grid Template","Modèle de grille des produits visualisés"
"Viewed Products List Template","Modèle de liste des produits visualisés"
"Viewed Products Images and Names Template","Modèle d'images et de noms des produits consultés"
"Viewed Products Names Only Template","Modèle de noms de produits consultés uniquement"
"Viewed Products Images Only Template","Modèle d'images de produits consultées uniquement"
"Recently Compared Products","Produits récemment comparés"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste des derniers produits comparés et enlevés de la liste de comparaison par un visiteur"
"Compared Products Grid Template","Modèle de grille des produits comparés"
"Compared Products List Template","Modèle de liste des produits comparés"
"Compared Products Images and Names Template","Modèle de noms et images de produits comparés"
"Compared Product Names Only Template","Modèle de noms de produits comparés uniquement"
"Compared Product Images Only Template","Modèle d'images de produits comparés uniquement"
"System configuration is not found for report event type ""%1""","La configuration du système n'est pas trouvée pour le type d'événement de rapport ""%1"""
"General Options","Options générales"
"Enable Reports","Activer les rapports"
"If disabled, all report events will be disabled","Si désactivé, tous les événements du rapport seront désactivés"
"Enable ""Product View"" Report","Activer le rapport ""Vue produit"""
"If enabled, will collect statistic of viewed product pages","Si activé, collectera des statistiques des pages de produits consultées"
"Enable ""Send Product Link To Friend"" Report","Activer le rapport ""Envoyer le lien produit vers un ami"""
"If enabled, will collect statistic of product links sent to friend","Si activé, collectera des statistiques des liens de produits envoyés à un ami"
"Enable ""Add Product To Compare List"" Report","Activer le rapport ""Ajouter un produit à comparer"""
"If enabled, will collect statistic of products added to Compare List","Si activé, collectera des statistiques des produits ajoutés à la liste de comparaison"
"Enable ""Product Added To Cart"" Report","Activer le rapport ""Produit ajouté au panier"""
"If enabled, will collect statistic of products added to Cart","Si activé, collectera des statistiques des produits ajoutés au panier"
"Enable ""Product Added To WishList"" Report","Activer le rapport ""Produit ajouté à la liste d'achats"""
"If enabled, will collect statistic of products added to WishList","Si activé, collectera des statistiques des produits ajoutés à la liste d'achats"
"Enable ""Share WishList"" Report","Activer le rapport ""Partager la liste d'achats"""
"If enabled, will collect statistic of shared WishLists","Si activé, collectera des statistiques des listes d'achats partagées"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Dernière mise à jour : %1. Pour actualiser les statistiques de la dernière journée <a href=""%2""></a>, cliquez sur <a href=""#2"" data-post=""%3"">ici</a>."
