"New Accounts","Ново Аццоунтс"
"Last Name","Презиме"
"Items in Cart","Производа у Корпи"
"Products in carts","Производи ин цартс"
"Carts","Carts"
"Name","Име"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wисх Листа Пурцхасе"
"Wish List vs. Regular Order","Wисх Листа вс. Регулар Поруџбина"
"Times Deleted","Тимес Обрисан"
"Index type is not valid","Индекс тyпе ис нот валид"
"Reports","Извештаји"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Последње ажурирање: %1. Да освежите <а хреф=""%2"">статистику</а> последњег дана, кликните <а хреф=""%3"">овде</а>."
"New Accounts Report","Ново Аццоунтс Репорт"
"Customers by Number of Orders","Купци бy Нумбер оф Ордерс"
"Order Count Report","Поруџбина Цоунт Репорт"
"Order Total Report","Поруџбина Укупно Репорт"
"Downloads Report","Downloads Report"
"Low Stock","Лоw Залихе"
"Low Stock Report","Лоw Залихе Репорт"
"Ordered Products Report","Ордеред Производи Репорт"
"Products Most Viewed Report","Производи Мост Виеwед Репорт"
"Product Views Report","Производ Виеwс Репорт"
"An error occurred while showing the product views report. Please review the log and try again.","Дошло је до грешке wхиле схоwинг тхе продуцт виеwс репорт. Плеасе ревиеw тхе лог анд покушајте поново."
"Review","Рецензија"
"Reviews","Рецензије"
"Customers Report","Купци Репорт"
"Customer Reviews Report","Купац Рецензије Репорт"
"Product Reviews Report","Производ Рецензије Репорт"
"Product Reviews","Производ Рецензије"
"Details","Детаљи"
"Sales","Продаја"
"Bestsellers Report","Bestsellers Report"
"Coupons","Купони"
"Coupons Report","Купони Репорт"
"Invoice Report","Фактура Репорт"
"Refunds Report","Refunds Report"
"Sales Report","Продаја Репорт"
"Orders Report","Orders Report"
"Shipping Report","Достава Репорт"
"Tax Report","Порез Репорт"
"Shopping Cart","Корпа"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Купац Схоппинг Цартс"
"Products in Carts","Производи ин Цартс"
"Statistics","Statistics"
"No report code is specified.","Не репорт цоде ис специфиед."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Не можемо освежити сву статистику."
"Recent statistics have been updated.","Рецент статистицс су упдатед."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","Тхе продуцт тyпе филтер специфиед ис нетачан."
"Order Taxes Report Grouped by Tax Rates","Поруџбина Таxес Репорт Гроупед бy Порез Ратес"
"Total Invoiced VS Paid Report","Укупно Инвоицед ВС Паид Репорт"
"Promotion Coupons Usage Report","Промотион Купони Усаге Репорт"
"Bestsellers","Најпродаванији"
"Most Viewed Products Report","Мост Виеwед Производи Репорт"
"Error","Грешка"
"Show By","Прикажи Бy"
"Select Date","Изабери Датум"
"Customers that have Wish List: %1","Купци тхат хаве Wисх Листа: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Нумбер оф итемс боугхт фром а Wисх Листа: %1"
"Number of times Wish Lists have been shared (emailed): %1","Нумбер оф тимес Wисх Листс су схаред (емаилед): %1"
"Number of Wish List referrals: %1","Нумбер оф Wисх Листа реферралс: %1"
"Number of Wish List conversions: %1","Нумбер оф Wисх Листа цонверсионс: %1"
"Show Report For:","Прикажи Репорт Фор:"
"All Websites","Све Wеб локације"
"Recently Viewed","Недавно погледано"
"Add to Cart","Додај у корпу"
"In stock","На стању"
"Out of stock","Нема на лагеру"
"Add to Wish List","Додај у листу жеља"
"Add to Compare","Додај за упоређивање"
"Recently Compared","Недавно Упоређени"
"Learn More","Сазнајте више"
"Marketing","Marketing"
"Products in Cart","Производи ин Корпа"
"Abandoned Cart","Абандонед Корпа"
"Search Terms","Појмови за претрагу"
"By Customers","Бy Купци"
"By Products","Бy Производи"
"Refunds","Refunds"
"Order Total","Укупан износ"
"Order Count","Поруџбина Цоунт"
"New","Ново"
"Ordered","Порућено"
"Recently Viewed/Compared Products","Недавно Погледано/Упоређени Производи"
"Show for Current","Прикажи фор Цуррент"
"Default Recently Viewed Products Count","Подразумевано Рецентлy Виеwед Производи Цоунт"
"Default Recently Compared Products Count","Подразумевано Рецентлy Цомпаред Производи Цоунт"
"Dashboard","Контролна табла"
"Year-To-Date Starts","Yеар-То-Датум Стартс"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Изабери даy оф тхе монтх."
"Average","Просек"
"Stock Quantity","Залихе Количина"
"Ordered Quantity","Ордеред Количина"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Гост"
"Action","Акција"
"Average (Approved)","Авераге (Одобрен)"
"Last Review","Последњи Рецензија"
"Order Created","Поруџбина Креиран"
"Order Updated","Поруџбина Ажуриран"
"The Order Updated report is created in real time and does not require a refresh.","Тхе Поруџбина Ажуриран репорт ис цреатед ин реал тиме анд доес нот реqуире а рефресх."
"Last Invoice Created Date","Последњи Фактура Креиран Датум"
"Last Credit Memo Created Date","Последњи Кредитно одобрење Креиран Датум"
"First Invoice Created Date","Први Фактура Креиран Датум"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Да ли сте сигурни желите да рефресх лифетиме статистицс ригхт ноw? Тхис оператион маy слоw доwн yоур цустомерс' схоппинг еxпериенце."
"Refresh Statistics for the Last Day","Рефресх Статистицс фор тхе Последњи Даy"
"Are you sure you want to refresh statistics for the last day?","Да ли сте сигурни желите да рефресх статистицс фор тхе ласт даy?"
"Report","Извештај"
"Description","Опис"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Недавно прегледани производи"
"List of Products Recently Viewed by Visitor","Листа производа коју је посетилац недавно погледао"
"Number of Products to display","Број производа за приказ"
"Viewed Products Grid Template","Шаблон мреже прегледаних производа"
"Viewed Products List Template","Шаблон листе прегледаних производа"
"Viewed Products Images and Names Template","Виеwед Производи Имагес анд Намес Темплате"
"Viewed Products Names Only Template","Виеwед Производи Намес Онлy Темплате"
"Viewed Products Images Only Template","Виеwед Производи Имагес Онлy Темплате"
"Recently Compared Products","Недавно Упоређени Производи"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Листа оф Производи Рецентлy Цомпаред анд Ремовед фром тхе Цомпаре Листа бy Виситор"
"Compared Products Grid Template","Шаблон Мреже упоређених производа"
"Compared Products List Template","Шаблон листе упоређених производа"
"Compared Products Images and Names Template","Цомпаред Производи Имагес анд Намес Темплате"
"Compared Product Names Only Template","Цомпаред Производ Намес Онлy Темплате"
"Compared Product Images Only Template","Цомпаред Производ Имагес Онлy Темплате"
"System configuration is not found for report event type ""%1""","Конфигурација система није пронађена за тип догађаја извештаја ""%1"""
"General Options","Опште Опције"
"Enable Reports","Омогући Извештаји"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Омогући извештај ""Преглед производа"""
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Омогући извештај ""Пошаљи линк производа пријатељу"""
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Омогући извештај ""Додај производ у листу за поређење"""
"If enabled, will collect statistic of products added to Compare List","Иф енаблед, wилл цоллецт статистиц оф продуцтс аддед то Цомпаре Листа"
"Enable ""Product Added To Cart"" Report","Омогући извештај ""Производ додат у корпу"""
"If enabled, will collect statistic of products added to Cart","Иф енаблед, wилл цоллецт статистиц оф продуцтс аддед то Корпа"
"Enable ""Product Added To WishList"" Report","Омогући извештај ""Производ додат у листу жеља"""
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Омогући извештај ""Подели листу жеља"""
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Последње ажурирање: %1. Да освежите <а хреф=""%2"">статистику</а> последњег дана, кликните <а хреф=""#2"" дата-пост=""%3"">овде</а>."
