"New Accounts","Tài khoản mới"
"Refunded","Đã hoàn trả"
"Sales Tax","Thuế bán hàng"
"Tax","Thuế"
"Sales Shipping","Bán hàng vận chuyển"
"Shipping","Vận chuyển"
"Canceled","Đã hủy bỏ"
"Total Shipped Report","Báo cáo Tổng vận chuyển"
"Carrier/Method","Tàu sân bay/phương pháp"
"Total Sales Shipping","Tất cả các vận chuyển đang khuyến mại"
"Total Shipping","Tổng vận chuyển"
"Order Taxes Report Grouped by Tax Rate","Thứ tự báo cáo thuế được nhóm lại theo mức thuế suất"
"Rate","Đánh giá"
"Tax Amount","Số tiền thuế"
"Abandoned carts","Giỏ hàng bị bỏ rơi"
"Email","Email"
"Products","Các sản phẩm"
"Quantity","Số lượng"
"Applied Coupon","Áp dụng các phiếu giảm giá"
"Updated","Đã cập nhật"
"IP Address","Địa chỉ IP"
"Customers","Khách hàng"
"ID","ID"
"First Name","Tên"
"Last Name","Họ"
"Items in Cart","Sản phẩm trong giỏ"
"Products in carts","Sản phẩm trong giỏ hàng"
"Carts","Giỏ hàng"
"Name","Tên"
"Wish Lists","Danh sách yêu thích"
"Wish List Purchase","Mua hàng trong danh sách yêu thích"
"Wish List vs. Regular Order","Danh sách yêu thích so với đơn hàng thông thường"
"Times Deleted","Thời gian đã xóa"
"Index type is not valid","Chỉ số loại là không hợp lệ"
"Reports","Báo cáo"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Báo cáo tài khoản mới"
"Customers by Number of Orders","Khách hàng bằng số lượng đơn đặt hàng"
"Order Count Report","Báo cáo số lượng đặt hàng"
"Order Total Report","Báo cáo tổng đơn hàng"
"Downloads Report","Tải báo cáo"
"Low Stock","Còn ít hàng"
"Low Stock Report","Báo cáo Còn ít hàng"
"Ordered Products Report","Báo cáo đơn đặt hàng Sản phẩm"
"Products Most Viewed Report","Báo cáo sản phẩm xem nhiều nhất"
"Product Views Report","Báo cáo lượt xem Sản phẩm"
"An error occurred while showing the product views report. Please review the log and try again.","Lỗi xảy ra trong khi hiển thị báo cáo lượt xem sản phẩm. Xin vui lòng xem lại các bản ghi và thử lại."
"Review","Đánh giá"
"Reviews","Các đánh giá"
"Customers Report","Báo cáo khách hàng"
"Customer Reviews Report","Báo cáo đánh giá Khách hàng"
"Product Reviews Report","Báo cáo đánh giá Sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Details","Chi tiết"
"Sales","Doanh số"
"Bestsellers Report","Báo cáo bán chạy nhất"
"Coupons","Phiếu giảm giá"
"Coupons Report","Báo cáo phiếu giảm giá"
"Invoice Report","Báo cáo hóa đơn"
"Refunds Report","Báo cáo hoàn lại tiền"
"Sales Report","Báo cáo doanh số"
"Orders Report","Báo cáo đơn đặt hàng"
"Shipping Report","Báo cáo vận chuyển"
"Tax Report","Báo cáo thuế"
"Shopping Cart","Giỏ mua hàng"
"Abandoned Carts","Giỏ hàng bị bỏ rơi"
"Customer Shopping Carts","Giỏ hàng của Khách hàng"
"Products in Carts","Sản phẩm trong giỏ hàng"
"Statistics","Thống kê"
"No report code is specified.","Không có mã số báo cáo được quy định."
"You refreshed lifetime statistics.","Bạn làm mới đời sống số liệu thống kê."
"We can't refresh lifetime statistics.","Hiện tại không thể refresh được thống kê."
"Recent statistics have been updated.","Thống kê gần đây đã được Cập Nhật."
"We can't refresh recent statistics.","Chúng tôi không thể làm mới các thống kê gần đây."
"The product type filter specified is incorrect.","Bộ lọc loại sản phẩm được chỉ định là không chính xác."
"Order Taxes Report Grouped by Tax Rates","Thứ tự báo cáo thuế được nhóm lại theo mức thuế suất"
"Total Invoiced VS Paid Report","Tổng số lập hoá đơn so với báo cáo thanh toán"
"Promotion Coupons Usage Report","Báo cáo việc sử dụng phiếu giảm giá khuyến mãi"
"Bestsellers","Sản phẩm bán chạy nhất"
"Most Viewed Products Report","Báo cáo sản phẩm được xem nhiều nhất"
"Error","Lỗi"
"Show By","Hiển thị bằng"
"Select Date","Chọn ngày"
"Customers that have Wish List: %1","Khách hàng có danh sách yêu thích: %1"
"Number of Wish Lists: %1","Số lượng danh sách yêu thích: %1"
"Number of items bought from a Wish List: %1","Số lượng mặt hàng mua từ một danh sách yêu thích: %1"
"Number of times Wish Lists have been shared (emailed): %1","Số lần danh sách yêu thích được chia sẻ (qua email): %1"
"Number of Wish List referrals: %1","Số lượng danh sách yêu thích được giới thiệu: %1"
"Number of Wish List conversions: %1","Số lượng chuyển đổi danh sách yêu thích: %1"
"Show Report For:","Hiển thị các báo cáo cho:"
"All Websites","Tất cả trang Web"
"Recently Viewed","Xem gần đây"
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Còn trong kho"
"Out of stock","Tạm hết hàng"
"Add to Wish List","Thêm vào danh sách yêu thích"
"Add to Compare","Thêm vào so sánh"
"Recently Compared","So sánh gần đây"
"Learn More","Tìm hiểu thêm"
"Marketing","Marketing"
"Products in Cart","Sản phẩm trong giỏ hàng"
"Abandoned Cart","Giỏ hàng bị bỏ rơi"
"Search Terms","Cụm từ tìm kiếm"
"By Customers","Bởi khách hàng"
"By Products","Bởi sản phẩm"
"Refunds","Hoàn lại tiền"
"Order Total","Tổng đơn đặt hàng"
"Order Count","Thứ tự đơn hàng"
"New","Mới"
"Ordered","Đã đặt hàng"
"Recently Viewed/Compared Products","Mới xem/so sánh sản phẩm"
"Show for Current","Hiển thị đối với hiện tại"
"Default Recently Viewed Products Count","Mặc định tính số lượng sản phẩm mới xem"
"Default Recently Compared Products Count","Thứ tự sản phẩm so sánh gần đây Mặc định"
"Dashboard","Bảng điều khiển"
"Year-To-Date Starts","Bắt đầu năm đến ngày"
"Current Month Starts","Bắt đầu Tháng hiện tại"
"Select day of the month.","Chọn ngày tháng."
"Average","Trung bình"
"Stock Quantity","Số lượng trong kho"
"Ordered Quantity","Số lượng đặt hàng"
"The report displays the top 5 most viewed products for each interval.","Báo cáo hiện top 5 sản phẩm xem nhiều nhất cho mỗi khoảng thời gian."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Để báo cáo chính xác, hãy chắc chắn để làm mới dòng đời số liệu thống kê mỗi khi bạn thay đổi múi giờ."
"Guest","Khách"
"Action","Thao tác"
"Average (Approved)","Trung bình (chấp nhận)"
"Last Review","Nhận xét cuối cùng"
"Order Created","Tạo đơn hàng"
"Order Updated","Cập Nhật đơn hàng"
"The Order Updated report is created in real time and does not require a refresh.","Hàng Cập Nhật báo cáo được tạo ra trong thời gian thực và không yêu cầu làm mới."
"Last Invoice Created Date","Ngày Cập Nhật Hóa đơn cuối cùng"
"Last Credit Memo Created Date","Ngày tạo ghi nhớ tín dụng cuối cùng"
"First Invoice Created Date","Ngày cập nhật Hóa đơn đầu tiên"
"Refresh Lifetime Statistics","Làm mới đời sống số liệu thống kê"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Bạn có chắc bạn muốn làm mới đời sống số liệu thống kê ngay bây giờ? Thao tác này có thể làm chậm trải nghiệm mua sắm của khách hàng."
"Refresh Statistics for the Last Day","Làm mới các số liệu thống kê cho ngày cuối cùng"
"Are you sure you want to refresh statistics for the last day?","Bạn có chắc bạn muốn làm mới các số liệu thống kê cho ngày cuối cùng?"
"Report","Báo cáo"
"Description","Mô tả"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
