"New Accounts","Novas contas"
"Items in Cart","Artigos no carrinho"
"Products in carts","Produtos em carrinhos"
"Carts","Carrinhos"
"Name","Nome"
"Wish Lists","Listas de Desejos"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Relatórios"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Avaliação"
"Reviews","Avaliações"
"Customers Report","Customers Report"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Avaliação do Produto"
"Details","Detalhes"
"Sales","Vendas"
"Bestsellers Report","Bestsellers Report"
"Coupons","Cupões"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Sales Report"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Tax Report"
"Shopping Cart","Carrinho de compras"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Carrinhos de compras de cliente"
"Products in Carts","Produtos em carrinhos"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Não conseguimos recarregar as estatísticas desde sempre."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","Não foi possível recarregar as estatísticas recentes."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","Best-sellers"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","Erro"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Show Report For:"
"All Websites","Todos os Sites"
"Recently Viewed","Recentemente visto"
"Add to Cart","Adicionar ao carrinho"
"In stock","Em stock"
"Out of stock","Esgotado"
"Add to Wish List","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar à Comparação"
"Recently Compared","Comparados Recentemente"
"Learn More","Saiba Mais"
"Marketing","Marketing"
"Products in Cart","Produtos no carrinho"
"Abandoned Cart","Abandoned Cart"
"Search Terms","Termos de Pesquisa"
"By Customers","Por clientes"
"By Products","Por produtos"
"Refunds","Reembolsos"
"Order Total","Total da encomenda"
"Order Count","Order Count"
"New","Novo"
"Ordered","Encomendada"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Dashboard","Painel de Administração"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"Average","Média"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Quantidade Encomendada"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para ter relatórios precisos, certifique-se que recarrega as estatísticas desde sempre por cada vez que alterar o fuso horário."
"Guest","Convidado"
"Action","Ação"
"Average (Approved)","Média (Aprovada)"
"Last Review","Último Comentário"
"Order Created","Encomenda Criada"
"Order Updated","Encomenda Atualizada"
"The Order Updated report is created in real time and does not require a refresh.","O relatório de Encomenda Atualizada é criado em realtime e não precisa de ser recarregado."
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"Refresh Lifetime Statistics","Recarregar Estatísticas Desde Sempre"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Tem a certeza que pretende recarregar as estatísticas desde sempre? Esta operação pode tornar a experiência de compras dos seus clientes mais lenta."
"Refresh Statistics for the Last Day","Recarregar Estatísticas para o Último Dia"
"Are you sure you want to refresh statistics for the last day?","Tem a certeza que pretende recarregar as estatísticas para o último dia?"
"Report","Relatório"
"Description","Descrição"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
