"New Accounts","Jauni konti"
"Paid","Paid"
"Refunded","Atmaksāts"
"Sales Tax","Sales Tax"
"Tax","Nodokļi"
"Sales Shipping","Sales Shipping"
"Shipping","Piegāde"
"Canceled","Atcelts"
"Total Shipped Report","Visu piegāžu atskaite"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Pasūtījumu nodikļu atskaite šķirota pēc nodokļu likmes"
"Rate","Likme"
"Tax Amount","Tax Amount"
"Abandoned carts","Pamestie grozi"
"Email","E-pasts"
"Products","Produkti"
"Quantity","Skaits"
"Applied Coupon","Piemērots kupons"
"Updated","Atjaunināts"
"IP Address","IP adrese"
"Customers","Klienti"
"ID","ID"
"First Name","Vārds"
"Last Name","Uzvārds"
"Items in Cart","Preces grozā"
"Products in carts","Produkti grozos"
"Carts","Grozi"
"Name","Vārds"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Atskaites"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Klieti pēc pasūtījumu skaita"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Mazs krājums"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Pārskats"
"Reviews","Pārskati"
"Customers Report","Klientu atskaites"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Produktu atsauksmes"
"Details","Papildus informācija"
"Sales","Pārdošana"
"Bestsellers Report","Bestsellers Report"
"Coupons","Kuponi"
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Pārdošanas atskaite"
"Orders Report","Orders Report"
"Shipping Report","Shipping Report"
"Tax Report","Tax Report"
"Shopping Cart","Grozs"
"Abandoned Carts","Pamestie grozi"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Statistics","Statistika"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Nevar atjaunot dzīves ilguma statistiku."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Bestsellers","Visvairāk pārdotie"
"Most Viewed Products Report","Most Viewed Products Report"
"Error","Kļūda"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have Wish List: %1","Customers that have Wish List: %1"
"Number of Wish Lists: %1","Number of Wish Lists: %1"
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1"
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1"
"Number of Wish List referrals: %1","Number of Wish List referrals: %1"
"Number of Wish List conversions: %1","Number of Wish List conversions: %1"
"Show Report For:","Show Report For:"
"All Websites","Visas lapas"
"Recently Viewed","Nesen apskatītie"
"Add to Cart","Pievienot grozam"
"In stock","Noliktavā"
"Out of stock","Nav pieejams"
"Add to Wish List","Pievienot vēlmju sarakstam"
"Add to Compare","Pievienot salīdzināšanai"
"Recently Compared","Nesen salīdzinātie"
"Learn More","Uzzināt vairāk"
"Marketing","Mārketings"
"Products in Cart","Products in Cart"
"Abandoned Cart","Abandoned Cart"
"Search Terms","Meklētie atslēgvārdi"
"By Customers","By Customers"
"By Products","By Products"
"Refunds","Atmaksas"
"Order Total","Pirkuma summa"
"Order Count","Order Count"
"New","Jauns"
"Ordered","Pasūtīts"
"Recently Viewed/Compared Products","Nesen apskatītie/salīdzinātie produkti"
"Show for Current","Rādīt patreizējam"
"Default Recently Viewed Products Count","Noklusētais nesen apskatīto produktu skaits"
"Default Recently Compared Products Count","Noklusētais nesen salīdzināto produktu skaits"
"Dashboard","Infopanelis"
"Year-To-Date Starts","Gada sākums līdz konkrētajam datumam sākas"
"Current Month Starts","Patreizējais mēnesis sākas"
"Select day of the month.","Izvēlieties mēneša dienu."
"Average","Vidēji"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Ordered Quantity"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
"Guest","Viesis"
"Action","Darbība"
"Average (Approved)","Average (Approved)"
"Last Review","Pēdējā atsauksme"
"Order Created","Order Created"
"Order Updated","Order Updated"
"The Order Updated report is created in real time and does not require a refresh.","The Order Updated report is created in real time and does not require a refresh."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Atjaunot visa darbības laika statistiku"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience."
"Refresh Statistics for the Last Day","Atjaunot pēdējās dienas statistiku"
"Are you sure you want to refresh statistics for the last day?","Are you sure you want to refresh statistics for the last day?"
"Report","Atskaite"
"Description","Apraksts"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
