"New Accounts","Нови потребители"
"Sales Shipping","Продажби доставка"
"Shipping","Доставка"
"Canceled","Отказан"
"Total Shipped Report","Общо изпратени доклад"
"Carrier/Method","Превозвач/метод"
"Total Sales Shipping","Общо продажби доставка"
"Total Shipping","Общо доставка"
"Order Taxes Report Grouped by Tax Rate","Отчет заданъци на поръчки, групирани по данъчна ставка"
"Rate","Оцени"
"Tax Amount","Сума ДДС"
"Abandoned carts","Изоставени колички"
"Email","Имейл"
"Products","Продукти"
"Quantity","Количество: "
"Applied Coupon","Приложен купон"
"Updated","Актуализиран"
"IP Address","IP адрес"
"Customers","Клиенти"
"ID","ИД"
"First Name","Име"
"Last Name","Фамилия"
"Items in Cart","Артикули в количката"
"Products in carts","Продукти в колички"
"Carts","Колички"
"Name","Име"
"Wish Lists","Списъци с желани продукти"
"Wish List Purchase","Покупка от Списък с желани продукти"
"Wish List vs. Regular Order","Списък с желани продукти в сравнение с Текущи поръчки"
"Times Deleted","Пъти изтрити"
"Index type is not valid","Индекс тип не е валиден"
"Reports","Доклади"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Доклад за нови профили"
"Customers by Number of Orders","Клиенти по брой поръчки"
"Order Count Report","Доклад брой поръчки"
"Order Total Report","Доклад обща стойност поръчка"
"Downloads Report","Изтегляне на отчет"
"Low Stock","Ограничено количество"
"Low Stock Report","Доклад ограничено количество"
"Ordered Products Report","Доклад поръчани продукти"
"Products Most Viewed Report","Доклад най преглеждани продукти"
"Product Views Report","Доклад прегледи на продукти"
"An error occurred while showing the product views report. Please review the log and try again.","Възникна грешка при показване на доклад за преглед на продукти. Прегледайте регистрационния файл и опитайте отново."
"Review","Преглед"
"Reviews","Прегледи"
"Customers Report","Доклад клиенти"
"Customer Reviews Report","Доклад отзиви от клиенти"
"Product Reviews Report","Доклад отзиви за продукти"
"Product Reviews","Отзиви за продукти"
"Details","Детайли"
"Sales","Продажби"
"Bestsellers Report","Бестселъри доклад"
"Coupons","Купони"
"Coupons Report","Доклад за купони"
"Invoice Report","Доклад фактура"
"Refunds Report","Възстановяванията доклад"
"Sales Report","Доклад продажби"
"Orders Report","Отчет за поръчки"
"Shipping Report","Доклад доставка"
"Tax Report","Доклад данък"
"Shopping Cart","Количка"
"Abandoned Carts","Изоставени колички"
"Customer Shopping Carts","Клиентски колички"
"Products in Carts","Продукти в колички"
"Statistics","Статистики"
"No report code is specified.","Няма указан код за отчет."
"You refreshed lifetime statistics.","Обновен живот статистика."
"We can't refresh lifetime statistics.","Не можем да обновим цялата статистика."
"Recent statistics have been updated.","Последните статистически данни са актуализирани."
"We can't refresh recent statistics.","Не може да обнови последните статистически данни."
"The product type filter specified is incorrect.","Зададен е неправилен тип продуктов филтър."
"Order Taxes Report Grouped by Tax Rates","Отчет за данъци на поръчки, групирани по данъчни ставки"
"Total Invoiced VS Paid Report","Общо фактурирано сравнено с  платени доклад"
"Promotion Coupons Usage Report","Отчет за употреба на промоциални купони"
"Bestsellers","Най-продавани"
"Most Viewed Products Report","Най-преглеждани продукти"
"Error","Грешка"
"Show By","Покажи по"
"Select Date","Избор на дата"
"Customers that have Wish List: %1","Клиенти, които имат Списък с желани продукти: %1"
"Number of Wish Lists: %1","Брой на списъци с желани продукти: %1"
"Number of items bought from a Wish List: %1","Брой елементи, закупени от Списък с желани продукти: %1"
"Number of times Wish Lists have been shared (emailed): %1","Брой пъти списъци с желани продукти са били споделени (емайл): %1"
"Number of Wish List referrals: %1","Брой избрани референции: %1"
"Number of Wish List conversions: %1","Брой на конвертиранията на Списък с желани продукти: %1"
"Show Report For:","Покажи отчет за:"
"All Websites","Всички уеб сайтове"
"Recently Viewed","Скорошно разгледани"
"Add to Cart","Добави в количка"
"In stock","На склад"
"Out of stock","Изчерпано количество"
"Add to Wish List","Добави към Списък с желани продукти"
"Add to Compare","Добави за сравнение"
"Recently Compared","Наскоро сравнени продукти"
"Learn More","Научете повече"
"Marketing","Маркетинг"
"Products in Cart","Продукти в количката"
"Abandoned Cart","Изоставена количка"
"Search Terms","Термини за търсене"
"By Customers","По клиенти"
"By Products","По продукти"
"Refunds","Възстановявания"
"Order Total","Поръчка общо"
"Order Count","Брой на поръчка"
"New","Нов"
"Ordered","Поръчан"
"Recently Viewed/Compared Products","Наскоро гледани/сравнение продукти"
"Show for Current","Покажи за текущ"
"Default Recently Viewed Products Count","По подразбиране Последно преглеждани продукти брой"
"Default Recently Compared Products Count","По подразбиране наскоро в сравнение продукти брой"
"Dashboard","Табло"
"Year-To-Date Starts","Година към дата започва"
"Current Month Starts","Текущия месец започва"
"Select day of the month.","Изберете ден от месеца."
"Average","Среден"
"Stock Quantity","Количество на склад"
"Ordered Quantity","Поръчано количество"
"The report displays the top 5 most viewed products for each interval.","Отчетът показва Топ 5 най-гледани продукти за всеки интервал."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","За точно отчитане, не забравяйте да обновите живота си статистика, когато променяте часовата зона."
"Guest","Гост"
"Action","Действие"
"Average (Approved)","Средно (одобрен)"
"Last Review","Последен отзив"
"Order Created","Създадена поръчка"
"Order Updated","Актуализирана поръчка"
"The Order Updated report is created in real time and does not require a refresh.","Справката поръчка актуализира в реално време се създава и не изисква обновяване."
"Last Invoice Created Date","Дата на създаване на последната фактура"
"Last Credit Memo Created Date","Последно кредитно известие, дата на създаване"
"First Invoice Created Date","Дата на създаване на първата фактура"
"Refresh Lifetime Statistics","Обнови живота на статистиката"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Сигурни ли сте, че искате да обновите статистика за живота си точно сега? Тази операция може да забави вашите клиенти опит за пазаруване."
"Refresh Statistics for the Last Day","Обнови статистиката за последния ден"
"Are you sure you want to refresh statistics for the last day?","Наистина ли искате да обновите статистиката за последния ден?"
"Report","Доклад"
"Description","Описание"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","Не е намерена системна конфигурация за отчет с тип ""%1"""
"General Options","Общи опции"
"Enable Reports","Разреши докладване"
"If disabled, all report events will be disabled","Ако е деактивирано, всички отчетни събития ще бъдат деактивирани"
"Enable ""Product View"" Report","Активирайте отчета ""Product View"""
"If enabled, will collect statistic of viewed product pages","Ако е активирано, ще събира статистически данни за прегледаните продуктови страници"
"Enable ""Send Product Link To Friend"" Report","Активирайте отчета ""Send Product Link To Friend"""
"If enabled, will collect statistic of product links sent to friend","Ако е активирано, ще събира статистически данни за връзки към продукти, изпратени на приятел"
"Enable ""Add Product To Compare List"" Report","Активирайте отчета ""Add Product To Compare List"""
"If enabled, will collect statistic of products added to Compare List","Ако е активирано, ще събира статистически данни за продуктите, добавени към списъка за сравнение"
"Enable ""Product Added To Cart"" Report","Активирайте отчета ""Product Added To Cart"""
"If enabled, will collect statistic of products added to Cart","Ако е активирано, ще събира статистика за продуктите, добавени в количката"
"Enable ""Product Added To WishList"" Report","Активирайте отчета ""Product Added To WishList"""
"If enabled, will collect statistic of products added to WishList","Ако е активирано, ще събира статистически данни за продуктите, добавени към списъка с желания"
"Enable ""Share WishList"" Report","Активирайте отчета ""Share WishList"""
"If enabled, will collect statistic of shared WishLists","Ако е активирано, ще събира статистика за споделени списъци с желания"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
