"New Accounts","Nové účty"
"Order Taxes Report Grouped by Tax Rate","Přehled DPH objednávek seskupených podle sazby"
"Rate","Sazba"
"Tax Amount","částka DPH"
"Abandoned carts","Opuštěné košíky"
"Email","E-mail"
"Products","Produkty"
"Quantity","Množství"
"Applied Coupon","Použitý kupón"
"Updated","Upraveno"
"IP Address","IP adresa"
"Customers","Zákazníci"
"ID","ID"
"First Name","Jméno"
"Last Name","Příjmení"
"Items in Cart","Položek v košíku"
"Products in carts","Produkty v košíku"
"Carts","Košíky"
"Name","Jméno"
"Wish Lists","Seznam oblíbených"
"Wish List Purchase","Nákupy z oblíbených"
"Wish List vs. Regular Order","Oblíbené vs. normální objednávka"
"Times Deleted","Krát odstraněno"
"Index type is not valid","Typ indexu je neplatný"
"Reports","Přehledy"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Přehled nových účtů"
"Customers by Number of Orders","Zákazníci podle množství objednávek"
"Order Count Report","Přehled počtu objednávek"
"Order Total Report","Přehled obratu"
"Downloads Report","Přehled stažení"
"Low Stock","Nízká zásoba"
"Low Stock Report","Přehled nízkých zásob"
"Ordered Products Report","Přehled objednaných produktů"
"Products Most Viewed Report","Přehled nejsledovanějších produktů"
"Product Views Report","Přehled zobrazení produktů"
"An error occurred while showing the product views report. Please review the log and try again.","Při zobrazení přehledu nastala chyba. Zkontrolujte protokol a zkuste přehled zobrazit znovu."
"Review","Recenze"
"Reviews","Recenze"
"Customers Report","Přehled zákazníků"
"Customer Reviews Report","Přehled recenzí zákazníků"
"Product Reviews Report","Přehled recenzí produktů"
"Product Reviews","Recenze produktu"
"Details","Podrobnosti"
"Sales","Prodej"
"Bestsellers Report","Přehled nejprodávanějších"
"Coupons","Kupóny"
"Coupons Report","Přehled kupónů"
"Invoice Report","Přehled faktur"
"Refunds Report","Přehled vratek"
"Sales Report","Přehled prodeje"
"Orders Report","Přehled objednávek"
"Shipping Report","Přehled zásilek"
"Tax Report","Přehled DPH"
"Shopping Cart","Nákupní košík"
"Abandoned Carts","Opuštěné košíky"
"Customer Shopping Carts","Košíky zákazníků"
"Products in Carts","Produkty v košících"
"Statistics","Statistiky"
"No report code is specified.","Kód přehledu není specifikován."
"You refreshed lifetime statistics.","Celkové statistiky byly obnoveny."
"We can't refresh lifetime statistics.","Celkové statistiky nelze obnovit."
"Recent statistics have been updated.","Poslední statistiky byly obnoveny."
"We can't refresh recent statistics.","Poslední statistiky nelze obnovit."
"The product type filter specified is incorrect.","Zvolený filtr typu produktu je neplatný."
"Order Taxes Report Grouped by Tax Rates","Přehled DPH objednávek seskupených podle sazby"
"Total Invoiced VS Paid Report","Přehled fakturováno vs. uhrazeno"
"Promotion Coupons Usage Report","Přehled použití kupónů"
"Bestsellers","Nejprodávanější"
"Most Viewed Products Report","Přehled nejsledovanějších produktů"
"Error","Chyba"
"Show By","Zobrazit podle"
"Select Date","Vybrat datum"
"Customers that have Wish List: %1","Zákazníci se seznamem oblíbených: %1"
"Number of Wish Lists: %1","Počet seznamů oblíbených: %1"
"Number of items bought from a Wish List: %1","Počet koupených položek ze seznamu oblíbených: %1"
"Number of times Wish Lists have been shared (emailed): %1","Počet sdílení seznamů oblíbených (e-mailem): %1"
"Number of Wish List referrals: %1","Počet odkazů na seznam oblíbených: %1"
"Number of Wish List conversions: %1","Počet konverzí ze seznamů oblíbených: %1"
"Show Report For:","Zobrazit přehled pro:"
"All Websites","Všechny weby"
"Recently Viewed","Nedávno zobrazené"
"Add to Cart","Přidat do košíku"
"In stock","Skladem"
"Out of stock","Není skladem"
"Add to Wish List","Přidat k oblíbeným"
"Add to Compare","Přidat k porovnání"
"Recently Compared","Poslední porovnávané"
"Learn More","Dozvědět se více"
"Marketing","Marketing"
"Products in Cart","Produkty v košíku"
"Abandoned Cart","Opuštěný košík"
"Search Terms","Hledané výrazy"
"By Customers","Podle zákazníků"
"By Products","Podle produktů"
"Refunds","Vratky"
"Order Total","Celkem za"
"Order Count","Počet objednávek"
"New","Nové"
"Ordered","Objednáno"
"Recently Viewed/Compared Products","Poslední zobrazené / porovnávané produkty"
"Show for Current","Zobrazit aktuální"
"Default Recently Viewed Products Count","Výchozí počet pro poslední zobrazené"
"Default Recently Compared Products Count","Výchozí počet pro poslední porovnávané"
"Dashboard","Přehled"
"Year-To-Date Starts","Rok začíná"
"Current Month Starts","Běžný měsíc začíná"
"Select day of the month.","Zvolte den v měsíci."
"Average","Průměr"
"Stock Quantity","Množství"
"Ordered Quantity","Objednané množství"
"The report displays the top 5 most viewed products for each interval.","The report displays the top 5 most viewed products for each interval."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Když je změněno časové pásmo, je nutné kvůli přesnosti údajů vždy aktualizovat celkové statistiky."
"Guest","Host"
"Action","Akce"
"Average (Approved)","Průměr (schváleno)"
"Last Review","Poslední recenze"
"Order Created","Datum objednávky"
"Order Updated","Datum úpravy"
"The Order Updated report is created in real time and does not require a refresh.","Přehled úprav objednávek je vytvářen v reálném čase a nevyžaduje aktualizaci."
"Last Invoice Created Date","Datum vytvoření poslední faktury"
"Last Credit Memo Created Date","Datum vytvoření posledního dobropisu"
"First Invoice Created Date","Datum vytvoření první faktury"
"Refresh Lifetime Statistics","Obnovit celkové statistiky"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Skutečně chcete nyní aktualizovat celkové statistiky? Tato operace může způsobit zpomalení stránek zákazníkům."
"Refresh Statistics for the Last Day","Aktualizovat statistiky k poslednímu dni"
"Are you sure you want to refresh statistics for the last day?","Skutečně chcete aktualizovat statistiky k poslednímu dni?"
"Report","Report"
"Description","Popis"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","General Options"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
