"New Accounts","නව ගිණුම්"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","වාර්තා සිදුවීම් වර්ගය ""%1"" සඳහා පද්ධති වින්‍යාසය හමු නොවේ"
"General Options","සාමාන්ය විකල්ප"
"Enable Reports","වාර්තා සබල කරන්න"
"If disabled, all report events will be disabled","අබල කළහොත්, වාර්තා සිදුවීම් සියල්ල අබල කරනු ලැබේ"
"Enable ""Product View"" Report","""නිෂ්පාදන දර්ශනය"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of viewed product pages","සබල කර ඇත්නම්, බැලූ නිෂ්පාදන පිටු සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Enable ""Send Product Link To Friend"" Report","""නිෂ්පාදන සබැඳිය මිතුරෙකු වෙත යවන්න"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of product links sent to friend","සබල කර ඇත්නම්, මිතුරාට යවන ලද නිෂ්පාදන සබැඳිවල සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Enable ""Add Product To Compare List"" Report","""ලැයිස්තුව සංසන්දනය කිරීමට නිෂ්පාදන එකතු කරන්න"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of products added to Compare List","සබල කර ඇත්නම්, සංසන්දනය කිරීමේ ලැයිස්තුවට එක් කළ නිෂ්පාදනවල සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Enable ""Product Added To Cart"" Report","""කරත්තයට එකතු කරන ලද නිෂ්පාදන"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of products added to Cart","සබල කර ඇත්නම්, Cart වෙත එක් කළ නිෂ්පාදනවල සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Enable ""Product Added To WishList"" Report","""පැතුම් ලැයිස්තුවට එකතු කරන ලද නිෂ්පාදන"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of products added to WishList","සබල කර ඇත්නම්, WishList වෙත එක් කළ නිෂ්පාදනවල සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Enable ""Share WishList"" Report","""Share WishList"" වාර්තාව සබල කරන්න"
"If enabled, will collect statistic of shared WishLists","සබල කර ඇත්නම්, බෙදාගත් පැතුම් ලැයිස්තු වල සංඛ්‍යාලේඛන එකතු කරනු ඇත"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","අවසන් වරට යාවත්කාලීන කළේ: %1. පසුගිය දින <a href=""%2"">සංඛ්‍යාලේඛන</a>නැවුම් කිරීමට, මෙහි <a href=""#2"" data-post=""%3"">ක්ලික් කරන්න</a>."
