"Root","Kök dizin"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Ürün kılavuzundaki sütun seçenekleri listesine bu özniteliği eklemek için ""Evet"" i seçin."
"Store View","Mağaza Görünümü"
"Website","Web sitesi"
"Global","Genel"
"Scope","Kapsam"
"Declare attribute value saving scope.","Özellik değerinin kaydedileceği kapsamı belirtiniz."
"Storefront Properties","Mağazanın Özellikleri"
"Use in Search","Aramada Kullanılsın"
"Visible in Advanced Search","Gelişmiş Aramada Görünür"
"Comparable on Storefront","Vitrinde karşılaştırılabilir"
"Use for Promo Rule Conditions","Promosyon Kuralı Koşullarında Kullan"
"Enable WYSIWYG","WYSIWYG Editörü Aç"
"Allow HTML Tags on Storefront","Vitrinde HTML etiketlerine izin ver"
"Visible on Catalog Pages on Storefront","Vitrindeki Katalog Sayfasında görünür"
"Used in Product Listing","Ürün Listelemede Kullanıldı"
"Depends on design theme.","Tasarım temasına bağlı."
"Used for Sorting in Product Listing","Ürün Listesinde Sıralama için Kullan"
"Media Image","Resim"
"Gallery","Galeri"
"System Properties","Sistem Özellikleri"
"No","Hayır"
"Yes","Evet"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Text","Yazı"
"Varchar","Değişken Uzunluklu Karakter Kümesi"
"Static","Statik"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Integer","Tamsayı"
"Globally Editable","Global Düzenelenebilir"
"Attribute Information","Özellik Bilgisi"
"Properties","Özellikler"
"Manage Labels","Etiketleri Yönet"
"Visible","Görünür"
"Web Site","İnternet sitesi"
"Searchable","Aranabilir"
"Comparable","Karşılaştırılabilir"
"Delete Selected Group","Seçilen Grubu Sil"
"Add New","Yeni Ekle"
"Back","Geri"
"Reset","Sıfırla"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Bu öznitelik kümesinde tüm ürünler silmek üzeresiniz. Bunu yapmak istediğinizden emin misiniz?"
"New Set Name","Yeni Set Adı"
"Edit Attribute Set '%1'","'%1' Özellik kümesini düzenle"
"Empty","Boş"
"Add Attribute","Özellik Ekle"
"Add New Group","Yeni Grup Ekle"
"Add Group","Grup Ekle"
"Edit Attribute Set Name","Öznitelik kümesi adını Düzenle"
"For internal use","Dahili kullanım için"
"Based On","Dayalı"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add Attribute Set","Öznitelik kümesine Ekle"
"Attribute Sets","Özellik Setleri"
"Close Window","Pencereyi Kapat"
"New Product","Yeni Ürün"
"Save & Edit","Kaydet ve Düzenlemeye Devam Et"
"Save & New","Kaydet ve Yeni Ekle"
"Save & Duplicate","Kaydet ve Çoğalt"
"Save & Close","Kaydet ve Kapat"
"Attributes","Öznitelikler"
"Change","Değiştir"
"Advanced Inventory","Gelişmiş Envanter"
"Websites","Websiteleri"
"Products Information","Ürün Bilgisi"
"Create Category","Kategori Oluştur"
"Category Name","Kategori Adı"
"Parent Category","Üst Kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Özel ana kategori yoksa lütfen varsayılan üst kategoriyi kullanın. Kategoriyi istediğiniz zaman <a href=""%1"" target=""_blank""> Ürünler> Kategoriler </a> içinde yeniden atayabilirsiniz."
"Price Alert Subscriptions","Fiyat Uyarısı Abonelikleri"
"Stock Alert Subscriptions","Fiyat Uyarısı Abonelikleri"
"There are no customers for this alert.","Bu alarma bağlı müşteri yok."
"First Name","Adı"
"Last Name","Soyadı"
"Email","E-posta"
"Subscribe Date","Şimdi abone ol"
"Last Notified","Son Bilgilendirme"
"Send Count","Sayımı Gönder"
"New Attribute","Yeni Özellik"
"Type","Tip"
"Attribute Set","Özellik Seti"
"Add New Option","Yeni Seçenek Ekleyin"
"Import Options","Veri Alma Seçenekleri"
"Use Default","Varsayılanı Kullan"
"Import","Veri Al"
"Add New Row","Yeni Satır Ekle"
"Delete Row","Satır Sil"
"Tier Pricing","Kanal Fiyatı"
"Default Price","Varsayılan fiyat"
"All Websites","Tüm Web siteleri"
"ALL GROUPS","TÜM GRUPLAR"
"Add Price","Fiyat Ekle"
"Default Values","Varsayılan Değerler"
"Related Products","İlişkili Ürünler"
"Up-sells","Üst Satışlar"
"Cross-sells","Çapraz Satış"
"Size for %1","%1 için Boyut"
"Watermark File for %1","%1 için Filigran Resim Dosyası"
"Position of Watermark for %1","%1 için Filigran Pozisyonu"
"Name in %1","Ad %1"
"Quantity","Miktar"
"Edit","Düzenle"
"Are you sure?","Emin misiniz?"
"Change Status","Durumu Değiştir"
"Update Attributes","Özellikleri Güncelle"
"start typing to search category","kategori aramak için yazmaya başlayın"
"New Category","Yeni Kategori"
"Images (.gif, .jpg, .png)","Resimler (.gif, .jpg, .png)"
"Add New Images","Yeni Resimler Ekle"
"Inc. Tax","Vergi Dahil"
"Does this have a weight?","Bir ağırlığı var mı?"
"Product","Ürün"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Low Stock Products","Düşük Stoklu Ürünler"
"%1 has reached a quantity of %2.","% 1,% 2 tutarına ulaştı."
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfasına Gidin"
"Subscribe to RSS Feed","RSS Kaynağına Abone Olun"
"Products Comparison List","Ürün Karşılaştırma Listesi"
"N/A","Mevcut Değil"
"AM","Öğleden Önce"
"PM","Öğleden Sonra"
"-- Please Select --","-- Lütfen Seçiniz --"
"None","Hiçbiri"
"New Products from %1","%1'dan yeni ürünler"
"New Products","Yeni Ürünler"
"%1 - Special Products","%1 - Özel Ürünler"
"Click for price","Fiyat için tıklayınız"
"Special Expires On: %1","Özel Fiyat Bitiş Tarihi: %1"
"Price: %1","Fiyat: %1"
"Special Price: %1","Özel Fiyat"
"Special Products","Özel Ürünler"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"You deleted the category.","Kategoriyi sildiniz."
"Something went wrong while trying to delete the category.","Kategoriyi silmeye çalışırken bir şeyler ters gitti."
"Categories","Kategoriler"
"Category is not available for requested store.","İstenen mağaza için kategori mevcut değil."
"There was a category move error.","Bir kategori taşıma hatası vardı."
"You moved the category.","Kategori taşındı."
"Attribute ""%1"" is required.","""% 1"" özniteliği gerekiyor."
"You saved the category.","Kategori kaydedildi."
"Something went wrong while saving the category.","Kategoriyi kaydetme işlemi sırasında bir şeyler ters gitti."
"Please select products for attributes update.","Lütfen ürünler için öznitelikleri güncelleştirme seçin."
"Please make sure to define SKU values for all processed products.","Lütfen tüm işlenmiş ürün SKU değerlerini tanımlamak emin olun."
"A total of %1 record(s) were updated.","Toplam %1 kayıt(lar) güncellendi."
"Something went wrong while updating the product(s) attributes.","Ürün (ler) öznitelikleri güncelleştirilirken bir şeyler ters gitti."
"Unable to add attribute","Özellik eklenemiyor"
"Please, specify attributes","Lütfen, nitelikleri belirtin"
"Catalog","Katalog"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"We can't delete the attribute.","Öznitelik silinemiyor."
"You deleted the product attribute.","Bu ürünün özniteliğini sil."
"We can't find an attribute to delete.","Silmek için bir öznitelik bulunamıyor."
"This attribute no longer exists.","Bu özellik artık mevcut değil."
"This attribute cannot be edited.","Bu özellik düzenlemedi."
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"An attribute set named '%1' already exists.","'%1' adlı bir öznitelik kümesi bulunmaktadır."
"Something went wrong while saving the attribute.","Grup kaydedilirken bir sorun oluştu."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Lütfen bu alanda sadece harf (a-z), rakam (0-9), altçizgi (_) ve diyez (#) kullanınız. İlk karakter kesinlikle harf olmalıdır."
"We can't update the attribute.","Öznitelik güncellenemiyor."
"You saved the product attribute.","Ürün özniteliğini kaydettiniz."
"An attribute with this code already exists.","Bu koda sahip bir öznitelik zaten var."
"An attribute with the same code (%1) already exists.","Aynı koda (% 1) sahip bir özellik zaten var."
"The value of Admin must be unique.","Yönetici değeri benzersiz olmalıdır."
"The value of Admin scope can't be empty.","Yönetici kapsamının değeri boş olamaz."
"You duplicated the product.","Ürün çoğaltıldı."
"This product doesn't exist.","Ürüne kaydına ulaşılamıyor."
"Invalid product id. Should be numeric value greater than 0","Geçersiz ürün kodu. 0'dan büyük sayısal değer olmalıdır"
"Products","Ürünler"
"A group with the same name already exists.","Aynı isme sahip bir grup zaten var."
"Something went wrong while saving this group.","Bu gurubu kaydederken bir hata oluştu."
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt(lar) silindi."
"A total of %1 record(s) have been updated.","Toplam %1 kayıt (lar) güncellendi."
"Something went wrong while updating the product(s) status.","Ürün(lerin) durumları güncellenirken bir hata oluştu."
"Unable to save product","Ürün kaydedilirken bir sorun oluştu"
"You saved the product.","Ürün kaydedildi."
"SKU for product %1 has been changed to %2.","%1 adlı ürün için ürün kodu %2 olarak değiştirildi."
"The image cannot be removed as it has been assigned to the other image role","Başka görüntü rolüne atanmış resim kaldırılamaz"
"New Attribute Set","Yeni Özellik Seti"
"The attribute set has been removed.","Özellik seti silindi."
"We can't delete this set right now.","Şu anda bu kümeyi silemezsiniz."
"New Set","Yeni Set"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"This attribute set no longer exists.","Bu özellik seti kaydına ulaşılamıyor."
"You saved the attribute set.","Ürün özellik seti kaydedildi."
"Something went wrong while saving the attribute set.","Grup kaydedilirken bir sorun oluştu."
"You added product %1 to the comparison list.","%1 karşılaştırma listesine eklendi."
"You cleared the comparison list.","Karşılaştırma listesini temizlediniz."
"Something went wrong  clearing the comparison list.","Karşılaştırma listesi silinirken bir sorun oluştu."
"You removed product %1 from the comparison list.","%1 karşılaştırma listesinden silindi."
"1 item","1 nesne"
"%1 items","%1 ögeler"
"Are you sure you want to remove this item from your Compare Products list?","Bu öğeyi Karşılaştırılan Ürünler listesinden kaldırmak istediğinize emin misiniz?"
"Are you sure you want to remove all items from your Compare Products list?","Karşılaştırılan Ürünler listenizdeki tüm öğeleri kaldırmak istediğinizden emin misiniz?"
"Invalid attribute %1","Geçersiz %1 özniteliği"
"Grid","Izgara"
"List","Liste"
"All","Tümü"
"Bad controller interface for showing product","Ürün göstermek için yanlış kontrolcü arayüzü"
"Product is not loaded","Ürün yüklenemedi"
"Make sure the To Date is later than or the same as the From Date.","Bitiş Tarihi' nin Başlangıç Tarihi' nden daha geç ya da aynı olduğundan emin olun."
"Sorry, but we can't find the new parent category you selected.","Üzgünüz, ama seçtiğiniz yeni ana kategori bulunamıyor."
"Sorry, but we can't find the new category you selected.","Üzgünüz, ama seçtiğiniz yeni kategori bulunamıyor."
"We can't move the category because the parent category name matches the child category name.","Üst kategori adı alt kategori adıyla eşleştiğinden kategoriyi taşıyamıyoruz."
"Something went wrong while getting the image url.","Resim url'sini alırken bir şeyler ters gitti."
"Can't delete root category.","Kök kategorisi silinemiyor."
"The value of attribute ""%1"" must be unique.","""%1"" özelliğinin değeri benzersiz olmalıdır."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Varsayılan Ürün Liste Sıralaması, Kullanılabilir Ürün Liste Sıralamasında bulunmamaktadır."
"No layout updates","Şablon güncelleme yok"
"Products only","Sadece ürünler"
"Static block only","Sadece sabit blok"
"Static block and products","Sabit blok ve ürünler"
"Please select a static block.","Lütfen sabit bir blok seçin."
"frontend_label","başlangıç_etiketi"
"Could not save product ""%1"" with position %2 to category %3","%2 durumu ""%1"" olan ürün %3 kategorisine kaydedilemedi"
"Category does not contain specified product","Kategori belirtilen ürünü içermiyor"
"Could not save product ""%product"" with position %position to category %category","%position durumundaki ""%product"" ürünü %category kategorisine kaydedilemedi"
"Operation do not allow to move a parent category to any of children category","Operasyon, bir üst kategoriyi herhangi bir çocuk kategorisine taşımak için izin vermiyor"
"Could not move category","Kategori taşınamadı"
"Could not save category: %1","Kategori kaydedilemdi: %1"
"Cannot delete category with id %1","%1 kodlu kategori silinemiyor"
"-- Please Select a Category --","--Lütfen bir kategori seçiniz--"
"Grid Only","Sadece Izgara"
"List Only","Sadece Liste"
"Grid (default) / List","Izgara (varsayılan) / Liste"
"List (default) / Grid","Liste (varsayılan) / Izgara"
"Automatic (equalize price ranges)","Otomatik (fiyat aralıklarını eşitle)"
"Automatic (equalize product counts)","Otomatik (ürün sayılarını eşitle)"
"Manual","Elle"
"Fixed","Sabit"
"Percent","Yüzde"
"Discount","İndirim"
"-- Please select --","-- Lütfen Seçiniz --"
"Product Thumbnail Itself","Ürün Küçük Resmi"
"Parent Product Thumbnail","Ana Ürün Küçük Resmi"
"12h AM/PM","12saat ÖÖ/ÖS"
"24h","24saat"
"Stretch","Esnet"
"Tile","Döşe"
"Top/Left","Üst/Sol"
"Top/Right","Üst/Sağ"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Center","Merkez"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 şunu genişletmiyor: \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Dosya(lar) kaydedilirken bir şeyler ters gitti."
"File can not be saved to the destination folder.","Dosya hedef klasöre kaydedilemiyor."
"Unknown EAV indexer type ""%1"".","Bilinmeyen EAV indeksleyici türü ""%1""."
"We can't rebuild the index for an undefined product.","Dizini tanımlanmamış bir ürün için yeniden oluşturamayız."
"Bad value was supplied.","Kötü değer sağlandı."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Düz Katalog modülünde % 2$d filtrelenebilir ve / veya sıralama nitelikleri vardır. Şu anda %1$ d'dir. Lütfen bu modülü kullanmak için filtrelenebilir / sınıflandırılabilir niteliklerin sayısını azaltın"
"Unsupported product type ""%1"".","Desteklenmeyen ürün türü ""%1""."
"Please correct the category.","Lütfen kategoriyi düzeltin."
"Must be category model instance or its id.","Kategori modeli örneği veya kimliği olması gerekir."
"The attribute model is not defined.","Öznitelik modeli tanımlı değil."
"Category","Kategori"
"%1 - %2","%1- %2"
"%1 was not found in algorithms","%1 algoritmalarda bulunamadı"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 şunu genişletmiyor: \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 şunu genişletmiyor: \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtre bir nesne olmalı. Lütfen bir doğru bir filtre ayarlayınız."
"Clear Price","Net Fiyat"
"%1 and above","%1 ve yukarısı"
"The filters must be an array.","Filtreler dizi değişken olmalıdır."
"Product was not registered","Ürün kayıtlı değil"
"Store was not registered","Mağaza kayıtlı değil"
"Group price must be a number greater than 0.","Grup fiyatı sıfırdan büyük olmalıdır."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery dönüştürücü, Giriş Dönüştürücü Arabirimi örneğinde olmalıdır."
"There is no MediaGalleryEntryConverter for given type","Verilen tür için Media Galeri Giriş Dönüştürücü yok"
"Please enter a number 0 or greater in this field.","Lütfen bu alanda 0 veya daha büyük bir sayı girin."
"The value of attribute ""%1"" must be set","""%1"" özelliğinin değeri ayarlanmalıdır"
"SKU length should be %1 characters maximum.","SKU uzunluğu en fazla %1 karakter olmalıdır."
"Please enter a valid number in this field.","Lütfen bu alana geçerli bir numara girin."
"We found a duplicate website, tier price, customer group and quantity.","Yinelenen bir web sitesi, aşamalı fiyat, müşteri grubu ve miktarı bulduk."
"Percentage value must be a number between 0 and 100.","Yüzde değeri 0 ile 100 arasında bir sayı olmalıdır."
"Invalid option id %1","Geçersiz seçenek kodu %1"
"Can not create attribute set based on non product attribute set.","Ürün olmayan özellik kümesine dayalı özellik kümesi oluşturulamıyor."
"Can not create attribute set based on not existing attribute set","Mevcut özellik kümesine dayalı öznitelik kümesi oluşturulamıyor"
"Provided Attribute set non product Attribute set.","Özellik kümesi olmayan ürünün özellik kümesi sağlandı."
"Use config","Yapılandırmayı kullan"
"Enabled","Aktif edildi"
"Disabled","Kapalı"
"Attribute Set already exists.","Öznitelik Kümesi zaten var."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","%1 dosyasını kopyalayamadık. Lütfen mevcut olmayan resimlerle ortamı silip tekrar deneyin."
"The image content is not valid.","Resim içeriği geçerli değil."
"Cannot save product.","Ürün kaydedilemedi."
"Failed to save new media gallery entry.","Yeni Medya Galerisi girdisini kaydetme başarısız oldu."
"There is no image with provided ID.","Kimliği sağlanmış olan bir resim yok."
"Such product doesn't exist","Bu tür bir ürün mevcut değil"
"Such image doesn't exist","Böyle bir resim mevcut değil"
"The image does not exist.","Resim mevcut değil."
"Please correct the image file type.","Lütfen resim dosyası türünü düzeltin."
"We couldn't move this file: %1.","Bu dosyayı taşıyamadık: %1."
"Can't get information about the picture: %1","Resim hakkında bilgi alınamıyor: %1"
"The image could not be resized: ","Resim yeniden boyutlandırılamadı: "
"Some images could not be resized. See log file for details.","Bazı resimler yeniden boyutlandırılamadı. Ayrıntılar için günlük dosyasına bakın."
"The option type to get group instance is incorrect.","Grup örneği almak için seçenek türü yanlış."
"Select type options required values rows.","Seçenek tipi için gerekli değerleri seçiniz."
"ProductSku should be specified","ProductSku belirtilmelidir"
"Could not remove custom option","Özel seçenek kaldırılamadı"
"Please specify date required option(s).","Lütfen tarih için zorunlu seçenek(ler)i belirleyiniz."
"Please specify time required option(s).","Lütfen saat için zorunlu seçenek(ler)i  belirleyiniz."
"Please specify product's required option(s).","Lütfen ürünün gerekli seçeneklerini belirtin()."
"The option instance type in options group is incorrect.","Seçenek grubunda örnek seçenek türü doğru değil."
"The product instance type in options group is incorrect.","Seçenekler grubundaki ürün örneğinin türü yanlış."
"The configuration item option instance in options group is incorrect.","Seçenekler grubundaki yapılandırma öğesi seçeneği yanlış."
"The configuration item instance in options group is incorrect.","Seçenekler grubundaki yapılandırma öğesi örneği yanlış."
"The BuyRequest instance in options group is incorrect.","Seçenekler grubundaki Satın alma örneği yanlış."
"We can't add the product to the cart because of an option validation issue.","Bir seçenek doğrulama sorunu nedeniyle ürün sepete eklenememektedir."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 şunu genişletmiyor: \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Dosya biçimi geçerli değil."
"px.","pix."
"The file '%1' for '%2' has an invalid extension.","'%1' dosyası '%2' için geçersiz bir uzantıya sahip."
"The maximum allowed image size for '%1' is %2x%3 px.","'%1' için izin verilen maksimum resim boyutu %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Yüklediğiniz '%1' dosyası sunucumuz tarafından izin verilen %2 megabayttan daha büyük."
"The file '%1' is empty. Please choose another one","'%1' dosyası boş. Lütfen başka bir tane seçin"
"The file '%1' is invalid. Please choose another one","'%1' dosyası geçersiz. Lütfen başka bir tane seçin"
"File '%1' is not an image.","Dosya '%1' bir resim değil."
"Validation failed. Required options were not filled or the file was not uploaded.","Doğrulama başarısız. Gerekli seçenekler doldurulmadı veya dosya yüklenmedi."
"The file you uploaded is larger than %1 Megabytes allowed by server","Yüklediğiniz dosya, sunucu tarafından izin verilen %1 Megabayttan büyük"
"Option required.","Gerekli seçenek."
"The file is empty. Please choose another one","Dosya boş. Lütfen baka birini seçiniz."
"Some of the selected item options are not currently available.","Seçilen seçeneklerden bazıları şu anda kullanılabilir değil."
"The text is too long.","Metin çok uzun."
"Invalid attribute %fieldName = %fieldValue.","Geçersiz özellik %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","İstenen mağaza bulunamıyor. Satır Kimliği: SKU = %SKU, Mağaza Kimliği: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Geçersiz özellik Maliyeti = %cost. Satır Kimliği: SKU =%SKU, Mağaza Kimliği: %storeId."
"Could not save Prices.","Fiyatlar kaydedilemedi."
"Could not delete Prices","Fiyatlar silinemedi"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","İstenen ürün mevcut değil. Satır Kimliği: SKU =%SKU, Mağaza Kimliği: %storeld, 'den başlayan: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","İstenen mağaza bulunamadı. Satır Kimliği: SKU = %SKU, Mağaza Kimliği: %storeId, Den başlayan: %priceFrom, Fiyatlar: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Geçersiz özellik %label = %priceTo. Satır Kimliği: SKU = %SKU, Mağaza Kimliği: %storeId, Den başlayan: %priceFrom, Fiyatlar: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Geçersiz özellik Fiyatı = %price. Satır Kimliği: SKU = %SKU, Mağaza Kimliği: %storeId, Den başlayan: %priceFrom, Fiyatlar: %priceTo."
"Could not save Tier Prices","Aşamalı fiyatlar kaydedilmedi"
"Could not replace Tier Prices","Aşamalı fiyatlar değiştirilemedi"
"Could not delete Tier Prices","Aşamalı fiyatlar silinemedi"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geçersiz özellik SKU =%SKU. Sıra Kimliği: SKU = %SKU, İnternet sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geçersiz özellik Fiyat = %price. Sıra Kimliği: SKU = %SKU, İnternet sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geçersiz özellik Fiyat Türü = %priceType. Sıra Kimliği: SKU = %SKU, İnternet sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geçersiz özellik Miktar = %qty. Sıra Kimliği: SKU = %SKU, İnternet sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Geçersiz özellik Web Sitesi Kimliği = %web sitesiİd. Satır Kimliği: SKU = %SKU, Web Sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Kopyalanan bir web sitesi, net fiyat, müşteri grubu ve miktar bulduk: Müşteri Grubu = %customerGroup, Web Sitesi Kimliği = %websiteId, Miktar = %qty. Satır Kimliği: SKU = %SKU, Web Sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar:%qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Müşteri Grubunda böyle bir kişi yok = %customerGroup. Satır Kimliği: SKU = %SKU, Web Sitesi Kimliği: %websiteId, Müşteri Grubu: %customerGroup, Miktar: %qty."
"This product doesn't have tier price","Bu ürünün kademeli fiyatı yok"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Ürün, bu tür verilerle grup fiyatına sahip değil: customerGroupId = '%1', website =%2, qty =%3"
"Invalid data provided for tier_price","Net fiyat için geçersiz veri sağlandı"
"Could not save group price","Grup fiyatı kaydedilemedi"
"Please provide valid data","Lütfen geçerli veri sağlayın"
"Values of following attributes are invalid: %1","Aşağıdaki özelliklerin değerleri geçersiz: %1"
"We can't create writeable directory ""%1"".","Yazılabilir dizin ""%1"" oluşturamıyoruz."
"The file upload failed.","Dosya yükleme başarısız."
"The product has required options.","Ürün seçenekleri gerekiyor."
"Something went wrong while processing the request.","Talep işlenirken bir hata oluştu."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 şunu genişletmiyor: extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 şunu genişletmiyor: \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Tek başına Görünmez"
"Search","Arama"
"Catalog, Search","Katalog, Arama"
"Something went wrong while removing products from the websites.","Web sitelerindeki ürünleri kaldırırken bir hata oluştu."
"Something went wrong while adding products to websites.","Web sitelerine ürün eklerken bir hata oluştu."
"Group with id ""%1"" does not exist.","""%1"" kimliğe sahip grup mevcut değil."
"Attribute group that contains system attributes can not be deleted","Sistem özelliklerini içeren özellik grubu silinemez"
"Collection provider is not registered","Tahsilat tedarikçisi kayıtlı değil"
"Unknown link type: %1","Bilinmeyen bağlantı türü: %1"
"Provided link type ""%1"" does not exist","""%1"" sağlanan bağlantı türü mevcut değil"
"Invalid data provided for linked products","Bağlı ürünler için geçersiz veri sağlandı"
