"Root","මූල"
"Web Site","වෙබ් අඩවිය"
"Searchable","සෙවිය හැකි"
"Comparable","සංසන්දනාත්මකයි"
"Delete Selected Group","තෝරාගත් කණ්ඩායම මකන්න"
"Add New","අලුතින් එකතු කරන්න"
"Back","ආපසු"
"Reset","යළි පිහිටුවන්න"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","ඔබ මෙම උපලක්ෂණ කට්ටලයේ ඇති සියලුම නිෂ්පාදන මකා දැමීමට සූදානම් වේ. ඔබට එය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"New Set Name","නව කට්ටල නම"
"Edit Attribute Set '%1'","උපලක්ෂණ කට්ටලය '%1' සංස්කරණය කරන්න"
"Empty","හිස්"
"Add Attribute","Attribute එකතු කරන්න"
"Add New Group","නව කණ්ඩායමක් එක් කරන්න"
"Add Group","කණ්ඩායම එකතු කරන්න"
"Edit Attribute Set Name","Attribute Set Name සංස්කරණය කරන්න"
"For internal use","අභ්යන්තර භාවිතය සඳහා"
"Based On","මත පදනම්ව"
"Add New Attribute Set","නව ගුණාංග කට්ටලයක් එක් කරන්න"
"Add Attribute Set","ගුණාංග කට්ටලය එක් කරන්න"
"Attribute Sets","ගුණාංග කට්ටල"
"Close Window","කවුළුව වසන්න"
"New Product","නව නිෂ්පාදනය"
"Save & Edit","සුරකින්න සහ සංස්කරණය කරන්න"
"Save & New","සුරකින්න සහ නව"
"Save & Duplicate","සුරකින්න සහ අනුපිටපත් කරන්න"
"Save & Close","සුරකින්න සහ වසන්න"
"Attributes","ගුණාංග"
"Change","වෙනස් කරන්න"
"Advanced Inventory","උසස් ඉන්වෙන්ටරි"
"Websites","වෙබ් අඩවි"
"Products Information","නිෂ්පාදන තොරතුරු"
"Create Category","ප්රවර්ගය සාදන්න"
"Category Name","කාණ්ඩයේ නම"
"Parent Category","මාපිය කාණ්ඩය"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","අභිරුචි මාපිය ප්‍රවර්ග නොමැති නම්, කරුණාකර පෙරනිමි මාපිය ප්‍රවර්ගය භාවිතා කරන්න. ඔබට ඕනෑම වේලාවක නිෂ්පාදන <a href=""%1"" target=""_blank"">> ප්‍රවර්ග</a>තුළ ප්‍රවර්ගය නැවත පැවරිය හැක."
"Price Alert Subscriptions","මිල ඇඟවීම් දායකත්ව"
"Stock Alert Subscriptions","කොටස් ඇඟවීම් දායකත්ව"
"There are no customers for this alert.","මෙම ඇඟවීම සඳහා පාරිභෝගිකයන් නොමැත."
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Email","විද්යුත් තැපෑල"
"Subscribe Date","දායක දිනය"
"Last Notified","අවසන් දැනුම්දීම"
"Send Count","යවන්න ගණන්"
"New Attribute","නව ගුණාංගය"
"Type","ටයිප් කරන්න"
"Attribute Set","ගුණාංග කට්ටලය"
"Add New Option","නව විකල්පය එක් කරන්න"
"Import Options","ආයාත විකල්ප"
"Use Default","පෙරනිමි භාවිතාකරන්න"
"Import","ආනයන"
"Add New Row","නව පේළිය එක් කරන්න"
"Delete Row","පේළිය මකන්න"
"Tier Pricing","ස්ථර මිලකරණය"
"Default Price","පෙරනිමි මිල"
"All Websites","සියලුම වෙබ් අඩවි"
"ALL GROUPS","සියලුම කණ්ඩායම්"
"Add Price","මිල එකතු කරන්න"
"Default Values","පෙරනිමි අගයන්"
"Related Products","ආශ්රිත නිෂ්පාදන"
"Up-sells","ඉහළ-විකුණයි"
"Cross-sells","හරස් විකුණයි"
"Size for %1","%1සඳහා ප්‍රමාණය"
"Watermark File for %1","%1සඳහා දිය සලකුණු ගොනුව"
"Position of Watermark for %1","%1සඳහා දිය සලකුණෙහි පිහිටීම"
"Name in %1","%1හි නම"
"Quantity","ප්රමාණය"
"Edit","සංස්කරණය කරන්න"
"Are you sure?","ඔබට විශ්වාසද?"
"Change Status","තත්ත්වය වෙනස් කරන්න"
"Update Attributes","ගුණාංග යාවත්කාලීන කරන්න"
"start typing to search category","සෙවුම් කාණ්ඩයට ටයිප් කිරීම ආරම්භ කරන්න"
"New Category","නව කාණ්ඩය"
"Images (.gif, .jpg, .png)","පින්තූර (.gif, .jpg, .png)"
"Add New Images","නව පින්තූර එකතු කරන්න"
"Inc. Tax","Inc. බදු"
"Does this have a weight?","මේකේ බරක් තියෙනවද?"
"Product","නිෂ්පාදන"
"Notify Low Stock RSS","අඩු කොටස් RSS වෙත දැනුම් දෙන්න"
"Low Stock Products","අඩු තොග නිෂ්පාදන"
"%1 has reached a quantity of %2.","%1 %2ප්‍රමාණයට ළඟා වී ඇත."
"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"Subscribe to RSS Feed","RSS සංග්‍රහයට දායක වන්න"
"Products Comparison List","නිෂ්පාදන සංසන්දන ලැයිස්තුව"
"N/A","N/A"
"AM","පෙ.ව"
"PM","PM"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"None","කිසිවක් නැත"
"New Products from %1","%1සිට නව නිෂ්පාදන"
"New Products","නව නිෂ්පාදන"
"%1 - Special Products","%1 - විශේෂ නිෂ්පාදන"
"Click for price","මිල සඳහා ක්ලික් කරන්න"
"Special Expires On: %1","විශේෂ කල් ඉකුත් වන්නේ: %1"
"Price: %1","මිල: %1"
"Special Price: %1","විශේෂ මිල: %1"
"Special Products","විශේෂ නිෂ්පාදන"
"Manage Catalog Categories","නාමාවලි කාණ්ඩ කළමනාකරණය කරන්න"
"Manage Categories","කාණ්ඩ කළමනාකරණය කරන්න"
"You deleted the category.","ඔබ ප්‍රවර්ගය මකා ඇත."
"Something went wrong while trying to delete the category.","ප්‍රවර්ගය මකා දැමීමට උත්සාහ කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Categories","වර්ග"
"Category is not available for requested store.","ඉල්ලූ ගබඩාව සඳහා ප්‍රවර්ගය නොමැත."
"There was a category move error.","ප්‍රවර්ග ගෙනයාමේ දෝෂයක් ඇති විය."
"You moved the category.","ඔබ ප්‍රවර්ගය ගෙන ගියා."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","ඔබ ප්‍රවර්ගය සුරකින ලදී."
"Something went wrong while saving the category.","ප්‍රවර්ගය සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"Please select products for attributes update.","කරුණාකර ගුණාංග යාවත්කාලීන කිරීම සඳහා නිෂ්පාදන තෝරන්න."
"Please make sure to define SKU values for all processed products.","සියලුම සැකසූ නිෂ්පාදන සඳහා SKU අගයන් නිර්වචනය කිරීමට කරුණාකර වග බලා ගන්න."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","නිෂ්පාදන(ය) ගුණාංග යාවත්කාලීන කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Unable to add attribute","උපලක්ෂණ එක් කිරීමට නොහැක"
"Please, specify attributes","Please, specify attributes"
"Catalog","නාමාවලිය"
"Manage Product Attributes","නිෂ්පාදන ගුණාංග කළමනාකරණය කරන්න"
"We can't delete the attribute.","අපට ගුණාංගය මකා දැමිය නොහැක."
"You deleted the product attribute.","ඔබ නිෂ්පාදන ගුණාංගය මකා ඇත."
"We can't find an attribute to delete.","අපට මැකීමට උපලක්ෂණයක් සොයාගත නොහැක."
"This attribute no longer exists.","මෙම ගුණාංගය තවදුරටත් නොපවතී."
"This attribute cannot be edited.","මෙම ගුණාංගය සංස්කරණය කළ නොහැක."
"Edit Product Attribute","නිෂ්පාදන ගුණාංගය සංස්කරණය කරන්න"
"An attribute set named '%1' already exists.","'%1' නමින් උපලක්ෂණ කට්ටලයක් දැනටමත් පවතී."
"Something went wrong while saving the attribute.","ගුණාංගය සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","අපට උපලක්ෂණ යාවත්කාලීන කළ නොහැක."
"You saved the product attribute.","ඔබ නිෂ්පාදන ගුණාංගය සුරකින ලදී."
"An attribute with this code already exists.","මෙම කේතය සහිත ගුණාංගයක් දැනටමත් පවතී."
"An attribute with the same code (%1) already exists.","එකම කේතය (%1) සහිත ගුණාංගයක් දැනටමත් පවතී."
"The value of Admin must be unique.","පරිපාලකගේ වටිනාකම අද්විතීය විය යුතුය."
"The value of Admin scope can't be empty.","පරිපාලක විෂය පථයේ අගය හිස් විය නොහැක."
"You duplicated the product.","ඔබ නිෂ්පාදනය අනුපිටපත් කර ඇත."
"This product doesn't exist.","මෙම නිෂ්පාදනය නොපවතී."
"Invalid product id. Should be numeric value greater than 0","වලංගු නොවන නිෂ්පාදන id. සංඛ්‍යාත්මක අගය 0 ට වඩා වැඩි විය යුතුය"
"Products","නිෂ්පාදන"
"A group with the same name already exists.","එකම නම සහිත කණ්ඩායමක් දැනටමත් පවතී."
"Something went wrong while saving this group.","මෙම කණ්ඩායම සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"A total of %1 record(s) have been deleted.","මුළු වාර්තා(ය) %1 ක් මකා ඇත."
"A total of %1 record(s) have been updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කර ඇත."
"Something went wrong while updating the product(s) status.","නිෂ්පාදන(ය) තත්ත්වය යාවත්කාලීන කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Unable to save product","Unable to save product"
"You saved the product.","ඔබ නිෂ්පාදනය සුරැකුවා."
"SKU for product %1 has been changed to %2.","නිෂ්පාදන %1 සඳහා SKU %2ලෙස වෙනස් කර ඇත."
"The image cannot be removed as it has been assigned to the other image role","රූපය අනෙක් රූප භූමිකාවට පවරා ඇති බැවින් එය ඉවත් කළ නොහැක"
"New Attribute Set","නව ගුණාංග කට්ටලය"
"The attribute set has been removed.","උපලක්ෂණ කට්ටලය ඉවත් කර ඇත."
"We can't delete this set right now.","අපට දැන් මෙම කට්ටලය මකා දැමිය නොහැක."
"New Set","නව කට්ටලය"
"Manage Product Sets","නිෂ්පාදන කට්ටල කළමනාකරණය කරන්න"
"Manage Attribute Sets","ගුණාංග කට්ටල කළමනාකරණය කරන්න"
"This attribute set no longer exists.","මෙම ගුණාංග කට්ටලය තවදුරටත් නොපවතී."
"You saved the attribute set.","ඔබ උපලක්ෂණ කට්ටලය සුරකින ලදී."
"Something went wrong while saving the attribute set.","උපලක්ෂණ කට්ටලය සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","ඔබ සැසඳීමේ ලැයිස්තුව හිස් කළා."
"Something went wrong  clearing the comparison list.","සැසඳීමේ ලැයිස්තුව හිස් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"You removed product %1 from the comparison list.","ඔබ නිෂ්පාදන %1 සංසන්දන ලැයිස්තුවෙන් ඉවත් කර ඇත."
"1 item","1 අයිතමය"
"%1 items","අයිතම %1 ක්"
"Are you sure you want to remove this item from your Compare Products list?","ඔබට මෙම අයිතමය ඔබේ සසඳන නිෂ්පාදන ලැයිස්තුවෙන් ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to remove all items from your Compare Products list?","ඔබගේ සසඳන නිෂ්පාදන ලැයිස්තුවෙන් සියලුම අයිතම ඉවත් කිරීමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Invalid attribute %1","වලංගු නොවන ගුණාංගය %1"
"Grid","ජාලකය"
"List","ලැයිස්තුව"
"All","සියලුම"
"Bad controller interface for showing product","නිෂ්පාදනය පෙන්වීම සඳහා නරක පාලක අතුරුමුහුණත"
"Product is not loaded","නිෂ්පාදනය පටවා නැත"
"Make sure the To Date is later than or the same as the From Date.","To Date එක From Date එකට වඩා ප්‍රමාද හෝ ඊට සමාන බව සහතික කර ගන්න."
"Sorry, but we can't find the new parent category you selected.","කණගාටුයි, නමුත් ඔබ තෝරාගත් නව මාපිය ප්‍රවර්ගය අපට සොයාගත නොහැක."
"Sorry, but we can't find the new category you selected.","කණගාටුයි, නමුත් ඔබ තෝරාගත් නව ප්‍රවර්ගය අපට සොයාගත නොහැක."
"We can't move the category because the parent category name matches the child category name.","මාපිය ප්‍රවර්ග නාමය ළමා ප්‍රවර්ග නාමයට ගැළපෙන නිසා අපට ප්‍රවර්ගය ගෙන යා නොහැක."
"Something went wrong while getting the image url.","රූප url ලබා ගැනීමේදී යම් දෙයක් වැරදී ඇත."
"Can't delete root category.","මූල කාණ්ඩය මකා දැමිය නොහැක."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","පෙරනිමි නිෂ්පාදන ලැයිස්තුගත කිරීම ලබා ගත හැකි නිෂ්පාදන ලැයිස්තුගත කිරීමෙහි නොපවතී."
"No layout updates","පිරිසැලසුම් යාවත්කාලීන නැත"
"Products only","නිෂ්පාදන පමණි"
"Static block only","ස්ථිතික බ්ලොක් පමණි"
"Static block and products","ස්ථිතික බ්ලොක් සහ නිෂ්පාදන"
"Please select a static block.","කරුණාකර ස්ථිතික බ්ලොක් එකක් තෝරන්න."
"frontend_label","ඉදිරිපස_ලේබලය"
"Could not save product ""%1"" with position %2 to category %3","""%1"" නිෂ්පාදනය %2 ස්ථානය සමඟ %3කාණ්ඩයට සුරැකීමට නොහැකි විය"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","නිෂ්පාදන ""%product"" %pස්ථානය සමඟින් %cකාණ්ඩයට සුරැකිය නොහැක"
"Operation do not allow to move a parent category to any of children category","මෙහෙයුම කිසිදු ළමා කාණ්ඩයකට මාපිය කාණ්ඩයක් ගෙන යාමට ඉඩ නොදේ"
"Could not move category","ප්‍රවර්ගය ගෙන යාමට නොහැකි විය"
"Could not save category: %1","ප්‍රවර්ගය සුරැකීමට නොහැකි විය: %1"
"Cannot delete category with id %1","id %1සමඟ ප්‍රවර්ගය මකා දැමිය නොහැක"
"-- Please Select a Category --","-- කරුණාකර ප්‍රවර්ගයක් තෝරන්න --"
"Grid Only","ජාලකය පමණි"
"List Only","ලැයිස්තුව පමණි"
"Grid (default) / List","ජාලකය (පෙරනිමි) / ලැයිස්තුව"
"List (default) / Grid","ලැයිස්තුව (පෙරනිමිය) / ජාලකය"
"Automatic (equalize price ranges)","ස්වයංක්‍රීය (මිල පරාසයන් සමාන කරන්න)"
"Automatic (equalize product counts)","ස්වයංක්‍රීය (නිෂ්පාදන ගණන සමාන කරන්න)"
"Manual","අත්පොත"
"Fixed","ස්ථාවර"
"Percent","සියයට"
"Discount","වට්ටම්"
"-- Please select --","-- කරුණාකර තෝරන්න --"
"Product Thumbnail Itself","නිෂ්පාදන සිඟිති රුව එයම"
"Parent Product Thumbnail","මාපිය නිෂ්පාදන සිඟිති රුව"
"12h AM/PM","12h AM/PM"
"24h","පැය 24"
"Stretch","දිගු කරන්න"
"Tile","ටයිල්"
"Top/Left","ඉහළ/වම"
"Top/Right","ඉහළ/දකුණ"
"Bottom/Left","පහළ/වම"
"Bottom/Right","පහළ/දකුණ"
"Center","මධ්යස්ථානය"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 \Magento\Framework\Model\AbstractModel දිගු නොකරයි"
"Something went wrong while saving the file(s).","ගොනුව(ය) සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"File can not be saved to the destination folder.","ගොනුව ගමනාන්ත ෆෝල්ඩරයට සුරැකිය නොහැක."
"Unknown EAV indexer type ""%1"".","නොදන්නා EAV දර්ශක වර්ගය ""%1""."
"We can't rebuild the index for an undefined product.","නිර්වචනය නොකළ නිෂ්පාදනයක් සඳහා අපට දර්ශකය නැවත ගොඩනැගිය නොහැක."
"Bad value was supplied.","නරක වටිනාකමක් සපයා ඇත."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","පැතලි නාමාවලි මොඩියුලයට පෙරීමට හැකි සහ/හෝ වර්ග කළ හැකි උපලක්ෂණ %2$d ක සීමාවක් ඇත. දැනට ඒවායින් %1$d ක් ඇත. කරුණාකර මෙම මොඩියුලය භාවිතා කිරීම සඳහා පෙරහන් කළ හැකි/වර්ග කළ හැකි ගුණාංග ගණන අඩු කරන්න."
"Unsupported product type ""%1"".","සහාය නොදක්වන නිෂ්පාදන වර්ගය ""%1""."
"Please correct the category.","කරුණාකර ප්‍රවර්ගය නිවැරදි කරන්න."
"Must be category model instance or its id.","ප්‍රවර්ග ආදර්ශ අවස්ථාව හෝ එහි id විය යුතුය."
"The attribute model is not defined.","ගුණාංග ආකෘතිය නිර්වචනය කර නොමැත."
"Category","වර්ගය"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface දිගු නොකරයි"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 \Magento\Catalog\Model\Layer\Filter\AbstractFilter දිගු නොකරයි"
"The filter must be an object. Please set the correct filter.","පෙරහන වස්තුවක් විය යුතුය. කරුණාකර නිවැරදි පෙරහන සකසන්න."
"Clear Price","පැහැදිලි මිල"
"%1 and above","%1 සහ ඉහළ"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","කණ්ඩායම් මිල 0 ට වඩා වැඩි අංකයක් විය යුතුය."
"Media Gallery converter should be an instance of EntryConverterInterface.","මාධ්‍ය ගැලරි පරිවර්තකය EntryConverterInterface හි උදාහරණයක් විය යුතුය."
"There is no MediaGalleryEntryConverter for given type","ලබා දී ඇති වර්ගය සඳහා MediaGalleryEntryConverter නොමැත"
"Please enter a number 0 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 හෝ ඊට වැඩි අංකයක් ඇතුළත් කරන්න."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU දිග උපරිම අක්ෂර %1 ක් විය යුතුය."
"Please enter a valid number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ වලංගු අංකයක් ඇතුළත් කරන්න."
"We found a duplicate website, tier price, customer group and quantity.","අපි අනුපිටපත් වෙබ් අඩවියක්, ස්ථර මිල, පාරිභෝගික කණ්ඩායම සහ ප්‍රමාණය සොයා ගත්තෙමු."
"Percentage value must be a number between 0 and 100.","ප්‍රතිශත අගය 0 සහ 100 අතර සංඛ්‍යාවක් විය යුතුය."
"Invalid option id %1","වලංගු නොවන විකල්ප id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","සපයන ලද ගුණාංග කට්ටලය නිෂ්පාදන නොවන ගුණාංග කට්ටලය."
"Use config","config භාවිතා කරන්න"
"Enabled","සබල කර ඇත"
"Disabled","ආබාධිතයි"
"Attribute Set already exists.","උපලක්ෂණ කට්ටලය දැනටමත් පවතී."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","අපට ගොනු %1පිටපත් කිරීමට නොහැකි විය. කරුණාකර නොපවතින පින්තූර සහිත මාධ්‍ය මකා නැවත උත්සාහ කරන්න."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","පින්තූරය පිළිබඳ තොරතුරු ලබා ගත නොහැක: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","කණ්ඩායම් උදාහරණය ලබා ගැනීමේ විකල්ප වර්ගය වැරදියි."
"Select type options required values rows.","වර්ග විකල්ප අවශ්ය අගයන් පේළි තෝරන්න."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","කරුණාකර දිනය අවශ්‍ය විකල්ප(ය) සඳහන් කරන්න."
"Please specify time required option(s).","කරුණාකර කාලය අවශ්‍ය විකල්ප(ය) සඳහන් කරන්න."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","විකල්ප සමූහයේ විකල්ප අවස්ථා වර්ගය වැරදියි."
"The product instance type in options group is incorrect.","විකල්ප සමූහයේ නිෂ්පාදන අවස්ථා වර්ගය වැරදියි."
"The configuration item option instance in options group is incorrect.","විකල්ප සමූහයේ වින්‍යාස අයිතම විකල්ප අවස්ථාව වැරදියි."
"The configuration item instance in options group is incorrect.","විකල්ප සමූහයේ වින්‍යාස අයිතම උදාහරණය වැරදියි."
"The BuyRequest instance in options group is incorrect.","විකල්ප සමූහයේ BuyRequest අවස්ථාව වැරදියි."
"We can't add the product to the cart because of an option validation issue.","විකල්ප වලංගු කිරීමේ ගැටලුවක් නිසා අපට භාණ්ඩය කරත්තයට එක් කළ නොහැක."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 \Magento\Catalog\Model\Product\Option\Type\DefaultType දිගු නොකරයි"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","'%2' සඳහා වන '%1' ගොනුවේ වලංගු නොවන දිගුවක් ඇත."
"The maximum allowed image size for '%1' is %2x%3 px.","'%1' සඳහා අවසර දී ඇති උපරිම රූප ප්‍රමාණය %2x%3 px වේ."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","ඔබ උඩුගත කළ '%1' ගොනුව අපගේ සේවාදායකය විසින් අවසර දී ඇති මෙගාබයිට් %2 ට වඩා විශාලය."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","'%1' ගොනුව වලංගු නොවේ. කරුණාකර වෙනත් එකක් තෝරන්න"
"File '%1' is not an image.","'%1' ගොනුව රූපයක් නොවේ."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","තෝරාගත් සමහර අයිතම විකල්ප දැනට නොමැත."
"The text is too long.","The text is too long."
