"Root","રુટ"
"This attribute set no longer exists.","આ લક્ષણ સેટ હવે અસ્તિત્વમાં નથી."
"You saved the attribute set.","તમે લક્ષણ સમૂહ સાચવ્યો."
"Something went wrong while saving the attribute set.","એટ્રિબ્યુટ સેટને સાચવતી વખતે કંઈક ખોટું થયું."
"You added product %1 to the comparison list.","તમે સરખામણી સૂચિમાં ઉત્પાદન%1 ઉમેર્યું."
"You cleared the comparison list.","તમે સરખામણી સૂચિ સાફ કરી છે."
"Something went wrong  clearing the comparison list.","સરખામણી સૂચિને સાફ કરતી વખતે કંઈક ખોટું થયું."
"You removed product %1 from the comparison list.","તમે સરખામણી સૂચિમાંથી ઉત્પાદન%1 ને દૂર કર્યું છે."
"1 item","1 આઇટમ"
"%1 items","%1 આઇટમ્સ"
"Are you sure you want to remove this item from your Compare Products list?","શું તમે ખરેખર આ વસ્તુને તમારી સરખામણીનાં ઉત્પાદનોની સૂચિમાંથી દૂર કરવા માંગો છો?"
"Are you sure you want to remove all items from your Compare Products list?","શું તમે ખરેખર તમારા ઉત્પાદનોની તુલનાની સૂચિમાંથી બધી આઇટમ્સને દૂર કરવા માંગો છો?"
"Invalid attribute %1","અમાન્ય લક્ષણ%1"
"Grid","ગ્રીડ"
"List","યાદી"
"All","બધા"
"Bad controller interface for showing product","ઉત્પાદન બતાવવા માટે ખરાબ નિયંત્રક ઇન્ટરફેસ"
"Product is not loaded","ઉત્પાદન લોડ થયેલ નથી"
"Make sure the To Date is later than or the same as the From Date.","ખાતરી કરો કે આજની તારીખ પછીની તારીખથી અથવા તારીખની સમાન છે."
"Sorry, but we can't find the new parent category you selected.","માફ કરશો, પરંતુ અમે તમે પસંદ કરેલી નવી પિતૃ કેટેગરી શોધી શકી નથી."
"Sorry, but we can't find the new category you selected.","માફ કરશો, પરંતુ તમે પસંદ કરેલી નવી કેટેગરી અમે શોધી શક્યા નથી."
"We can't move the category because the parent category name matches the child category name.","અમે કેટેગરીમાં સ્થાનાંતરિત કરી શકતા નથી કારણ કે પેરેંટલ કેટેગરીનું નામ બાળ વર્ગના નામ સાથે મેળ ખાય છે."
"Something went wrong while getting the image url.","છબી url મેળવતી વખતે કંઈક ખોટું થયું."
"Can't delete root category.","રુટ કેટેગરી કા deleteી શકાતી નથી."
"The value of attribute ""%1"" must be unique.","""%1"" લક્ષણનું મૂલ્ય અનન્ય હોવું આવશ્યક છે."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","દ્વારા ડિફaultલ્ટ પ્રોડક્ટ લિસ્ટિંગ સortર્ટ ઉપલબ્ધ ઉત્પાદન સૂચિ સ Sર્ટ દ્વારા અસ્તિત્વમાં નથી."
"No layout updates","કોઈ લેઆઉટ અપડેટ્સ નથી"
"Products only","ઉત્પાદનો જ"
"Static block only","ફક્ત સ્થિર અવરોધ"
"Static block and products","સ્થિર બ્લોક અને ઉત્પાદનો"
"Please select a static block.","કૃપા કરી સ્થિર બ્લોક પસંદ કરો."
"frontend_label","અગ્ર_લાબેલ"
"Could not save product ""%1"" with position %2 to category %3","%2 કેટેગરીમાં %3 સાથેના ઉત્પાદન ""%1"" ને સાચવી શક્યા નહીં"
"Category does not contain specified product","વર્ગમાં નિર્દિષ્ટ ઉત્પાદન શામેલ નથી"
"Could not save product ""%product"" with position %position to category %category","સ્થિતિ %position સાથેના ""%product"" ને વર્ગ %category માં સાચવી શક્યા નહીં"
"Operation do not allow to move a parent category to any of children category","Operationપરેશનમાં કોઈ પણ બાળકોની કેટેગરીમાં પેરેંટ કેટેગરીમાં સ્થાનાંતરિત કરવાની મંજૂરી આપતી નથી"
"Could not move category","કેટેગરીમાં ખસેડી શકાયું નથી"
"Could not save category: %1","કેટેગરી સાચવી શકાઈ નથી:%1"
"Cannot delete category with id %1","%1 id સાથે કેટેગરી કા deleteી શકાતી નથી"
"-- Please Select a Category --","- કૃપા કરીને કોઈ કેટેગરી પસંદ કરો -"
"Grid Only","ફક્ત ગ્રીડ"
"List Only","ફક્ત સૂચિ"
"Grid (default) / List","ગ્રીડ (ડિફ defaultલ્ટ) / સૂચિ"
"List (default) / Grid","સૂચિ (ડિફ defaultલ્ટ) / ગ્રીડ"
"Automatic (equalize price ranges)","આપોઆપ (ભાવની શ્રેણી સમાન કરો)"
"Automatic (equalize product counts)","આપોઆપ (ઉત્પાદનની ગણતરી બરાબરી કરો)"
"Manual","મેન્યુઅલ"
"Fixed","સ્થિર"
"Percent","ટકા"
"Discount","ડિસ્કાઉન્ટ"
"-- Please select --","-- કૃપા કરી પસંદ કરો --"
"Product Thumbnail Itself","ઉત્પાદન થંબનેલ સ્વયંને"
"Parent Product Thumbnail","પેરેંટ પ્રોડક્ટ થંબનેલ"
"12h AM/PM","12 એએચ / પીએમ"
"24h","24 ક"
"Stretch","ખેંચાણ"
"Tile","ટાઇલ"
"Top/Left","ટોચ ડાબી"
"Top/Right","ઉપર / જમણે"
"Bottom/Left","નીચે / ડાબે"
"Bottom/Right","નીચે જમણું"
"Center","કેન્દ્ર"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 \Magento\Framework\Model\AbstractModel ને વિસ્તૃત કરતું નથી"
"Something went wrong while saving the file(s).","ફાઇલ (ઓ) ને સાચવતી વખતે કંઈક ખોટું થયું."
"File can not be saved to the destination folder.","ગંતવ્ય ફોલ્ડરમાં ફાઇલ સાચવી શકાતી નથી."
"Unknown EAV indexer type ""%1"".","અજાણ્યો EAV અનુક્રમણિકા પ્રકાર ""%1""."
"We can't rebuild the index for an undefined product.","અમે અપૂર્ણ વ્યાખ્યાયિત ઉત્પાદન માટે અનુક્રમણિકા ફરીથી બનાવી શકતા નથી."
"Bad value was supplied.","ખરાબ મૂલ્ય પૂરું પાડવામાં આવ્યું હતું."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","ફ્લેટ કેટલોગ મોડ્યુલની મર્યાદા %2$d ફિલ્ટિબલ અને / અથવા સ sortર્ટ કરી શકાય તેવું ગુણધર્મો છે. હાલમાં તેમાંના %1$d છે. કૃપા કરીને આ મોડ્યુલનો ઉપયોગ કરવા માટે ફિલ્ટરેબલ / સ sortર્ટબિલીટીસ લક્ષણોની સંખ્યા ઘટાડો."
"Unsupported product type ""%1"".","અસમર્થિત ઉત્પાદન પ્રકાર ""%1""."
"Please correct the category.","કૃપા કરી કેટેગરીમાં સુધારા કરો."
"Must be category model instance or its id.","કેટેગરી મોડેલનું ઉદાહરણ અથવા તેનો ID હોવો આવશ્યક છે."
"The attribute model is not defined.","લક્ષણ મોડેલ વ્યાખ્યાયિત થયેલ નથી."
"Category","કેટેગરી"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 એલ્ગોરિધમ્સમાં મળ્યાં નથી"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 વિસ્તૃત થતું નથી \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 વિસ્તરતું નથી \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","ફિલ્ટર એક .બ્જેક્ટ હોવું આવશ્યક છે. કૃપા કરીને સાચો ફિલ્ટર સેટ કરો."
"Clear Price","સ્પષ્ટ કિંમત"
"%1 and above","%1 અને તેથી વધુ"
"The filters must be an array.","ગાળકો એરે હોવા જોઈએ."
"Product was not registered","ઉત્પાદન નોંધાયેલું નથી"
"Store was not registered","સ્ટોર નોંધાયેલ નથી"
"Group price must be a number greater than 0.","જૂથ કિંમત 0 થી મોટી સંખ્યા હોવી આવશ્યક છે."
"Media Gallery converter should be an instance of EntryConverterInterface.","મીડિયા ગેલેરી કન્વર્ટર એ એન્ટ્રી કન્વર્ટરઇંટરફેસનું ઉદાહરણ હોવું જોઈએ."
"There is no MediaGalleryEntryConverter for given type","આપેલ પ્રકાર માટે કોઈ મીડિયાગેલરીએન્ટ્રી કન્વર્ટર નથી"
"Please enter a number 0 or greater in this field.","કૃપા કરીને આ ક્ષેત્રમાં સંખ્યા 0 અથવા તેથી વધુ દાખલ કરો."
"The value of attribute ""%1"" must be set","""%1"" લક્ષણનું મૂલ્ય સેટ કરવું આવશ્યક છે"
"SKU length should be %1 characters maximum.","એસક્યુ લંબાઈ મહત્તમ %1 અક્ષરોની હોવી જોઈએ."
"Please enter a valid number in this field.","કૃપા કરીને આ ક્ષેત્રમાં માન્ય નંબર દાખલ કરો."
"We found a duplicate website, tier price, customer group and quantity.","અમને એક ડુપ્લિકેટ વેબસાઇટ, સ્તરની કિંમત, ગ્રાહક જૂથ અને જથ્થો મળી."
"Percentage value must be a number between 0 and 100.","ટકાવારી મૂલ્ય 0 અને 100 વચ્ચેની સંખ્યા હોવી આવશ્યક છે."
"Invalid option id %1","અમાન્ય વિકલ્પ ID %1"
"Can not create attribute set based on non product attribute set.","નોન પ્રોડક્ટ એટ્રિબ્યુટ સેટના આધારે એટટ્રિબ્યુટ સેટ બનાવી શકતા નથી."
"Can not create attribute set based on not existing attribute set","અસ્તિત્વમાં નથી એટ્રિબ્યુટ સેટના આધારે એટટ્રિબ્યુટ સેટ બનાવી શકતા નથી"
"Provided Attribute set non product Attribute set.","પ્રદાન એટ્રિબ્યુટ સેટ બિન ઉત્પાદન એટ્રિબ્યુટ સમૂહ."
"Use config","રૂપરેખા વાપરો"
"Enabled","સક્ષમ"
"Disabled","અક્ષમ કરેલ"
"Attribute Set already exists.","એટ્રિબ્યુટ સેટ પહેલેથી અસ્તિત્વમાં છે."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","અમે ફાઇલ %1 ને ક copyપિ કરી શકી નથી. કૃપા કરી અસ્તિત્વમાં ન હોય તેવી છબીઓવાળા મીડિયાને કા mediaી નાખો અને ફરીથી પ્રયાસ કરો."
"The image content is not valid.","છબી સામગ્રી માન્ય નથી."
"Cannot save product.","ઉત્પાદન સાચવી શકાતું નથી."
"Failed to save new media gallery entry.","નવી મીડિયા ગેલેરી પ્રવેશ સાચવવામાં નિષ્ફળ."
"There is no image with provided ID.","પ્રદાન કરેલી ID સાથે કોઈ છબી નથી."
"Such product doesn't exist","આવા ઉત્પાદન અસ્તિત્વમાં નથી"
"Such image doesn't exist","આવી છબી અસ્તિત્વમાં નથી"
"The image does not exist.","છબી અસ્તિત્વમાં નથી."
"Please correct the image file type.","કૃપા કરીને છબી ફાઇલ પ્રકારને ઠીક કરો."
"We couldn't move this file: %1.","અમે આ ફાઇલ ખસેડી શક્યા નથી:%1."
"Can't get information about the picture: %1","ચિત્ર વિશે માહિતી મેળવી શકાતી નથી:%1"
"The image could not be resized: ","છબીનું કદ બદલી શકાયું નહીં: "
"Some images could not be resized. See log file for details.","કેટલીક છબીઓનું કદ બદલી શકાતું નથી. વિગતો માટે લોગ ફાઇલ જુઓ."
"The option type to get group instance is incorrect.","જૂથના દાખલા મેળવવાનો વિકલ્પ પ્રકાર ખોટો છે."
"Select type options required values rows.","આવશ્યક વિકલ્પો પંક્તિઓનાં પ્રકારનાં વિકલ્પો પસંદ કરો."
"ProductSku should be specified","ProductSku ઉલ્લેખિત હોવો જોઈએ"
"Could not remove custom option","કસ્ટમ વિકલ્પ દૂર કરી શકાયું નથી"
"Please specify date required option(s).","કૃપા કરીને તારીખ આવશ્યક વિકલ્પ (ઓ) નો ઉલ્લેખ કરો."
"Please specify time required option(s).","કૃપા કરી સમય જરૂરી વિકલ્પ (ઓ) નો ઉલ્લેખ કરો."
"Please specify product's required option(s).","કૃપા કરીને ઉત્પાદનના આવશ્યક વિકલ્પ (ઓ) નો ઉલ્લેખ કરો."
"The option instance type in options group is incorrect.","વિકલ્પો જૂથમાં વિકલ્પ દાખલો પ્રકાર ખોટો છે."
"The product instance type in options group is incorrect.","વિકલ્પો જૂથમાં ઉત્પાદન દાખલોનો પ્રકાર ખોટો છે."
"The configuration item option instance in options group is incorrect.","વિકલ્પો જૂથમાં ગોઠવણી આઇટમ વિકલ્પ દાખલો ખોટો છે."
"The configuration item instance in options group is incorrect.","વિકલ્પો જૂથમાં ગોઠવણી આઇટમ દાખલો ખોટો છે."
