"Root","ಮೂಲ"
"Not shared with other products.","ಇತರೆ ಉತ್ಪನ್ನಗಳ ಜೊತೆ ಹಂಚಿಕೊಂಡಿಲ್ಲ."
"Input Validation for Store Owner","Input Validation for Store Owner"
"Add to Column Options","Add to Column Options"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Select ""Yes"" to add this attribute to the list of column options in the product grid."
"Use in Filter Options","Use in Filter Options"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Select ""Yes"" to add this attribute to the list of filter options in the product grid."
"Store View","ಮಳಿಗೆ ನೋಟ"
"Website","ಜಾಲ ತಾಣ"
"Global","ಜಾಗತಿಕ"
"Scope","ವ್ಯಾಪ್ತಿ"
"Declare attribute value saving scope.","Declare attribute value saving scope."
"Storefront Properties","Storefront Properties"
"Use in Search","ಹುಡುಕುವಿನಲ್ಲಿ ಬಳಸಿ"
"Visible in Advanced Search","Visible in Advanced Search"
"Comparable on Storefront","Comparable on Storefront"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Allow HTML Tags on Storefront"
"Visible on Catalog Pages on Storefront","Visible on Catalog Pages on Storefront"
"Used in Product Listing","Used in Product Listing"
"Depends on design theme.","Depends on design theme."
"Used for Sorting in Product Listing","Used for Sorting in Product Listing"
"Media Image","ಮಾಧ್ಯಮದ ಚಿತ್ರ"
"Gallery","ಚಿತ್ರಾಂಕಣ"
"System Properties","System Properties"
"No","ಇಲ್ಲ"
"Yes","ಹೌದು"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Text","ಪಠ್ಯ"
"Varchar","Varchar"
"Static","Static"
"Datetime","Datetime"
"Decimal","Decimal"
"Integer","Integer"
"Globally Editable","Globally Editable"
"Attribute Information","Attribute Information"
"Properties","ಗುಣಲಕ್ಷಣಗಳು"
"Manage Labels","ಲೇಬಲ್ ಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Visible","Visible"
"Web Site","ಜಾಲತಾಣ"
"Searchable","Searchable"
"Comparable","ಹೋಲಿಸಬಹುದಾದ"
"Delete Selected Group","ಆರಿಸಿದ ಗುಂಪನ್ನು ಅಳಿಸಿ"
"Add New","ಹೊಸದನ್ನು ಸೇರಿಸಿ"
"Back","ಹಿಂದೆ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","You are about to delete all products in this attribute set. Are you sure you want to do that?"
"New Set Name","New Set Name"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
"Empty","ಖಾಲಿ"
"Add Attribute","ಗುಣವಿಶೇಷವನ್ನು ಸೇರಿಸು"
"Add New Group","ಹೊಸ ಗುಂಪು ಸೇರಿಸಿ"
"Add Group","ಗುಂಪನ್ನು ಸೇರಿಸಿ"
"Edit Attribute Set Name","Edit Attribute Set Name"
"For internal use","ಆಂತರಿಕ ಬಳಕೆಗಾಗಿ"
"Based On","ಆಧಾರದ ಮೇಲೆ"
"Add New Attribute Set","Add New Attribute Set"
"Add Attribute Set","Add Attribute Set"
"Attribute Sets","Attribute Sets"
"Close Window","Close Window"
"New Product","ಹೊಸ ಉತ್ಪನ್ನ"
"Save & Edit","ಉಳಿಸಿ & ಸಂಪಾದಿಸಿ"
"Save & New","Save & New"
"Save & Duplicate","ಉಳಿಸಿ & ನಕಲಿಸಿ"
"Save & Close","ಉಳಿಸಿ & ಮುಚ್ಚಿರಿ"
"Attributes","ಗುಣವಿಶೇಷಗಳು"
"Change","ಬದಲಾಯಿಸಿ"
"Advanced Inventory","Advanced Inventory"
"Websites","ಜಾಲ ತಾಣಗಳು"
"Products Information","ಉತ್ಪನ್ನಗಳ ಮಾಹಿತಿ"
"Create Category","ವಿಭಾಗ ರಚಿಸಿ"
"Category Name","ವಿಭಾಗದ ಹೆಸರು"
"Parent Category","ಮಾತೃ ವಿಭಾಗ"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>."
"Price Alert Subscriptions","Price Alert Subscriptions"
"Stock Alert Subscriptions","Stock Alert Subscriptions"
"There are no customers for this alert.","There are no customers for this alert."
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Email","ಮಿಂಚೆ"
"Subscribe Date","ಚಂದಾದಾರಿಕೆಯ ದಿನಾಂಕ"
"Last Notified","Last Notified"
"Send Count","Send Count"
"New Attribute","ಹೊಸ ಗುಣವಿಶೇಷ"
"Type","ವಿಧ"
"Attribute Set","Attribute Set"
"Add New Option","ಹೊಸ ಆಯ್ಕೆಯನ್ನು ಸೇರಿಸಿ"
"Import Options","ಆಮದು ಆಯ್ಕೆಗಳು"
"Use Default","ನಿಯೋಜಿತವಾದುದನ್ನು ಬಳಸಿ"
"Import","ಆಮದು"
"Add New Row","ಹೊಸ ಸಾಲನ್ನು ಸೇರಿಸಿ"
"Delete Row","ಸಾಲನ್ನು ಅಳಿಸಿ"
"Tier Pricing","Tier Pricing"
"Default Price","ನಿಯೋಜಿತ ದರ"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"ALL GROUPS","ಎಲ್ಲಾ ಗುಂಪುಗಳು"
"Add Price","ದರವನ್ನು ಸೇರಿಸಿ"
"Default Values","ನಿಯೋಜಿತ ನಮೂದುಗಳು"
"Related Products","ಸಂಬಂಧಿತ ಉತ್ಪನ್ನಗಳು"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Size for %1","%1 ಕ್ಕೆ ಗಾತ್ರ"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","%1 ರಲ್ಲಿ ಹೆಸರು"
"Quantity","ಪರಿಮಾಣ"
"Edit","ಸಂಪಾದಿಸಿ"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Change Status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Update Attributes","ಗುಣವಿಶೇಷವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"start typing to search category","start typing to search category"
"New Category","ಹೊಸ ವಿಭಾಗ"
"Images (.gif, .jpg, .png)","ಚಿತ್ರಗಳು (.gif, .jpg, .png)"
"Add New Images","ಹೊಸ ಚಿತ್ರಗಳನ್ನು ಸೇರಿಸಿ"
"Inc. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Does this have a weight?","ಇದು ತೂಕವನ್ನು ಹೊಂದಿದೆಯೇ?"
"Product","ಉತ್ಪನ್ನ"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Low Stock Products","ಕಡಿಮೆ ದಾಸ್ತಾನಿನ ಉತ್ಪನ್ನಗಳು"
"%1 has reached a quantity of %2.","%1 ವು %2 ಸಂಖ್ಯೆಯನ್ನು ತಲುಪಿದೆ."
"Home","ಮುಖಪುಟ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Subscribe to RSS Feed","RSS Feed ಗಳಿಗೆ ಚಂದಾದಾರರಾಗಿ"
"Products Comparison List","ಉತ್ಪನ್ನಗಳ ಹೋಲಿಕೆ ಪಟ್ಟಿ"
"N/A","N/A"
"AM","ಪೂರ್ವಾಹ್ನ"
"PM","ಅಪರಾಹ್ನ"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"New Products from %1","%1 ರಿಂದ ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"New Products","ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"%1 - Special Products","%1 - ವಿಶೇಷ ಉತ್ಪನ್ನಗಳು"
"Click for price","ದರಕ್ಕಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Special Expires On: %1","Special Expires On: %1"
"Price: %1","ದರ:%1"
"Special Price: %1","ವಿಶೇಷ ಬೆಲೆ:%1"
"Special Products","ವಿಶೇಷ ಉತ್ಪನ್ನಗಳು"
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","ವಿಭಾಗಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"You deleted the category.","ನೀವು ವಿಭಾಗವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Something went wrong while trying to delete the category.","ವಿಭಾಗವನ್ನು ಅಳಿಸುವ ಪ್ರಯತ್ನದಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Categories","ವಿಭಾಗಗಳು"
"Category is not available for requested store.","ವಿನಂತಿಸಿದ ಮಳಿಗೆಗೆ ವಿಭಾಗವು ಲಭ್ಯವಿಲ್ಲ."
"There was a category move error.","There was a category move error."
"You moved the category.","ನೀವು ವಿಭಾಗವನ್ನು ಸರಿಸಿದ್ದೀರಿ."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","ನೀವು ವಿಭಾಗವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving the category.","ವಿಭಾಗವನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Please select products for attributes update.","Please select products for attributes update."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","ಉತ್ಪನ್ನದ(ಗಳ) ಗುಣವಿಶೇಷಗಳನ್ನು ಪರಿಷ್ಕರಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Unable to add attribute","ಗುಣವಿಶೇಷವನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ"
"Please, specify attributes","Please, specify attributes"
"Catalog","Catalog"
"Manage Product Attributes","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"We can't delete the attribute.","ನಮಗೆ ಗುಣವಿಶೇಷವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"You deleted the product attribute.","ನೀವು ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","ಈ ಗುಣವಿಶೇಷವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"This attribute cannot be edited.","ಈ ಗುಣವಿಶೇಷವನ್ನು ಸಂಪಾದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Edit Product Attribute","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷವನ್ನು ಸಂಪಾದಿಸಿ"
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","ನಮಗೆ ಗುಣವಿಶೇಷವನ್ನು ಸಂಪಾದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You saved the product attribute.","ನೀವು ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"An attribute with this code already exists.","ಈ ಸಂಕೇತದ ಜೊತೆ ಇರುವ ಗುಣವಿಶೇಷ ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ."
"An attribute with the same code (%1) already exists.","ಇದೇ ಸಂಕೇತದ (%1) ಜೊತೆ ಇರುವ ಗುಣವಿಶೇಷ ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ."
"The value of Admin must be unique.","The value of Admin must be unique."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ನಕಲಿಸಿದ್ದೀರಿ."
"This product doesn't exist.","ಈ ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Invalid product id. Should be numeric value greater than 0","Invalid product id. Should be numeric value greater than 0"
"Products","ಉತ್ಪನ್ನಗಳು"
"A group with the same name already exists.","ಇದೆ ಹೆಸರಿನಲ್ಲಿ ಒಂದು ಗುಂಪು ಈಗಾಗಲೆ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ."
"Something went wrong while saving this group.","ಈ ಗುಂಪನ್ನು ಉಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"A total of %1 record(s) have been deleted.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"A total of %1 record(s) have been updated.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"Something went wrong while updating the product(s) status.","ಉತ್ಪನ್ನದ(ಗಳ) ಸ್ಥಿತಿಯನ್ನು ಪರಿಷ್ಕರಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Unable to save product","Unable to save product"
"You saved the product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"New Attribute Set","New Attribute Set"
"The attribute set has been removed.","The attribute set has been removed."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","New Set"
"Manage Product Sets","Manage Product Sets"
"Manage Attribute Sets","Manage Attribute Sets"
"This attribute set no longer exists.","This attribute set no longer exists."
"You saved the attribute set.","You saved the attribute set."
"Something went wrong while saving the attribute set.","Something went wrong while saving the attribute set."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","ಹೋಲಿಕೆ ಪಟ್ಟಿಯನ್ನು ನೀವು ತೆರವುಗೊಳಿಸಿದ್ದೀರಿ."
"Something went wrong  clearing the comparison list.","ಹೋಲಿಕೆಯ ಪಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"You removed product %1 from the comparison list.","ನೀವು %1 ಉತ್ಪನ್ನವನ್ನು ಹೋಲಿಕೆ ಪಟ್ಟಿಯಿಂದ ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"1 item","1 ವಸ್ತು"
"%1 items","%1 ವಸ್ತುಗಳು"
"Are you sure you want to remove this item from your Compare Products list?","ನೀವು ನಿಮ್ಮ ಉತ್ಪನ್ನದ ಹೋಲಿಕೆ ಪಟ್ಟಿಯಿಂದ ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to remove all items from your Compare Products list?","ನೀವು ನಿಮ್ಮ ಉತ್ಪನ್ನದ ಹೋಲಿಕೆ ಪಟ್ಟಿಯಿಂದ ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Invalid attribute %1","ಅಸಿಂಧುವಾದ ಗುಣವಿಶೇಷ %1"
"Grid","ಗ್ರಿಡ್"
"List","ಪಟ್ಟಿ"
"All","ಎಲ್ಲಾ"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","Product is not loaded"
"Make sure the To Date is later than or the same as the From Date.","ವರೆಗೆ ದಿನಾಂಕ ಇಂದ ದಿನಾಂಕಕ್ಕೆ ಸಮನಾಗಿರುವಂತೆ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರುವಂತೆ ಖಾತ್ರಿಪಡಿಸಿಕೊಳ್ಳಿ."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","ಚಿತ್ರದ url ಅನ್ನು ತೆಗೆದುಕೊಳ್ಳುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Can't delete root category.","ಮೂಲ ವಿಭಾಗವನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","No layout updates"
"Products only","ಉತ್ಪನ್ನಗಳು ಮಾತ್ರ"
"Static block only","Static block only"
"Static block and products","Static block and products"
"Please select a static block.","Please select a static block."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Could not save product ""%1"" with position %2 to category %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","Operation do not allow to move a parent category to any of children category"
"Could not move category","ವಿಭಾಗವನ್ನು ಸರಿಸಲಾಗುವುದಿಲ್ಲ"
"Could not save category: %1","ವಿಭಾಗ %1 ಅನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Cannot delete category with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ವಿಭಾಗವನ್ನು ಉಳಿಸಲಾಗುವುದಿಲ್ಲ"
"-- Please Select a Category --","--ದಯವಿಟ್ಟು ವಿಭಾಗವೊಂದನ್ನು ಆರಿಸಿ--"
"Grid Only","ಗ್ರಿಡ್ ಮಾತ್ರ"
"List Only","ಪಟ್ಟಿ ಮಾತ್ರ"
"Grid (default) / List","ಗ್ರಿಡ್ (ನಿಯೋಜಿತ) / ಪಟ್ಟಿ"
"List (default) / Grid","ಪಟ್ಟಿ (ನಿಯೋಜಿತ) / ಗ್ರಿಡ್"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Manual","Manual"
"Fixed","ಸ್ಥಿರ"
"Percent","ಶತಾಂಶ"
"Discount","ರಿಯಾಯಿತಿ"
"-- Please select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","ಎಳೆಯಿರಿ"
"Tile","Tile"
"Top/Left","ಮೇಲೆ/ಎಡ"
"Top/Right","ಮೇಲೆ/ಬಲ"
"Bottom/Left","ಕೆಳಗೆ/ಎಡ"
"Bottom/Right","ಕೆಳಗೆ/ಬಲ"
"Center","ಮಧ್ಯ"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","ಕಡತ(ಗಳ) ನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","Unknown EAV indexer type ""%1""."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","""%1"" ಬೆಂಬಲಿತವಲ್ಲದ ಉತ್ಪನ್ನದ ವಿಧ."
"Please correct the category.","ವಿಭಾಗವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"Must be category model instance or its id.","Must be category model instance or its id."
"The attribute model is not defined.","The attribute model is not defined."
"Category","ವಿಭಾಗ"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","The filter must be an object. Please set the correct filter."
"Clear Price","ಬೆಲೆಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"%1 and above","%1 ಮತ್ತು ಮೇಲೆ"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","ಗುಂಪಿನ ದರವು 0ಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ಸಂಖ್ಯೆಯಾಗಿರಬೇಕು."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU ಉದ್ದವು ಗರಿಷ್ಟ %1 ಅಕ್ಷರಗಳಾಗಿರಬೇಕು."
"Please enter a valid number in this field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Percentage value must be a number between 0 and 100.","ಶತಾಂಶದ ನಮೂದು 0 ಮತ್ತು 100 ರ ನಡುವೆ ಇರಬೇಕು."
"Invalid option id %1","ಅಸಿಂಧುವಾದ ಆಯ್ಕೆ id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Use config"
"Enabled","ಸಕ್ರಿಯವಾದ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Attribute Set already exists.","Attribute Set already exists."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","ಚಿತ್ರದ ಮಾಹಿತಿಯನ್ನು ಪಡೆಯಲಾಗುವುದಿಲ್ಲ: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Select type options required values rows."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","'%2' ಗಾಗಿ ಇರುವ ಕಡತ '%1' ಅಸಿಂಧುವಾದ ಕಡತವಿಸ್ತರಣೆಯನ್ನು ಹೊಂದಿದೆ."
"The maximum allowed image size for '%1' is %2x%3 px.","'%1' ಕ್ಕೆ ಅನುಮತಿಸಿರುವ ಗರಿಷ್ಟ ಚಿತ್ರದ ಗಾತ್ರ %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
