"Root","根"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","您将要删除此属性集合中的所有产品。你确定你想要这样做?"
"New Set Name","新集的名称"
"Edit Attribute Set '%1'","编辑属性集 '%1'"
"Empty","产品 %1"
"Add Attribute","-- 请选择 --"
"Add New Group","添加新组"
"Add Group","添加组"
"Edit Attribute Set Name","编辑属性集的名称"
"For internal use","供内部使用"
"Based On","请确认网站切换。尚未保存的所有数据将丢失"
"Add New Attribute Set","添加新的属性集"
"Add Attribute Set","添加属性集"
"Attribute Sets","属性集"
"Close Window","关闭窗口"
"New Product","新产品"
"Save & Edit","保存并编辑该产品"
"Save & New","保存并新建产品"
"Save & Duplicate","保存并复制该产品"
"Save & Close","保存并关闭该产品"
"Attributes","属性管理"
"Change","更改"
"Advanced Inventory","高级库存"
"Websites","网站"
"Products Information","产品信息"
"Create Category","创建类别"
"Category Name","类别名称"
"Parent Category","父类别"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","如果没有自定义父类别，请使用默认的父类别。您可以在任何时候在<a href=""%1""target=""_blank""> 产品 > 类别</a>重新分配类别。"
"Price Alert Subscriptions","价格警报订阅"
"Stock Alert Subscriptions","股票的警报订阅"
"There are no customers for this alert.","没有客户此警报。"
"First Name","名"
"Last Name","姓"
"Email","邮箱"
"Subscribe Date","订阅日期"
"Last Notified","最后通知"
"Send Count","发送计数"
"New Attribute","新的属性"
"Type","类型"
"Attribute Set","属性集"
"Add New Option","添加新选项"
"Import Options","导入选项"
"Use Default","使用默认"
"Import","导入"
"Add New Row","添加新行"
"Delete Row","删除行"
"Tier Pricing","层级价格"
"Default Price","默认价格"
"All Websites","所有网站"
"ALL GROUPS","所有分组"
"Add Price","添加价格"
"Default Values","默认值"
"Related Products","超售"
"Up-sells","优先推荐销售"
"Cross-sells","购物车推荐销售"
"Size for %1","大小为 %1 的"
"Watermark File for %1","%1 的水印文件"
"Position of Watermark for %1","%1 的水印的位置"
"Name in %1","在 %1 的名字"
"Quantity","数量"
"Edit","编辑"
"Are you sure?","您确定吗？"
"Change Status","更改状态"
"Update Attributes","更新属性"
"start typing to search category","开始键入搜索类别"
"New Category","新的类别"
"Images (.gif, .jpg, .png)","图像 （.gif、.jpg、.png）"
"Add New Images","添加新的图像"
"Inc. Tax","公司税"
"Does this have a weight?","这有一个重量?"
"Product","产品"
"Notify Low Stock RSS","低库存RSS通知"
"Low Stock Products","低库存产品"
"%1 has reached a quantity of %2.","%1 已经到达 %2 的一个数量。"
"Home","首页"
"Go to Home Page","前往主页"
"Subscribe to RSS Feed","订阅 Rss"
"Products Comparison List","产品比较列表"
"N/A","N/A"
"AM","上午"
"PM","下午"
"-- Please Select --","-- 请选择 --"
"None","无"
"New Products from %1","%1 的新产品"
"New Products","新产品"
"%1 - Special Products","%1-特殊产品"
"Click for price","单击获取价格"
"Special Expires On: %1","特别到期日期: %1"
"Price: %1","价格: %1"
"Special Price: %1","特价: %1"
"Special Products","特殊产品"
"Manage Catalog Categories","管理目录类别"
"Manage Categories","管理类别"
"You deleted the category.","您删除该类别。"
"Something went wrong while trying to delete the category.","在试图删除该类别时出了错。"
"Categories","分类"
"Category is not available for requested store.","无法为所要求的商店提供类别。"
"There was a category move error.","出现了一个类别移动错误。"
"You moved the category.","你保存的类别。"
"Attribute ""%1"" is required.","""%1""属性是必需的。"
"You saved the category.","你保存的类别。"
"Something went wrong while saving the category.","保存该类别时出现错误。"
"Please select products for attributes update.","请选择产品更新属性。"
"Please make sure to define SKU values for all processed products.","请务必定义所有加工产品的 SKU 值。"
"A total of %1 record(s) were updated.","更新记录 %1"
"Something went wrong while updating the product(s) attributes.","在更新的产品属性时出现错误。"
"Unable to add attribute","无法添加属性"
"Please, specify attributes","请指定属性"
"Catalog","目录"
"Manage Product Attributes","管理产品属性"
"We can't delete the attribute.","我们不能删除该属性。"
"You deleted the product attribute.","你删除的产品属性。"
"We can't find an attribute to delete.","我们找不到要删除的属性。"
"This attribute no longer exists.","该属性不再存在。"
"This attribute cannot be edited.","不能编辑此属性。"
"Edit Product Attribute","编辑产品属性"
"An attribute set named '%1' already exists.","属性集，名为""%1""已经存在。"
"Something went wrong while saving the attribute.","在保存属性时出现了问题。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性代码""%1""不合法。该字段只能使用字母 (a-z)，数字 (0-9) 或下划线(_)，第一个字符应该是字母。"
"We can't update the attribute.","我们不能更新的属性。"
"You saved the product attribute.","你保存的产品属性。"
"An attribute with this code already exists.","这段代码的属性已经存在。"
"An attribute with the same code (%1) already exists.","已经存在具有相同的代码 (%1) 的属性。"
"The value of Admin must be unique.","管理员的值必须是唯一的。"
"The value of Admin scope can't be empty.","管理范围的值不能为空。"
"You duplicated the product.","你复制的产品。"
"This product doesn't exist.","此产品不存在。"
"Invalid product id. Should be numeric value greater than 0","无效的产品 id。应为大于0的数值"
"Products","产品展示"
"A group with the same name already exists.","具有相同名称的组已存在。"
"Something went wrong while saving this group.","保存该组时出现问题。"
"A total of %1 record(s) have been deleted.","已经删除 %1的记录"
"A total of %1 record(s) have been updated.","已经更新 %1的记录"
"Something went wrong while updating the product(s) status.","更新产品状态时出现错误。"
"Unable to save product","无法保存产品"
"You saved the product.","你保存的产品。"
"SKU for product %1 has been changed to %2.","为产品 %1 SKU 已改为 %2。"
"The image cannot be removed as it has been assigned to the other image role","图像不能删除，因为它已被分配给其他图像作用"
"New Attribute Set","新的属性集"
"The attribute set has been removed.","已删除的属性集。"
"We can't delete this set right now.","我们现在不能删除这一套。"
"New Set","新集"
"Manage Product Sets","管理产品集"
"Manage Attribute Sets","管理属性集"
"This attribute set no longer exists.","此属性设置不再存在。"
"You saved the attribute set.","你保存的属性集。"
"Something went wrong while saving the attribute set.","在保存属性时出现了问题。"
"You added product %1 to the comparison list.","你添加产品 %1 到比较列表中。"
"You cleared the comparison list.","你清除了比较列表。"
"Something went wrong  clearing the comparison list.","清除比较列表出错。"
"You removed product %1 from the comparison list.","您从比较列表中删除产品 %1。"
"1 item","产品 %1"
"%1 items","%1 项目"
"Are you sure you want to remove this item from your Compare Products list?","你确定你想要从你比较产品列表中删除此项目？"
"Are you sure you want to remove all items from your Compare Products list?","您确定要从比较产品列表中删除所有项目吗？"
"Invalid attribute %1","无效属性 %1"
"Grid","%1及以上"
"List","列表"
"All","全部"
"Bad controller interface for showing product","坏的控制器接口，用于显示产品"
"Product is not loaded","产品未加载"
"Make sure the To Date is later than or the same as the From Date.","确定日期晚于日期或与日期相同。"
"Sorry, but we can't find the new parent category you selected.","抱歉，但我们找不到您选择的新的父类别。"
"Sorry, but we can't find the new category you selected.","抱歉，但我们找不到您选择的新类别。"
"We can't move the category because the parent category name matches the child category name.","我们无法移动的类别，因为父类别名称匹配的子类别名称。"
"Something went wrong while getting the image url.","获取图像的URL时出错。"
"Can't delete root category.","不能删除根类别。"
"The value of attribute ""%1"" must be unique.","""%1""属性的值必须是唯一的。"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","默认的产品列表排序并不存在于可用的产品清单排序中。"
"No layout updates","没有布局更新"
"Products only","仅产品"
"Static block only","只有静态模块"
"Static block and products","静态模块和产品"
"Please select a static block.","请选择静态模块。"
"frontend_label","前端标签"
"Could not save product ""%1"" with position %2 to category %3","无法保存产品""%1""与位置到类别 %3 %2"
"Category does not contain specified product","类别不包含指定的产品"
"Could not save product ""%product"" with position %position to category %category","无法保存产品""%product""与位置到类别 %category %position"
"Operation do not allow to move a parent category to any of children category","操作不允许将父类别移动到任何子类别
"
"Could not move category","不能移动类别"
"Could not save category: %1","不能保存类别: %1"
"Cannot delete category with id %1","不能删除类别与 id %1"
"-- Please Select a Category --","— — 请选择一个类别 — —"
"Grid Only","仅限于网格"
"List Only","只有列表"
"Grid (default) / List","网格 (默认值) / 列表"
"List (default) / Grid","列表 (默认值) / 网格"
"Automatic (equalize price ranges)","自动 (均衡价格范围)"
"Automatic (equalize product counts)","自动 (均衡产品计数)"
"Manual","手动"
"Fixed","百分之"
"Percent","%"
"Discount","折扣"
"-- Please select --","-- 请选择 --"
"Product Thumbnail Itself","产品缩略图本身"
"Parent Product Thumbnail","父级产品缩略图"
"12h AM/PM","12h 上午/下午"
"24h","24小时"
"Stretch","拉伸"
"Tile","平铺"
"Top/Left","上方/左方"
"Top/Right","上, / 右"
"Bottom/Left","下, / 左"
"Bottom/Right","下方/右方"
"Center","居中"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 并不延伸 \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","在保存文件(s)时出现了问题"
"File can not be saved to the destination folder.","文件不能保存到目标文件夹。"
"Unknown EAV indexer type ""%1"".","未知的 EAV 索引器类型""%1""。"
"We can't rebuild the index for an undefined product.","我们不能重建索引未定义的产品。"
"Bad value was supplied.","提供的值不正确。"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","平面目录模块的 %2$d 过滤和/或可排序属性的限制。目前有 %1$d 人。请减少可筛选排序属性以使用此模块"
"Unsupported product type ""%1"".","不受支持的产品类型""%1""。"
"Please correct the category.","请更正该类别。"
"Must be category model instance or its id.","必须是类别模型实例或其 id。"
"The attribute model is not defined.","未定义的属性模型。"
"Category","类别"
"%1 - %2","1%-%2"
"%1 was not found in algorithms","算法中找不到 %1"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 不延长 \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 并不延伸 \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","筛选器必须是一个对象。请设置正确的筛选器。"
"Clear Price","明确价格"
"%1 and above","%1 及以上"
"The filters must be an array.","过滤器必须是一个数组。"
"Product was not registered","产品未注册"
"Store was not registered","店铺未注册"
"Group price must be a number greater than 0.","组价格必须是大于 0 的数字。"
"Media Gallery converter should be an instance of EntryConverterInterface.","媒体剪辑库转换器应该是 EntryConverterInterface 的一个实例。"
"There is no MediaGalleryEntryConverter for given type","没有给定类型的mediagalleryentry转换器"
"Please enter a number 0 or greater in this field.","请在此字段中输入大于或等于 0 的数。"
"The value of attribute ""%1"" must be set","""%1""属性的值必须设置"
"SKU length should be %1 characters maximum.","SKU 长度应该是最多 %1 个字符。"
"Please enter a valid number in this field.","请在此字段中输入一个有效的数字。"
"We found a duplicate website, tier price, customer group and quantity.","我们发现重复的网站、 层价格、 客户组和数量。"
"Percentage value must be a number between 0 and 100.","百分比值必须是 0 到 100 之间的数字。"
"Invalid option id %1","无效的选项 id %1"
"Can not create attribute set based on non product attribute set.","不能创建基于非产品属性集的属性集。"
"Can not create attribute set based on not existing attribute set","不能根据现有的属性集创建属性集"
"Provided Attribute set non product Attribute set.","提供属性设置非产品属性集。"
"Use config","用户配置"
"Enabled","启动"
"Disabled","禁用"
"Attribute Set already exists.","属性集已存在。"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","我们不能复制文件 %1。请删除媒体与非存在的图像，然后重试。"
"The image content is not valid.","图像内容是无效的。"
"Cannot save product.","无法保存产品。"
"Failed to save new media gallery entry.","无法保存新媒体库条目。"
"There is no image with provided ID.","没有图像提供 id。"
"Such product doesn't exist","这种产品并不存在"
"Such image doesn't exist","这种图像并不存在"
"The image does not exist.","不存在的图像。"
"Please correct the image file type.","请纠正图像文件类型。"
"We couldn't move this file: %1.","我们不能移动这个文件: %1。"
"Can't get information about the picture: %1","无法获取 图片%1的信息"
"The image could not be resized: ","无法调整图像大小： "
"Some images could not be resized. See log file for details.","某些图像无法调整大小。详情请查看日志文件。"
"The option type to get group instance is incorrect.","要获取组实例的选项类型不正确。"
"Select type options required values rows.","选择类型选项所需的值的行。"
"ProductSku should be specified","应指定ProductSku"
"Could not remove custom option","无法删除自定义选项"
"Please specify date required option(s).","请指定日期所需选项。"
"Please specify time required option(s).","请指定所需的时间选项。"
"Please specify product's required option(s).","请指定产品必要的选项。"
"The option instance type in options group is incorrect.","选项组中的选项实例类型不正确。"
"The product instance type in options group is incorrect.","选项组中的产品实例类型不正确。"
"The configuration item option instance in options group is incorrect.","在选项组中的配置项目选项实例是不正确的。"
"The configuration item instance in options group is incorrect.","在选项组中的配置项目实例是不正确的。"
"The BuyRequest instance in options group is incorrect.","在选项组中的购买请求实例是不正确的。"
"We can't add the product to the cart because of an option validation issue.","我们不能因为选项验证问题，将产品添加到购物车。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 并不延伸 \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","文件选项格式无效。"
"px.","全部展开"
"The file '%1' for '%2' has an invalid extension.","'%2' '%1' 的文件具有无效的扩展名。"
"The maximum allowed image size for '%1' is %2x%3 px.","允许的最大图像大小为 '%1' %2x%3 px。"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","'%1' 你上传文件大于我们的服务器所允许的 %2 兆字节。"
"The file '%1' is empty. Please choose another one","'%1' 文件是空的。请选择另一个"
"The file '%1' is invalid. Please choose another one","文件 '%1' 是无效的。请选择另一个"
"File '%1' is not an image.","文件 '%1' 不是图像。"
"Validation failed. Required options were not filled or the file was not uploaded.","验证失败。需要的选项没有填充，或者文件没有上传。"
"The file you uploaded is larger than %1 Megabytes allowed by server","您上传的文件大于服务器允许的% 1兆字节"
"Option required.","所需的选项。"
"The file is empty. Please choose another one","该文件是空的。请选择另一个"
"Some of the selected item options are not currently available.","目前还没有一些选定的项目选项。"
"The text is too long.","文本太长。"
"Invalid attribute %fieldName = %fieldValue.","无效的属性 %fieldName = %fieldValue。"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","找不到请求的存储区。行 ID: SKU = %SKU，存储 ID: %storeId。"
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","无效的属性成本= %成本。行编号：SKU = %的SKU，商店编号：% storeid。"
"Could not save Prices.","不能保存价格。"
"Could not delete Prices","不能删除价格"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求的产品不存在。行 ID: SKU = %SKU，存储 ID: %storeId，价格从： %priceFrom，价格为： %priceTo。"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求的产品不存在。行 ID: SKU = %SKU，存储 ID: %storeId，价格从： %priceFrom，价格为： %priceTo。"
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","无效的属性标签价格= % %。行编号：SKU = %的SKU，商店编号：% storeid，价格：价格：价格%，%的价格。 "
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","无效属性价格= %价格。行编号：SKU = %的SKU，商店编号：% storeid，价格：价格：价格%，%的价格。"
"Could not save Tier Prices","不能保存价格。"
"Could not replace Tier Prices","不能保存价格。"
"Could not delete Tier Prices","不能删除价格"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","无效的属性= %的SKU SKU。ROW ID：SKU SKU的网站= %，ID为websiteid，集团客户：% customergroup，数量：%的数量。 "
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","无效的属性价格 = %price。行 ID: SKU = %SKU，网站 ID: %websiteid，客户群： %customerGroup，数量： %qty。"
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","无效的属性价格类型 = %priceType。行 ID: SKU = %SKU，网站 ID: %websiteid，客户群： %customerGroup，数量： %qty。"
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","无效的属性数量 = %qty。行 ID: SKU = %SKU，网站 ID: %websiteid，客户群： %customerGroup，数量： %qty。"
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","无效的属性网站 ID = %websiteid。行 ID: SKU = %SKU，网站 ID: %websiteid，客户群： %customerGroup，数量： %qty。"
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","我们发现重复的网站、 层价格、 客户组和数量： 客户组 = %customerGroup，网站 ID = %websiteid，数量 = %qty。行 ID: SKU = %SKU，网站 ID: %websiteid，客户群： %customerGroup，数量： %qty。"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","没有这样的实体与客户群= %的客户群体。行编号：SKU = %的SKU，网站ID：% websiteid，客户群：%的客户群体，数量%数量。"
"This product doesn't have tier price","这种产品没有一级价格"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","产品还没有与此类数据组价格: customerGroupId = '%1'，网站 = %2，数量 = %3"
"Invalid data provided for tier_price","为 tier_price 提供的数据无效"
"Could not save group price","无法保存组价格"
"Please provide valid data","请提供有效的数据"
"Values of following attributes are invalid: %1","下列属性的值是无效的: %1"
"We can't create writeable directory ""%1"".","无法创建可写目录 ""%1""。"
"The file upload failed.","文件上载失败。"
"The product has required options.","该产品具有要求的选项。"
"Something went wrong while processing the request.","在处理请求时出现了问题。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 并不延伸 \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 并不延伸 \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","单独不可见"
"Search","搜索"
"Catalog, Search","目录搜索"
"Something went wrong while removing products from the websites.","在从网站上删除产品时出现了一些问题。"
"Something went wrong while adding products to websites.","在向网站添加产品时出现了一些问题。"
"Group with id ""%1"" does not exist.","Id 为""%1""组不存在。"
"Attribute group that contains system attributes can not be deleted","不能删除包含系统属性的属性组"
"Collection provider is not registered","集合提供程序没有注册"
"Unknown link type: %1","未知的链接类型: %1"
"Provided link type ""%1"" does not exist","提供的链接类型""%1""不存在"
"Invalid data provided for linked products","为链接的产品提供的数据无效"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU为 '%1'的产品未链接到SKU为 '%2'的产品。"
"Product %1 doesn't have linked %2 as %3","产品% 1没有% 2的% 3"
"Requested product doesn't exist","要求的产品不存在"
"Product with SKU ""%1"" does not exist","产品与 SKU""%1""不存在"
"Invalid product data: %1","无效的产品数据: %1"
"Database connection error","数据库连接错误"
"Database deadlock found when trying to get lock","试图获取锁时发现数据库死锁"
"Database lock wait timeout exceeded","数据库锁等待超时超过"
"Unable to remove product %1","无法删除产品 %1"
"Requested product does not support images.","要求的产品不支持图像。"
"There are not websites for assign to product","不是分配给产品的网站"
"Could not assign product ""%1"" to websites ""%2""","不能分配给网站""%2""的产品""%1"""
"Could not save product ""%1"" with websites %2","无法保存产品""%1""的网站 %2"
"We cannot determine the field name.","我们不能确定字段名称。"
"Attribute '%1' is locked. %2","属性 '%1' 被锁定。%2"
"Do not change the scope. %1","请不要更改范围。%1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","处理器% 1不执行baseselectprocessorinterface"
"A product type is not defined for the indexer.","产品类型未定义为索引器。"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 不延长 \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","产品与 SKU %1 未链接到产品 SKU %2"
"Multiple Select","多选"
"Dropdown","下拉"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 不延长 \Magento\Framework\Filter\Template"
"As low as","低至"
"test","测试"
"Some text is here.","键入一些文字内容"
"Some exception","有些例外"
"Could not get extension attributes","不能扩展属性"
"message","信息"
"fl","fl"
"Lock wait timeout","锁等待超时"
"123","123"
"Images","图片"
"Select...","选择。。。"
"Advanced Pricing","高级定价"
"Customer Group Price","客户组"
"Customer Group","客户组"
"Special Price From","特殊价格开始于"
"To","至"
"Done","完成"
"Product Alerts","产品警报"
"Alert stock","警报库存"
"Alert Stock","警报库存"
"Alert price","警报价格"
"Alert Price","警报价格"
"Add Selected","添加所选项目"
"Select Attribute","选择属性"
"Create New Attribute","创建新的属性"
"Customizable Options","定制选项"
"Custom options let customers choose the product variations they want.","自定义选项让用户选择他们想要的产品变化。"
"Add Option","添加选项"
"New Option","新的选项"
"Select Product","选择产品"
"Option Title","新选项"
"Add Value","添加值"
"Title","标题"
"Option Type","选项类型"
"Required","必填"
"Price Type","价格类型"
"Max Characters","最大字符数"
"Compatible File Extensions","兼容的文件扩展名"
"Enter separated extensions, like: png, jpg, gif.","输入分隔的扩展名，如：png，jpg，gif。"
"Maximum Image Size","最大图像大小"
"Please leave blank if it is not an image.","如果不是图像，请留空。"
"%1","1%"
"This item has weight","这件物品有重量"
"This item has no weight","这件物品没有重量"
"Set Product as New From","作为新产品开始于"
"Related Products, Up-Sells, and Cross-Sells","相关产品，向上销售和交叉销售"
"Related products are shown to customers in addition to the item the customer is looking at.","客户浏览产品时显示相关产品"
"Add Related Products","添加相关的产品"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","向客户提供一项高级销售项目，作为客户正在查看的产品的价格更高或质量更高的替代产品。"
"Add Up-Sell Products","添加向上销售产品"
"Up-Sell Products","向上销售产品"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","这些“冲动购买”产品出现在购物车旁边，与购物车中的商品交叉销售。"
"Add Cross-Sell Products","添加交叉销售产品"
"Cross-Sell Products","交叉销售产品"
"Add Selected Products","添加选择的产品"
"Remove","删除"
"Thumbnail","缩略图"
"Actions","动作"
"Schedule Update From","计划更新的"
"Product in Websites","网站上的产品"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","

如果你的Magento安装有多个网站，你可以编辑范围使用产品的特定位置。 "
"name","名称"
"Copy Data from","复制数据来源于"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","如果没有自定义父类别，请使用默认的父类别。您可以在任何时候在<a href=""%1""target=""_blank""> 产品 &gt; 类别</a>重新分配类别。"
"This operation can take a long time","此操作可能需要很长时间"
"Collapse All","全部折叠"
"Expand All","全部展开"
"Please confirm site switching. All data that hasn't been saved will be lost.","请确认站点切换。尚未保存的所有数据将都会丢失。"
"Use Default Value","使用默认值"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、 颜色等)"
"Manage Options (Values of Your Attribute)","管理选项 (您的属性值)"
"Is Default","为默认值"
"Sort Option","排序选项"
"Groups","群组"
"Double click on a group to rename it.","双击组重命名它。"
"Unassigned Attributes","未分配的属性"
"A name is required.","名称是必需的。"
"This group contains system attributes. Please move system attributes to another group and try again.","此组包含系统属性。请将系统属性移动到另一个组，然后重试。"
"Please select a node.","

请选择一个节点。 "
"Please enter a new group name.","请输入一个新的组名称。"
"An attribute group named ""/name/"" already exists.","属性组名""/name/""已经存在""。"
"Sorry, we're unable to complete this request.","对不起，我们无法完成这个请求。"
"You can't remove attributes from this attribute set.","你不能移除此属性集的属性。"
"Custom Options","自定义选项"
"This is a required option.","这是必需的选项。"
"The field isn't complete.","该字段不是完整的。"
"Compatible file extensions to upload","要上传的兼容的文件扩展名"
"Maximum image width","最大图像宽度"
"Maximum image height","最大图像的高度"
"Maximum number of characters:","最大字符数:"
"start typing to search template","开始键入搜索模板"
"Product online","产品在线"
"Product offline","产品离线"
"Product online status","产品在线状态"
"Manage Stock","数量增加"
"Qty","数量"
"Out-of-Stock Threshold","缺货的阈值"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Qty Uses Decimals","数量使用小数"
"Backorders","延期交货"
"Notify for Quantity Below","数量通知如下"
"Enable Qty Increments","启用数量增量"
"Qty Increments","数量的增量"
"Stock Availability","库存"
"In Stock","有货"
"Out of Stock","缺货"
"Add Product To Websites","向网站中添加产品"
"Remove Product From Websites","从网站中删除产品"
"To hide an item in catalog or search results, set the status to ""Disabled"".","在目录或搜索结果中隐藏项目，将状态设置为“禁用”。"
"We can't save custom-defined options for bundles with dynamic pricing.","我们无法将定制定义的选项保存在动态定价的捆绑包中。"
