"Root","الجذر"
"Data Type for Saving in Database","نوع البيان للحفظ في قاعدة البيانات"
"Text","نص"
"Varchar","حقل الأحرف المتغير"
"Static","ساكنة"
"Datetime","وقت التاريخ"
"Decimal","عشري"
"Integer","رقم صحيح"
"Globally Editable","تعديل عام"
"Attribute Information","معلومات السمة"
"Properties","خصائص"
"Manage Labels","إدارة التسميات"
"Visible","ظاهر"
"Web Site","موقع"
"Searchable","امكانية البحث"
"Comparable","قابل للمقارنه"
"Delete Selected Group","حذف المجموعة المختارة"
"Add New","إضافة جديد"
"Back","رجوع"
"Reset","اعادة ضبط"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","أنت على وشك حذف كافة المنتجات في تعيين هذه السمة. هل أنت متأكد من أنك تريد القيام بذلك؟"
"New Set Name","اسم المجموعة الجديدة"
"Edit Attribute Set '%1'","تعديل مجموعة السمات '%1'"
"Empty","فارغ"
"Add Attribute","اضافة السمة"
"Add New Group","اضف مجموعة جديدة"
"Add Group","اضافة مجموعة"
"Edit Attribute Set Name","تعديل اسم مجموعة السمات"
"For internal use","للاستخدام الداخلي"
"Based On","اعتمادا على"
"Add New Attribute Set","اضف مجموعة سمات جديد"
"Add Attribute Set","إضافة تعيين السمة"
"Attribute Sets","مجموعة السمة"
"Close Window","أغلق النافذه"
"New Product","منتج جديد"
"Save & Edit","حفظ ومواصلة التعديل"
"Save & New","حفظ و جديد"
"Save & Duplicate","حفظ & انشاء نسخة"
"Save & Close","حفظ وإغلاق"
"Attributes","الصفات"
"Change","تغير"
"Advanced Inventory","المخزون المتقدم"
"Websites","الموقع"
"Products Information","معلومات المنتجات"
"Create Category","إنشاء قسم جديد"
"Category Name","اسم القسم"
"Parent Category","القسم الرئيسي"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","إذا كان لايوجد هناك فئات أصل مخصصة، الرجاء استخدام فئة الأصل الافتراضي. '' يمكنك تعيين الفئة في أي وقت في '' <a href=""%1"" target=""_blank""> منتجات > الفئات</a>."
"Price Alert Subscriptions","اشتراكات تغيير السعر"
"Stock Alert Subscriptions","اشتراكات تنبيه الأسهم"
"There are no customers for this alert.","لا يوجد عملاء لهذا التنبيه."
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Email","البريد الإلكتروني"
"Subscribe Date","اشترك في التاريخ"
"Last Notified","آخر إشعار"
"Send Count","ارسال عدد"
"New Attribute","سمة جديدة"
"Type","النوع"
"Attribute Set","مجموعة السمة"
"Add New Option","اضف خيار جديد"
"Import Options","خيارات الاستيراد"
"Use Default","استخدام افتراضي"
"Import","استيراد"
"Add New Row","إضافة صف جديد"
"Delete Row","حذف صف"
"Tier Pricing","تسعير الطبقة"
"Default Price","سعر افتراضي"
"All Websites","جميع المواقع"
"ALL GROUPS","جميع المجموعات"
"Add Price","إضافة الأسعار"
"Default Values","القيم الافتراضية"
"Related Products","منتجات ذات الصلة"
"Up-sells","حتى يبيع"
"Cross-sells","عبر المبيعات"
"Size for %1","حجم الى %1"
"Watermark File for %1","ملف علامة مائية ل %1"
"Position of Watermark for %1","موضع علامة مائية ل %1"
"Name in %1","اسم في %1"
"Quantity","الكمية"
"Edit","تعديل"
"Are you sure?","هل أنت متأكد؟"
"Change Status","تغيير الحالة"
"Update Attributes","تحديث السمات"
"start typing to search category","ابدأ الكتابة للبحث في الفئة"
"New Category","قسم جديد"
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Add New Images","اضف صور جديدة"
"Inc. Tax","شامل الضريبة"
"Does this have a weight?","هل هذا له وزن؟"
"Product","المنتج"
"Notify Low Stock RSS","اخطار لانخفاض المخزونRSS"
"Low Stock Products","منتجات الأسهم منخفضة"
"%1 has reached a quantity of %2.","%1 وصلت الى كمية من %2."
"Home","الصفحة الرئيسية"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"Subscribe to RSS Feed","اشتراك لتغذية ال RSS "
"Products Comparison List","قائمة مقارنة المنتجات"
"N/A","غير متاح"
"AM","صباحا"
"PM","مساء"
"-- Please Select --","--الرجاء الاختيار-"
"None","لا شئ"
"New Products from %1","منتجات جديدة من %1"
"New Products","المنتجات الجديدة"
"%1 - Special Products","%1 - منتجات بسعر خاص خاصة"
"Click for price","اضغط هنا للأسعار"
"Special Expires On: %1","الخاص ينتهي في: %1"
"Price: %1","السعر: %1"
"Special Price: %1","السعر الخاص: %1"
"Special Products","منتجات خاصة"
"Manage Catalog Categories","ادارة اقسام دليل المنتجات"
"Manage Categories","ادارة الفئات"
"You deleted the category.","لقد قمت بحذف القسم."
"Something went wrong while trying to delete the category.","حدث خطأ أثناء محاولة حذف القسم."
"Categories","فئات"
"Category is not available for requested store.","القسم غير متاح للمتجر المطلوب."
"There was a category move error.","كان هناك خطأ في نقل الفئة %1."
"You moved the category.","لقد قمت بنقل القسم."
"Attribute ""%1"" is required.","صفة ""%1"" مطلوبة."
"You saved the category.","لقد قمت بحفظ القسم."
"Something went wrong while saving the category.","حدث خطأ أثناء حفظ القسم."
"Please select products for attributes update.","الرجاء اختيار المنتجات للصفات المحدثة."
"Please make sure to define SKU values for all processed products.","الرجاء التأكد من تحديد قيم SKU لجميع المنتجات المجهزة."
"A total of %1 record(s) were updated.","عدد %1 سجلات تم تحديثها."
"Something went wrong while updating the product(s) attributes.","حدث خطأ أثناء تحديث سمات المنتج (المنتجات)."
"Unable to add attribute","غير قادر على إضافة سمة"
"Please, specify attributes","من فضلك، حدد سمات"
"Catalog","دليل المنتجات"
"Manage Product Attributes","ادارة منتج السمات"
"We can't delete the attribute.","لا نستطيع حذف السمة."
"You deleted the product attribute.","لقد حذفت سمة هذا المنتج."
"We can't find an attribute to delete.","لا يمكن أن نجد سمة لحذفها."
"This attribute no longer exists.","هذه السمات لم تعد موجوده."
"This attribute cannot be edited.","لا يمكن تعديل هذه السمة."
"Edit Product Attribute","اضافة سمة المنتج"
"An attribute set named '%1' already exists.","السمة بهذا الإسم '%1' موجودة بالفعل."
"Something went wrong while saving the attribute.","حدث خطأ أثناء حفظ السمة."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","رمز السمة ""%1"" غير صحيح. الرجاء استخدام أحرف فقط من (أ-ي)، '' أرقام من (0-9) أو (_) في هذا الحقل، يجب أن يكون الحرف الأول حرف."
"We can't update the attribute.","لا يمكن أن نقوم بتحديث السمة."
"You saved the product attribute.","يمكنك حفظ السمة المنتج."
"An attribute with this code already exists.","سمة بهذا الكود موجودة سابقا."
"An attribute with the same code (%1) already exists.","السمة مع نفس الكود (%1) موجودة بالفعل."
"The value of Admin must be unique.","يجب أن تكون قيمة Admin قيمة فريدة."
"The value of Admin scope can't be empty.","لا يمكن أن تكون قيمة نطاق المشرف فارغة."
"You duplicated the product.","تم تكرار هذا المنتج."
"This product doesn't exist.","هذا المنتج غير موجود."
"Invalid product id. Should be numeric value greater than 0","معرف المنتج غير صالح. يجب أن تكون القيمة الرقمية أكبر من 0"
"Products","المنتجات"
"A group with the same name already exists.","مجموعة بنفس الاسم موجود مسبقاً."
"Something went wrong while saving this group.","حدث خطأ أثناء حفظ هذه المجموعة."
"A total of %1 record(s) have been deleted.","عدد %1 سجلات تم حذفها."
"A total of %1 record(s) have been updated.","عدد %1 سجلات تم تحديثها."
"Something went wrong while updating the product(s) status.","حدث خطأ أثناء تحديث حالة المنتج (المنتجات)."
"Unable to save product","تعذر حفظ المنتح"
"You saved the product.","قمت بحفظ المنتج."
"SKU for product %1 has been changed to %2.","تم تغيير وحدة SKU للمنتج %1 إلى %2."
"The image cannot be removed as it has been assigned to the other image role","لا يمكن إزالة الصورة كما أنه قد تم تعيينها إلى صلاحية صورة أخرى"
"New Attribute Set","مجموعة سمات جديدة"
"The attribute set has been removed.","تمت إزالة تعيين السمة."
"We can't delete this set right now.","لا يمكن حذف هذه المجموعة الآن."
"New Set","مجموعة جديدة"
"Manage Product Sets","اوضاع ادارة المنتج"
"Manage Attribute Sets","ادارة مجموعات السمات"
"This attribute set no longer exists.","هذه السمة المحددة لم تعد موجودة."
"You saved the attribute set.","تم حفظ مجموعة السمات."
"Something went wrong while saving the attribute set.","حدث خطأ أثناء حفظ مجموعة السمات."
"You added product %1 to the comparison list.","لقد اضفت المنتج %1 لقائمة المقارنة."
"You cleared the comparison list.","تم افراغ قائمة المقارنة."
"Something went wrong  clearing the comparison list.","حدث خطأ، تم افراغ قائمة المقارنة."
"You removed product %1 from the comparison list.","لقد ازلت المنتج %1 من قائمة المقارنة."
"1 item","منتج ١"
"%1 items","%1 قطعة"
"Are you sure you want to remove this item from your Compare Products list?","هل أنت متأكد من أنك تريد إزالة هذا الصنف من قائمة مقارنة المنتجات؟"
"Are you sure you want to remove all items from your Compare Products list?","هل أنت متأكد من أنك تريد إزالة كافة الأصناف من قائمة مقارنة المنتجات؟"
"Invalid attribute %1","%1 سمة غير صالحة"
"Grid","الشبكة"
"List","قائمة"
"All","الكل"
"Bad controller interface for showing product","خطأ في واجهة وحدة تحكم لعرض المنتج"
"Product is not loaded","لم يتم تحميل المنتج"
"Make sure the To Date is later than or the same as the From Date.","تأكد من ""أن التاريخ"" يتجاوز أو نفس ""من التاريخ""."
"Sorry, but we can't find the new parent category you selected.","عذراً، ولكن لا يمكن أن نجد الفئة الأصلية الجديد الذي حددته."
"Sorry, but we can't find the new category you selected.","عذراً، لكن لا يمكن أن نجد أن الفئة الجديدة التي قمت بتحديدها."
"We can't move the category because the parent category name matches the child category name.","لا يمكن نقل الفئة لتطابق اسم الفئة الأصلية اسم فئة فرعية."
"Something went wrong while getting the image url.","حدث خطأ أثناء الحصول على عنوان url للصورة."
"Can't delete root category.","لا يمكن حذف فئة الجذر."
"The value of attribute ""%1"" must be unique.","يجب أن تكون قيمة السمة ""%1"" فريدة من نوعها."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","قائمة المنتج الافتراضي الذي تم به الفرز لم يتم إنشاؤه في قائمة المنتجات المتوفرة التي يتم حسبها الفرز."
"No layout updates","لا يوجد تخطيط تحديثات"
"Products only","المنتجات فقط"
"Static block only","تجميد المساحة فقط"
"Static block and products","تجميد المساحة والمنتجات"
"Please select a static block.","الرجاء تحديد كتلة ثابتة."
"frontend_label","وسم الواجهة الامامية"
"Could not save product ""%1"" with position %2 to category %3","تعذر حفظ المنتج ""%1"" مع الموقع %2 للفئة %3"
"Category does not contain specified product","الديلي لا يحتوي على فئة المنتج المحدد"
"Could not save product ""%product"" with position %position to category %category","تعذر حفظ المنتج ""%product"" مع الموقف %position للفئة %category"
"Operation do not allow to move a parent category to any of children category","لا تسمح عملية لنقل فئة أصل إلى أي من فئة الأطفال"
"Could not move category","تعذر نقل الفئة"
"Could not save category: %1","تعذر حفظ الفئة: %1"
"Cannot delete category with id %1","لا يمكن حذف الفئة مع معرف %1"
"-- Please Select a Category --","--الرجاء اختيار فئة-"
"Grid Only","الشبكة فقط"
"List Only","قائمة فقط"
"Grid (default) / List","الشبكه (افتراضي) / قائمة"
"List (default) / Grid","قائمة (افتراضي) / الشبكه"
"Automatic (equalize price ranges)","التلقائي (تكافؤ الأسعار)"
"Automatic (equalize product counts)","التلقائي (معادلة حساب المنتج)"
"Manual","دليل"
"Fixed","ثابت"
"Percent","النسبة المئوية"
"Discount","خصم"
"-- Please select --","-- اختر من فضلك --"
"Product Thumbnail Itself","صورة مصغرة للمنتج نفسه"
"Parent Product Thumbnail","الأم المنتج المصغره"
"12h AM/PM","ساعة 12 ص/م"
"24h","ساعة 24"
"Stretch","توسعة"
"Tile","بلاطة"
"Top/Left","اعلى/يسار"
"Top/Right","اعلى /يمين"
"Bottom/Left","اسفل / يسار"
"Bottom/Right","اسفل/يمين"
"Center","الوسط"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","غير ممتد %1 \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","حدث خطأ أثناء حفظ الملفات."
"File can not be saved to the destination folder.","لا يمكن حفظ الملف إلى المجلد الوجهة."
"Unknown EAV indexer type ""%1"".","نوع الفهرسة EAV غير معروف ""%1""."
"We can't rebuild the index for an undefined product.","لا يمكن إعادة إنشاء الفهرس لمنتج غير معروف."
"Bad value was supplied.","تم تقديم قيمة غير صحيحة."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","الوحدة النمطية للكتالوج المسطح لها حد %2\$d السمات القابلة للتصفية أو الفرز. ""حاليا هناك %1\$d منهم."" ""الرجاء تقليل عدد السمات القابلة للتصفية/الفرز من أجل استخدام هذه الوحدة النمطية"
"Unsupported product type ""%1"".","نوع المنتج غير معتمد ""%1""."
"Please correct the category.","الرجاء تصحيح الفئة."
"Must be category model instance or its id.","يجب أن تكون الفئة مثيل الطراز أو المعرف الخاص به."
"The attribute model is not defined.","لم يتم تعريف نموذج السمة."
"Category","القسم"
"%1 - %2","%1-%2"
"%1 was not found in algorithms","لم يتم العثور على %1 في الخوارزميات"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","لا ممتد %1 \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","غير ممتد %1 \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","جب أن يكون عامل التصفية عامل او اختيار. الرجاء تعيين عامل التصفية الصحيح."
"Clear Price","مسح الأسعار"
"%1 and above","%1 واكثر"
"The filters must be an array.","يجب أن تكون عوامل التصفية صفيف."
"Product was not registered","لم يتم تسجيل المنتج"
"Store was not registered","لم يتم تسجيل المتجر"
"Group price must be a number greater than 0.","يجب أن تكون أسعار المجموعة رقم أكبر من 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","محول معرض الصور يجب أن يكون مثل واجهة مدخل التحويل."
"There is no MediaGalleryEntryConverter for given type","لايوجد برنامج تحويل لهذا النوع من ملفات الوسائط"
"Please enter a number 0 or greater in this field.","الرجاء إدخال رقم 0 أو أكبر في هذا الحقل."
"The value of attribute ""%1"" must be set","يجب أن يتم تعيين قيمة السمة ""%1"""
"SKU length should be %1 characters maximum.","يجب أن يكون طول SKU %1 حرفاً كحد أقصى."
"Please enter a valid number in this field.","الرجاء ادخال عدد في هذا المجال."
"We found a duplicate website, tier price, customer group and quantity.","وجدنا الموقع مكرر ومستوى الأسعار ومجموعة العملاء والكمية."
"Percentage value must be a number between 0 and 100.","يجب أن تكون قيمة النسبة المئوية رقم بين 0 و 100."
"Invalid option id %1","خيار غير صالح معرف %1"
"Can not create attribute set based on non product attribute set.","لا يمكن إنشاء مجموعة السمات التي تستند إلى سمات بدون منتج."
"Can not create attribute set based on not existing attribute set","لا يمكن إنشاء مجموعة السمات التي تستند إلى قائمة سمات غير موجودة"
"Provided Attribute set non product Attribute set.","سمات المنتج التي تم تعيينها ليست سمات منتج."
"Use config","استخدام التكوين"
"Enabled","تفعيل"
"Disabled","غير مفعل"
"Attribute Set already exists.","تعيين السمة موجودة بالفعل."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","ا أستطع نسخ الملف %1. الرجاء حذف الوسائط مع الصور غير موجودة وحاول مرة أخرى."
"The image content is not valid.","محتوى الصورة غير صالح."
"Cannot save product.","لا يمكن حفظ المنتج."
"Failed to save new media gallery entry.","فشل في حفظ وسائط الإعلام الجديدة المدخلة بالمعرض."
"There is no image with provided ID.","لايوجد أية صورة مع المعرف المعطى."
"Such product doesn't exist","لا يوجد مثل هذا المنتج"
"Such image doesn't exist","هذه الصورة غير موجودة"
"The image does not exist.","الصورة غير موجودة."
"Please correct the image file type.","الرجاء تصحيح نوع ملف الصورة."
"We couldn't move this file: %1.","لا يمكن نقل هذا الملف: %1."
"Can't get information about the picture: %1","لم أتمكن من جلب المعلومات عن الصورة %1"
"The image could not be resized: ","لا يمكن تغيير حجم الصورة: "
"Some images could not be resized. See log file for details.","بعض الصور لا يمكن تغيير حجمها."
"The option type to get group instance is incorrect.","نوع الخيار للحصول على مجموعة مشابهة غير صحيح."
"Select type options required values rows.","حدد نوع الخيارات لقيم الصفوف المطلوبة."
"ProductSku should be specified","يجب تعيين SKU للمنتج"
"Could not remove custom option","تعذر إزالة الخيار مخصص"
"Please specify date required option(s).","يرجى تحديد التاريخ المطلوب خيار (خيارات)."
"Please specify time required option(s).","الرجاء تحديد خيار (خيارات) الوقت المطلوب."
"Please specify product's required option(s).","الرجاء تحديد خيار (خيارات) المنتج."
"The option instance type in options group is incorrect.","نوع مثيل خيار في مجموعة الخيارات غير صحيح."
"The product instance type in options group is incorrect.","نوع المثيل المنتج في مجموعة الخيارات غير صحيح."
"The configuration item option instance in options group is incorrect.","خيار إعداد المنتج في خيارات المجموعة غير صحيح."
"The configuration item instance in options group is incorrect.","خيار إعداد المنتج في نموذج خيارات المجموعة غير صحيح."
"The BuyRequest instance in options group is incorrect.","نموذج طلب الشراء في خيارات المجموعة غير صحيح."
"We can't add the product to the cart because of an option validation issue.","لا يمكنك إضافة المنتج إلى السلة بسبب خيار التحقق من الصحة."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","غير ممتد %1 \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","خيارات تنسيق الملف غير صحيح."
"px.","بكسل."
"The file '%1' for '%2' has an invalid extension.","الملف '%1' من أجل '%2' يحتوي على لاحقة غير صحيحة."
"The maximum allowed image size for '%1' is %2x%3 px.","الحد الأقصى المسموح لحجم الصورة لـ '%1' هو %2x%3 بيكسل."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","الملف '%1' الذي قمت بتحميله أكبر من ميغا بايت %2 المسموح بها من قبل الخادم."
"The file '%1' is empty. Please choose another one","الملف '%1' فارغ. الرجاء اختيار إسم آخر"
"The file '%1' is invalid. Please choose another one","الملف '%1' غير صحيح. الرجاء اختيار اسم آخر"
"File '%1' is not an image.","الملف '%1' ليس صورة."
"Validation failed. Required options were not filled or the file was not uploaded.","فشل التحقق من الصحة. لم يتم إكمال الخيارات المطلوبة أو لم يتم تحميل الملف."
"The file you uploaded is larger than %1 Megabytes allowed by server","الملف قمت بتحميله أكبر من %1 ميغا بايت المسموح به من قبل الخادم"
"Option required.","الخيار المطلوب."
"The file is empty. Please choose another one","الملف فارغ. الرجاء اختيار اسم آخر"
"Some of the selected item options are not currently available.","بعض الخيارات او العناصر المحدد غير متوفرة حاليا."
"The text is too long.","النص طويل جداً."
"Invalid attribute %fieldName = %fieldValue.","سمة غير مقبولة %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","لم يتم العثور على المتجر المطلوب. معرف الصف: وحدة التخزين = %SKU، معرف المتجر: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","سمة غير مقبولة التكلفة = %cost. معرف الصف: وحدة التخزين = %SKU، معرف المتجر: %storeId."
"Could not save Prices.","تعذر حفظ الأسعار."
"Could not delete Prices","تعذر حذف الأسعار"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","المنتج المطلوب غير موجود. معرف الصف: وحدة التخزين= %SKU، معرف المتجر: %storeId، السعر من: %priceFrom، السعر إلى: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","لم يتم العثور على المتجر المطلوب. معرف الصف: وحدة التخزين = %SKU، معرف المتجر: %storeId، السعر من: %priceFrom، السعر إلى: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","سمة غير مقبولة %label = %priceTo. معرف صف: وحدة التخزين = %SKU، معرف مخزن: %storeId، السعر من: %priceFrom، السعر إلى: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","سمة سعر غير مقبولة = %price. معرف الصف: وحدة التخزين = %SKU، معرف المخزن: %storeId، السعر من: %priceFrom، السعر إلى: %priceTo."
"Could not save Tier Prices","تعذر حفظ أسعار الكميات"
"Could not replace Tier Prices","غير قادر على حفظ أسعار الكميات"
"Could not delete Tier Prices","غير قادر على حذف أسعار الكميات"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","سمة وحدة تخزين غير مقبولة = %SKU. معرف الصف: وحدة التخزين = %SKU، معرف الموقع %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","سمة سعر غير مقبولة = %price. معرف الصف: وحدة التخزين = %SKU، معرف الموقع %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","سمة سعر غير مقبولة = نوع %price. معرف الصف: وحدة التخزين = %SKU، معرف الموقع %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","سمة كمية غير مقبولة = %qty. معرف الصف: وحدة التخزين = %SKU، معرف الموقع %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","سمة معرف للموقع غير مقبولة = %websiteId معرف الصف: وحدة التخزين = %SKU، معرف الموقع %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","تكرار في الموقع وأسعار الكميات ومجموعة العملاء: مجموعة العميل = %customerGroup، معرف الموقع =%websiteId، الكمية = %qty. معرف صف:, وحدة التخزين = %SKU، معرف الموقع: %websiteId، مجموعة من العملاء: %customerGroup، الكمية: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","لا يوجد مثل هذا الكيان مع مجموعة العملاء = %customerGroup. معرف الصف: وحدة التخزين= %SKU، معرف الموقع: %websiteId، مجموعة العملاء: %customerGroup، الكمية: %qty."
"This product doesn't have tier price","هذا المنتج لا يملك سعر"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","المنتج لا ينتمي لمجموعة سعرية برقم = '%1' و الموقع = %2 والكمية = %3"
"Invalid data provided for tier_price","بيانات غير صحيحة للسعر الأساسي"
"Could not save group price","تعذر حفظ مجموعة الأسعار"
"Please provide valid data","يرجى تقديم بيانات صحيحة"
"Values of following attributes are invalid: %1","قيم السمات التالية غير صحيحة: %1"
"We can't create writeable directory ""%1"".","لا يمكن إنشاء دليل قابل للكتابة ""%1""."
"The file upload failed.","فشل في تحميل الملف."
"The product has required options.","يلزم إضافة خيارات المنتج."
"Something went wrong while processing the request.","حدث خطأ أثناء معالجة الطلب."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","غير ممتد %1 \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","غير ممتد %1 \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","غير مرئية بشكل فردي"
"Search","بحث"
"Catalog, Search","دليل المنتجات و البحث"
"Something went wrong while removing products from the websites.","حدث خطأ ما أثناء إزالة منتجات من المواقع."
"Something went wrong while adding products to websites.","حدث خطأ أثناء إضافة المنتجات إلى مواقع ويب."
"Group with id ""%1"" does not exist.","لا توجد مجموعة بالمعرف ""%1""."
"Attribute group that contains system attributes can not be deleted","لا يمكن حذف مجموعة السمات التي تحتوي على سمات النظام"
"Collection provider is not registered","لم يتم تسجيل مزود المجموعات"
"Unknown link type: %1","نوع الرابط غير معروف: %1"
"Provided link type ""%1"" does not exist","نوع الرابط المدرج ""%1"" غير موجود"
"Invalid data provided for linked products","بيانات غير صحيحة للمنتجات المرتبطة"
"Product with SKU '%1' is not linked to product with SKU '%2'","المنتج الذي له الرمز SKU '%1' لا يرتبط بالمنتج مع SKU '%2'"
"Product %1 doesn't have linked %2 as %3","المنتج %1 غير مرتبط بـ %2 كـ %3"
