"Root","Baza"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Jeśli nie ma zdefiniowanych kategorii nadrzędnych, proszę użyć domyślnej kategorii nadrzędnej. Można zmienić przypisaną kategorię w dowolnym momencie w <a href=""%1"" target=""_blank""> Produkty > Kategorie</a>."
"Price Alert Subscriptions","Subskrypcja alertów cen"
"Stock Alert Subscriptions","Subskrypcja alertów stanu magazynu"
"There are no customers for this alert.","Nie ma klientów dla tego alertu."
"First Name","Imię"
"Last Name","Nazwisko"
"Email","E-mail"
"Subscribe Date","Data zapisu"
"Last Notified","Ostatnio zgłoszone"
"Send Count","Wyślij licznik"
"New Attribute","Nowa cecha"
"Type","Rodzaj"
"Attribute Set","Zestaw cech"
"Add New Option","Dodaj nową opcję"
"Import Options","Opcje importowania"
"Use Default","Użyj domyślnych"
"Import","Importuj"
"Add New Row","Dodaj nowy rząd"
"Delete Row","Usuń rząd"
"Tier Pricing","Poziomy cen"
"Default Price","Domyślna cena"
"All Websites","Wszystkie witryny"
"ALL GROUPS","WSZYSTKIE GRUPY"
"Add Price","Dodaj cenę"
"Default Values","Wartości domyślne"
"Related Products","Produkty powiązane"
"Up-sells","Produkty alternatywne"
"Cross-sells","Sprzedaże krzyżowe"
"Size for %1","Rozmiar dla %1"
"Watermark File for %1","Plik znaku wodnego dla %1"
"Position of Watermark for %1","Pozycja znaku wodnego dla %1"
"Name in %1","Nazwa w %1"
"Quantity","Ilość"
"Edit","Edytuj"
"Are you sure?","Czy na pewno tego chcesz?"
"Change Status","Zmień status"
"Update Attributes","Aktualizuj cechy"
"start typing to search category","zacznij pisać by szukać kategorii"
"New Category","Nowa kategoria"
"Images (.gif, .jpg, .png)","Obrazki (.gif, .jpg, .png)"
"Add New Images","Dodaj nowe obrazki"
"Inc. Tax","Z podatkiem"
"Does this have a weight?","To ma wagę?"
"Product","Produkt"
"Notify Low Stock RSS","RSS powiadomień o produktach na wyczerpaniu"
"Low Stock Products","Produkty na wyczerpaniu"
"%1 has reached a quantity of %2.","%1 osiągnął ilość %2."
"Home","Strona główna"
"Go to Home Page","Przejdź na stronę główną"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"Products Comparison List","Lista porównania produktów"
"N/A","N/D"
"AM","przed południem"
"PM","po południu"
"-- Please Select --","-- Prosimy wybrać --"
"None","Brak"
"New Products from %1","Nowe produkty od %1"
"New Products","Nowe produkty"
"%1 - Special Products","%1 - specjalne produkty"
"Click for price","Kliknij po cenę"
"Special Expires On: %1","Promocja wygasa: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Cena promocyjna: %1"
"Special Products","Specjalne produkty"
"Manage Catalog Categories","Zarządzaj kategoriami katalogu"
"Manage Categories","Zarządzanie kategoriami"
"You deleted the category.","Usunąłeś kategorię."
"Something went wrong while trying to delete the category.","Kategoria nie została usunięta z powodu błędu."
"Categories","Kategorie"
"Category is not available for requested store.","Dla wybranego sklepu kategoria jest niedostępna."
"There was a category move error.","Wystąpił błąd podczas przenoszenia kategorii."
"You moved the category.","Kategoria została przeniesiona."
"Attribute ""%1"" is required.","Atrybut ""%1"" jest wymagany."
"You saved the category.","Zapisano kategorię."
"Something went wrong while saving the category.","Nie udało się zapisać kategorii."
"Please select products for attributes update.","Wybierz produkty do uaktualnienia cech."
"Please make sure to define SKU values for all processed products.","Upewnij się że zdefiniowano wartość SKU dla wszystkich produktów przetworzonych."
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"Something went wrong while updating the product(s) attributes.","Atrybuty produktów nie zostały zaktualizowane z powodu błędów."
"Unable to add attribute","Nie można dodać atrybutu"
"Please, specify attributes","Proszę określić cechy"
"Catalog","Katalog"
"Manage Product Attributes","Zarządzaj cechami produktu"
"We can't delete the attribute.","Nie można usunąć tego atrybutu."
"You deleted the product attribute.","Atrybut produktu został usunięty."
"We can't find an attribute to delete.","Nie odnaleziono atrybutu."
"This attribute no longer exists.","Taki atrybut nie istnieje."
"This attribute cannot be edited.","Ta cecha nie może być edytowana."
"Edit Product Attribute","Edytuj cechę produktu"
"An attribute set named '%1' already exists.","Zestaw cech o nazwie '%1' już istnieje."
"Something went wrong while saving the attribute.","Coś się zepsuło podczas zapisywania cechy."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kod cechy %1 jest niepoprawny. Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"We can't update the attribute.","Nie można zaktualizować atrybut."
"You saved the product attribute.","Atrybut produktu zapisany."
"An attribute with this code already exists.","Atrybut z tym kodem już istnieje."
"An attribute with the same code (%1) already exists.","Cecha o podanym kodzie (%1) już istnieje."
"The value of Admin must be unique.","Wartość pola ""Admin"" musi być unikatowa."
"The value of Admin scope can't be empty.","Wartość w polu Admin nie może być pusta."
"You duplicated the product.","Zduplikowałeś produkt."
"This product doesn't exist.","Produkt nie istnieje."
"Invalid product id. Should be numeric value greater than 0","Nieprawidłowe ID produktu. Prawidłowa wartość to liczba, większa od zera"
"Products","Produkty"
"A group with the same name already exists.","Grupa o takiej samej nazwie już istnieje"
"Something went wrong while saving this group.","Grupa nie została zapisana z powodu błędu."
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
"A total of %1 record(s) have been updated.","Zaktualizowano %1 rekordów."
"Something went wrong while updating the product(s) status.","Status produktu nie został zaktualizowany z powodu błędu."
"Unable to save product","Nie udało się zapisać produktu"
"You saved the product.","Produkt zapisany."
"SKU for product %1 has been changed to %2.","SKU produktu %1 zostało zmienione na %2."
"The image cannot be removed as it has been assigned to the other image role","Obraz nie może zostać usunięty, ponieważ został przypisany do roli innego obrazu"
"New Attribute Set","Nowy zestaw atrybutów"
"The attribute set has been removed.","Zesaw cech został usunięty."
"We can't delete this set right now.","Nie możemy teraz usunąć tego zestawu."
"New Set","Nowy zestaw"
"Manage Product Sets","Zarządzaj zestawami produktu"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"This attribute set no longer exists.","Ten zestaw cech już nie istnieje."
"You saved the attribute set.","Zapisałeś zestaw atrybutów."
"Something went wrong while saving the attribute set.","Coś się zepsuło podczas zapisywania cechy."
"You added product %1 to the comparison list.","Dodałeś produkt %1 do listy porównania."
"You cleared the comparison list.","Wyczyściłeś listę porównania."
"Something went wrong  clearing the comparison list.","Coś poszło nie tak podczas czyszczenia listy porównania."
"You removed product %1 from the comparison list.","Produkt %1 został usunięty z listy porównania."
"1 item","1 element"
"%1 items","%1 elementów"
"Are you sure you want to remove this item from your Compare Products list?","Czy na pewno chcesz usunąć wszystkie elementy z listy Porównaj produkty?"
"Are you sure you want to remove all items from your Compare Products list?","Czy na pewno chcesz usunąć wszystkie elementy z listy Porównaj produkty?"
"Invalid attribute %1","Nieprawidłowy atrybut %1"
"Grid","Siatka"
"List","Lista"
"All","Wszystko"
"Bad controller interface for showing product","Zły sterownik interfejsu dla produktu"
"Product is not loaded","Produkt nie jest załadowany."
"Make sure the To Date is later than or the same as the From Date.","Upewnij się, że data zakończenia jest późniejsza lub ta sama co data rozpoczęcia."
"Sorry, but we can't find the new parent category you selected.","Przepraszam, ale nie możemy znaleźć nowych kategorii nadrzędnych."
"Sorry, but we can't find the new category you selected.","Przepraszam, ale nie możemy znaleźć nowych kategorii."
"We can't move the category because the parent category name matches the child category name.","Nie można przenieść kategorii ponieważ nazwa nadrzędnej kategorii jest taka sama jak nazwa kategorii podrzędnej."
"Something went wrong while getting the image url.","Coś poszło nie tak podczas pobierania adresu zdjęcia."
"Can't delete root category.","Nie można usunąć kategorii głównej."
"The value of attribute ""%1"" must be unique.","Wartość cechy ""%1"" musi być unikatowa."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Domyślne sortowanie nie istnieje w dostepnych opcjach sortowania."
"No layout updates","Brak aktualizacji układu"
"Products only","Tylko produkty"
"Static block only","Tylko blok statyczny"
"Static block and products","Bloki statyczne i produkty"
"Please select a static block.","Wybierz blok"
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Nie można przypisać produktu ""%1"" z pozycją %2 do kategorii %3"
"Category does not contain specified product","Kategoria nie zawiera tego produktu"
"Could not save product ""%product"" with position %position to category %category","Nie można zapisać produktu ""%product"" z pozycją %position do kategorii %category"
"Operation do not allow to move a parent category to any of children category","Operacja nie pozwala przenieść kategorii nadrzędnej do żadnej z kategorii podrzędnych"
"Could not move category","Nie można przenieść kateogrii"
"Could not save category: %1","Nie można zapisać kategorii: %1"
"Cannot delete category with id %1","Nie można usunąć kategorii o identyfikatorze %1"
"-- Please Select a Category --","-- Prosimy wybrać kategorię --"
"Grid Only","Tylko siatka"
"List Only","Tylko lista"
"Grid (default) / List","Siatka (domyślnie) / lista"
"List (default) / Grid","Lista (domyślna) / siatka"
"Automatic (equalize price ranges)","Automatycznie (wyrównuje zakresy cen)"
"Automatic (equalize product counts)","Automatycznie (wyrównuje liczbę produktów)"
"Manual","Ręcznie"
"Fixed","Stały"
"Percent","Procent"
"Discount","Zniżka"
"-- Please select --","--Wybierz--"
"Product Thumbnail Itself","Miniatura produktu"
"Parent Product Thumbnail","Miniatura produktu nadrzędnego"
"12h AM/PM","12h przed/po południu"
"24h","24 godz."
"Stretch","Rozciągnij"
"Tile","Kafelek"
"Top/Left","Góra/lewo"
"Top/Right","Góra/prawo"
"Bottom/Left","Dół/lewo"
"Bottom/Right","Dół/prawo"
"Center","Środek"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nie rozszerza \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Coś się zepsuło podczas zapisywania plików."
"File can not be saved to the destination folder.","Nie można zapisać plików w folderze docelowym."
"Unknown EAV indexer type ""%1"".","Nieznany typ indeksu EAV ""%1""."
"We can't rebuild the index for an undefined product.","Nie można przebudować indeksu dla niezdefiniowanego produktu."
"Bad value was supplied.","Podano błędną wartość."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Moduł płaskiego katalogu ma ograniczenie do %2$d filtrowalnych i/lub sortowalnych cech. Aktualnie masz tam %1$d z nich. Prosimy zredukować liczbę filtrowalnych/sortowalnych cech w celu użycia tego modułu"
"Unsupported product type ""%1"".","Typ produktu ""%1"" nie jest wspierany."
"Please correct the category.","Proszę poprawić kategorię."
"Must be category model instance or its id.","Musi być instancją modelu kategorii lub jej identyfikatorem."
"The attribute model is not defined.","Model atrybutu jest niezdefiniowany."
"Category","Kategoria"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 nie został znaleziony w algorytmach"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nie rozszerza \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nie rozszerza \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtr musi być obiektem. Proszę ustawić poprawny filtr."
"Clear Price","Wyczyść cenę"
"%1 and above","%1 i więcej"
"The filters must be an array.","Filtry muszą być tablicą."
"Product was not registered","Produkt nie został zarejestrowany"
"Store was not registered","Sklep nie został zarejestrowany"
"Group price must be a number greater than 0.","Cena grupowa musi być liczbą większą niż 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Konwerter mediów galerii powinien być instancją EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Nie ma MediaGalleryEntryConverter dla danego typu"
"Please enter a number 0 or greater in this field.","Prosimy o podanie cyfry 0 lub większej w tym polu."
"The value of attribute ""%1"" must be set","Należy ustawić wartość atrybutu ""%1"""
"SKU length should be %1 characters maximum.","Długość SKU musi mieć co najmniej %1 znaków."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"We found a duplicate website, tier price, customer group and quantity.","Znaleziono zduplikowaną witrynę, poziom cen, grupę klientów i ilość."
"Percentage value must be a number between 0 and 100.","Wartość procentowa musi być liczbą pomiędzy 0 i 100."
"Invalid option id %1","Błędny identyfikator opcji %1"
"Can not create attribute set based on non product attribute set.","Nie można utworzyć zestawu atrybutów na podstawie zestawu atrybutów dla nie produktów."
"Can not create attribute set based on not existing attribute set","Nie można utworzyć zestawu cech w oparciu o nie istniejący zestaw cech"
"Provided Attribute set non product Attribute set.","Podany zestaw atrybutów oparty o zestaw atrybutów dla nie produktów."
"Use config","Użyj konfiguracji"
"Enabled","Włączone"
"Disabled","Wyłączone"
"Attribute Set already exists.","Zestaw atrybutów już istnieje."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nie udało się skopiować pliku %1. Proszę usunąć media z nie istniejącym obrazem i spróbować ponownie."
"The image content is not valid.","Zawartość zdjęcia jest niepoprawna."
"Cannot save product.","Nie można zapisać produktu."
"Failed to save new media gallery entry.","Nie udało się zapisać nowej wartości do galerii."
"There is no image with provided ID.","Zdjęcie o podanym ID nie istnieje."
"Such product doesn't exist","Podany produkt nie istnieje"
"Such image doesn't exist","Podane zdjęcie nie istnieje"
"The image does not exist.","Obraz nie istnieje."
"Please correct the image file type.","Proszę poprawić typ pliku ze zdjęciem."
"We couldn't move this file: %1.","Nie możemy przenieść pliku %1."
"Can't get information about the picture: %1","Nie można pobrać informacji o zdjęciu: %1"
"The image could not be resized: ","Nie można zmienić rozmiaru obrazu: "
"Some images could not be resized. See log file for details.","Nie można zmienić rozmiaru niektórych obrazów. Więcej informacji znajdziesz w pliku logów."
"The option type to get group instance is incorrect.","Typ opcji aby uzyskać instancję grupę jest nieprawidłowy."
"Select type options required values rows.","Proszę wybrać typ opcji z wymaganymi wartościami."
"ProductSku should be specified","Należy określić SKU produktu"
"Could not remove custom option","Nie można usunąć opcji produktu"
"Please specify date required option(s).","Prosimy o określenie wymaganych opcji daty."
"Please specify time required option(s).","Prosimy o określenie wymaganych opcji czasu."
"Please specify product's required option(s).","Prosimy o określenie wymaganych opcji produktu."
"The option instance type in options group is incorrect.","Instancja typu opcji w grupie opcji jest niepoprawna."
"The product instance type in options group is incorrect.","Instancja typu produktu w grupie opcji jest niepoprawna."
"The configuration item option instance in options group is incorrect.","Instancja elementu konfiguracji opcji w grupie opcji jest niepoprawna."
"The configuration item instance in options group is incorrect.","Instancja elementu konfiguracji w grupie opcji jest nieprawidłowa."
"The BuyRequest instance in options group is incorrect.","Instancja BuyRequest w grupie opcji jest niepoprawna."
"We can't add the product to the cart because of an option validation issue.","My nie można dodać produkt do koszyka z powodu problemu opcji sprawdzania poprawności."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nie rozszerza \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Format opcji pliku jest nieprawidłowy."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Plik '%1' dla '%2' ma nieprawidłowe rozszerzenie."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksymalny dozwolony rozmiar obrazu dla '%1' jest %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Plik '%1' jest większy niż %2 megabajtów dozwolone przez nasz serwer."
"The file '%1' is empty. Please choose another one","Plik '%1' jest pusty. Proszę wybrać inny"
"The file '%1' is invalid. Please choose another one","Plik '%1' jest nieprawidłowy. Proszę wybrać inny"
"File '%1' is not an image.","Plik '%1' nie jest obrazem."
"Validation failed. Required options were not filled or the file was not uploaded.","Nie można sprawdzić poprawności. Wymagane opcje nie zostały wypełnione lub plik nie został przesłany."
"The file you uploaded is larger than %1 Megabytes allowed by server","Załądowany plik jest większy niż %1 Mb dozwolonych na serwerze"
"Option required.","Opcja wymagana."
"The file is empty. Please choose another one","Plik jest pusty. Proszę wybrać inny"
"Some of the selected item options are not currently available.","Niektóre wybrane opcje nie są dostępne."
"The text is too long.","Tekst jest za długi."
"Invalid attribute %fieldName = %fieldValue.","Nieprawidłowa cecha %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Nie znaleziono sklepu. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Nieprawidłowa cecha Koszt = %cost. ID wiersza: SKU = %SKU, ID sklepu: %storeId."
"Could not save Prices.","Nie udało się zapisać Cen."
"Could not delete Prices","Nie można usunąć Cen"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Żądany produkt nie istnieje. ID wiersza: SKU = %SKU, Sklep: %storeId, Cena Od: %priceFrom, Cena Do: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Wybrany sklep nie istnieje. ID wiersza: SKU = %SKU, Sklep: %storeId, Cena Od: %priceFrom, Cena Do: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nieprawidłowa cecha %label = %priceTo. ID wiersza: SKU = %SKU, ID sklepu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nieprawidłowa cecha Cena = %price. ID wiersza: SKU = %SKU, ID sklepu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Could not save Tier Prices","Nie można zapisać poziomów cenowych"
"Could not replace Tier Prices","Nie można zastąpić poziomów cenowych"
"Could not delete Tier Prices","Nie można usunąć poziomów cenowych"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut SKU = %SKU. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci Web: % websiteId, Grupy klientów: %customerGroup, Ilość: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut ceny = %price. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci Web: % websiteId, Grupy klientów: %customerGroup, Ilość: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy typ ceny = %priceType. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci Web: %websiteId, Grupy klientów: %customerGroup, Ilość: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut ilości = %qty. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci Web: % websiteId, Grupy klientów: %customerGroup, Ilość: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut ID strony = %websiteId. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci Web: % websiteId, Grupy klientów: %customerGroup, Ilość: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Znaleźliśmy duplikat strony internetowej, poziomu cen, grupy odbiorców i ilość: Grupa klientów = %customerGroup, strony o ID = %websiteId, ilość = %qty. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny sieci : %websiteId, Grupy klientów: %customerGroup, Ilości: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Brak takiego podmiotu z grupą klientów =%customerGroup. Identyfikator wiersza: SKU = %SKU, Identyfikator witryny: %websiteId, Grupa klientów: %customerGroup, Ilość: %qty."
"This product doesn't have tier price","Ten produkt nie posiada warstw cen"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nie posiada grup cen z takimi danymi: customerGroupId = ""%1"", strona = %2, ilość = %3"
"Invalid data provided for tier_price","Nieprawidłowe dane podane dla tier_price"
"Could not save group price","Nie można zapisać ceny grupowej"
"Please provide valid data","Podaj poprawne dane"
"Values of following attributes are invalid: %1","Wartości następujących atrybutów są nieprawidłowe: %1"
"We can't create writeable directory ""%1"".","Nie można utworzyć zapisywalnego katalogu ""%1""."
"The file upload failed.","Wysłanie pliku nie powiodło się."
"The product has required options.","Produkt ma wymagane opcje."
"Something went wrong while processing the request.","Coś się zepsuło podczas przetwarzania żądania."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nie rozszerza \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nie rozszerza \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Niewidoczne pojedyńczo"
"Search","Szukaj"
"Catalog, Search","Katalog, wyszukiwanie"
"Something went wrong while removing products from the websites.","Coś się zepsuło podczas usuwania produktów ze strony internetowej."
"Something went wrong while adding products to websites.","Coś się zepsuło podczas dodawania produktów do strony internetowej."
"Group with id ""%1"" does not exist.","Grupa o identyfikatorze ""%1"" nie istnieje."
"Attribute group that contains system attributes can not be deleted","Grupa atrybutów, która zawiera atrybuty systemowe nie może być usunięta"
"Collection provider is not registered","Kolekcja dostawcy nie jest zarejestrowana"
"Unknown link type: %1","Nieznany typ linku: %1"
"Provided link type ""%1"" does not exist","Nie istnieje łącze typu ""%1"""
"Invalid data provided for linked products","Nieprawidłowe dane podane dla powiązanych produktów"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt z SKU %1 nie jest powiązany z produktem z SKU %2"
"Product %1 doesn't have linked %2 as %3","Produkt %1 nie jest połączony %2 jako %3"
"Requested product doesn't exist","Żądany produkt nie istnieje"
"Product with SKU ""%1"" does not exist","Produkt z SKU ""%1"" nie istnieje"
"Invalid product data: %1","Nieprawidłowe dane produktu: %1"
"Database connection error","Problem z połączeniem do bazy danych"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Nie można usunąć produktu %1"
"Requested product does not support images.","Podany produkt nie obsługuje obrazków."
"There are not websites for assign to product","Nie ma stron internetowych do przypisania do produktu"
"Could not assign product ""%1"" to websites ""%2""","Produkt ""%1"" nie może być przypisany do strony ""%2"""
"Could not save product ""%1"" with websites %2","Nie można zapisać produktu ""%1"" ze stroną %2"
"We cannot determine the field name.","Nie można określić nazwy pola."
"Attribute '%1' is locked. %2","Cecha '%1' jest zablokowana. %2"
"Do not change the scope. %1","Nie zmieniaj zakresu. %1"
