"Root","Корінь"
"Add New Attribute Set","Додати новий набір атрибутів"
"Add Attribute Set","Додати набір атрибутів"
"Attribute Sets","Набори атрибутів"
"Close Window","Закрити вікно"
"New Product","Новий товар"
"Save & Edit","Зберегти та редагувати"
"Save & New","Зберегти & Новий"
"Save & Duplicate","Зберегти & Дублікат"
"Save & Close","Зберегти та закрити"
"Attributes","Атрибути"
"Change","Змінити"
"Advanced Inventory","Розширений інвентар"
"Websites","Веб-сайти"
"Products Information","Інформація про товар"
"Create Category","Створити категорію"
"Category Name","Назва категорії"
"Parent Category","Батьківська категорія"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Якщо немає жодної користувацької батьківської категорії, будь ласка, використовуйте типову батьківську категорію. Можна змінити призначення категорії в будь-який час у <a href=""%1"" target=""_blank"">Товари > Категорії</a>."
"Price Alert Subscriptions","Підписки на цінові оповіщення"
"Stock Alert Subscriptions","Підписки на складські оповіщення"
"There are no customers for this alert.","Немає покупців для цього оповіщення."
"First Name","Ім'я"
"Last Name","Прізвище"
"Email","Електронна пошта"
"Subscribe Date","Дата підписки"
"Last Notified","Останнє сповіщення"
"Send Count","Відправлено разів"
"New Attribute","Новий атрибут"
"Type","Тип"
"Attribute Set","Набір атрибутів"
"Add New Option","Додати нову опцію"
"Import Options","Імпортувати опції"
"Use Default","Використовувати типовий"
"Import","Імпорт"
"Add New Row","Додати новий рядок"
"Delete Row","Видалити рядок"
"Tier Pricing","Ярусне Ціноутворення"
"Default Price","Типова ціна"
"All Websites","Всі Веб-сайти"
"ALL GROUPS","УСІ ГРУПИ"
"Add Price","Додати ціну"
"Default Values","Типові значення"
"Related Products","Супутні товари"
"Up-sells","Допродажі"
"Cross-sells","Перехресні продажі"
"Size for %1","Розмір для %1"
"Watermark File for %1","Файл водяного знаку для %1"
"Position of Watermark for %1","Позиція водяного знаку для %1"
"Name in %1","Назва в %1"
"Quantity","Кількість"
"Edit","Редагувати"
"Are you sure?","Ви впевнені?"
"Change Status","Змінити стан"
"Update Attributes","Оновити атрибути"
"start typing to search category","почніть друкувати для пошуку категорії"
"New Category","Нова категорія"
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)"
"Add New Images","Додати нові зображення"
"Inc. Tax","Вкл. з податками"
"Does this have a weight?","Це має вагу?"
"Product","Продукт"
"Notify Low Stock RSS","Повідомити про низький запас по RSS"
"Low Stock Products","Товари з малим запасом"
"%1 has reached a quantity of %2.","%1 досяг кількості %2."
"Home","Головна"
"Go to Home Page","Перейти на домашню сторінку"
"Subscribe to RSS Feed","Підписатися на RSS-канал"
"Products Comparison List","Список порівняння товарів"
"N/A","Н/Д"
"AM","AM"
"PM","ПП"
"-- Please Select --","-- Виберіть --"
"New Products from %1","Нові товари з %1"
"New Products","Нові товари"
"%1 - Special Products","%1 - Спеціальні товари"
"Click for price","Клацніть, щоб дізнатись ціну"
"Special Expires On: %1","Спеціальна ціна закінчується: %1"
"Price: %1","Ціна: %1"
"Special Price: %1","Спеціальна ціна: %1"
"Special Products","Спеціальні товари"
"Manage Catalog Categories","Керувати категоріями каталогу"
"Manage Categories","Керувати категоріями"
"You deleted the category.","Ви видалили категорію."
"Something went wrong while trying to delete the category.","Щось пішло не так під час спроби видалити категорію."
"Categories","Категорії"
"Category is not available for requested store.","Категорія недоступна для запитуваної крамниці."
"There was a category move error.","Сталася помилка переміщення категорії."
"You moved the category.","Ви перемістили категорію."
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Something went wrong while saving the category.","Щось пішло не так під час збереження категорії."
"You saved the category.","Ви зберегли категорію."
"Please select products for attributes update.","Будь ласка, виберіть товари для оновлення атрибутів."
"Please make sure to define SKU values for all processed products.","Будь ласка, переконайтеся, що визначили значення артиклю для всіх товарів, що обробляються."
"Message is added to queue","Message is added to queue"
"Something went wrong while updating the product(s) attributes.","Щось пішло не так під час оновлення атрибутів товару(ів)."
"Update attributes for ' . . ' selected products","Update attributes for ' . . ' selected products"
"Something went wrong while processing the request.","Щось пішло не так під час обробки запиту."
"Unable to add attribute","Неможливо додати атрибут"
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"Catalog","Каталог"
"Manage Product Attributes","Керувати атрибутами товару"
"We can't delete the attribute.","Ми не можемо видалити атрибут."
"You deleted the product attribute.","Ви видалили атрибут товару."
"We can't find an attribute to delete.","Ми не в змозі знайти атрибут для видалення."
"This attribute no longer exists.","Цього атрибуту більше не існує."
"This attribute cannot be edited.","Цей атрибут не може бути змінений."
"Edit Product Attribute","Редагувати атрибут товару"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"An attribute set named '%1' already exists.","Набір атрибутів під назвою '%1' вже існує."
"Something went wrong while saving the attribute.","Щось пішло не так під час збереження атрибуту."
"We can't update the attribute.","Ми не в змозі оновити атрибут."
"You saved the product attribute.","Ви зберегли атрибут товару."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Code (%1) is a reserved key and cannot be used as attribute code.","Code (%1) is a reserved key and cannot be used as attribute code."
"An attribute with this code already exists.","Атрибут з таким кодом вже існує."
"An attribute with the same code (%1) already exists.","Атрибут з таким самим кодом (%1) вже існує."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The value of Admin scope can't be empty.","Значення ""Admin scope"" не може бути пустим."
"You duplicated the product.","Ви продублювали товар."
"This product doesn't exist.","Цей товар не існує."
"Invalid product id. Should be numeric value greater than 0","Неприпустимий ідентифікатор товару. Має бути числове значення, більше за 0"
"Products","Товари"
"A group with the same name already exists.","Група з такою назвою вже існує."
"Something went wrong while saving this group.","Щось пішло не так під час збереження цієї групи."
"A total of %1 record(s) have been deleted.","Загалом %1 запис(и/ів) було видалено."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details."
"A total of %1 record(s) have been updated.","Загалом %1 запис(и/ів) було оновлено."
"Something went wrong while updating the product(s) status.","Щось пішло не так під час оновлення стану товару(ів)."
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"You saved the product.","Ви зберегли товар."
"SKU for product %1 has been changed to %2.","Артикул для товару %1 було змінено на %2."
"The image cannot be removed as it has been assigned to the other image role","Зображення не може бути вилучено, оскільки воно було призначено до іншої ролі зображення"
"The value of attribute(s) ""%1"" must be unique","The value of attribute(s) ""%1"" must be unique"
"New Attribute Set","Новий набір атрибутів"
"The attribute set has been removed.","Набір атрибутів було видалено."
"We can't delete this set right now.","Наразі ми не в змозі видалити цей набір."
"New Set","Новий набір"
"Manage Product Sets","Керувати наборами товарів"
"Manage Attribute Sets","Керувати наборами атрибутів"
"This attribute set no longer exists.","Цей набір атрибутів більше не існує."
"You saved the attribute set.","Ви зберегли набір атрибутів."
"Something went wrong while saving the attribute set.","Щось пішло не так під час збереження набору атрибутів."
"You cleared the comparison list.","Ви очистили список порівняння."
"Something went wrong  clearing the comparison list.","Щось пішло не так під час очищення списку порівняння."
"You removed product %1 from the comparison list.","Ви видалили товар %1 зі списку порівняння."
"1 item","1 позиція"
"%1 items","%1 елементи(ів)"
"The specified Catalog media URL format is not supported.","The specified Catalog media URL format is not supported."
"Are you sure you want to remove this item from your Compare Products list?","Ви впавнені що хочете вилучити цей елемент зі Списку порівняння?"
"Are you sure you want to remove all items from your Compare Products list?","Ви впевнені, що хочете видалити усі товари з вашого списку товарів для порівняння?"
"Invalid attribute %1","Неприпустимий атрибут %1"
"Grid","Таблиця"
"List","Список"
"All","Всі"
"Bad controller interface for showing product","Хибний контролер інтерфейсу для демонстрації товару"
"Product is not loaded","Товар не завантажено"
"Selected layout update is not available","Selected layout update is not available"
"Sorry, something went wrong during product attributes update. Please see log for details.","Sorry, something went wrong during product attributes update. Please see log for details."
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Using restricted HTML elements for ""%1"". %2","Using restricted HTML elements for ""%1"". %2"
"Make sure the To Date is later than or the same as the From Date.","Переконайтеся, що кінцева дата пізніша або така сама, як початкова дата."
"Sorry, but we can't find the new parent category you selected.","Вибачте, але ми не можемо знайти нову батьківську категорію, яку ви обрали."
"Sorry, but we can't find the new category you selected.","Вибачте, але ми не можемо знайти нову категорію, яку ви обрали."
"We can't move the category because the parent category name matches the child category name.","Ми не можемо перемістити категорію, оскільки назва батьківської категорії відповідає назві дочірньої категорії."
"Something went wrong while getting the image url.","Щось пішло не так під час отримання URL зображення."
"Can't delete root category.","Неможливо видалити кореневу категорію."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Сортування типового переліку товарів не існує у сортуваннях переліку доступних товарів."
"No layout updates","Немає оновлень розмітки"
"Products only","Тільки товари"
"Static block only","Тільки статичний блок"
"Static block and products","Статичний блок і товари"
"Please select a static block.","Будь ласка, виберіть статичний блок."
"frontend_label","frontend_label"
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"Could not save product ""%1"" with position %2 to category %3","Не вдалося зберегти продукт ""%1"" на позицію %2 до категорії %3"
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"Could not save product ""%product"" with position %position to category %category","Не вдалося зберегти товар ""%product"" на позицію %position до категорії %category"
"The category doesn't contain the specified products.","The category doesn't contain the specified products."
"Could not save products ""%products"" to category %category","Could not save products ""%products"" to category %category"
"Operation do not allow to move a parent category to any of children category","Операція не дозволяє переміщати батьківську категорію до будь-якої з дочірніх категорій"
"Could not move category","Не вдалося перемістити категорію"
"Could not save category: %1","Не вдалося зберегти категорію: %1"
"Cannot delete category with id %1","Неможливо видалити категорію з ідентифікатором %1"
"This customer is not authorized to access this list","This customer is not authorized to access this list"
"-- Please Select a Category --","-- Будь ласка, виберіть категорію --"
"Grid Only","Тільки сітка"
"List Only","Тільки список"
"Grid (default) / List","Сітка (типово) / Список"
"List (default) / Grid","Список (типово) / СІтка"
"Automatic (equalize price ranges)","Автоматично (зрівняти діапазони цін)"
"Automatic (equalize product counts)","Автоматично (зрівняти кількості товарів)"
"Manual","Ручний"
"Fixed","Фіксована"
"Percent","Відсоток"
"Discount","Знижка"
"-- Please select --","-- Виберіть, будь ласка --"
"Product Thumbnail Itself","Власна мініатюра товару"
"Parent Product Thumbnail","Мініатюра батьківського продукту"
"12h AM/PM","12 год. AM/PM"
"24h","24 год."
"Stretch","Розтягнути"
"Tile","Плитка"
"Top/Left","Зверху/Зліва"
"Top/Right","Зверху/Справа"
"Bottom/Left","Знизу/Ліворуч"
"Bottom/Right","Знизу/Праворуч"
"Center","Центр"
"Image optimization based on query parameters","Image optimization based on query parameters"
"Unique hash per image variant (Legacy mode)","Unique hash per image variant (Legacy mode)"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 не є роширенням \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Щось пішло не так під час збереження файлу(ів)."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","Файл не може бути збережений до папки призначення."
"Unknown EAV indexer type ""%1"".","Невідомий тип EAV-індексатора ""%1""."
"We can't rebuild the index for an undefined product.","Ми не можемо перебудувати індекс для невизначеного продукту."
"Bad value was supplied.","Було надано хибне значення."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модуль Плоский каталог має ліміт на %2$d фільтрованих та/або сортованих атрибутів.Зараз їх є %1$d.Будь ласка, зменште число фільтрованих/сортованих атрибутів, для того щоб використовувати цей модуль"
"Unsupported product type ""%1"".","Непідтримуваний тип товару ""%1""."
"Please correct the category.","Будь ласка, виправте категорію."
"Must be category model instance or its id.","Має бути екземпляр моделі категорії або її ідентифікатор."
"The attribute model is not defined.","Модель атрибуту не визначена."
"Category","Категорія"
"%1 - %2","%1 - %2"
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 не є роширенням \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 не є роширенням \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Фільтр повинен бути об'єктом. Будь ласка, задайте коректний фільтр."
"Clear Price","Очистити ціну"
"%1 and above","%1 та вище"
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"Group price must be a number greater than 0.","Групова ціна має бути числом, більшим за 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Перетворювач медіа-галереї має бути екземпляром EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Немає MediaGalleryEntryConverter для заданого типу"
"Please enter a number 0 or greater in this field.","Будь ласка, введіть у це поле число 0 або більше."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"SKU length should be %1 characters maximum.","Довжина артикуля має бути щонайбільше %1 символів."
"Please enter a valid number in this field.","Будь ласка, введіть у це поле дійсне число."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"We found a duplicate website, tier price, customer group and quantity.","Ми виявили дублюючий веб-сайт, рівень ціни, користувацьку групу та кількість."
"Percentage value must be a number between 0 and 100.","Значенням відсотку має бути число від 0 до 100."
"Invalid option id %1","Невірний ідентифікатор опції %1"
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"Provided Attribute set non product Attribute set.","Наданий набір атрибутів не є набором атрибутів товару."
"Use config","Використати конфігурацію"
"Enabled","Ввімкнено"
"Disabled","Вимкнено"
"Attribute Set already exists.","Набір атрибутів вже існує."
"Not allowed to edit the product's design attributes","Not allowed to edit the product's design attributes"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Ми не змогли скопіювати файл %1. Будь ласка, видаліть медіа з неіснуючими зображеннями та повторіть спробу."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The option type to get group instance is incorrect.","Ти опції для отримання групового екземпляру є некоректний."
"Select type options required values rows.","Виберіть рядки необхідних значень опцій типу."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"Please specify date required option(s).","Будь ласка, вкажіть необхідну(і) опцію(ї) дати."
"Please specify time required option(s).","Будь ласка, вкажіть необхідну(і) опцію(ї)."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The option instance type in options group is incorrect.","Тип екземпляра опції в групі опцій є некоректний."
"The product instance type in options group is incorrect.","Тип екземпляра товару в групі опцій є некоректний."
"The configuration item option instance in options group is incorrect.","Екземпляр опції конфігураційної позиції в групі опцій є некоректний."
"The configuration item instance in options group is incorrect.","Екземпляр конфігураційної позиції в групі опцій є некоректний."
"The BuyRequest instance in options group is incorrect.","Екземпляр BuyRequest в групах опцій не є вірним."
"We can't add the product to the cart because of an option validation issue.","Ми не в змозі додати товар до кошика через проблему перевірки опцій."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 не є роширенням \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"px.","пікс."
"Full file path is expected.","Full file path is expected."
"The file '%1' for '%2' has an invalid extension.","Файл '%1' для '%2' має неприпустиме розширення."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимально дозволений розмір зображення для '%1' є %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Файл '%1', що Ви завантажили, є більшим за %2 мегабайт, що дозволено нашим сервером."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The file '%1' is invalid. Please choose another one","Файл '%1' є непридатним. Будь ласка, оберіть інший"
"File '%1' is not an image.","Файл '%1' не є зображенням."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"Some of the selected item options are not currently available.","Деякі з вибраних опцій позиції наразі недоступні."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Не вдалося зберегти ціни."
"Could not delete Prices","Не вдалося видалити ціни"
"Could not save Tier Prices","Could not save Tier Prices"
"Could not replace Tier Prices","Could not replace Tier Prices"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Товар не має групової ціни з такими даними: customerGroupId = '%1', website = %2, qty = %3"
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 не є роширенням \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 не є роширенням \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Не відображається індивідуально"
"Search","Пошук"
"Catalog, Search","Каталог, Пошук"
"Something went wrong while removing products from the websites.","Щось пішло не так під час видалення товарів з веб-сайтів."
"Something went wrong while adding products to websites.","Щось пішло не так під час додавання товарів на веб-сайти."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"Product with SKU '%1' is not linked to product with SKU '%2'","Товар з артикулом '%1' не пов'язаний із товаром з артикулом '%2'"
"Product %1 doesn't have linked %2 as %3","Товар %1 не пов'язаний з %2 як %3"
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Invalid product data: %1","Невірні дані товару: %1"
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Database connection error","Проблема з підключенням до бази данних"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"There are not websites for assign to product","Немає веб-сайтів для призначення до товару"
"Could not assign product ""%1"" to websites ""%2""","Не вдалося назначити товар ""%1"" до веб-сайтів ""%2"""
"Could not save product ""%1"" with websites %2","Не вдалося зберегти продукт ""%1"" з веб-сайтами %2"
"We cannot determine the field name.","Ми не можемо визначити ім'я поля."
"Attribute '%1' is locked. %2","Атрибут '%1' заблокований. %2"
"Do not change the scope. %1","Не змінюйте область. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Тип товару не визначений для індексатора."
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"Product with SKU %1 is not linked to product with SKU %2","Товар з артикулем %1 не пов'язаний з товаром із артикулем %2"
"Multiple Select","Множинний вибір"
"Dropdown","Випадаючий"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 не є роширенням \Magento\Framework\Filter\Template"
"As low as","Починаючи з"
"Could not get extension attributes","Could not get extension attributes"
"Message","Message"
