"Root","Racine"
"Edit","Éditer"
"Are you sure?","Êtes-vous sûr(e) ?"
"Change Status","Changer le statut"
"Update Attributes","Mettre à jour les attributs"
"start typing to search category","commencez à taper pour rechercher une catégorie"
"New Category","Nouvelle catégorie"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Ajouter de nouvelles images"
"Inc. Tax","TTC"
"Does this have a weight?","Cela a-t-il un poids ?"
"Product","Produit"
"Notify Low Stock RSS","Flux RSS de notification de stock bas"
"Low Stock Products","Produits ayant un faible niveau de stock"
"%1 has reached a quantity of %2.","%1 a atteint la quantité de %2."
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Products Comparison List","Liste de comparaison de produits"
"N/A","N/A"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Faites un choix --"
"None","Aucun"
"New Products from %1","Nouveaux produits de %1"
"New Products","Nouveaux produits"
"%1 - Special Products","%1 - Produits spéciaux"
"Click for price","Cliquez pour afficher le prix"
"Special Expires On: %1","Special expire le : %1"
"Price: %1","Prix : %1"
"Special Price: %1","Prix spécial : %1"
"Special Products","Produits spéciaux"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"You deleted the category.","Vous avez supprimé la catégorie."
"Something went wrong while trying to delete the category.","Une erreur est survenue en essayant de supprimer la catégorie."
"Categories","Catégories"
"Category is not available for requested store.","La catégorie n'est pas disponible pour le magasin demandé."
"There was a category move error.","Une erreur est survenue lors de déplacement de la catégorie."
"You moved the category.","Vous avez déplacé la catégorie."
"Attribute ""%1"" is required.","L'attribut ""%1"" est obligatoire."
"You saved the category.","Vous avez enregistré la catégorie."
"Something went wrong while saving the category.","Une erreur s'est produite lors de l'enregistrement de la catégorie."
"Please select products for attributes update.","Merci de sélectionner des produits pour la mise à jour des attributs."
"Please make sure to define SKU values for all processed products.","Veuillez vous assurer de définir des valeurs de REF pour tous les produits transformés."
"A total of %1 record(s) were updated.","%1 enregistrement(s) ont été mis à jour."
"Something went wrong while updating the product(s) attributes.","Une erreur s'est produite lors de la mise à jour des attributs produits"
"Unable to add attribute","Impossible d’ajouter l’attribut"
"Please, specify attributes","Veuillez préciser les attributs"
"Catalog","Catalogue"
"Manage Product Attributes","Gérer les attributs produit"
"We can't delete the attribute.","Impossible de supprimer l'attribut."
"You deleted the product attribute.","Vous avez supprimé l'attribut produit."
"We can't find an attribute to delete.","Nous ne pouvons pas trouver un attribut à supprimer."
"This attribute no longer exists.","Cet attribut n'existe plus."
"This attribute cannot be edited.","Cet attribut ne peut pas être édité."
"Edit Product Attribute","Éditer l'attribut produit"
"An attribute set named '%1' already exists.","Un jeu d’attributs nommé '%1' existe déjà."
"Something went wrong while saving the attribute.","Une erreur s'est produite lors de l'enregistrement de l'attribut"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Le code de l'attribut ""%1"" n'est pas valide. Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"We can't update the attribute.","Nous ne pouvons pas mettre à jour l’attribut."
"You saved the product attribute.","Vous avez sauvegardé l'attribut produit."
"An attribute with this code already exists.","Un attribut avec ce code existe déjà."
"An attribute with the same code (%1) already exists.","Un attribut avec le même code (%1) existe déjà."
"The value of Admin must be unique.","La valeur pour Admin doit être unique."
"The value of Admin scope can't be empty.","La valeur du champ d'action de l’Admin ne peut pas être vide."
"You duplicated the product.","Vous avez dupliqué le produit."
"This product doesn't exist.","Ce produit n’existe pas."
"Invalid product id. Should be numeric value greater than 0","L'identifiant du produit n'est pas valide. Il doit s'agir d'une valeur numérique supérieure à 0"
"Products","Produits"
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"Something went wrong while saving this group.","Quelque chose s'est mal passé lors de l'enregistrement de ce groupe."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) a (ont) été effacé(s)."
"A total of %1 record(s) have been updated.","%1 enregistrement(s) a (ont) été mis à jour."
"Something went wrong while updating the product(s) status.","Une erreur s'est produite lors de la mise à jour des statuts des produits."
"Unable to save product","Impossible d'enregistrer le produit"
"You saved the product.","Vous avez enregistré le produit."
"SKU for product %1 has been changed to %2.","La REF du produit %1 a été changée en %2."
"The image cannot be removed as it has been assigned to the other image role","L’image ne peut être supprimée car elle a été affecté à l’autre rôle de l’image"
"New Attribute Set","Nouveau jeu d'attributs"
"The attribute set has been removed.","Le jeu d'attributs a été supprimé."
"We can't delete this set right now.","Nous ne pouvons pas supprimer ce jeu d'attributs maintenant."
"New Set","Nouveau groupe"
"Manage Product Sets","Gérer les groupes de produits"
"Manage Attribute Sets","Gérer les jeux d'attributs"
"This attribute set no longer exists.","Ce jeu d'attributs n'existe plus."
"You saved the attribute set.","Vous avez enregistré le jeu d’attributs."
"Something went wrong while saving the attribute set.","Une erreur s'est produite lors de l'enregistrement de l'attribut set."
"You added product %1 to the comparison list.","Vous avez ajouté le produit %1 à la liste de comparaison."
"You cleared the comparison list.","Vous avez effacé la liste de comparaison."
"Something went wrong  clearing the comparison list.","La liste de comparaison n'a pas pu être effacée."
"You removed product %1 from the comparison list.","Vous avez retiré le produit %1 de la liste de comparaison."
"1 item","1 article"
"%1 items","%1 articles"
"Are you sure you want to remove this item from your Compare Products list?","Êtes-vous sûr de vouloir enlever cet article de la liste de comparaison ?"
"Are you sure you want to remove all items from your Compare Products list?","Êtes-vous sûr de vouloir enlever ces articles de la liste de comparaison ?"
"Invalid attribute %1","Attribut invalide : %1"
"Grid","Grille"
"List","Liste"
"All","Tous"
"Bad controller interface for showing product","Mauvaise interface de controleur pour afficher les produits"
"Product is not loaded","Le produit n'est pas chargé"
"Make sure the To Date is later than or the same as the From Date.","Assurez-vous que la date de fin est après ou la même que la date de début."
"Sorry, but we can't find the new parent category you selected.","Désolé, mais nous ne pouvons pas trouver la nouvelle catégorie parent que vous avez sélectionné."
"Sorry, but we can't find the new category you selected.","Désolé, mais nous ne pouvons pas trouver la nouvelle catégorie que vous avez sélectionné."
"We can't move the category because the parent category name matches the child category name.","Nous ne pouvons pas déplacer la catégorie parce que le nom de catégorie parent correspond au nom de la catégorie enfant."
"Something went wrong while getting the image url.","Quelque chose s'est mal passé pour obtenir l'url de l'image."
"Can't delete root category.","Impossible de supprimer la catégorie racine."
"The value of attribute ""%1"" must be unique.","La valeur de l'attribut ""%1"" doit être unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Le tri par défaut dans les listes de produits ne fait pas partie des options de tri disponibles."
"No layout updates","Pas de modification de l'agencement"
"Products only","Produits seulement"
"Static block only","Bloc statique uniquement"
"Static block and products","Bloc statique et produits"
"Please select a static block.","Sélectionnez un bloc statique."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Ne peut pas enregistrer produit ""%1"" avec la position %2 dans la catégorie %3"
"Category does not contain specified product","La catégorie ne contient pas de produit"
"Could not save product ""%product"" with position %position to category %category","Enregistrement impossible du produit ""%product"" avec la position %position à la catégorie %category"
"Operation do not allow to move a parent category to any of children category","Opération ne permettant pas de déplacer une catégorie parente vers une catégorie enfant"
"Could not move category","Impossible de déplacer la catégorie"
"Could not save category: %1","Impossible de sauvegarder la catégorie : %1"
"Cannot delete category with id %1","Impossible de supprimer la catégorie avec id %1"
"-- Please Select a Category --","-- Choisissez une catégorie --"
"Grid Only","Grille uniquement"
"List Only","Liste uniquement"
"Grid (default) / List","Grille (par défaut) / Liste"
"List (default) / Grid","Liste (par défaut) / grille"
"Automatic (equalize price ranges)","Automatique (égalise les tranches de prix)"
"Automatic (equalize product counts)","Automatique (égalise le nombre de produits)"
"Manual","Manuel"
"Fixed","Fixé"
"Percent","Pourcent"
"Discount","Remise"
"-- Please select --","-- Votre choix --"
"Product Thumbnail Itself","Vignette du produit lui-même"
"Parent Product Thumbnail","Vignette du produit parent"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Étirer"
"Tile","Mosaïque"
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Center","Centrer"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 n'étend pas \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Une erreur s'est produite lors de l'enregistrement du ou des fichiers."
"File can not be saved to the destination folder.","Le fichier ne peut pas être enregistré dans le dossier de destination."
"Unknown EAV indexer type ""%1"".","Type d'indexer EAV inconnu : ""%1""."
"We can't rebuild the index for an undefined product.","Nous ne pouvons pas reconstruire l'index pour un produit non défini."
"Bad value was supplied.","Valeur incorrecte fournie."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Le module Catalogue plat a une limite de %2$d des attributs filtrables et/ou sortable. Il y a actuellement %1$d d'entre eux. Veuillez réduire le nombre d’attributs filtrables/sortable pour pouvoir utiliser ce module"
"Unsupported product type ""%1"".","Type de produit non supporté ""%1""."
"Please correct the category.","S’il vous plaît, corrigez la catégorie."
"Must be category model instance or its id.","Doit être instance de modèle de catégorie ou son identifiant."
"The attribute model is not defined.","Le modèle d'attributs n'est pas défini."
"Category","Catégorie"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 n’a pas été trouvé dans les algorithmes"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 n’étend pas \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 n’étend pas \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Le filtre doit être un objet. Veuillez renseigner le filtre correctement."
"Clear Price","Effacer le prix"
"%1 and above","%1 et plus"
"The filters must be an array.","Les filtres doivent être sous forme de tableau."
"Product was not registered","Le produit n’a pas été enregistré"
"Store was not registered","Le magasin n’a pas été enregistré"
"Group price must be a number greater than 0.","Prix de groupe doit être un nombre supérieur à 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Convertisseur de Media Gallery devrait être une instance de EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Il n’y a aucune MediaGalleryEntryConverter pour ce type"
"Please enter a number 0 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 0 dans ce champ."
"The value of attribute ""%1"" must be set","La valeur de l’attribut ""%1"" doit avoir une valeur"
"SKU length should be %1 characters maximum.","La longueur maximale de la REF doit être de %1 caractères."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide dans ce champ."
"We found a duplicate website, tier price, customer group and quantity.","Nous avons trouvé en double un site, un prix par palier, un groupe de clients et la quantité."
"Percentage value must be a number between 0 and 100.","Valeur de pourcentage doit être un nombre compris entre 0 et 100."
"Invalid option id %1","L'identifiant de l'option n'est pas valide : %1"
"Can not create attribute set based on non product attribute set.","Il ne peut pas créer d'ensemble d’attributs basé sur un ensemble d’attributs pas pour des produits."
"Can not create attribute set based on not existing attribute set","On ne peut pas créer d'ensemble d’attributs basé sur un ensemble d’attributs non existant"
"Provided Attribute set non product Attribute set.","Jeu d'attributs fourni comme jeu d'attributs pour un non produit."
"Use config","Utiliser la config"
"Enabled","Activé"
"Disabled","Désactivé"
"Attribute Set already exists.","Ce jeu d'attributs existe déjà."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Impossible de copier le fichier %1. Veuillez effacer les media dont les images n'existent pas et réessayez."
"The image content is not valid.","Le contenu de l’image n’est pas valide."
"Cannot save product.","Impossible de sauvegarder le produit."
"Failed to save new media gallery entry.","Impossible d’enregistrer de nouvelles entrées média dans la galerie."
"There is no image with provided ID.","Il n’y a pas d’image avec l’identifiant fourni."
"Such product doesn't exist","Ce produit n’existe pas"
"Such image doesn't exist","Cette image n’existe pas"
"The image does not exist.","L'image n'existe pas."
"Please correct the image file type.","Merci de corriger le type de fichier image."
"We couldn't move this file: %1.","Nous ne pouvions pas déplacer ce fichier : %1."
"Can't get information about the picture: %1","Impossible d'avoir les informations sur l'image : %1"
"The image could not be resized: ","L’image ne peut pas être redimensionnée : "
"Some images could not be resized. See log file for details.","Certaines images ne pourraient pas être redimensionnés. Consultez le fichier log pour plus de détails."
"The option type to get group instance is incorrect.","Le type d’option pour obtenir l’instance de groupe est incorrect."
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires des options."
"ProductSku should be specified","La REF du produit doit être spécifiée"
"Could not remove custom option","Impossible de supprimer l'option personnalisée"
"Please specify date required option(s).","Spécifiez la ou les option(s) de date obligatoire(s)."
"Please specify time required option(s).","Spécifiez la ou les option(s) d'heure obligatoire(s)."
"Please specify product's required option(s).","Précisez la ou les option(s) requise(s) du produit."
"The option instance type in options group is incorrect.","Le type d’instance d'option dans le groupe d'options est incorrect."
"The product instance type in options group is incorrect.","Le type d’instance de produit dans le groupe d’options est incorrect."
"The configuration item option instance in options group is incorrect.","L’instance d’option d'attribut de configuration dans le groupe d’options est incorrecte."
"The configuration item instance in options group is incorrect.","L’instance de configuration d'attribut dans le groupe d’options est incorrecte."
"The BuyRequest instance in options group is incorrect.","L’instance de requête de paiement dans le groupe d’options est incorrecte."
"We can't add the product to the cart because of an option validation issue.","Nous ne pouvons pas ajouter le produit au panier en raison d’un problème de validation d'option."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 n’étend pas \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Le format des options de fichier n'est pas valide."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Le fichier '%1' pour '%2' a une extension non valide."
"The maximum allowed image size for '%1' is %2x%3 px.","La taille maxi autorisée pour les images '%1' est de %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Le fichier '%1' téléchargé a une taille supérieure à %2 Mo (maximum autorisé par le serveur)"
"The file '%1' is empty. Please choose another one","Le fichier '%1' est vide. Veuillez en choisir un autre"
"The file '%1' is invalid. Please choose another one","Le fichier '%1' n’est pas valide. Veuillez en choisir un autre"
"File '%1' is not an image.","Le fichier '%1' n’est pas une image."
"Validation failed. Required options were not filled or the file was not uploaded.","La validation a échoué. Les options requises n’étaient pas remplies ou le fichier n’était pas uploadé."
"The file you uploaded is larger than %1 Megabytes allowed by server","Le fichier téléchargé a une taille supérieure à %1 Mo (maximum autorisé par le serveur)"
"Option required.","Option requise."
"The file is empty. Please choose another one","Le fichier est vide. Veuillez en choisir un autre"
"Some of the selected item options are not currently available.","Certaines options choisies ne sont pas disponibles pour le moment."
"The text is too long.","Le texte est trop long."
"Invalid attribute %fieldName = %fieldValue.","Attribut invalide %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","La boutique demandée est introuvable. Identifiant de la ligne : REF = %SKU, Identifiant de la boutique : %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Attribut de coût incorrect = %cost. Identifiant de la ligne : REF = %SKU, Identifiant de la boutique : %storeId."
"Could not save Prices.","Impossible d'enregistrer les prix."
"Could not delete Prices","Impossible de supprimer les prix"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Le produit demandé n’existe pas. Identifiant de ligne : REF = %SKU, Identifiant de boutique : %storeId, Prix à partir de : %priceFrom, Jusqu'au prix : %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","La boutique demandée est introuvable. Identifiant de ligne : REF = %SKU, Identifiant de boutique : %storeId, Prix à partir de : %priceFrom, Jusqu'au prix de : %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Attribut invalide %label = %priceTo. Identifiant de ligne : REF = %SKU, Identifiant de boutique : %storeId, Prix à partir de : %priceFrom, Jusqu'au prix de : %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Attribut de prix incorrect = %price. Identifiant de ligne : REF = %SKU, Identifiant de boutique : %storeId, Prix à partir de : %priceFrom, Jusqu'au prix de : %priceTo."
"Could not save Tier Prices","Impossible d'enregistrer les niveaux de prix"
"Could not replace Tier Prices","Impossible de remplacer les niveaux de prix"
"Could not delete Tier Prices","Impossible de supprimer les niveaux de prix"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attribut UGS non valide = %SKU. Identifiant de ligne : REF = %SKU, Identifiant de site : % websiteId, Groupe du client : %customerGroup, Quantité : %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attribut de prix non valide = %price. Identifiant de ligne : REF = %SKU, Identifiant de site : % websiteId, Groupe du client : %customerGroup, Quantité : %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Type d'attribut de prix non valide = %priceType. Identifiant de ligne : REF = %SKU, Identifiant de site : % websiteId, Groupe du client : %customerGroup, Quantité : %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attribut de quantité non valide = %qty. Identifiant de ligne : REF = %SKU, Identifiant de site : %websiteId, Groupe du client : %customerGroup, Quantité : %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attribut d'identifiant de site non valide = %websiteId. Identifiant de ligne : REF = %SKU, Identifiant du site : %websiteId, Groupe du client : %customerGroup, Quantité : %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nous avons trouvé un site dupliqué, prix par paliers, groupe de clients et quantité : Groupe de clients = %customerGroup, Identifiant de site = %websiteId, Quantité = %qty. Identifiant de ligne : REF = %SKU, Identifiant de site : %websiteId, Groupe de clients : %customerGroup, Quantité : %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Aucune entité ne porte le groupe client = %customerGroup. Identifiant de la ligne : REF = %SKU, Identifiant du site : %websiteId, Groupe client : %customerGroup, Quantité : %qty."
"This product doesn't have tier price","Ce produit n'a pas de prix par tranches"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Le prix du produit n'a pas été calculé avec ces données : customerGroupId = '%1', site web = %2, qty = %3"
"Invalid data provided for tier_price","Donnée invalide pour le prix par palier"
"Could not save group price","Impossible d'enregistrer les prix par groupe"
"Please provide valid data","Veuillez saisir une donnée valide"
"Values of following attributes are invalid: %1","Les valeurs pour les attributs suivants sont invalides : %1"
"We can't create writeable directory ""%1"".","Nous ne pouvons pas créer de répertoire en écriture ""%1""."
"The file upload failed.","L'upload de fichier a échoué."
"The product has required options.","Le produit a des options obligatoires."
"Something went wrong while processing the request.","Une erreur est survenue lors du traitement."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 n’étend pas \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 n’étend pas \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Non visible individuellement"
"Search","Chercher"
"Catalog, Search","Catalogue, Recherche"
"Something went wrong while removing products from the websites.","Une erreur est survenue lors de la suppression des produits des sites web."
"Something went wrong while adding products to websites.","Une erreur s'est produite lors de l'ajout des produits aux sites web."
"Group with id ""%1"" does not exist.","Le Groupe avec l'ID ""%1"" n'existe pas."
"Attribute group that contains system attributes can not be deleted","Un ensemble d'attributs qui contient des attributs systèmes ne peut être supprimé"
"Collection provider is not registered","Le fournisseur de collection n'est pas enregistré"
"Unknown link type: %1","Type de lien inconnu : %1"
"Provided link type ""%1"" does not exist","Le lien fourni de type ""%1"" n'existe pas"
"Invalid data provided for linked products","Données invalides fournies pour les produits liés"
"Product with SKU '%1' is not linked to product with SKU '%2'","Le produit portant la REF '%1' n'est pas lié au produit produit la REF '%2'"
"Product %1 doesn't have linked %2 as %3","Le produit %1 n'a pas lié %2 comme %3"
"Requested product doesn't exist","Le produit demandé n'existe pas"
"Product with SKU ""%1"" does not exist","Le produit portant la REF ""%1"" n'existe pas"
"Invalid product data: %1","Données du produit non valides : %1"
"Database connection error","Erreur de connexion à la base de données"
"Database deadlock found when trying to get lock","Blocage de base de données lors de l'essai de blocage"
"Database lock wait timeout exceeded","Timeout de blocage de base de données dépassé"
"Unable to remove product %1","Impossible de supprimer le produit %1"
"Requested product does not support images.","Le produit demandé ne supporte pas les images."
"There are not websites for assign to product","Il n'y a pas de site web à assigner au produit"
"Could not assign product ""%1"" to websites ""%2""","Impossible d'assigner le produit ""%1"" au site web ""%2"""
"Could not save product ""%1"" with websites %2","Impossible de sauvegarder le produit ""%1"" avec site web ""%2"""
"We cannot determine the field name.","Impossible de déterminer le nom du champ."
"Attribute '%1' is locked. %2","L'attribut '%1' est verrouillé. %2"
"Do not change the scope. %1","Ne pas changer la portée. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Le processeur %1 n'implémente pas BaseSelectProcessorInterface"
