"Root","Корен"
"Notify Low Stock RSS","Уведoми за малки количества на склад RSS"
"Low Stock Products","Продукти с малки количества на склад"
"%1 has reached a quantity of %2.","%1 е достигнал количество от %2."
"Home","Основна страница"
"Go to Home Page","Отиди на основата страница"
"Subscribe to RSS Feed","Абонирай се за RSS Feed"
"Products Comparison List","Списък за сравнение на продукти"
"N/A","Не е достъпно"
"AM","Преди обяд"
"PM","Следобяд"
"-- Please Select --","-- Моля изберете --"
"None","Никакъв"
"New Products from %1","Нов продукт от %1"
"New Products","Нови продукти"
"%1 - Special Products","%1 - Специални продукти"
"Click for price","Кликнете за цена"
"Special Expires On: %1","Офертата изтича на: %1"
"Price: %1","Цена: %1"
"Special Price: %1","Промо цена: %1"
"Special Products","Специални продукти"
"Manage Catalog Categories","Управление на категориите на каталога"
"Manage Categories","Управление на категории"
"You deleted the category.","Вие изтрихте тази категория."
"Something went wrong while trying to delete the category.","Нещо се обърка докато се опитвахте да изтриете тази категория."
"Categories","Категории"
"Category is not available for requested store.","Категорията не е налична за избрания магазин."
"There was a category move error.","Има грешка в преместването на категорията."
"You moved the category.","Вие преместихте категорията."
"Attribute ""%1"" is required.","Атрибут ""%1"" е задължителен."
"You saved the category.","Вие запазихте категорията."
"Something went wrong while saving the category.","Нещо се обърка докато запазвахте категорията."
"Please select products for attributes update.","Моля селектирайте продукти за актуализация на атрибутите."
"Please make sure to define SKU values for all processed products.","Моля, да определите кат. номер за всички обработени продукти."
"A total of %1 record(s) were updated.","Общо %1 запис(и) бяха актуализирани."
"Something went wrong while updating the product(s) attributes.","Нещо се обърка докато актуализирахте продуктовите атрибути."
"Unable to add attribute","Не е възможно добавяне на атрибут"
"Please, specify attributes","Моля, уточнете атрибутите"
"Catalog","Каталог"
"Manage Product Attributes","Управление на продуктови атрибути"
"We can't delete the attribute.","Не може да изтрие този атрибут."
"You deleted the product attribute.","Вие изтрихте продуктовия атрибут."
"We can't find an attribute to delete.","Не можем да намерим атрибут за изтриване."
"This attribute no longer exists.","Този атрибут вече не съществува."
"This attribute cannot be edited.","Този атрибут не може да бъде променен."
"Edit Product Attribute","Промени продуктовия атрибут"
"An attribute set named '%1' already exists.","Зададеното име на атрибут ""%1"" вече съществува."
"Something went wrong while saving the attribute.","Нещо се обърка докато запазвахте атрибута."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Кодът на атрибут ""%1"" е невалиден. Моля, използвайте само букви (а-z), числа (0-9) или подчертаване(_) в това поле, първият символ трябва да бъде буква."
"We can't update the attribute.","Не може да актуализира атрибута."
"You saved the product attribute.","Запазихте продуктовия атрибут."
"An attribute with this code already exists.","Вече съществува атрибут с този код."
"An attribute with the same code (%1) already exists.","Вече съществува атрибут със същия код (%1)."
"The value of Admin must be unique.","Стойността на администратор трябва да е уникална."
"The value of Admin scope can't be empty.","Стойността на Обхват на Адмиистратора не може да е празно."
"You duplicated the product.","Дублирахте този продукт."
"This product doesn't exist.","Този продукт не съществува."
"Invalid product id. Should be numeric value greater than 0","Невалидно ID на продукт. Трябва да е числова стойност по-голяма от 0"
"Products","Продукти"
"A group with the same name already exists.","Вече съществува група със същото име."
"Something went wrong while saving this group.","Нещо се обърка докато запазвахте тази група."
"A total of %1 record(s) have been deleted.","Общо %1 записи са били изтрити."
"A total of %1 record(s) have been updated.","Общо %1 записи са били актуализирани."
"Something went wrong while updating the product(s) status.","Нещо се обърка докато актуализирахте статуса на продукта(ите)."
"Unable to save product","Не е възможно запазване на продукта."
"You saved the product.","Запазихте продукта."
"SKU for product %1 has been changed to %2.","Кат. номер за продукт %1 е променен на %2."
"The image cannot be removed as it has been assigned to the other image role","Изображението не може да бъде премахнато, защото му е зададена друга роля"
"New Attribute Set","Нова група атрибути"
"The attribute set has been removed.","Този атрибут е премахнат."
"We can't delete this set right now.","Не може да изтриете този набор точно сега."
"New Set","Нова група"
"Manage Product Sets","Управление на продуктови групи"
"Manage Attribute Sets","Управление на групи атрибути"
"This attribute set no longer exists.","Този атрибут вече не съществува"
"You saved the attribute set.","Вие запазихте групата атрибути."
"Something went wrong while saving the attribute set.","Нещо се обърка докато запазвахте групата атрибути."
"You added product %1 to the comparison list.","Добавихте продукт %1 към листа за сравнение."
"You cleared the comparison list.","Изчистихте списъка за сравнение."
"Something went wrong  clearing the comparison list.","Нещо се обърка докато изчиствахте списъка за сравнение."
"You removed product %1 from the comparison list.","Премахнахте продукт %1 от списъка за сравнение."
"1 item","1 артикул"
"%1 items","%1 артикули"
"Are you sure you want to remove this item from your Compare Products list?","Наистина ли искате да премахнете този елемент от списъка за сравнение на продукти?"
"Are you sure you want to remove all items from your Compare Products list?","Наистина ли искате да премахнете всички елементи от списъка за сравнение на продукти?"
"Invalid attribute %1","Невалиден атрибут %1"
"Grid","Решетка"
"List","Списък"
"All","Всички"
"Bad controller interface for showing product","Лош контролер на интерфейса за показване на снимки"
"Product is not loaded","Продуктът не е зареден"
"Make sure the To Date is later than or the same as the From Date.","Убедете се, че крайната дата не е по-ранна от началната."
"Sorry, but we can't find the new parent category you selected.","Съжалявам, но не можем да намерим новата основна категория, която сте избрали."
"Sorry, but we can't find the new category you selected.","Съжаляваме, но не можем да намерим новата категория, която сте избрали."
"We can't move the category because the parent category name matches the child category name.","Не може да преместим категорията, защото името на основната категория съвпада с името на под категория."
"Something went wrong while getting the image url.","Нещо се обърка докато откривахме URL адреса на изображението."
"Can't delete root category.","Не може да изтриете главната категория."
"The value of attribute ""%1"" must be unique.","Стойността на атрибут ""%1"" трябва да е уникална."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Продуктовото сортиране по подразбиране не съществува в наличните възможности за сортиране на продукти."
"No layout updates","Няма актуализации за оформлението"
"Products only","Само продукти"
"Static block only","Само статичен блок"
"Static block and products","Статичен блок и продукти"
"Please select a static block.","Моля, изберете статичен блок"
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Не може да се запази продукт ""%1"" с позиция %2 в категория %3"
"Category does not contain specified product","Категорията не съдържа уточнените продукти"
"Could not save product ""%product"" with position %position to category %category","Не може да се запази продукт ""%product"" с позиция %position в категория %category"
"Operation do not allow to move a parent category to any of children category","Операцията не позволява да се премести основна категория в под категория"
"Could not move category","Не може да се премести категорията"
"Could not save category: %1","Не може да запази категория: %1"
"Cannot delete category with id %1","Не може да изтриете категория с ID %1"
"-- Please Select a Category --","--Изберете категория--"
"Grid Only","Само мрежа"
"List Only","Само списък"
"Grid (default) / List","Мрежа (по подразбиране) / Списък"
"List (default) / Grid","Списък(по подразбиране) / Мрежа"
"Automatic (equalize price ranges)","Автоматично (изравни ценовите диапазони)"
"Automatic (equalize product counts)","Автоматично (изравняване на броя продукти)"
"Manual","Ръчно"
"Fixed","Фиксиран"
"Percent","Процент"
"Discount","Отстъпка"
"-- Please select --","-- Моля изберете --"
"Product Thumbnail Itself","Продуктова малка снимка"
"Parent Product Thumbnail","Малка снимка на основния продукт"
"12h AM/PM","12 часово време"
"24h","24 часово време"
"Stretch","Разтегнато"
"Tile","Разтегли"
"Top/Left","Най-горе/Ляво"
"Top/Right","Най-горе/Дясно"
"Bottom/Left","Отдолу/Ляво"
"Bottom/Right","Отдолу/Дясно"
"Center","Център"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 не се простира \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Нещо се обърка докато запазвахте файла(файловете)."
"File can not be saved to the destination folder.","Файлът не може да се запише в папката на местоназначението."
"Unknown EAV indexer type ""%1"".","Непознат EAV индекс тип ""%1""."
"We can't rebuild the index for an undefined product.","Не може да създадете отново индекса за неопределен продукт."
"Bad value was supplied.","Попълнена е лоша стойност."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модулът Плосък Каталог има ограничение от %2$d атрибути за филтриране и сортиране."" ""В момента има %1$d от тях."" ""Моля да намалите броя на атрибутите за филтриране/сортиране за да използвате този модул"
"Unsupported product type ""%1"".","Неподдържан тип продукт ""%1""."
"Please correct the category.","Моля поправете категорията."
"Must be category model instance or its id.","Трябва да произхожда от Модела на категорията или негово Id."
"The attribute model is not defined.","Не е определен модел на атрибута."
"Category","Категория"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 не е намерен в алгоритмите"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 не се разпростира \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 не се простира \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Филтърът трябва да е обект. Моля задайте правилен филтър."
"Clear Price","Изчисти цена"
"%1 and above","%1 и нагоре"
"The filters must be an array.","Филтърът трябва да бъде в масив."
"Product was not registered","Продуктът не е регистриран"
"Store was not registered","Магазинът не е регистриран"
"Group price must be a number greater than 0.","Груповата цена трябва да е по-голяма от 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Конверторът на Глерията за Медия трябва да произхожда от EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","За посочения тип не съществува MediaGalleryEntryConverter"
"Please enter a number 0 or greater in this field.","Моля в това поле впишете число 0 или по-голямо."
"The value of attribute ""%1"" must be set","Стойността на атрибут ""%1"" трябва да бъде зададен"
"SKU length should be %1 characters maximum.","Дължината на кат. номер трябва да бъде %1 знака."
"Please enter a valid number in this field.","Моля вкарайте валиден номер в това поле."
"We found a duplicate website, tier price, customer group and quantity.","Открихме повторение във УебСайт, редовна цена, клиентска група и количество."
"Percentage value must be a number between 0 and 100.","Процентна стойност трябва да е число между 0 и 100."
"Invalid option id %1","Невалидна опция за ID %1"
"Can not create attribute set based on non product attribute set.","Не може да се създаде група атрибути базирана на не продуктова група атрибути."
"Can not create attribute set based on not existing attribute set","Не може да се създаде група атрибути базирана на несъществуваща група атрибути"
"Provided Attribute set non product Attribute set.","Предложената група атрибути не е продуктова група атрибути."
"Use config","Използвай конфигурация"
"Enabled","Активиран"
"Disabled","Забранен"
"Attribute Set already exists.","Групата атрибути вече съществува."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Не може да копира файл %1. Изтрийте медии с несъществуващи изображения и опитайте отново."
"The image content is not valid.","Съдържанието на изображението е невалидно."
"Cannot save product.","Не може да запази продукт."
"Failed to save new media gallery entry.","Запазването на въведеното в медийната галерия не се осъществи."
"There is no image with provided ID.","Няма изображението с такова ID."
"Such product doesn't exist","Такъв продукт не съществува"
"Such image doesn't exist","Такъв образ не съществува"
"The image does not exist.","Това изображение не съществува."
"Please correct the image file type.","Моля коригирайте типа на изображението."
"We couldn't move this file: %1.","Не може да премести този файл: %1."
"Can't get information about the picture: %1","Не може да се вземе инфрмация за снимката: %1"
"The image could not be resized: ","Изображението не може да бъде преоразмерено: "
"Some images could not be resized. See log file for details.","Някои изображения не могат да бъдат преоразмерени. Вижте лог файла за подробни данни."
"The option type to get group instance is incorrect.","Некоректна тип опция за извличане на групова инстанция."
"Select type options required values rows.","Изберете тип опция, която изисква стойност в колоните."
"ProductSku should be specified","Трябва да се посочи кат. номер на продукта"
"Could not remove custom option","Не може да премахнете дефинираната опция"
"Please specify date required option(s).","Моля определете задължителните опции за дата."
"Please specify time required option(s).","Моля определете задължителните опции за време."
"Please specify product's required option(s).","Моля, посочете задължителните опции на продукта."
"The option instance type in options group is incorrect.","Опцията за примерен тип в опционалните групи е некоректна."
"The product instance type in options group is incorrect.","Продуктовият примерен тип в опционалните продукти е некоректен."
"The configuration item option instance in options group is incorrect.","Некоректна конфигурация на Инстанцията на Опцията на изделие в групата опции."
"The configuration item instance in options group is incorrect.","Некоректна конфигурация на Инстанцията на изделие в групата опции."
"The BuyRequest instance in options group is incorrect.","Некоректна инстанция на BuyRequest в групата опции."
"We can't add the product to the cart because of an option validation issue.","Не може да добави продукти към количката заради проблем с опцията валидиране."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 не се простира \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Невалиден формат на опции на файл."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Файлът '%1' за '%2' е с невалидно разширение."
"The maximum allowed image size for '%1' is %2x%3 px.","Максималния разрешен размер за снимка за '%1' е %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Файлът '%1' който качихте надвишава %2 megabytes разрешени от сървъра ни."
"The file '%1' is empty. Please choose another one","Файлът '%1' е празен. Моля изберете друг"
"The file '%1' is invalid. Please choose another one","Файлът '%1' е неваилден. Моля изберете друг"
"File '%1' is not an image.","Файлът ""%1"" не е изображение."
"Validation failed. Required options were not filled or the file was not uploaded.","Проверката пропадна. Изискваните опции не са попълнени или файлът не е качен."
"The file you uploaded is larger than %1 Megabytes allowed by server","Файлът който качихте надвишава %1 Megabytes разрешени от сървъра"
"Option required.","Изисква се опция."
"The file is empty. Please choose another one","Файлът е празен. Моля изберете друг"
"Some of the selected item options are not currently available.","Някои от избраните опции на изделия не са достъпни в момента."
"The text is too long.","Текстът е много дълъг."
"Invalid attribute %fieldName = %fieldValue.","Невалиден атрибут %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Исканият магазин не е намерен. ИД на ред: SKU = %SKU магазина ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Невалиден атрибут разходи = %cost. ИД на ред: SKU = %SKU магазина ID: %storeId."
"Could not save Prices.","Не може да запише цени."
"Could not delete Prices","Не може да изтрие цени"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Исканият продукт не съществува. ID на ред: SKU = %SKU ID на магазин: %storeId цена от: %priceFrom цена: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Исканият магазин не е намерен. ИД на ред: SKU = %SKU ИД на хранилище: %storeId цена от: %priceFrom цена: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Невалиден атрибут %label = %priceTo. ID на ред: SKU = %SKU ID на хранилище: %storeId цена от: %priceFrom цена: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Невалиден атрибут цена = %price. ID на ред: SKU = %SKU ID на магазин: %storeId цена от: %priceFrom цена: %priceTo."
"Could not save Tier Prices","Не може да запише нивата на цени"
"Could not replace Tier Prices","Не може да замести нивата на цени"
"Could not delete Tier Prices","Не можа да изтрие нивата на цени"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Невалиден атрибут SKU = %SKU. ID на ред: SKU = %SKU уебсайт ID: % websiteId, група клиенти: %customerGroup количество: %q кол."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Невалиден атрибут цена = %price. ID на ред: SKU = %SKU уебсайт ID: % websiteId, група клиенти: %customerGroup количество: %q кол."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Невалиден атрибут вид цена = %priceType. ID на ред: SKU = %SKU уебсайт ID: % websiteId, група клиенти: %customerGroup количество: %q."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Невалиден атрибут количество = %q ред ID: SKU = %SKU уебсайт ИД: % websiteId, група клиенти: %customerGroup количество: %q."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Невалиден атрибут ИД на сайт = %websiteId. ИД на ред: SKU = %SKU уебсайт ИД: %websiteId, група клиенти: %customerGroup количество: %q."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Намерихме дублиран сайт, ценови групи, клиентска група и количеството: група клиенти = %customerGroup WebsiteID = %websiteId, количество = %qty ID на ред: SKU = %SKU уебсайт ID: %websiteId, група клиенти: %customerGroup количество: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Няма такъв субект в група клиенти = %customerGroup. ID на ред: SKU = %SKU уебсайт ID: %websiteId, група клиенти: %customerGroup количество: %qty."
"This product doesn't have tier price","Този продукт няма подреждане цена"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Продукта не е група цена с такива данни: customerGroupId = ""%1"" сайт = %2 кол-во = %3"
"Invalid data provided for tier_price","Подадени невалидни данни за tier_price"
"Could not save group price","Не може да се запише цена на група"
"Please provide valid data","Моля, задайте валидни данни"
"Values of following attributes are invalid: %1","Невалидни стойности на следните атрибути: %1"
"We can't create writeable directory ""%1"".","Не може да създаде записваема директория \"%1\"."
"The file upload failed.","Качването на файла се провали."
"The product has required options.","Продукта има задължителни опции."
"Something went wrong while processing the request.","Нещо се обърка докато обработвахме искането."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 не се простира \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 не се простира \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Не е видим индивидуално"
"Search","Търсене"
"Catalog, Search","Каталог, Търсене"
"Something went wrong while removing products from the websites.","Нещо се обърка докато премахвахме продукти от уебсайта."
"Something went wrong while adding products to websites.","Нещо се обърка докато добавяхме продукти към уебсайта."
"Group with id ""%1"" does not exist.","Група с ID ""%1"" не съществува."
"Attribute group that contains system attributes can not be deleted","Групата атрибути, която съдържа системни атрибути не може да бъде изтрита"
"Collection provider is not registered","Нерегистриран доставчик на Колекция"
"Unknown link type: %1","Непознат вид линк: %1"
"Provided link type ""%1"" does not exist","Вписания тип линк ""%1"" не съществува"
"Invalid data provided for linked products","Подадени невалидни данни за свързаните продукти"
"Product with SKU '%1' is not linked to product with SKU '%2'","Продукт с кат. номер ""%1"" не е свързан с продукт с кат. номер ""%2"""
"Product %1 doesn't have linked %2 as %3","Продукт %1 не са свързани %2 като %3"
"Requested product doesn't exist","Исканият продукт не съществува"
"Product with SKU ""%1"" does not exist","Продукт с кат. номер ""%1"" не съществува"
"Invalid product data: %1","Невалидна продуктова информация: %1"
"Database connection error","Грешка при свързване на базата данни"
"Database deadlock found when trying to get lock","Открит Database deadlock при опит за заключване"
"Database lock wait timeout exceeded","Надвишено време за изчакване на Database lock"
"Unable to remove product %1","Не е възможно премахването на продукт %1"
"Requested product does not support images.","Зададеният продукт не поддържа изображения"
"There are not websites for assign to product","Няма Уеб страници за добавяне към продукт"
"Could not assign product ""%1"" to websites ""%2""","Не може да определи продукт ""%1"" към уебсайтове ""%2"""
"Could not save product ""%1"" with websites %2","Не може да запази продукт ""%1"" в уебсайтове %2"
"We cannot determine the field name.","Не можем да определим името на полето"
"Attribute '%1' is locked. %2","Атрибут ""%1"" е заключен. %2"
"Do not change the scope. %1","Не променяйте обхвата. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Процесорът %1 не съдържа реализиран BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Продуктовия тип не е определен за индексатора."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 не се разпростира \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Продукт с кат. номер %1 не е свързан с продукт с кат. номер %2"
"Multiple Select","Многоброен избор"
"Dropdown","Падащо меню"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 не се разпростира \Magento\Framework\Filter\Template"
"As low as","Толкова малко, колкото"
"test","тест"
"Some text is here.","Част от текста е тук."
"Some exception","Някои изключения"
"Could not get extension attributes","Не може да получи атрибутите за разширение"
"message","съобщение"
"fl","фл"
"Lock wait timeout","Заключване на изчакване"
"123","123"
"Images","Изображения"
"Select...","Изберете..."
"Advanced Pricing","Подробно ценообразуване"
"Customer Group Price","Цена за група клиенти"
"Customer Group","Клиентска група"
"Special Price From","Промо цена от"
"To","До"
"Done","Готово"
"Product Alerts","Известия за продукт"
"Alert stock","Предупреждение наличност"
"Alert Stock","Предупреждение наличност"
"Alert price","Предупреждение цена"
"Alert Price","Предупреждение цена"
"Add Selected","Добави избрани"
"Select Attribute","Избери атрибут"
"Create New Attribute","Създай нов атрибут"
"Customizable Options","Променливи опции"
"Custom options let customers choose the product variations they want.","Променливите опции позволяват на клиентите да изберат различни вариации на продукта, който искат"
"Add Option","Добави опция"
"New Option","Нова опция"
"Select Product","Избери продукт"
"Option Title","Заглавие на опцията"
"Add Value","Добави стойност"
"Title","Заглавиe"
"Option Type","Тип на опция"
"Required","Изискван"
"Price Type","Тип цена"
"Max Characters","Максимален брой символи"
"Compatible File Extensions","Съвместими файлови разширения"
"Enter separated extensions, like: png, jpg, gif.","Въведете разделени разширения, като: png, jpg, gif."
"Maximum Image Size","Максимален размер на изображение"
"Please leave blank if it is not an image.","Моля, оставете празно, ако не е изображение."
"%1","%1"
"This item has weight","Този артикул има тегло."
