"Root","Radice"
"Allow HTML Tags on Storefront","Permetti Tag HTML nel frontend"
"Visible on Catalog Pages on Storefront","Visibile sulle pagine di catalogo nel frontend"
"Used in Product Listing","Usato per la lista prodotti"
"Depends on design theme.","Dipende dal tema di design."
"Used for Sorting in Product Listing","Utilizzato per l'ordinamento nella lista prodotti"
"Media Image","Immagine media"
"Gallery","Galleria"
"System Properties","Proprietà di sistema"
"No","No"
"Yes","Sì"
"Data Type for Saving in Database","Tipo di dati per il salvataggio nel Database"
"Text","Testo"
"Varchar","Varchar"
"Static","Statico"
"Datetime","DateTime"
"Decimal","Decimale"
"Integer","Numero intero"
"Globally Editable","Modificabile Globalmente"
"Attribute Information","Informazione Attributo"
"Properties","Proprietà"
"Manage Labels","Gestisci Etichette"
"Visible","Visibile"
"Web Site","Website"
"Searchable","Ricercabile"
"Comparable","Confrontabile"
"Delete Selected Group","Elimina Gruppo Selezionato"
"Add New","Aggiungi Nuovo"
"Back","Indietro"
"Reset","Reimposta"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Stai per eliminare tutti i prodotti in questo Gruppo di attributi. Sei sicuro procedere?"
"New Set Name","Nome Nuovo Set"
"Edit Attribute Set '%1'","Modifica il Gruppo di attributi '%1'"
"Empty","Vuoto"
"Add Attribute","Aggiungi attributo"
"Add New Group","Aggiungi nuovo gruppo"
"Add Group","Aggiungi gruppo"
"Edit Attribute Set Name","Modifica il nome del Gruppo di attributi"
"For internal use","Per uso interno"
"Based On","Basato su"
"Add New Attribute Set","Aggiungi nuovo Gruppo di attributi"
"Add Attribute Set","Aggiungi Gruppo di attributi"
"Attribute Sets","Gruppo di attributi"
"Close Window","Chiudi finestra"
"New Product","Nuovo prodotto"
"Save & Edit","Salva e modifica"
"Save & New","Salva e Nuovo"
"Save & Duplicate","Salva e Duplica"
"Save & Close","Salva & Chiudi"
"Attributes","Attributi"
"Change","Modifica"
"Advanced Inventory","Inventario Avanzato"
"Websites","Website"
"Products Information","Informazioni prodotti"
"Create Category","Crea Categoria"
"Category Name","Nome categoria"
"Parent Category","Categoria genitore"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Se non esistono categorie padre personalizzate, utilizza la categoria padre predefinita. È possibile riassegnare la categoria in qualsiasi momento in <a href=""%1"" target=""_blank""> Prodotti > Categorie</a>."
"Price Alert Subscriptions","Sottoscrizioni di avvisi dei prezzi"
"Stock Alert Subscriptions","Sottoscrizioni di avvisi delle scorte"
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Subscribe Date","Data di iscrizione"
"Last Notified","Notificato ultima volta"
"Send Count","Invia totale"
"New Attribute","Nuovo attributo"
"Type","Tipo"
"Attribute Set","Set di attributi"
"Add New Option","Aggiungi nuova opzione"
"Import Options","Opzioni di importazione"
"Use Default","Usa predefinito"
"Import","Importa"
"Add New Row","Aggiungi nuova riga"
"Delete Row","Elimina riga"
"Tier Pricing","Fascia di prezzo"
"Default Price","Prezzo predefinito"
"All Websites","Tutti i Website"
"ALL GROUPS","TUTTI I GRUPPI"
"Add Price","Aggiungi prezzo"
"Default Values","Valori predefiniti"
"Related Products","Prodotti correlati"
"Up-sells","Prodotti alternativi"
"Cross-sells","Prodotti consigliati"
"Size for %1","Dimensione per %1"
"Watermark File for %1","File di filigrana per %1"
"Position of Watermark for %1","Posizione della filigrana per %1"
"Name in %1","Nome in %1"
"Quantity","Quantità"
"Edit","Modifica"
"Are you sure?","Sei sicuro?"
"Change Status","Modifica stato"
"Update Attributes","Aggiorna gli attributi"
"start typing to search category","inizia a digitare per cercare la categoria"
"New Category","Nuova Categoria"
"Images (.gif, .jpg, .png)","Immagini (. gif,. jpg,. png)"
"Add New Images","Aggiungi nuove immagini"
"Inc. Tax","Tasse incluse"
"Does this have a weight?","Questo ha un peso?"
"Product","Prodotto"
"Notify Low Stock RSS","Notifica RSS per scarsa disponibilità"
"Low Stock Products","Prodotti con scarsa disponibilità"
"%1 has reached a quantity of %2.","%1 ha raggiunto una quantità di %2."
"Home","Home"
"Go to Home Page","Vai alla Home Page"
"Subscribe to RSS Feed","Iscriviti al Feed RSS"
"Products Comparison List","Lista di confronto prodotti"
"N/A","N/D"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Seleziona --"
"None","Nessuno"
"New Products from %1","Nuovi prodotti da %1"
"New Products","Nuovi prodotti"
"%1 - Special Products","%1 - prodotti a prezzo speciale"
"Click for price","Clicca per il prezzo"
"Special Expires On: %1","Il prezzo speciale termina il: %1"
"Price: %1","Prezzo: %1"
"Special Price: %1","Prezzo speciale: %1"
"Special Products","Prodotti a prezzo speciale"
"Manage Catalog Categories","Gestisci le categorie del catalogo"
"Manage Categories","Gestisci le Categorie"
"You deleted the category.","Hai eliminato la categoria."
"Something went wrong while trying to delete the category.","Qualcosa è andato storto nel tentativo di cancellare la categoria."
"Categories","Categorie"
"Category is not available for requested store.","Categoria non disponibile per il negozio richiesto."
"There was a category move error.","C'è stato un errore durante lo spostamento della categoria."
"You moved the category.","Hai spostato la categoria."
"Attribute ""%1"" is required.","L'attributo ""%1"" è obbligatorio."
"You saved the category.","Hai salvato la categoria."
"Something went wrong while saving the category.","Qualcosa è andato storto durante il salvataggio della categoria."
"Please select products for attributes update.","Seleziona i prodotti per l'aggiornamento degli attributi."
"Please make sure to define SKU values for all processed products.","Si prega di assicurarsi di definire valori SKU per tutti i prodotti processati."
"A total of %1 record(s) were updated.","Un totale di %1 record(s) sono stati aggiornati."
"Something went wrong while updating the product(s) attributes.","Qualcosa è andato storto durante l'aggiornamento degli attributi prodotto."
"Unable to add attribute","Impossibile aggiungere l'attributo"
"Please, specify attributes","Si prega di specificare gli attributi"
"Catalog","Catalogo"
"Manage Product Attributes","Gestisci gli attributi prodotto"
"We can't delete the attribute.","Impossibile eliminare l'attributo."
"You deleted the product attribute.","Hai eliminato l'attributo prodotto."
"We can't find an attribute to delete.","Impossibile trovare un attributo da eliminare."
"This attribute no longer exists.","Questo attributo non esiste più."
"This attribute cannot be edited.","Questo attributo non può essere modificato."
"Edit Product Attribute","Modifica l'attributo del prodotto"
"An attribute set named '%1' already exists.","Un set di attributi denominato '%1' esiste già."
"Something went wrong while saving the attribute.","Qualcosa è andato storto durante il salvataggio dell'attributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Il codice attributo ""%1"" non è valido. Si prega di utilizzare per questo campo, solo lettere (a-z), numeri (0-9) o sottolineato (_). Il primo carattere deve essere una lettera."
"We can't update the attribute.","Non è possibile aggiornare l'attributo."
"You saved the product attribute.","Hai salvato l'attributo del prodotto."
"An attribute with this code already exists.","Esiste già un attributo con questo codice."
"An attribute with the same code (%1) already exists.","Esiste già un attributo con lo stesso codice (%1)."
"The value of Admin must be unique.","Il valore di Admin deve essere univoco."
"The value of Admin scope can't be empty.","Il campo ruolo admin non può essere vuoto."
"You duplicated the product.","Hai duplicato il prodotto."
"This product doesn't exist.","Questo prodotto non esiste."
"Invalid product id. Should be numeric value greater than 0","Id prodotto non valido. Dovrebbe essere un valore numerico maggiore di 0"
"Products","Prodotti"
"A group with the same name already exists.","Un gruppo con lo stesso nome esiste già."
"Something went wrong while saving this group.","Qualcosa è andato storto durante il salvataggio di questo gruppo."
"A total of %1 record(s) have been deleted.","Un totale di %1 record sono stati eliminati."
"A total of %1 record(s) have been updated.","Un totale di %1 record sono stati aggiornati."
"Something went wrong while updating the product(s) status.","Qualcosa è andato storto durante l'aggiornamento lo status di prodotto."
"Unable to save product","Impossibile salvare il prodotto"
"You saved the product.","Hai salvato il prodotto."
"SKU for product %1 has been changed to %2.","Lo SKU per il prodotto %1 è stato cambiato in %2."
"The image cannot be removed as it has been assigned to the other image role","L'immagine non può essere rimossa in quanto è stata assegnata all'altro ruolo di immagine"
"New Attribute Set","Nuovo Gruppo di attributi"
"The attribute set has been removed.","Il Gruppo di attributi è stato rimosso."
"We can't delete this set right now.","Non è possibile eliminare questo set in questo momento."
"New Set","Nuovo Set"
"Manage Product Sets","Gestisci i Set Prodotto"
"Manage Attribute Sets","Gestione dei Gruppi di attributi"
"This attribute set no longer exists.","Questo Gruppo di attributi non esiste più."
"You saved the attribute set.","Hai salvato il Gruppo di attributi."
"Something went wrong while saving the attribute set.","Qualcosa è andato storto durante il salvataggio del Gruppo di attributi."
"You added product %1 to the comparison list.","Hai aggiunto il prodotto %1 alla lista per il confronto."
"You cleared the comparison list.","Hai svuotato la lista per il confronto."
"Something went wrong  clearing the comparison list.","Qualcosa è andata storta durante la cancellazione della lista per il confronto."
"You removed product %1 from the comparison list.","Hai rimosso il prodotto %1 dalla lista per il confronto."
"1 item","1 elemento"
"%1 items","%1 elementi"
"Are you sure you want to remove this item from your Compare Products list?","Sei sicuro di voler rimuovere questo elemento dalla tua lista di comparazione?"
"Are you sure you want to remove all items from your Compare Products list?","Sei sicuro di voler rimuovere tutti gli elementi dalla tua lista di comparazione?"
"Invalid attribute %1","Attributo non valido %1"
"Grid","Griglia"
"List","Lista"
"All","Tutti"
"Bad controller interface for showing product","Interfaccia controllo scadente per mostrare il prodotto"
"Product is not loaded","Il prodotto non è stato caricato"
"Make sure the To Date is later than or the same as the From Date.","Assicurarsi che il valore del campo Alla data sia maggiore o uguale al valore del campo Dalla data."
"Sorry, but we can't find the new parent category you selected.","Purtroppo non è possibile trovare la nuova categoria padre che hai selezionato."
"Sorry, but we can't find the new category you selected.","Purtroppo non è possibile trovare la nuova categoria che hai selezionato."
"We can't move the category because the parent category name matches the child category name.","Non è possibile spostare la categoria perchè il nome della categoria padre è uguale al nome della categoria figlia."
"Something went wrong while getting the image url.","Qualcosa non ha funzinato mentre reperivo l'url dell'immagine."
"Can't delete root category.","Impossibile cancellare la categoria root."
"The value of attribute ""%1"" must be unique.","Il valore dell'attributo ""%1"" deve essere unico."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","L'Ordinamento dell'Elenco Prodotti di Default non esiste tra gli Ordinamenti degli Elenchi Prodotti Disponibili."
"No layout updates","Nessun aggiornamento del layout"
"Products only","Solo prodotti"
"Static block only","Solo blocco statico"
"Static block and products","Prodotti e blocco statico"
"Please select a static block.","Seleziona un blocco statico."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Impossibile salvare il prodotto ""%1"" con posizione %2 nella categoria %3"
"Category does not contain specified product","La categoria non contiene il prodotto specificato"
"Could not save product ""%product"" with position %position to category %category","Non è possibile salvare il prodotto ""%product"" con posizione %position per la categoria %category"
"Operation do not allow to move a parent category to any of children category","L'operazione non permette di muovere una categoria padre in nessuna della categorie figlie"
"Could not move category","Impossibile spostare la categoria"
"Could not save category: %1","Impossibile salvare la categoria: %1"
"Cannot delete category with id %1","Impossibile cancellare la categoria con id %1"
"-- Please Select a Category --","-- Seleziona una categoria--"
"Grid Only","Solo griglia"
"List Only","Solo elenco"
"Grid (default) / List","Griglia (impostazione predefinita) / elenco"
"List (default) / Grid","Elenco (impostazione predefinita) / griglia"
"Automatic (equalize price ranges)","Automatico (eguaglia le fasce di prezzo)"
"Automatic (equalize product counts)","Automatico (eguaglia i conteggi dei prodotti)"
"Manual","Manuale"
"Fixed","Fisso"
"Percent","Percentuale"
"Discount","Sconto"
"-- Please select --","-- Seleziona --"
"Product Thumbnail Itself","Miniatura Prodotto stessa"
"Parent Product Thumbnail","Miniatura Prodotto Padre"
"12h AM/PM","12 ore AM/PM"
"24h","24 ore"
"Stretch","Stira"
"Tile","Affianca"
"Top/Left","In alto a sinistra"
"Top/Right","In alto a destra"
"Bottom/Left","In basso a sinistra"
"Bottom/Right","In basso a destra"
"Center","Centro"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 non estende \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Qualcosa è andato storto durante il salvataggio del(i) file."
"File can not be saved to the destination folder.","Il file non può essere salvato nella cartella di destinazione."
"Unknown EAV indexer type ""%1"".","Indice EAV di tipo ""%1"" sconosciuto."
"We can't rebuild the index for an undefined product.","Impossibile ricostruire l'indice per un prodotto indefinito."
"Bad value was supplied.","È stato inserito un valore non valido."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Il modulo catalogo flat ha il limite di %2$d attributi filtrabili e/o ordinabili. Attualmente ci sono %1$d di questi. Per favore, riduci il numero di attributi filtrabili/ordinabili per usare questo modulo"
"Unsupported product type ""%1"".","Prodotto di tipo ""%1"" non supportato."
"Please correct the category.","Si prega di correggere la categoria."
"Must be category model instance or its id.","Deve essere un'istanza del modello categoria o il suo id."
"The attribute model is not defined.","Il modello di attributo non è definito."
"Category","Categoria"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 non è stato trovato negli algoritmi"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 non estende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 non estende \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Il filtro deve essere un oggetto. Per favore imposta il filtro corretto."
"Clear Price","Pulisci Prezzo"
"%1 and above","%1 e sopra"
"The filters must be an array.","I filtri devono essere un array."
"Product was not registered","Il prodotto non è stato registrato"
"Store was not registered","Il negozio non è stato registrato"
"Group price must be a number greater than 0.","Il prezzo del gruppo deve essere un numero maggiore di 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Il convertitore della galleria Media dovrebbe essere un'istanza di EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Non c'è nessun MediaGalleryEntryConverter per il tipo dato"
"Please enter a number 0 or greater in this field.","Inserire un numero maggiore o uguale a 0 in questo campo."
"The value of attribute ""%1"" must be set","Il valore dell'attributo ""%1"" deve essere impostato"
"SKU length should be %1 characters maximum.","La lunghezza dello SKU deve essere di massimo %1 caratteri."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"We found a duplicate website, tier price, customer group and quantity.","Sono stati trovati un website, una fascia di prezzo, un gruppo clienti e una quantità duplicati."
"Percentage value must be a number between 0 and 100.","La percentuale deve essere un valora tra 0 e 100."
"Invalid option id %1","Opzione non valida id %1"
"Can not create attribute set based on non product attribute set.","Impossibile creare un set di attributi basato su un set di attributi non di prodotto."
"Can not create attribute set based on not existing attribute set","Impossibile creare un set di attributi basato su un set di attributi non esistente"
"Provided Attribute set non product Attribute set.","Il set di attributi fornito non è un set di attributi prodotto."
"Use config","Utilizzare config"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Attribute Set already exists.","Gruppo di attributi già presente."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Impossibile copiare il file %1. Eliminare media con immagini non esistenti e riprovare."
"The image content is not valid.","Il contenuto dell'immagine non è valido."
"Cannot save product.","Non è possibile salvare il prodotto."
"Failed to save new media gallery entry.","Salvataggio nuova voce galleria media fallito."
"There is no image with provided ID.","Non c'è nessuna immagine con l'ID fornito."
"Such product doesn't exist","Prodotto inesistente"
"Such image doesn't exist","Immagine inesistente"
"The image does not exist.","L'immagine non esiste."
"Please correct the image file type.","Correggere il tipo di file dell'immagine."
"We couldn't move this file: %1.","Impossibile spostare questo file: %1."
"Can't get information about the picture: %1","Non è possibile ottenere informazioni sull'immagine: %1"
"The image could not be resized: ","L'immagine potrebbe non essere stata ridimensionata: "
"Some images could not be resized. See log file for details.","Alcune immagini potrebbero non essere state ridimensionate. Vedere il file di log per i dettagli."
"The option type to get group instance is incorrect.","Il tipo di opzione per ottenere l'istanza del gruppo non è corretto."
"Select type options required values rows.","Seleziona le righe dei valori di tipo di opzioni richiesti."
"ProductSku should be specified","Il codice articolo deve essere specificato"
"Could not remove custom option","Impossibile rimuovere opzione personalizzata"
"Please specify date required option(s).","Specifica le opzioni obbligatorie della data."
"Please specify time required option(s).","Specifica le opzioni obbligatorie dell'ora."
"Please specify product's required option(s).","Specificare le opzioni obbligatorie del prodotto."
"The option instance type in options group is incorrect.","Il tipo di istanza di opzione nel gruppo di opzioni non è corretto."
"The product instance type in options group is incorrect.","Il tipo di istanza del prodotto nel gruppo di opzioni è incorretto."
"The configuration item option instance in options group is incorrect.","L'istanza di opzione dell'oggetto di configurazione nel gruppo di opzioni è incorretta."
"The configuration item instance in options group is incorrect.","L'istanza dell'oggetto di configurazione nel gruppo di opzioni è incorretta."
"The BuyRequest instance in options group is incorrect.","L'istanza BuyRequest nel gruppo di opzioni non è corretta."
"We can't add the product to the cart because of an option validation issue.","Impossibile aggiungere il prodotto al carrello per un problema di convalida di un'opzione."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 non estende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Il formato opzioni del file non è valido."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Il file '%1' per '%2' ha un'estensione non valida."
"The maximum allowed image size for '%1' is %2x%3 px.","La massima dimensione immagine permessa per '%1' è %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Il file '%1' che hai caricato è più grande del limite di %2 Megabytes permesso dal server."
"The file '%1' is empty. Please choose another one","Il file '%1' è vuoto. Si prega di sceglierne un altro"
"The file '%1' is invalid. Please choose another one","Il file '%1' non è valido. Si prega di sceglierne un altro"
"File '%1' is not an image.","File '%1' non è un'immagine."
"Validation failed. Required options were not filled or the file was not uploaded.","Convalida fallita. Le opzioni necessarie non sono state compilate oppure il file non è stato caricato."
"The file you uploaded is larger than %1 Megabytes allowed by server","Il file che hai caricato è più grande del limite di %1 Megabytes permesso dal server"
"Option required.","Opzione necessaria."
"The file is empty. Please choose another one","Il file è vuoto. Si prega di sceglierne un altro"
"Some of the selected item options are not currently available.","Alcune delle opzioni dell'oggetto selezionate non sono al momento disponibili."
"The text is too long.","Il testo è troppo lungo."
"Invalid attribute %fieldName = %fieldValue.","Attributo non valido %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Il negozio richiesto non è stato trovato. Id riga: SKU = %SKU, Id negozio: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Attributo costo non valido = %cost. Id riga: SKU = %SKU, Id negozio: %storeId."
"Could not save Prices.","Non è possibile salvare i prezzi."
"Could not delete Prices","Non è possibile cancellare i prezzi"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Il prodotto richiesto non esiste. Id riga: SKU = %SKU, Id negozio: %storeId, Prezzo da: %priceFrom, Prezzo a: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Il negozio richiesto non è stato trovato. Id riga: SKU = %SKU, Id negozio: %storeId, Prezzo da: %priceFrom, Prezzo a: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Attributo non valido %label = %priceTo. Id riga: SKU = %SKU, Id negozio: %storeId, Prezzo da: %priceFrom, Prezzo a: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Attributo prezzo non valido = %price. Id riga: SKU = %SKU, Id negozio: %storeId, Prezzo da: %priceFrom, Prezzo a: %priceTo."
"Could not save Tier Prices","Impossibile salvare i prezzi a livelli"
"Could not replace Tier Prices","Non si possono sostituire i prezzi a livelli"
"Could not delete Tier Prices","Impossibile eliminare i prezzi a livelli"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attributo non valido SKU = %SKU. ID di riga: SKU = %SKU, ID sito: % websiteId, gruppo di clienti: %customerGroup, quantità: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attributo non valido prezzo = %price. ID di riga: SKU = %SKU, ID sito: % websiteId, gruppo di clienti: %customerGroup, quantità: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attributo non valido Tipo di Prezzo = %priceType. ID di riga: SKU = %SKU, ID sito: % websiteId, gruppo di clienti: %customerGroup, quantità: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attributo non valido Quantità = %qty. ID di riga: SKU = %SKU, ID sito: % websiteId, gruppo di clienti: %customerGroup, quantità: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attributo non valido Website ID = % websiteId. ID di riga: SKU = %SKU, ID sito: % websiteId, Gruppo Clienti: %customerGroup, quantità: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Abbiamo trovato un sito web duplicato, prezzo di livello, gruppo di clienti e quantità: Gruppo cliente = %customerGroup, sito Web ID = % websiteId, Quantità = %qty. ID di riga: SKU = %SKU, ID sito: % websiteId, gruppo di clienti: %customerGroup, Quantità: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nessun elemento con Gruppo Cliente = %customerGroup. ID di riga: SKU = %SKU, ID sito: % websiteId, Gruppo di Clienti: %customerGroup, quantità: %qty."
"This product doesn't have tier price","Questo prodotto non ha fasce di prezzo"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Il prodotto non ha un prezzo di gruppo con questi dati: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","I dati forniti per tier_price non sono validi"
"Could not save group price","Impossibile salvare prezzo dei gruppi"
"Please provide valid data","Fornire dati validi"
"Values of following attributes are invalid: %1","I valori dei seguenti attributi non sono validi: %1"
"We can't create writeable directory ""%1"".","Impossibile creare una directory scrivibile ""%1""."
"The file upload failed.","Caricamento file non riuscito."
"The product has required options.","Il prodotto ha opzioni obbligatorie."
"Something went wrong while processing the request.","Qualcosa è andato storto durante l'elaborazione della richiesta."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 non si estende a \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 non si estende a \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Non visibile singolarmente"
"Search","Cerca"
"Catalog, Search","Catalogo, ricerca"
"Something went wrong while removing products from the websites.","Qualcosa è andato storto durante la rimozione dei prodotti dai siti Web."
"Something went wrong while adding products to websites.","Qualcosa è andato storto durante l'aggiunta dei prodotti ai siti Web."
"Group with id ""%1"" does not exist.","Il gruppo con id ""%1"" non esiste."
"Attribute group that contains system attributes can not be deleted","I gruppi di attributi che contengono attributi di sistema non possono essere eliminati"
"Collection provider is not registered","Provider collection non è registrato"
"Unknown link type: %1","Tipo link sconosciuto: %1"
"Provided link type ""%1"" does not exist","Il tipo di link fornito ""%1"" non esiste"
"Invalid data provided for linked products","Inseriti dati invalidi per i prodotti collegati"
"Product with SKU '%1' is not linked to product with SKU '%2'","Il prodotto con SKU %1 non è collegato al prodotto con SKU %2"
"Product %1 doesn't have linked %2 as %3","Il prodotto %1 non ha %2 collegato come %3"
"Requested product doesn't exist","Il prodotto richiesto non esiste"
"Product with SKU ""%1"" does not exist","Il prodotto con SKU ""%1"" non esiste"
"Invalid product data: %1","Dati di prodotto non valido: %1"
"Database connection error","Errore di connessione al database"
"Database deadlock found when trying to get lock","Errore nel database trovato quando si è cercato di ottenere il blocco"
"Database lock wait timeout exceeded","Errore database, Timeout superato"
"Unable to remove product %1","Impossibile rimuovere il prodotto %1"
"Requested product does not support images.","Il prodotto richiesto non supporta le immagini."
"There are not websites for assign to product","Non ci sono siti web da assegnare al prodotto"
"Could not assign product ""%1"" to websites ""%2""","Non si può assegnare il prodotto ""%1"" ai siti Web ""%2"""
"Could not save product ""%1"" with websites %2","Non si può salvare il prodotto ""%1"" con i siti Web %2"
"We cannot determine the field name.","Non è possibile determinare il nome del campo."
"Attribute '%1' is locked. %2","L'attributo '%1' è bloccato. %2"
"Do not change the scope. %1","Non modificare l'ambito. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Il processo %1 non implementa BaseSelectProcessorinterface"
"A product type is not defined for the indexer.","Non è stato definito un tipo di prodotto per l'indicizzatore."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 non estende \Magento\Catalog\Model\Resource\Product\Indexer\Price\DefaultPrice"
