"Root","根"
"Up-sells","向上銷售"
"Cross-sells","交叉銷售"
"Size for %1"," %1 的大小"
"Watermark File for %1","%1 的浮水印檔"
"Position of Watermark for %1","%1 的浮水印的位置"
"Name in %1","在 %1 的名字"
"Quantity","數量"
"Edit","編輯"
"Are you sure?","是否確認?"
"Change Status","更改狀態"
"Update Attributes","Update Attributes"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Images (.gif, .jpg, .png)","圖片（.gif、.jpg、.png）"
"Add New Images","添加新圖片"
"Inc. Tax","含稅"
"Does this have a weight?","是否包含重量"
"Product","商品"
"Notify Low Stock RSS","RSS低庫存通知"
"Low Stock Products","低庫存商品"
"%1 has reached a quantity of %2.","%1 的庫存量已達 %2"
"Home","首頁"
"Go to Home Page","回到首頁"
"Subscribe to RSS Feed","訂閱RSS"
"Products Comparison List","商品比較表"
"N/A","不適用 "
"AM","上午"
"PM","下午"
"-- Please Select --","-- 請選擇 --"
"None","無"
"New Products from %1","%1 的新商品"
"New Products","新商品"
"%1 - Special Products","%1 - 特殊商品"
"Click for price","點擊看價格"
"Special Expires On: %1","特價將於 %1 截止"
"Price: %1","價格: %1"
"Special Price: %1","特價: %1"
"Special Products","特殊商品"
"Manage Catalog Categories","型錄分類管理"
"Manage Categories","分類管理"
"You deleted the category.","已刪除該分類"
"Something went wrong while trying to delete the category.","刪除該分類時出現錯誤"
"Categories","分類"
"Category is not available for requested store.","該商店無法使用此項分類"
"There was a category move error.","分類移動錯誤"
"You moved the category.","已移動該分類"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","分類已儲存"
"Something went wrong while saving the category.","儲存分類時發生錯誤"
"Please select products for attributes update.","請選擇商品以更新屬性"
"Please make sure to define SKU values for all processed products.","請確保已為所有產品定義 SKU 值。"
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","在更新產品的属性時，系统出錯。"
"Unable to add attribute","無法添加該物品的屬性"
"Please, specify attributes","Please, specify attributes"
"Catalog","目錄"
"Manage Product Attributes","Manage Product Attributes"
"We can't delete the attribute.","We can't delete the attribute."
"You deleted the product attribute.","你刪除了產品屬性。"
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","不能編輯此屬性。"
"Edit Product Attribute","編輯產品屬性"
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","保存該屬性時出錯。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","你保存了產品屬性。"
"An attribute with this code already exists.","這段代碼的屬性已經存在。"
"An attribute with the same code (%1) already exists.","具有相同代碼 (%1) 的屬性已經存在。"
"The value of Admin must be unique.","管理員的值必須是唯一的。"
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","你複製了產品。"
"This product doesn't exist.","此產品不存在。"
"Invalid product id. Should be numeric value greater than 0","不正確產品 id。數位值應該大於 0"
"Products","產品"
"A group with the same name already exists.","具有相同名稱的組已存在。"
"Something went wrong while saving this group.","保存該組時出了錯。"
"A total of %1 record(s) have been deleted.","共有 %1 條記錄已被刪除。"
"A total of %1 record(s) have been updated.","共有 %1 條記錄已更新。"
"Something went wrong while updating the product(s) status.","更新產品狀態時出了錯。"
"Unable to save product","Unable to save product"
"You saved the product.","你保存了產品。"
"SKU for product %1 has been changed to %2.","產品 %1 的產品編號已改為 %2。"
"The image cannot be removed as it has been assigned to the other image role","圖像無法被刪除，因為它已被分配給其他圖像角色"
"New Attribute Set","新屬性集"
"The attribute set has been removed.","屬性集已刪除。"
"We can't delete this set right now.","We can't delete this set right now."
"New Set","新集"
"Manage Product Sets","管理產品集"
"Manage Attribute Sets","管理屬性集"
"This attribute set no longer exists.","此屬性設置不再存在。"
"You saved the attribute set.","你保存了屬性集。"
"Something went wrong while saving the attribute set.","保存該屬性時出錯。"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","你清除了比較清單。"
"Something went wrong  clearing the comparison list.","清除比較清單時出錯"
"You removed product %1 from the comparison list.","您從比較清單中刪除產品 %1。"
"1 item","1個項目"
"%1 items","%1 項目"
"Are you sure you want to remove this item from your Compare Products list?","你確定你要從你的比較產品清單中刪除此項目？"
"Are you sure you want to remove all items from your Compare Products list?","你確定你要從你的比較產品清單中刪除此所有項目？"
"Invalid attribute %1","無效的屬性 %1"
"Grid","格狀"
"List","列表"
"All","全部"
"Bad controller interface for showing product","壞的控制器界面來顯示產品"
"Product is not loaded","產品未載入"
"Make sure the To Date is later than or the same as the From Date.","確保結束日期必需晚於或等於出發日期。"
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","獲得圖像URL時出錯。"
"Can't delete root category.","不能刪除根類別。"
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","沒有佈局更新"
"Products only","僅產品"
"Static block only","Static block only"
"Static block and products","Static block and products"
"Please select a static block.","Please select a static block."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","無法保存產品""%1""與位置 %2 到類別 %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","Operation do not allow to move a parent category to any of children category"
"Could not move category","Could not move category"
"Could not save category: %1","Could not save category: %1"
"Cannot delete category with id %1","Cannot delete category with id %1"
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Manual","Manual"
"Fixed","已修復"
"Percent","%"
"Discount","折扣"
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Stretch"
"Tile","Tile"
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Center","中心"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","在储存文件夹時，系统出錯。"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","Unknown EAV indexer type ""%1""."
"We can't rebuild the index for an undefined product.","我們不能為未定義的產品重建索引。"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","“平面目錄模塊” 有著 %2$d 的限制並擁有可排序的屬性。目前的屬性為 %1$d 。請減少可排序屬性的數量才能使用該產品。"
"Unsupported product type ""%1"".","不受支持的產品類型""%1""。"
"Please correct the category.","請更正該類別。"
"Must be category model instance or its id.","必須是模型類別或其 id。"
"The attribute model is not defined.","模型的屬性未定義。"
"Category","類別"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","The filter must be an object. Please set the correct filter."
"Clear Price","明確價格"
"%1 and above","%1 and above"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","請在該字段中輸入大過於0的數字。"
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Percentage value must be a number between 0 and 100.","Percentage value must be a number between 0 and 100."
"Invalid option id %1","Invalid option id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Use config"
"Enabled","啟用"
"Disabled","停用"
"Attribute Set already exists.","Attribute Set already exists."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","我們不能複製檔案%1。請刪除媒體與不存在的圖片然後重試。"
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Select type options required values rows."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"The maximum allowed image size for '%1' is %2x%3 px.","The maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","The file '%1' is invalid. Please choose another one"
"File '%1' is not an image.","檔案 '%1' 不是圖片。"
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Could not save Prices."
"Could not delete Prices","不能刪除價格"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","Could not save Tier Prices"
"Could not replace Tier Prices","Could not replace Tier Prices"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","我們發現有一個網站與我們的極為相似，打比方，層價格、 客戶組和數量： 客戶組 = %customerGroup，網站 ID = %websiteid，數量 = %qty。行 ID: SKU = %SKU，網站 ID: %websiteid，客戶群： %customerGroup，數量： %qty。"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Not Visible Individually"
"Search","搜尋"
"Catalog, Search","目錄，搜索"
"Something went wrong while removing products from the websites.","Something went wrong while removing products from the websites."
"Something went wrong while adding products to websites.","Something went wrong while adding products to websites."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product with SKU '%1' is not linked to product with SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Invalid product data: %1"
"Database connection error","Database connection error"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","There are not websites for assign to product"
"Could not assign product ""%1"" to websites ""%2""","Could not assign product ""%1"" to websites ""%2"""
"Could not save product ""%1"" with websites %2","Could not save product ""%1"" with websites %2"
"We cannot determine the field name.","We cannot determine the field name."
"Attribute '%1' is locked. %2","屬性 '%1' 被鎖定。%2"
"Do not change the scope. %1","Do not change the scope. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Product with SKU %1 is not linked to product with SKU %2"
"Multiple Select","選擇多個"
"Dropdown","Dropdown"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","低至"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","message"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","圖片"
"Select...","選擇… "
"Advanced Pricing","Advanced Pricing"
"Customer Group Price","Customer Group Price"
"Customer Group","Customer Group"
"Special Price From","Special Price From"
"To","至"
"Done","完成"
"Product Alerts","Product Alerts"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Add Selected"
"Select Attribute","Select Attribute"
"Create New Attribute","Create New Attribute"
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Add Option","新增選項"
"New Option","新的選項"
"Select Product","Select Product"
"Option Title","選項標題"
"Add Value","Add Value"
"Title","標題"
"Option Type","Option Type"
"Required","必要"
"Price Type","價格類型"
"Max Characters","Max Characters"
"Compatible File Extensions","Compatible File Extensions"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maximum Image Size"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"%1","%1"
"This item has weight","This item has weight"
"This item has no weight","This item has no weight"
"Set Product as New From","Set Product as New From"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, and Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Related products are shown to customers in addition to the item the customer is looking at."
"Add Related Products","Add Related Products"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at."
"Add Up-Sell Products","Add Up-Sell Products"
"Up-Sell Products","Up-Sell Products"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","Add Cross-Sell Products"
"Cross-Sell Products","Cross-Sell Products"
"Add Selected Products","添加所選的產品"
"Remove","移除"
"Thumbnail","縮圖"
"Actions","動作"
"Schedule Update From","Schedule Update From"
"Product in Websites","Product in Websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","名稱"
"Copy Data from","Copy Data from"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"This operation can take a long time","此操作可能需要很長時間"
"Collapse All","Collapse All"
"Expand All","全部展開"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","使用預設值"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Manage Options (Values of Your Attribute)","Manage Options (Values of Your Attribute)"
"Is Default","是預設"
"Sort Option","Sort Option"
"Groups","組合"
"Double click on a group to rename it.","Double click on a group to rename it."
"Unassigned Attributes","Unassigned Attributes"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please select a node.","Please select a node."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","對不起，我們無法完成這個請求。"
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Custom Options"
"This is a required option.","This is a required option."
"The field isn't complete.","The field isn't complete."
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"start typing to search template","start typing to search template"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Manage Stock"
"Qty","數量"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Stock Availability"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Add Product To Websites","Add Product To Websites"
"Remove Product From Websites","Remove Product From Websites"
