"Root","Hlavní"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Chcete-li přidat tento atribut do seznamu filtrů v tabulce produktů, zvolte ""Ano""."
"Store View","Zobrazení obchodu"
"Website","Webová stránka"
"Global","Globální"
"Scope","Rozsah"
"Declare attribute value saving scope.","Rozsah platnosti hodnoty atributu."
"Storefront Properties","Nastavení v obchodu"
"Use in Search","Prohledávatelný"
"Visible in Advanced Search","Viditelný v rozšířeném hledání"
"Comparable on Storefront","Porovnávatelný"
"Use for Promo Rule Conditions","Použít při tvorbě pravidech"
"Enable WYSIWYG","Zapnout editor"
"Allow HTML Tags on Storefront","Povolit HTML tagy"
"Visible on Catalog Pages on Storefront","Viditelný na stránce produktů"
"Used in Product Listing","Použít v seznamech produktů"
"Depends on design theme.","Záleží na tématu vzhledu."
"Used for Sorting in Product Listing","Použít k řazení produktů"
"Media Image","Obrázek médií"
"Gallery","Galerie"
"System Properties","Vlastnosti systému"
"No","Ne"
"Yes","Ano"
"Data Type for Saving in Database","Typ dat pro ukládání do databáze"
"Text","Text"
"Varchar","Varchar"
"Static","Statický"
"Datetime","Datum a čas"
"Decimal","Desetinné číslo"
"Integer","Celé číslo"
"Globally Editable","Globálně upravitelné"
"Attribute Information","Informace o atributu"
"Properties","Vlastnosti"
"Manage Labels","Správa označení"
"Visible","Viditelný"
"Web Site","Web"
"Searchable","Prohledávatelný"
"Comparable","Porovnávatelný"
"Delete Selected Group","Odstranit zvolenou skupinu"
"Add New","Přidat nový"
"Back","Zpět"
"Reset","Obnovit"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Chystáte se odstranit všechny produkty s touto sadou atributů. Skutečně chcete provést tuto akci?"
"New Set Name","Nový název sady"
"Edit Attribute Set '%1'","Úprava sady atributů ""%1"""
"Empty","Prázdné"
"Add Attribute","Přidat atribut"
"Add New Group","Přidat novou skupinu"
"Add Group","Přidat skupinu"
"Edit Attribute Set Name","Upravit název sady atributů"
"For internal use","Pro interní použití"
"Based On","Na základě"
"Add New Attribute Set","Přidat novou sadu atributů"
"Add Attribute Set","Přidat sadu atributů"
"Attribute Sets","Sady atributů"
"Close Window","Zavřít okno"
"New Product","Nový produkt"
"Save & Edit","Použít"
"Save & New","Uložit & nový"
"Save & Duplicate","Uložit & duplikovat"
"Save & Close","Uložit a zavřít"
"Attributes","Atributy"
"Change","Změnit"
"Advanced Inventory","Pokročilé sledování zásob"
"Websites","Weby"
"Products Information","Údaje produktu"
"Create Category","Vytvořit kategorii"
"Category Name","Název kategorie"
"Parent Category","Nadřazená kategorie"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Pokud neexistují žádné vlastní nadřazené kategorie, použijte výchozí nadřazenou kategorii. Kategorii můžete přiřadit kdykoli v <a href=""%1"" target=""_blank""> Produkty > Kategorie</a>."
"Price Alert Subscriptions","Odběr změny ceny"
"Stock Alert Subscriptions","Odběr naskladnění"
"There are no customers for this alert.","Oznámení nemá nastaveno žádný zákazník."
"First Name","Jméno"
"Last Name","Příjmení"
"Email","E-mail"
"Subscribe Date","Datum uložení"
"Last Notified","Oznámeno"
"Send Count","Počet oznámení"
"New Attribute","Nový atribut"
"Type","Typ"
"Attribute Set","Sada atributů"
"Add New Option","Přidat novou možnost"
"Import Options","Importovat možnosti"
"Use Default","Použít výchozí"
"Import","Import"
"Add New Row","Přidat nový záznam"
"Delete Row","Odstranit řádek"
"Tier Pricing","Množstevní sleva"
"Default Price","Výchozí cena"
"All Websites","Všechny weby"
"ALL GROUPS","VŠECHNY SKUPINY"
"Add Price","Přidat cenu"
"Default Values","Výchozí hodnoty"
"Related Products","Související produkty"
"Up-sells","Doporučené produkty"
"Cross-sells","Křížové produkty"
"Size for %1","Rozměr pro %1"
"Watermark File for %1","Soubor vodoznaku pro %1"
"Position of Watermark for %1","Umístění vodoznaku pro %1"
"Name in %1","Název v %1"
"Quantity","Množství"
"Edit","Upravit"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Change Status","Změnit stav"
"Update Attributes","Změnit atributy"
"start typing to search category","pro vyhledání kategorie začněte psát"
"New Category","Nová kategorie"
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Add New Images","Přidat nové obrázky"
"Inc. Tax","s DPH"
"Does this have a weight?","Má být zadána hmotnost?"
"Product","Produkt"
"Notify Low Stock RSS","RSS oznámení nízké zásoby"
"Low Stock Products","Nízká zásoba produktů"
"%1 has reached a quantity of %2.","%1 dosáhl počtu %2."
"Home","Úvod"
"Go to Home Page","Na úvodní stránku"
"Subscribe to RSS Feed","Odběr RSS zdrojů"
"Products Comparison List","Seznam porovnávaných"
"N/A","nedefinováno"
"AM","dop."
"PM","odp."
"-- Please Select --","-- Vyberte --"
"None","Nic"
"New Products from %1","Nové produkty od %1"
"New Products","Nové produkty"
"%1 - Special Products","%1 - akční produkty"
"Click for price","Kliknutím zobrazíte cenu"
"Special Expires On: %1","Akční cena vyprší: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Akční cena: %1"
"Special Products","Speciální produkty"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"You deleted the category.","Kategorie byla odstraněna."
"Something went wrong while trying to delete the category.","Při pokusu odstranit kategorii nastala chyba."
"Categories","Kategorie"
"Category is not available for requested store.","Pro požadovaný obchod není kategorie dostupná."
"There was a category move error.","Při přesunu kategorie nastala chyba."
"You moved the category.","Kategorie byla přesunuta."
"Attribute ""%1"" is required.","Atribut ""%1"" je povinný."
"You saved the category.","Kategorie byla uložena."
"Something went wrong while saving the category.","Při ukládání kategorie nastala chyba."
"Please select products for attributes update.","Zvolte produkty ke změně atributů prosím."
"Please make sure to define SKU values for all processed products.","Ujistěte se, že jsou definovány kódy pro všechny zpracovávané produkty."
"A total of %1 record(s) were updated.","Bylo upraveno celkem %1 záznam(ů)."
"Something went wrong while updating the product(s) attributes.","Při ukládání atributů produktu(ů) nastala chyba."
"Unable to add attribute","Nelze přidat atribut"
"Please, specify attributes","Zvolte atributy prosím"
"Catalog","Katalog"
"Manage Product Attributes","Správa atributů produktu"
"We can't delete the attribute.","Atribut nelze odstranit."
"You deleted the product attribute.","Atribut produktu byl odstraněn."
"We can't find an attribute to delete.","Atribut k odstranění nelze najít."
"This attribute no longer exists.","Tento atribut již neexistuje."
"This attribute cannot be edited.","Tento atribut nelze upravovat."
"Edit Product Attribute","Úprava atributu produktu"
"An attribute set named '%1' already exists.","Sada atributů s názvem '%1' již existuje."
"Something went wrong while saving the attribute.","Při ukládání atributu nastala chyba."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kód atributu ""%1"" je neplatný. Použijte pouze písmena (a-z), číslice (0-9) nebo podtržení (_), první znak musí být písmeno."
"We can't update the attribute.","Atribut nelze upravit."
"You saved the product attribute.","Atribut nelze uložit."
"An attribute with this code already exists.","Atribut s tímto kódem již existuje."
"An attribute with the same code (%1) already exists.","Atribut se stejným kódem (%1) již existuje."
"The value of Admin must be unique.","Hodnota Admin musí být jedinečná."
"The value of Admin scope can't be empty.","Hodnota rozsahu Admin nemůže být prázdná."
"You duplicated the product.","Produkt byl duplikován."
"This product doesn't exist.","Tento produkt neexistuje."
"Invalid product id. Should be numeric value greater than 0","Neplatné ID produktu: Nutné použít pouze číslo větší než nula"
"Products","Produkty"
"A group with the same name already exists.","Skupina s tímto názvem již existuje."
"Something went wrong while saving this group.","Při ukládání skupiny nastala chyba."
"A total of %1 record(s) have been deleted.","Bylo odstraněno celkem %1 záznam(ů)."
"A total of %1 record(s) have been updated.","Bylo upraveno celkem %1 záznam(ů)."
"Something went wrong while updating the product(s) status.","Při ukládání stavu produktu nastala chyba."
"Unable to save product","Produkt nelze uložit"
"You saved the product.","Produkt byl uložen."
"SKU for product %1 has been changed to %2.","Kód produktu %1 byl změněn na %2."
"The image cannot be removed as it has been assigned to the other image role","Obrázek nelze odstranit, protože byl přiřazen k funkci jiného obrázku"
"New Attribute Set","Nová sada atributů"
"The attribute set has been removed.","Sada atributů byla odstraněna."
"We can't delete this set right now.","Tuto sadu momentálně nelze odstranit."
"New Set","Nová sada"
"Manage Product Sets","Správa sad produktu"
"Manage Attribute Sets","Správa sad atributů"
"This attribute set no longer exists.","Tato sada atributů již neexistuje"
"You saved the attribute set.","Sada atributů byla uložena."
"Something went wrong while saving the attribute set.","Při ukládání sady atributů nastala chyba."
"You added product %1 to the comparison list.","Produkt %1 byl přidán k porovnání."
"You cleared the comparison list.","Seznam porovnávaných byl odstraněn."
"Something went wrong  clearing the comparison list.","Při odstranění seznamu porovnávaných nastala chyba."
"You removed product %1 from the comparison list.","Produkt %1 byl odstraněn z porovnání."
"1 item","1 položka"
"%1 items","%1 položek"
"Are you sure you want to remove this item from your Compare Products list?","Opravdu si jste jistí, že chcete odstranit tuto položku ze seznamu porovnáných produktů?"
"Are you sure you want to remove all items from your Compare Products list?","Opravdu si jste jistí, že chcete odstranit všechny položky ze seznamu porovnáných produktů?"
"Invalid attribute %1","Neplatný atribut %1"
"Grid","Mřížka"
"List","Seznam"
"All","Vše"
"Bad controller interface for showing product","Chybný řadič rozhraní pro zobrazení výrobku"
"Product is not loaded","Produkt není načten"
"Make sure the To Date is later than or the same as the From Date.","Zkontrolujte, zda konečné datum následuje po počátečním datu."
"Sorry, but we can't find the new parent category you selected.","Zvolenou novou nadřazenou kategorii nelze najít."
"Sorry, but we can't find the new category you selected.","Zvolenou novou kategorii nelze najít."
"We can't move the category because the parent category name matches the child category name.","Kategorii nelze přesunout, protože název nadřazené kategorie odpovídá názvu podřízené kategorie."
"Something went wrong while getting the image url.","Došlo k chybě při načítání url obrázku."
"Can't delete root category.","Hlavní kategorii nelze odstranit."
"The value of attribute ""%1"" must be unique.","Hodnota atributu ""%1"" musí být unikátní."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Výchozí řazení seznamu produktů není v dostupných způsobech řazení."
"No layout updates","Žádné úpravy rozvržení"
"Products only","Pouze produkty"
"Static block only","Pouze statický blok"
"Static block and products","Statický blok a produkty"
"Please select a static block.","Vyberte statický blok."
"frontend_label","oznaceni_obchodu"
"Could not save product ""%1"" with position %2 to category %3","Produkt ""%1"" s pozicí %2 nelze do kategorie %3 uložit"
"Category does not contain specified product","Kategorie neobsahuje žádný zvolený produkt"
"Could not save product ""%product"" with position %position to category %category","Produkt ""%product"" s pozicí %position nelze do kategorie %category uložit"
"Operation do not allow to move a parent category to any of children category","Nelze přesunout nadřazenou kategorii do jedné z podřízených kategorií"
"Could not move category","Kategorii nelze přesunout"
"Could not save category: %1","Kategorii nelze uložit: %1"
"Cannot delete category with id %1","Kategorii s ID %1 nelze odstranit"
"-- Please Select a Category --","-- Zvolte kategorii prosím --"
"Grid Only","Pouze mřížka"
"List Only","Pouze seznam"
"Grid (default) / List","Mřížka (výchozí) / Seznam"
"List (default) / Grid","Seznam (výchozí) / Mřížka"
"Automatic (equalize price ranges)","Automaticky (rovnoměrné ceny)"
"Automatic (equalize product counts)","Automaticky (rovnoměrné množství)"
"Manual","Ručně"
"Fixed","Pevná"
"Percent","Procenta"
"Discount","Sleva"
"-- Please select --","-- Vyberte --"
"Product Thumbnail Itself","Malý obrázek přiřazeného produktu"
"Parent Product Thumbnail","Malý obrázek nadřazeného produktu"
"12h AM/PM","12h dop./odp."
"24h","24h"
"Stretch","Roztáhnout"
"Tile","Dlaždice"
"Top/Left","Nahoře / vlevo"
"Top/Right","Nahoře / vpravo"
"Bottom/Left","Dole / vlevo"
"Bottom/Right","Dole / vpravo"
"Center","Na střed"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nerozšiřuje \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Při ukládání souboru nastala chyba."
"File can not be saved to the destination folder.","Soubor nelze uložit do cílové složky."
"Unknown EAV indexer type ""%1"".","Neznámý typ EAV indexeru ""%1""."
"We can't rebuild the index for an undefined product.","Pro nedefinované produkty nelze index obnovit."
"Bad value was supplied.","Byla zadána špatná hodnota."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Sloučený katalog je limitován %2$d filtrovatelných nebo řaditelných atributů. Nyní je jich %1$d. Kvůli použití tohoto modulu snižte počet filtrovatelných/řaditelných atributů"
"Unsupported product type ""%1"".","Nepodporovaný typ produktu ""%1""."
"Please correct the category.","Opravte kategorii prosím."
"Must be category model instance or its id.","Musí být instancí modelu kategorie nebo její ID."
"The attribute model is not defined.","Model atributu není definován."
"Category","Kategorie"
"%1 - %2","%1 x %2"
"%1 was not found in algorithms","%1 nebyl v algoritmech nalezen"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nerozšiřuje \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nerozšiřuje \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtr musí být objekt. Nastavte správný filtr."
"Clear Price","Smazat cenu"
"%1 and above","%1 a více"
"The filters must be an array.","Filtry musí být pole."
"Product was not registered","Produkt nebyl registrován"
"Store was not registered","Obchod nebyl registrován"
"Group price must be a number greater than 0.","Skupinová cena musí být větší než 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Převodník galerie médií by měl být instancí EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Pro daný typ neexistuje žádný MediaGalleryEntryConverter"
"Please enter a number 0 or greater in this field.","Do tohoto údaje zadejte číslo 0 nebo větší."
"The value of attribute ""%1"" must be set","Hodnota atributu ""%1"" musí být zadána."
"SKU length should be %1 characters maximum.","Délka SKU může být maximálně %1 znaků."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"We found a duplicate website, tier price, customer group and quantity.","Byla nalezena množstevní cena skupiny zákazníků, webu a množství."
"Percentage value must be a number between 0 and 100.","Procentuální hodnota musí být číslo mezi 0 a 100."
"Invalid option id %1","Neplatná volba ID %1"
"Can not create attribute set based on non product attribute set.","Nelze vytvořit sadu atributů odvozenou z neproduktové sady atributů."
"Can not create attribute set based on not existing attribute set","Nelze vytvořit sadu atributů odvozenou z neexistující sady atributů"
"Provided Attribute set non product Attribute set.","Poskytnutá sada atributů není produktová sada atributů."
"Use config","Použít konfiguraci"
"Enabled","Zapnuto"
"Disabled","Vypnuto"
"Attribute Set already exists.","Sada atributů již existuje."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nelze zkopírovat soubor %1. Prosím, odstraňte média s neexistujícími obrázky a opakujte akci."
"The image content is not valid.","Obsah obrázku je neplatný."
"Cannot save product.","Produkt nelze uložit."
"Failed to save new media gallery entry.","Novou položku galerie médií se nepodařilo uložit."
"There is no image with provided ID.","Toto není obrázek s poskytnutým ID."
"Such product doesn't exist","Požadovaný produkt neexistuje"
"Such image doesn't exist","Požadovaný obrázek neexistuje"
"The image does not exist.","Obrázek neexistuje."
"Please correct the image file type.","Opravte formát souboru obrázku."
"We couldn't move this file: %1.","Tento soubor nelze přesunout: %1."
"Can't get information about the picture: %1","Nelze získat informace o obrázku: %1"
"The image could not be resized: ","Velikost obrázku nelze změnit: "
"Some images could not be resized. See log file for details.","U některých obrázků nebylo možné změnit velikost. Podrobnosti viz soubor protokolu."
"The option type to get group instance is incorrect.","Neplatný typ volby k získání instance skupiny."
"Select type options required values rows.","Zvolte typy voleb požadovaných hodnot řádků."
"ProductSku should be specified","Je nutné zadat kód SKU produktu."
"Could not remove custom option","Vlastní volbu nelze odstranit"
"Please specify date required option(s).","Zadejte požadované datum(y) prosím."
"Please specify time required option(s).","Zadejte požadovaný čas(y) prosím."
"Please specify product's required option(s).","Zvolte požadované vlastnosti produktu prosím."
"The option instance type in options group is incorrect.","Neplatný typ instance volby ve skupině voleb."
"The product instance type in options group is incorrect.","Neplatný typ instance produktu ve skupině voleb."
"The configuration item option instance in options group is incorrect.","Neplatná instance konfigurační položky volby ve skupině voleb."
"The configuration item instance in options group is incorrect.","Neplatná instance položky volby ve skupině voleb."
"The BuyRequest instance in options group is incorrect.","Neplatná BuyRequest instance ve skupině voleb."
"We can't add the product to the cart because of an option validation issue.","Z důvodu problému možnosti ověření nelze přidat produkt do košíku."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nerozšiřuje \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Neplatná volba formátu souboru."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Soubor '%1' pro '%2' má neplatnou příponu."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximální povolená velikost obrázku pro '%1' je %2 x %3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Nahraný soubor '%1' je větší než serverem povolených %2 megabajtů."
"The file '%1' is empty. Please choose another one","Soubor '%1' je prázdný. Zkuste jiný"
"The file '%1' is invalid. Please choose another one","Soubor '%1' je neplatný. Zkuste jiný"
"File '%1' is not an image.","Soubor '%1' není obrázek."
"Validation failed. Required options were not filled or the file was not uploaded.","Ověření se nezdařilo. Povinné volby nebyly vyplněny nebo soubor nebyl nahrán."
"The file you uploaded is larger than %1 Megabytes allowed by server","Nahraný soubor je větší než serverem povolených %1 megabajtů"
"Option required.","Povinná volba."
"The file is empty. Please choose another one","Tento soubor je prázdný. Zkuste jiný"
"Some of the selected item options are not currently available.","Některé ze zvolených položek volby jsou nejsou dostupné."
"The text is too long.","Text je příliž dlouhý."
"Invalid attribute %fieldName = %fieldValue.","Neplatný atribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Nebylo nalezeno požadované úložiště. ID řádku: SKU = %SKU, ID obchodu: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Neplatný atribut náklady = %cost. ID řádku: SKU = %SKU, ID obchodu: %storeId."
"Could not save Prices.","Nelze uložit ceny."
"Could not delete Prices","Nelze odstranit ceny"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Požadovaný výrobek neexistuje. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Požadovaný obchod nenalezen. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Neplatný atribut %label = %priceTo. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Neplatný atribut cena = %price. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Could not save Tier Prices","Nelze uložit úroveň cen"
"Could not replace Tier Prices","Nelze nahradit úroveň cen"
"Could not delete Tier Prices","Nelze odstranit úroveň cen"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut SKU = %SKU. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut cena = %price. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut typ ceny = %priceType. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut množství = %qty. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut ID webové stránky = % websiteId. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Našli jsme duplicitní stránky, úroveň ceny, skupina zákazníků a množství: skupina zákazníků = %customerGroup, webové stránky ID = % websiteId, množství = %qty. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","Tento produkt nemá množstevní cenu"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nemá skupinovou cenu s údaji: customerGroupId = '%1', web = %2, qty = %3"
"Invalid data provided for tier_price","Data poskytnutá pro tier_price jsou neplatná"
"Could not save group price","Cenu skupiny zákazníků nelze uložit"
"Please provide valid data","Zadejte platné údaje prosím"
"Values of following attributes are invalid: %1","Hodnoty následujících atributů jsou neplatné: %1"
"We can't create writeable directory ""%1"".","Zapisovatelný adresář \"%1\" nelze vytvořit."
"The file upload failed.","Soubor nelze nahrát."
"The product has required options.","Produkt má požadované volby."
"Something went wrong while processing the request.","Při zpracování požadavku nastala chyba."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nerozšiřuje \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nerozšiřuje \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Skrytý"
"Search","Hledat"
"Catalog, Search","Katalog i hledání"
"Something went wrong while removing products from the websites.","Při odebrání produktů z webů nastala chyba."
"Something went wrong while adding products to websites.","Při přidávání produktů na weby nastala chyba."
"Group with id ""%1"" does not exist.","Skupina s ID ""%1"" neexistuje."
"Attribute group that contains system attributes can not be deleted","Nelze odstranit skupinu, která obsahuje systémové atributy."
"Collection provider is not registered","Poskytovatel kolekcí není registrován"
"Unknown link type: %1","Neznámý typ odkazu: %1"
"Provided link type ""%1"" does not exist","Poskytovaný typ odkazu ""%1"" neexistuje"
"Invalid data provided for linked products","Data poskytnutá k propojení produktů jsou neplatná"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt se SKU '%1' není spojen s produktem se SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produkt %1 není propojen %2 jako %3"
"Requested product doesn't exist","Požadovaný produkt neexistuje"
"Product with SKU ""%1"" does not exist","Produkt s SKU ""%1"" neexistuje."
"Invalid product data: %1","Neplatné údaje produktu: %1"
"Database connection error","Chyba v připojení k databázi"
"Database deadlock found when trying to get lock","Při pokusu o uzamčení došlo k zablokování databáze"
"Database lock wait timeout exceeded","Byl překročen časový limit čekání na zámek databáze"
"Unable to remove product %1","Produkt %1 nelze odstranit"
"Requested product does not support images.","Požadovaný produkt nepodporuje obrázky."
"There are not websites for assign to product","K přiřazení k produktu neexistuje žádný web"
"Could not assign product ""%1"" to websites ""%2""","K webu ""%2"" nelze produkt ""%1"" přiřadit"
"Could not save product ""%1"" with websites %2","S webem ""%2"" nelze produkt ""%1"" uložit"
"We cannot determine the field name.","Nelze určit název údaje."
"Attribute '%1' is locked. %2","Atribut '%1' je uzamčen. %2"
"Do not change the scope. %1","Do not change the scope. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Typ produktu není definován indexerem."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 nerozšiřuje \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkt s SKU %1 není propojen s produktem s SKU %2"
"Multiple Select","Vícenásobný výběr"
"Dropdown","Rozbalovací seznam"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nerozšiřuje \Magento\Framework\Filter\Template"
"As low as","Již od"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Nějaká vyjímka"
"Could not get extension attributes","Could not get extension attributes"
"message","vzkaz"
"fl","fl"
"Lock wait timeout","Vypršel čas zámku"
"123","123"
"Images","Obrázky"
"Select...","Zvolit..."
"Advanced Pricing","Pokročilá cenotvorba"
"Customer Group Price","Cena pro skupinu zákazníků"
"Customer Group","Zákaznická skupina"
"Special Price From","Akční cena od"
"To","Pro"
"Done","Hotovo"
"Product Alerts","Hlídání produktů"
"Alert stock","Upozornit naskladnění"
"Alert Stock","Upozornit naskladnění"
"Alert price","Upozornit na změnu ceny"
"Alert Price","Upozornit na změnu ceny"
"Add Selected","Přidat zvolené"
"Select Attribute","Zvolit atribut"
"Create New Attribute","Vytvořit nový atribut"
"Customizable Options","Přizpůsobitelné volby"
"Custom options let customers choose the product variations they want.","Vlastní možnosti umožňují zákazníkům vybrat požadovanou variantu produktu."
"Add Option","Přidat volbu"
"New Option","Nová možnost"
