"Root","שורש"
"Close Window","סגירת חלון"
"New Product","מוצר חדש"
"Save & Edit","שמירה ועריכה"
"Save & New","שמירה וחדש"
"Save & Duplicate","שמור ושכפל"
"Save & Close","שמור וסגור"
"Attributes","תכונות"
"Change","שינוי"
"Advanced Inventory","מלאי מתקדם"
"Websites","אתרים"
"Products Information","מידע על מוצרים"
"Create Category","צור קטגוריה"
"Category Name","שם קטגוריה"
"Parent Category","קטגורית אב"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","אם אין קטגוריות מותאמות אישית בקטוגריות האב, אנא השתמש בקטגוריה האב כברירת המחדל. ' 'באפשרותך להקצות מחדש את הקטגוריה בכל עת ב-' ' <a href=""%1"" target=""_blank""> מוצרים > קטגוריות</a>."
"Price Alert Subscriptions","מנויים להתראות מחיר"
"Stock Alert Subscriptions","מנויים להתראות מלאי"
"There are no customers for this alert.","אין לקוחות עבור התראה זו."
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Email","דואר אלקטרוני"
"Subscribe Date","תאריך הצטרפות כמנוי"
"Last Notified","הודעה אחרונה"
"Send Count","מונה שליחות"
"New Attribute","תכונה חדשה"
"Type","סוג"
"Attribute Set","קבוצת תכונות"
"Add New Option","הוסף אפשרות חדשה"
"Import Options","ייבוא אפשרויות"
"Use Default","השתמש בברירת מחדל"
"Import","ייבא"
"Add New Row","הוסף שורה חדשה"
"Delete Row","מחיקת שורה"
"Tier Pricing","מחיר כמויות"
"Default Price","מחיר בררת מחדל"
"All Websites","כל האתרים"
"ALL GROUPS","כל הקבוצות"
"Add Price","הוסף מחיר"
"Default Values","ערכי בררת מחדל"
"Related Products","מוצרים נלווים"
"Up-sells","קידומי מכירות"
"Cross-sells","מוצרים משלימים"
"Size for %1","גודל עבור %1"
"Watermark File for %1","קובץ סימן מים עבור %1"
"Position of Watermark for %1","המיקום של סימן המים עבור %1"
"Name in %1","שם ב-%1"
"Quantity","כמות"
"Edit","ערוך"
"Are you sure?","האם אתה בטוח?"
"Change Status","שנה מצב"
"Update Attributes","עדכן תכונות"
"start typing to search category","התחל להקליד כדי לחפש קטגוריה"
"New Category","קטגוריה חדשה"
"Images (.gif, .jpg, .png)","תמונות (.gif,. jpg,. png)"
"Add New Images","הוסף תמונות חדשות"
"Inc. Tax","כולל מס"
"Does this have a weight?","האם יש לזה משקל?"
"Product","מוצר"
"Notify Low Stock RSS","הודעה RSS עבור מלאי מועט"
"Low Stock Products","מוצרים במלאי מועט"
"%1 has reached a quantity of %2.","%1 הגיע לכמות של %2."
"Home","דף הבית"
"Go to Home Page","מעבר לעמוד הבית"
"Subscribe to RSS Feed","הצטרף כמנוי להזנות RSS"
"Products Comparison List","רשימת מוצרים להשוואה"
"N/A","לא זמין"
"AM","AM"
"PM","PM"
"-- Please Select --","-- אנא בחר --"
"None","ללא"
"New Products from %1","מוצרים חדשים מ-%1"
"New Products","מוצרים חדשים"
"%1 - Special Products","%1 - מוצרים מיוחדים"
"Click for price","לחץ לקבלת מחיר"
"Special Expires On: %1","מיוחד יפוג ב: %1"
"Price: %1","מחיר: %1"
"Special Price: %1","מחיר מיוחד: %1"
"Special Products","מוצרים מיוחדים"
"Manage Catalog Categories","ניהול קטגוריות קטלוג"
"Manage Categories","ניהול קטגוריות"
"You deleted the category.","מחקת את הקטגוריה."
"Something went wrong while trying to delete the category.","משהו השתבש בעת הניסיון למחוק את הקטגוריה."
"Categories","קטגוריות"
"Category is not available for requested store.","קטגוריה זו אינה זמינה עבור החנות המבוקשת."
"There was a category move error.","אירעה שגיאת העברה קטגוריה."
"You moved the category.","העברת את הקטגוריה."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","שמרת את הקטגוריה."
"Something went wrong while saving the category.","משהו השתבש בעת שמירת הקטגוריה."
"Please select products for attributes update.","נא בחר מוצרים עבור עדכון תכונות."
"Please make sure to define SKU values for all processed products.","נא ודא כי הגדרת ערכי מק""ט עבור כל המוצרים המעובדים."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","משהו השתבש בעת עדכון תכונות המוצר(ים)."
"Unable to add attribute","לא ניתן להוסיף תכונה"
"Please, specify attributes","Please, specify attributes"
"Catalog","קטלוג"
"Manage Product Attributes","נהל תכונות מוצר"
"We can't delete the attribute.","איננו יכולים למחוק את התכונה."
"You deleted the product attribute.","מחקת את תכונת המוצר."
"We can't find an attribute to delete.","איננו יכולים למצוא תכונה למחיקה."
"This attribute no longer exists.","התכונה כבר לא קיימת."
"This attribute cannot be edited.","אין אפשרות לערוך תכונה זו."
"Edit Product Attribute","ערוך תכונת מוצר"
"An attribute set named '%1' already exists.","ערך התכונה בשם '%1' כבר קיימת."
"Something went wrong while saving the attribute.","משהו השתבש בעת שמירת התכונה."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","איננו יכולים לעדכן את התכונה."
"You saved the product attribute.","שמרת את תכונת המוצר."
"An attribute with this code already exists.","תכונה עם הקוד הזה כבר קיימת."
"An attribute with the same code (%1) already exists.","תכונה עם אותו קוד (%1) כבר קיימת."
"The value of Admin must be unique.","הערך של אדמין חייב להיות ייחודי."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","שכפלת את המוצר."
"This product doesn't exist.","מוצר זה אינו קיים."
"Invalid product id. Should be numeric value greater than 0","מזהה מוצר לא חוקי. צריך להיות ערך מספרי גדול מ-0"
"Products","מוצרים"
"A group with the same name already exists.","קבוצה עם שם זהה כבר קיימת."
"Something went wrong while saving this group.","משהו השתבש בעת שמירת קבוצה זו."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"A total of %1 record(s) have been updated.","סך של %1 רשומות נערכו."
"Something went wrong while updating the product(s) status.","משהו השתבש בעת עדכון מצב המוצר(ים)."
"Unable to save product","Unable to save product"
"You saved the product.","שמרת את המוצר."
"SKU for product %1 has been changed to %2.","מק""ט עבור מוצר %1 שונה ל-%2."
"The image cannot be removed as it has been assigned to the other image role","לא ניתן להסיר את התמונה מכיוון שהיא הוקצתה לתפקידי תמונות אחרים"
"New Attribute Set","קבוצת תכונות חדשה"
"The attribute set has been removed.","קבוצת התכונות הוסרה."
"We can't delete this set right now.","איננו יכולים למחוק קבוצה זו ברגע זה."
"New Set","קבוצה חדשה"
"Manage Product Sets","ניהול קבוצות מוצרים"
"Manage Attribute Sets","ניהול קבוצות תכונות"
"This attribute set no longer exists.","קבוצת התכונות כבר לא קיימת."
"You saved the attribute set.","שמרת את קבוצת התכונות."
"Something went wrong while saving the attribute set.","משהו השתבש בעת שמירת קבוצת התכונות."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","ניקית את רשימת ההשוואה."
"Something went wrong  clearing the comparison list.","משהו השתבש  בעת ניקוי רשימת ההשוואה."
"You removed product %1 from the comparison list.","הסרת מוצר %1 מרשימת ההשוואה."
"1 item","פריט אחד"
"%1 items","%1 פריטים"
"Are you sure you want to remove this item from your Compare Products list?","האם אתה בטוח שברצונך להסיר פריט זה מהשוואת המוצרים?"
"Are you sure you want to remove all items from your Compare Products list?","האם אתה בטוח שברצונך להסיר את כל הפריטים מהשוואת המוצרים?"
"Invalid attribute %1","תכונה לא חוקית %1"
"Grid","גריד תצוגה"
"List","רשימה"
"All","הכל"
"Bad controller interface for showing product","ממשק בקר שגוי עבור מוצר מוצג"
"Product is not loaded","מוצר לא נטען"
"Make sure the To Date is later than or the same as the From Date.","ודא כי 'עד תאריך' מאוחר יותר או זהה ל-'מתאריך'."
"Sorry, but we can't find the new parent category you selected.","מצטער, אבל אנחנו לא מוצאים את קטגוריית האב החדשה שבחרת."
"Sorry, but we can't find the new category you selected.","מצטערים, אבל אנחנו לא מוצאים את הקטגוריה החדשה שבחרת."
"We can't move the category because the parent category name matches the child category name.","אנחנו לא יכולים להזיז את הקטגוריה כי שם קטגוריית האב תואם לשם הקטגוריה של הילד."
"Something went wrong while getting the image url.","משהו השתבש בעת קבלת כתובת התמונה."
"Can't delete root category.","אין אפשרות למחוק את קטגוריית האב."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","מיון מוצרים לפי ברירת מחדל לא קיים במיון רשימת מוצרים זמינים."
"No layout updates","אין עדכוני סידור"
"Products only","מוצרים בלבד"
"Static block only","בלוק סטטי בלבד"
"Static block and products","בלוק סטטי ומוצרים"
"Please select a static block.","אנא בחר בלוק סטטי."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","לא היתה אפשרות לשמור מוצר ""%1"" עם המיקום %2 בקטגוריה %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","לא היתה אפשרות לשמור מוצר ""%product"" עם המיקום %position בקטגוריה %category"
"Operation do not allow to move a parent category to any of children category","אין אפשרות להעביר קטגורית אב לקטגורית בן"
"Could not move category","לא ניתן להעביר קטגוריה"
"Could not save category: %1","לא הייתה אפשרות לשמור את הקטגוריה: %1"
"Cannot delete category with id %1","אין אפשרות למחוק את הקטגוריה עם המזהה %1"
"-- Please Select a Category --","--אנא בחר קטגוריה --"
"Grid Only","גריד בלבד"
"List Only","רשימה בלבד"
"Grid (default) / List","גריד (בררת מחדל) / רשימה"
"List (default) / Grid","רשימה (בררת מחדל) / גריד"
"Automatic (equalize price ranges)","אוטומטי (השוואת טווחי מחיר)"
"Automatic (equalize product counts)","אוטומטי (השוואת כמויות מוצר)"
"Manual","באופן ידני"
"Fixed","קבוע"
"Percent","אחוז"
"Discount","הנחה"
"-- Please select --","-- אנא בחר --"
"Product Thumbnail Itself","התמונה הממוזערת של המוצר עצמו"
"Parent Product Thumbnail","התמונה הממוזערת של מוצר האב"
"12h AM/PM","12 שעות AM/PM"
"24h","24 שעות"
"Stretch","מתיחה"
"Tile","אריח"
"Top/Left","למעלה / שמאלה"
"Top/Right","למעלה / ימינה"
"Bottom/Left","למטה / שמאלה"
"Bottom/Right","למטה / ימינה"
"Center","מרכז"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 לא קיים \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","משהו השתבש בעת שמירת הקבצים."
"File can not be saved to the destination folder.","לא ניתן לשמור את הקובץ לתיקיית היעד."
"Unknown EAV indexer type ""%1"".","סוג מאנדקס EAV לא ידוע ""%1""."
"We can't rebuild the index for an undefined product.","אנחנו לא יכולים לאנדקס מחדש מוצר לא מוגדר."
"Bad value was supplied.","סופק ערך רע."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","המודול קטלוג השטוח בעל מגבלה של %2\$ d תכונות משתפות ו/או ניתנת למיון. "" ""כיום יש %1\$ d מהם."" ""בבקשה להפחית את מספר התכונות משתפות/ניתנת למיון כדי להשתמש במודול"
"Unsupported product type ""%1"".","סוג המוצר ""%1"" לא נתמך."
"Please correct the category.","נא תקן את הקטגוריה."
"Must be category model instance or its id.","חייבת להיות מופע של המודל קטגוריה או מזהה שלו."
"The attribute model is not defined.","מודל התכונה לא מוגדר."
"Category","קטגוריה"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1. לא מורחב \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 לא מורחב \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","המסנן חייב להיות אובייקט. נא הגדר את המסנן הנכון."
"Clear Price","נקה מחיר"
"%1 and above","%1 ומעלה"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","קבוצת המחיר חייבת להיות מספר גדול מ-0."
"Media Gallery converter should be an instance of EntryConverterInterface.","ממיר גלריית מדיה צריך להיות מופע של EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","אין MediaGalleryEntryConverter עבור הסוג הנתון"
"Please enter a number 0 or greater in this field.","אנא הזן את המספר 0 או גדול יותר בשדה זה."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","אורך המק""ט צריך להיות עד %1 תווים."
"Please enter a valid number in this field.","נא הזן מספר חוקי בשדה זה."
"We found a duplicate website, tier price, customer group and quantity.","מצאנו אתר כפול, מחיר כמותי, קבוצת לקוחות וכמות."
"Percentage value must be a number between 0 and 100.","ערך באחוזים חייב להיות מספר בין 0 ל- 100."
"Invalid option id %1","מזהה אפשרות %1 לא חוקי"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","קבוצת תכונות שסופקה ללא קבוצת תכונות מוצר."
"Use config","השתמש בהגדרה"
"Enabled","פעיל"
"Disabled","לא פעיל"
"Attribute Set already exists.","קבוצת התכונות כבר קיימת."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","אנחנו לא הצלחנו להעתיק קובץ %1. נא למחוק מדיה עם תמונות שאינם קיימות ונסה שוב."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","סוג האפשרות לקבלת מופיע הקבוצה לא נכון."
"Select type options required values rows.","בחירת סוג אפשרויות דורש ערכי שורות."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","נא לספק אפשרויות תאריכים דרושות."
"Please specify time required option(s).","נא לסמן אפשרויות זמן דרושות."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","סוג מופע האפשרות בקבוצת האפשרויות לא נכון."
"The product instance type in options group is incorrect.","סוג מופע המוצר בקבוצת האפשרויות לא נכון."
"The configuration item option instance in options group is incorrect.","המופע של אפשרות פריט הגדרת תצורה בקבוצת האפשרויות לא נכון."
"The configuration item instance in options group is incorrect.","המופע של פריט הגדרת תצורה בקבוצת האפשרויות לא נכון."
"The BuyRequest instance in options group is incorrect.","המופע של BuyRequest בקבוצת האפשרויות לא נכון."
"We can't add the product to the cart because of an option validation issue.","אין לנו אפשרות להוסיף את המוצר העגלה בגלל בעיה באימות אפשרות."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 לא מורחב \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","פיקסלים."
"The file '%1' for '%2' has an invalid extension.","לקובץ '%1' עבור '%2' יש סיומת לא חוקית."
"The maximum allowed image size for '%1' is %2x%3 px.","הגודל המרבי המותר לתמונה עבור '%1' הוא %2x%3 פיקסלים."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","הקובץ '%1' שהעלאת גדול יותר מ-%2 מגה שמורשים על ידי השרת."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","הקובץ '%1' לא חוקי. אנא בחר קובץ אחר"
"File '%1' is not an image.","קובץ '%1' הוא לא תמונה."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","חלק מאפשריות הפריט שבחרת לא זמינים כרגע."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","תכונה לא חוקית %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","החנות המבוקשת לא נמצאה. מזהה שורה: SKU = %SKU, חנות מזהה: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","תכונה לא חוקית עבור מחיר = %cost. מזהה שורה: SKU = %SKU, חנות מזהה: %storeId."
"Could not save Prices.","לא היתה אפשרות לשמור את המחירים."
"Could not delete Prices","לא היתה אפשרות למחוק את המחירים"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","לא ניתן לשמור את קבוצת המחירים"
"Could not replace Tier Prices","לא ניתן להחליף את קבוצת המחירים"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","למוצר זה אין קבוצת מחיר עם נתונים כאלה: מזהה לקוח קבוצתי= '%1', אתר = %2, כמות = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","משהו השתבש בעת עיבוד הבקשה."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 לא מורחב \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 לא מורחב \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","אינו גלוי בנפרד"
"Search","חפש"
"Catalog, Search","קטלוג, חיפוש"
"Something went wrong while removing products from the websites.","משהו השתבש בעת הסרת המוצרים מהאתרים."
"Something went wrong while adding products to websites.","משהו השתבש בעת הוספת המוצרים לאתרים."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","מוצר עם המק""ט '%1' לא מקושר למוצר עם המק""ט '%2'"
"Product %1 doesn't have linked %2 as %3","המוצר %1 אין מקושר %2 כמו %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","נתון מוצר לא חוקי: %1"
"Database connection error","שגיאת חיבור לבסיס הנתונים"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","לא קיימים אתרים להקצאה עבור המוצר"
"Could not assign product ""%1"" to websites ""%2""","לא הייתה אפשרות להקצות את המוצר ""%1"" לאתרים ""%2"""
"Could not save product ""%1"" with websites %2","לא הייתה אפשרות לשמור את מוצר ""%1"" באתרים %2"
"We cannot determine the field name.","אין לנו אפשרות לקבוע את שם השדה."
"Attribute '%1' is locked. %2","התכונה '%1' נעולה. %2"
"Do not change the scope. %1","אל תשנה את הטווח. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","סוג המוצר אינו מוגדר עבור בונה האינדקסים."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","מוצר עם המק""ט %1 לא מקושר למוצר עם המק""ט %2"
"Multiple Select","בחירה מרובה"
"Dropdown","רשימה נפתחת"
