"Root","Gốc"
"Globally Editable","Có thể chỉnh sửa trên toàn cầu"
"Attribute Information","Thông tin Thuộc tính"
"Properties","Thuộc tính"
"Manage Labels","Quản lý nhãn"
"Visible","Thấy được"
"Web Site","Trang Web"
"Searchable","Có thể tìm kiếm"
"Comparable","Có thể so sánh"
"Delete Selected Group","Xoá nhóm đã chọn"
"Add New","Thêm sản phẩm mới"
"Back","Trở lại"
"Reset","Thiết lập lại"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Bạn đang định xóa bỏ tất cả các sản phẩm trong này thiết lập thuộc tính. Bạn có chắc bạn muốn làm điều đó?"
"New Set Name","đặt tên mới"
"Edit Attribute Set '%1'","Chỉnh sửa thiết lập thuộc tính '%1'"
"Empty","Trống"
"Add Attribute","Thêm thuộc tính"
"Add New Group","Thêm nhóm mới"
"Add Group","Thêm nhóm"
"Edit Attribute Set Name","Chỉnh sửa thuộc tính đặt tên"
"For internal use","Để sử dụng nội bộ"
"Based On","Dựa trên"
"Add New Attribute Set","Thêm thiết lập thuộc tính mới"
"Add Attribute Set","Thêm thuộc tính thiết lập"
"Attribute Sets","Thiết lập thuộc tính"
"Close Window","Đóng cửa sổ"
"New Product","Sản phẩm mới"
"Save & Edit","Lưu & chỉnh sửa"
"Save & New","Lưu & mới"
"Save & Duplicate","Lưu & trùng lặp"
"Save & Close","Lưu & đóng"
"Attributes","Thuộc tính"
"Change","Thay đổi"
"Advanced Inventory","Nâng cấp kho hàng"
"Websites","Các trang web"
"Products Information","Thông tin sản phẩm"
"Create Category","Tạo danh mục"
"Category Name","Tên danh mục"
"Parent Category","Danh mục cha"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Nếu không có danh mục cha, xin vui lòng sử dụng các danh mục cha mặc định. Bạn có thể gán các loại tại bất kỳ thời điểm nào trong <a href=""%1"" target=""_blank""> Products > Categoriesi</a>."
"Price Alert Subscriptions","Đăng ký báo giá"
"Stock Alert Subscriptions","Đăng ký thông báo kho"
"There are no customers for this alert.","Không có khách hàng này cảnh báo."
"First Name","Tên"
"Last Name","Họ"
"Email","Email"
"Subscribe Date","Ngày đăng ký"
"Last Notified","Thông báo cuối"
"Send Count","Gửi Tổng số"
"New Attribute","Thuộc tính mới"
"Type","Loại"
"Attribute Set","Thiết lập thuộc tính"
"Add New Option","Thêm lựa chọn mới"
"Import Options","Nhập tùy chọn"
"Use Default","Sử dụng mặc định"
"Import","Nhập"
"Add New Row","Thêm hàng mới"
"Delete Row","Xóa hàng"
"Tier Pricing","Giá theo bậc"
"Default Price","Giá mặc định"
"All Websites","Tất cả trang Web"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Add Price","Thêm giá"
"Default Values","Giá trị mặc định"
"Related Products","Sản phẩm liên quan"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Size for %1","Kích thước %1"
"Watermark File for %1","Tệp chìm khoảng %1"
"Position of Watermark for %1","Vị trí của tệp chìm khoảng %1"
"Name in %1","Tên %1"
"Quantity","Số lượng"
"Edit","Chỉnh sửa"
"Are you sure?","Bạn chắc chứ?"
"Change Status","Thay đổi Trạng thái"
"Update Attributes","Cập Nhật thuộc tính"
"start typing to search category","bắt đầu nhập để tìm nhóm"
"New Category","Nhóm mới"
"Images (.gif, .jpg, .png)","Hình ảnh (.gif, .jpg, .png)"
"Add New Images","Lưu hình ảnh mới"
"Inc. Tax","Bao gồm thuế"
"Does this have a weight?","Sản phẩm này có trọng lượng không?"
"Product","Sản phẩm"
"Notify Low Stock RSS","Thông báo tồn kho thấp"
"Low Stock Products","Sản phẩm tồn kho thấp"
"%1 has reached a quantity of %2.","%1 đã đạt một số lượng %2."
"Home","Trang chủ"
"Go to Home Page","Đi đến trang chủ"
"Subscribe to RSS Feed","Đăng ký RSS Feed"
"Products Comparison List","Danh sách sản phẩm so sánh"
"N/A","Không xác định"
"AM","Sáng"
"PM","Chiều"
"-- Please Select --","-- Vui lòng chọn --"
"None","Không cái nào"
"New Products from %1","Các sản phẩm mới từ %1"
"New Products","Sản phẩm mới"
"%1 - Special Products","%1 - sản phẩm đặc biệt"
"Click for price","Nhấp vào để xem giá"
"Special Expires On: %1","Hạn đặc biệt vào ngày: %1"
"Price: %1","Giá: %1"
"Special Price: %1","Giá đặc biệt: %1"
"Special Products","Sản phẩm đặc biệt"
"Manage Catalog Categories","Quản lý những loại danh mục"
"Manage Categories","Quản lý danh mục"
"You deleted the category.","Bạn đã xoá mục này."
"Something went wrong while trying to delete the category.","Một điều gì đó đã đi sai trong khi đang cố gắng để xóa mục này."
"Categories","Nhóm"
"Category is not available for requested store.","Mục không có sẵn cho các cửa hàng được yêu cầu."
"There was a category move error.","Đã có một lỗi di chuyển mục."
"You moved the category.","Bạn đã chuyển mục này."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Bạn đã lưu mục này."
"Something went wrong while saving the category.","Một điềugì đó đã sai trong khi lưu mục này."
"Please select products for attributes update.","Vui lòng chọn sản phẩm cho việc cập nhật thuộc tính."
"Please make sure to define SKU values for all processed products.","Hãy chắc chắn để xác định các giá trị mã sản phẩm cho tất cả các sản phẩm được xử lý."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Một điều đó đã đi sai trong khi cập nhật các thuộc tính của sản phẩm(s)."
"Unable to add attribute","Không thể thêm thuộc tính"
"Please, specify attributes","Please, specify attributes"
"Catalog","Danh mục"
"Manage Product Attributes","Quản lý các thuộc tính sản phẩm"
"We can't delete the attribute.","Chúng ta không thể xóa bỏ các thuộc tính."
"You deleted the product attribute.","Bạn đã xoá các thuộc tính của sản phẩm."
"We can't find an attribute to delete.","Chúng tôi không tim thấy thuộc tính để xóa."
"This attribute no longer exists.","Thuộc tính này không còn tồn tại."
"This attribute cannot be edited.","Thuộc tính này không thể được chỉnh sửa."
"Edit Product Attribute","Chỉnh sửa thuộc tính sản phẩm"
"An attribute set named '%1' already exists.","Một bộ thuộc tính tên '%1' đã tồn tại."
"Something went wrong while saving the attribute.","Một điều gì đó đã đi sai trong khi lưu các thuộc tính."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Chúng tôi không thể Cập Nhật thuộc tính."
"You saved the product attribute.","Bạn đã lưu các thuộc tính của sản phẩm."
"An attribute with this code already exists.","Một thuộc tính với mã này đã tồn tại."
"An attribute with the same code (%1) already exists.","Một thuộc tính với cùng mã (%1) đã tồn tại."
"The value of Admin must be unique.","Giá trị của Admin phải là duy nhất."
"The value of Admin scope can't be empty.","Giá trị của phạm vi Admin không thể để trống."
"You duplicated the product.","Bạn lặp lại các sản phẩm."
"This product doesn't exist.","Sản phẩm này không tồn tại."
"Invalid product id. Should be numeric value greater than 0","Id sản phẩm không hợp lệ. Nên giá trị số lớn hơn 0"
"Products","Các sản phẩm"
"A group with the same name already exists.","Một nhóm có cùng tên đã tồn tại."
"Something went wrong while saving this group.","Có điều gì đó đã sai trong khi lưu nhóm này."
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi (s) đã bị xóa."
"A total of %1 record(s) have been updated.","Tổng cộng %1 bản ghi (s) đã được cập nhật."
"Something went wrong while updating the product(s) status.","Điều gì đó đã sai trong khi cập nhật tình trạng sản phẩm."
"Unable to save product","Unable to save product"
"You saved the product.","Bạn đã lưu sản phẩm."
"SKU for product %1 has been changed to %2.","Mã sản phẩm đối với sản phẩm %1 đã được thay đổi thành %2."
"The image cannot be removed as it has been assigned to the other image role","Hình ảnh không thể được loại bỏ vì nó đã được chỉ định vai trò của hình ảnh khác"
"New Attribute Set","Thiết lập thuộc tính mới"
"The attribute set has been removed.","Thiết lập thuộc tính đã được gỡ bỏ."
"We can't delete this set right now.","Chúng ta không thể xóa thiết lập này ngay bây giờ."
"New Set","Thiết lập mới"
"Manage Product Sets","Quản lý bộ sản phẩm"
"Manage Attribute Sets","Quản lý các bộ thuộc tính"
"This attribute set no longer exists.","Thuộc tính này thiết lập không còn tồn tại."
"You saved the attribute set.","Bạn đã lưu lại các thiết lập thuộc tính."
"Something went wrong while saving the attribute set.","Điều gì đó đã sai trong khi lưu thuộc tính."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Bạn xóa danh sách so sánh."
"Something went wrong  clearing the comparison list.","Điều gì đó đã sai khi lọc danh sách so sánh."
"You removed product %1 from the comparison list.","Bạn loại bỏ sản phẩm %1 từ danh sách so sánh."
"1 item","1 sản phẩm"
"%1 items","%1 sản phẩm"
"Are you sure you want to remove this item from your Compare Products list?","Bạn có chắc bạn muốn xoá nó này khỏi danh sách so sánh sản phẩm của bạn không?"
"Are you sure you want to remove all items from your Compare Products list?","Bạn có chắc bạn muốn xoá nó khỏi danh sách so sánh sản phẩm của bạn không?"
"Invalid attribute %1","Thuộc tính không hợp lệ %1"
"Grid","Lưới"
"List","Danh sách"
"All","Tất Cả"
"Bad controller interface for showing product","Giao diện điều khiển không tốt cho việc hiển thị sản phẩm"
"Product is not loaded","Sản phẩm không tải được"
"Make sure the To Date is later than or the same as the From Date.","Đảm bảo Ngày Đến muộn hơn hoặc tương tự như Ngày Bắt Đầu."
"Sorry, but we can't find the new parent category you selected.","Xin lỗi, chúng tôi không tìm thấy danh mục cha mà bạn đã chọn."
"Sorry, but we can't find the new category you selected.","Xin lỗi, nhưng chúng tôi không thể tìm thấy các thể loại mới mà bạn đã chọn."
"We can't move the category because the parent category name matches the child category name.","Chúng tôi không thể di chuyển các loại vì tên thể loại phụ huynh phù hợp với tên thể loại của trẻ em."
"Something went wrong while getting the image url.","Một điều gì đó đã sai trong khi nhận được các link của hình ảnh."
"Can't delete root category.","Không thể xoá mục gốc."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Danh sách sắp xếp sản phẩm mặc định không tồn tại trong danh sách sắp xếp các sản phẩm sẵn có."
"No layout updates","Không có giao diện cập nhật"
"Products only","Chỉ sản phẩm"
"Static block only","Khối tĩnh"
"Static block and products","Khối tĩnh và các sản phẩm"
"Please select a static block.","Vui lòng chọn một khối tĩnh."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Không thể lưu sản phẩm ""%1"" với vị trí %2 trong mục %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Không thể lưu sản phẩm ""%product"" với vị trí %position trong thể loại %category"
"Operation do not allow to move a parent category to any of children category","Chiến dịch không cho phép để di chuyển thể loại cha với bất kỳ thể loại con"
"Could not move category","Không thể di chuyển danh mục"
"Could not save category: %1","Không thể lưu mục: %1"
"Cannot delete category with id %1","Không thể xoá các danh mục với id %1"
"-- Please Select a Category --","--Vui lòng chọn danh mục--"
"Grid Only","Chỉ lưới"
"List Only","Chỉ liệt kê"
"Grid (default) / List","Lưới (mặc định) / danh sách"
"List (default) / Grid","Danh sách (mặc định) / lưới"
"Automatic (equalize price ranges)","Tự động (cân bằng khoảng giá)"
"Automatic (equalize product counts)","Tự động (cân bằng số lần sản phẩm)"
"Manual","Thủ công"
"Fixed","Cố định"
"Percent","Phần trăm"
"Discount","Chiết khấu"
"-- Please select --","--Vui lòng chọn--"
"Product Thumbnail Itself","Sản phẩm thu nhỏ của nó"
"Parent Product Thumbnail","Sản phẩm cha thu nhỏ"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Căng"
"Tile","Ngói"
"Top/Left","Trên cùng/trái"
"Top/Right","Trên cùng/phải"
"Bottom/Left","Dưới cùng, bên trái"
"Bottom/Right","Dưới cùng, bên phải"
"Center","Trung tâm"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 không mở rộng \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Một cái gì đó đã đi sai trong khi lưu tệp."
"File can not be saved to the destination folder.","Tệp có thể không được lưu vào thư mục đích."
"Unknown EAV indexer type ""%1"".","Chỉ mục EAV kiểu ""%1"" không xác định."
"We can't rebuild the index for an undefined product.","Chúng tôi không thể xây dựng lại các chỉ số cho một sản phẩm không xác định."
"Bad value was supplied.","Giá trị không tốt được cung cấp."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Các mô-đun Flat Catalog có một giới hạn của %2\$ d có thể lọc và/hoặc sắp xếp thuộc tính. "" ""Hiện đang có %1\$ d của họ."" ""Vui lòng giảm bớt số lượng các thuộc tính có thể lọc/sắp xếp để sử dụng module này"
"Unsupported product type ""%1"".","Sản phẩm không được hỗ trợ kiểu ""%1""."
"Please correct the category.","Xin vui lòng chỉnh sửa đúng các loại."
"Must be category model instance or its id.","Phải là thể loại mô hình ví dụ hoặc id của nó."
"The attribute model is not defined.","Các thuộc tính mô hình không được xác định."
"Category","Nhóm"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 không mở rộng \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 không mở rộng \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Bộ lọc phải là một đối tượng. Xin vui lòng thiết lập bộ lọc chính xác."
"Clear Price","Giá rõ ràng"
"%1 and above","%1 và cao hơn"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Giá nhóm phải là một số lớn hơn 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Chuyển đổi thư viện phương tiện truyền thông nên một thể hiện của mục chuyển đổi giao diện."
"There is no MediaGalleryEntryConverter for given type","Không có mục chuyển đổi giao diện cho loại có sẵn"
"Please enter a number 0 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 0 vào trường này."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Độ dài mã sản phẩm nên là %1 ký tự tối đa."
"Please enter a valid number in this field.","Vui lòng nhập một số hợp lệ trong lĩnh vực này."
"We found a duplicate website, tier price, customer group and quantity.","Chúng tôi tìm thấy một trang web trùng lặp, tầng giá, khách hàng nhóm và số lượng."
"Percentage value must be a number between 0 and 100.","Giá trị phần trăm phải là một số giữa 0 và 100."
"Invalid option id %1","Id tùy chọn không hợp lệ %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Cung cấp thiết đặt sản phẩm không thuộc đặc tính thiết lập."
"Use config","Sử dụng cấu hình"
"Enabled","Cho phép"
"Disabled","Vô hiệu hóa"
"Attribute Set already exists.","Thiết lập thuộc tính đã tồn tại."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Chúng tôi không thể sao chép các tập tin %1. Xin vui lòng xóa phương tiện truyền thông với những hình ảnh không sẵn có và thử lại."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Các loại tùy chọn để có được trường hợp nhóm là không chính xác."
"Select type options required values rows.","Chọn loại tùy chọn được yêu cầu giá trị hàng."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Xin vui lòng chỉ rõ lựa chọn ngày được yêu cầu."
"Please specify time required option(s).","Xin vui lòng chỉ rõ lựa chọn thời gian được yêu cầu."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Lựa chọn loại thể hiện trong tùy chọn Nhóm là không chính xác."
"The product instance type in options group is incorrect.","Loại sản phẩm thể hiện trong tùy chọn Nhóm là không chính xác."
"The configuration item option instance in options group is incorrect.","Trường hợp lựa chọn mục cấu hình trong tùy chọn Nhóm là không chính xác."
"The configuration item instance in options group is incorrect.","Ví dụ mục cấu hình trong các tùy chọn Nhóm là không chính xác."
"The BuyRequest instance in options group is incorrect.","Ví dụ yêu cầu mua hàng trong tùy chọn Nhóm là không chính xác."
"We can't add the product to the cart because of an option validation issue.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng vì một vấn đề xác nhận tùy chọn."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 không mở rộng \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Tệp '%1' cho '%2' có phần mở rộng không hợp lệ."
"The maximum allowed image size for '%1' is %2x%3 px.","Kích thước hình ảnh tối đa cho phép cho '%1' là %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","'%1' bạn đã tải lên tập tin là lớn hơn %2 megabytes dung lượng được cho phép trên server của chúng tôi."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","Tệp '%1' là không hợp lệ. Hãy chọn cái khác"
"File '%1' is not an image.","File '%1' không phải là một hình ảnh."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Một số tùy chọn khoản mục đã chọn không có sẵn hiện nay."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Thuộc tính không hợp lệ %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Cửa hàng được yêu cầu không được tìm thấy. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Thuộc tính chi phí không hợp lệ = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Không thể lưu giá."
"Could not delete Prices","Không thể xóa bỏ giá"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Cửa hàng yêu cầu không được tìm thấy. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Thuộc tính không hợp lệ %label = %priceTo. Mã hàng: Mã sản phẩm = %SKU, ID cửa hàng: %storeId, giá từ: %priceFrom, giá đến: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Thuộc tính không hợp lệ Giá = %priceTo. Mã hàng: Mã sản phẩm = %SKU, ID cửa hàng: %storeId, giá từ: %priceFrom, giá đến: %priceTo."
"Could not save Tier Prices","Không thể lưu cấp giá"
"Could not replace Tier Prices","Không thể thay thế cấp giá"
"Could not delete Tier Prices","Không thể xóa cấp giá"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Thuộc tính không hợp lệ mã sản phẩm = %SKU. Mã hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Thuộc tính không hợp lệ Giá = %price. Mã hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Thuộc tính không hợp lệ Kiểu Giá = %priceType. Mã hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Thuộc tính không hợp lệ mã Số lượng = %qKU. Mã hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Thuộc tính không hợp lệ Website ID = %websiteId. Id hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Chúng tôi tìm thấy một trang web trùng lặp, tầng giá, nhóm khách hàng và số lượng: Nhóm khách hàng = %customerGroup, trang web ID = % websiteId, số lượng = %qty. Id hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Không có Thuộc tính hợp lệ Nhóm khách hàng = %customerGroup. Mã hàng: Mã sản phẩm = %SKU, trang web ID: % websiteId, nhóm khách hàng: %customerGroup, số lượng: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Sản phẩm đã không nhóm giá với các dữ liệu như vậy: customerGroupId = '%1', trang web = %2, SL = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Điều gì đó đã sai trong khi xử lý yêu cầu."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 không mở rộng \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 không mở rộng \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Không thể nhìn thấy cá nhân"
"Search","Tìm kiếm"
"Catalog, Search","Danh mục, tìm kiếm"
"Something went wrong while removing products from the websites.","Điều gì đó đã sai trong khi loại bỏ các sản phẩm từ các trang web."
"Something went wrong while adding products to websites.","Điều gì đó đã sai trong khi thêm sản phẩm đến các trang web."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Sản phẩm với mã '%1' không được liên kết đến các sản phẩm với mã '%2'"
