"Root","اصلی"
"Used for Sorting in Product Listing","استفاده شده برای مرتب سازی لیست محصولات"
"Media Image","رسانه تصویر"
"Gallery","گالری"
"System Properties","مشخصات سیستم"
"No","خیر"
"Yes","بله"
"Data Type for Saving in Database","نوع داده برای ذخیره در پایگاه داده"
"Text","متن"
"Varchar","کاراکتر متغییر"
"Static","ایستا"
"Datetime","تاریخ"
"Decimal","اعشاری"
"Integer","عدد صحیح"
"Globally Editable","قابل ویرایش به طور سراسری"
"Attribute Information","اطلاعات ویژگی"
"Properties","مشخصات"
"Manage Labels","مدیریت برچسب ها"
"Visible","قابل مشاهده"
"Web Site","وب سایت"
"Searchable","قابل جستجو"
"Comparable","قابل مقایسه"
"Delete Selected Group","حذف گروه انتخاب شده"
"Add New","افزودن جدید"
"Back","بازگشت"
"Reset","بازنشانی"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","شما در حال حذف تمام محصولات در این مجموعه ویژگی هستید. آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"New Set Name","نام مجموعه‌ جدید"
"Edit Attribute Set '%1'","ویرایش مجموعه ویژگی '%1'"
"Empty","خالی"
"Add Attribute","افزودن ویژگی"
"Add New Group","افزودن گروه جدید"
"Add Group","افزودن گروه"
"Edit Attribute Set Name","ویرایش نام مجموعه ویژگی"
"For internal use","برای استفاده داخلی"
"Based On","بر اساس"
"Add New Attribute Set","افزودن مجموعه ویژگی جدید"
"Add Attribute Set","افزودن مجموعه ویژگی"
"Attribute Sets","مجموعه ویژگی"
"Close Window","بستن پنجره"
"New Product","محصول جدید"
"Save & Edit","ذخیره و ویرایش"
"Save & New","ذخیره و جدید"
"Save & Duplicate","ذخیره و تولید نسخه تکراری"
"Save & Close","ذخیره و بستن"
"Attributes","ویژگی‌ ها"
"Change","تغییر"
"Advanced Inventory","موجودی پیشرفته"
"Websites","وب سایت ها"
"Products Information","اطلاعات محصولات"
"Create Category","ایجاد دسته بندی"
"Category Name","نام دسته‌ بندی"
"Parent Category","دسته مادر"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","اگر هیچ دسته بندی مادر سفارشی وجود نداشته باشد، لطفا از دسته بندی مادر پیش فرض استفاده کنید. شما می توانید این دسته بندی را هر زمان در <a href=""%1"" target=""_blank"">محصولات > دسته بندی</a> اختصاص دهید."
"Price Alert Subscriptions","اشتراک هشدار قیمت"
"Stock Alert Subscriptions","اشتراک هشدار موجودی"
"There are no customers for this alert.","هیچ مشتری برای این هشدار وجود ندارد."
"First Name","نام"
"Last Name","نام خانوادگی"
"Email","ايميل"
"Subscribe Date","تاریخ اشتراک"
"Last Notified","آخرین اطلاع رسانی"
"Send Count","تعداد ارسال"
"New Attribute","ویژگی جدید"
"Type","نوع"
"Attribute Set","مجموعه ویژگی"
"Add New Option","افزودن گزینه‌ جدید"
"Import Options","گزینه های وارد کردن"
"Use Default","استفاده از پيش فرض"
"Import","وارد کردن"
"Add New Row","افزودن سطر جدید"
"Delete Row","حذف سطر"
"Tier Pricing","قیمت گذاری ردیفی"
"Default Price","قیمت پیش فرض"
"All Websites","همه‌ی وب‌سایت‌ها"
"ALL GROUPS","همه‌ گروه‌ ها"
"Add Price","افزودن قیمت"
"Default Values","مقادیر پیش فرض"
"Related Products","محصولات مرتبط"
"Up-sells","پرفروش‌ها"
"Cross-sells","فروش‌های پیشنهادی"
"Size for %1","سایز برای %1"
"Watermark File for %1","فایل واترمارک برای %1"
"Position of Watermark for %1","موقعیت واترمارک برای %1"
"Name in %1","نام در %1"
"Quantity","تعداد"
"Edit","ويرايش"
"Are you sure?","شما اطمینان دارید؟"
"Change Status","تغییر وضعیت"
"Update Attributes","به روز رسانی ویژگی‌ ها"
"start typing to search category","در دسته بندی جستجو کنید.."
"New Category","دسته‌ بندی جدید"
"Images (.gif, .jpg, .png)","تصاویر (.gif, .jpg, .png)"
"Add New Images","افزودن تصاویر جدید"
"Inc. Tax","مالیات شرکت"
"Does this have a weight?","آيا این وزن دارد؟"
"Product","محصول"
"Notify Low Stock RSS","اخطار RSS موجودی کم"
"Low Stock Products","محصولات با موجودی کم"
"%1 has reached a quantity of %2.","%1 به تعداد %2 رسیده است."
"Home","خانه"
"Go to Home Page","برو به صفحه‌ی اصلی"
"Subscribe to RSS Feed","اشتراک در فید RSS"
"Products Comparison List","لیست مقایسه‌ی محصولات"
"N/A","هیچ"
"AM","ق.ظ"
"PM","ب.ظ"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"None","هیچ یک"
"New Products from %1","محصولات جدید از %1"
"New Products","محصولات جدید"
"%1 - Special Products","%1 - محصولات ویژه"
"Click for price","برای مشاهده قیمت کلیک کنید"
"Special Expires On: %1","آفر ویژه در %1 به پایان می رسد"
"Price: %1","قيمت: %1"
"Special Price: %1","قیمت ویژه:‌%1"
"Special Products","محصولات ویژه"
"Manage Catalog Categories","مدیریت دسته‌ بندی های کاتالوگ"
"Manage Categories","مدیریت دسته‌ بندی ها"
"You deleted the category.","شما دسته بندی را حذف کردید."
"Something went wrong while trying to delete the category.","در هنگام تلاش برای حذف کردن دسته بندی، اشتباهی رخ داده است."
"Categories","دسته بندی‌ ها"
"Category is not available for requested store.","دسته بندی برای فروشگاه درخواست شده وجود ندارد."
"There was a category move error.","خطایی برای جا به جایی دسته بندی وجود دارد."
"You moved the category.","شما دسته بندی را جا به جا کردید."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","شما دسته بندی را ذخیره کردید."
"Something went wrong while saving the category.","در هنگام ذخیره کردن دسته بندی، اشتباهی رخ داده است."
"Please select products for attributes update.","لطفا برای به روز رسانی ویژگی ها، محصولات را انتخاب کنید."
"Please make sure to define SKU values for all processed products.","لطفا مطمئن شوید که کد محصول را برای همه محصولات تعریف کرده اید."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","در هنگام به روز رسانی ویژگی های محصول، اشتباهی رخ داده است."
"Unable to add attribute","نمی توان ویژگی جدید اضافه کرد"
"Please, specify attributes","Please, specify attributes"
"Catalog","فهرست"
"Manage Product Attributes","مدیریت ویژگی‌های محصول"
"We can't delete the attribute.","ما نمی توانیم ویژگی را حذف کنیم."
"You deleted the product attribute.","ویژگی محصول را حذف کردید."
"We can't find an attribute to delete.","ما نمی توانیم یک ویژگی را برای حذف پیدا کنیم."
"This attribute no longer exists.","این ویژگی دیگر وجود ندارد."
"This attribute cannot be edited.","این ویژگی را نمی‌توان ویرایش کرد."
"Edit Product Attribute","ویرایش ویژگی محصول"
"An attribute set named '%1' already exists.","یک ویژگی با این کد از قبل وجود دارد."
"Something went wrong while saving the attribute.","در هنگام ذخیره کردن ویژگی، اشتباهی رخ داده است."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","ما نمی توانیم ویژگی را به روز کنیم."
"You saved the product attribute.","شما ویژگی محصول را ذخیره کردید."
"An attribute with this code already exists.","یک ویژگی با این کد در حال حاضر وجود دارد."
"An attribute with the same code (%1) already exists.","یک محصول با همین کد (%1) در حال حاضر وجود دارد."
"The value of Admin must be unique.","مقدار مدیر باید منحصر به فرد باشد."
"The value of Admin scope can't be empty.","مقدار محدوده مدیر نمی تواند خالی باشد."
"You duplicated the product.","محصول شما تکراری می باشد."
"This product doesn't exist.","این محصول دیگر وجود ندارد."
"Invalid product id. Should be numeric value greater than 0","شناسه محصول نامعتبر است. شناسه باید مقدار عددی بیشتر از 0 باشد"
"Products","محصولات"
"A group with the same name already exists.","یک گروه با این نام در حال حاضر وجود دارد."
"Something went wrong while saving this group.","در هنگام ذخیره کردن این گروه، اشتباهی رخ داده است."
"A total of %1 record(s) have been deleted.","در مجموع %1 رکورد (ها) حذف شده است."
"A total of %1 record(s) have been updated.","مجموع %1 رکورد (ها) به روز شده است."
"Something went wrong while updating the product(s) status.","در هنگام به روز رسانی وضعیت محصول(ها) اشتباهی رخ داده است."
"Unable to save product","Unable to save product"
"You saved the product.","محصول ذخیره شد."
"SKU for product %1 has been changed to %2.","کد محصول برای محصول %1 به %2 تغییر کرده است."
"The image cannot be removed as it has been assigned to the other image role","تصویر را نمی توان حذف کرد چون به نقش دیگری اختصاص داده شده است"
"New Attribute Set","مجموعه ویژگی جدید"
"The attribute set has been removed.","مجموعه ویژگی حذف شده است."
"We can't delete this set right now.","اکنون نمی توانیم این مجموعه را حذف کنیم."
"New Set","مجموعه‌ جدید"
"Manage Product Sets","مدیریت مجموعه‌ های محصول"
"Manage Attribute Sets","مدیریت مجموعه‌ های ویژگی"
"This attribute set no longer exists.","این مجموعه ویژگی دیگر وجود ندارد."
"You saved the attribute set.","مجموعه ویژگی ذخیره شد."
"Something went wrong while saving the attribute set.","در هنگام ذخیره کردن مجموعه ویژگی، اشتباهی رخ داده است."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","لیست مقایسه را پاک کردید."
"Something went wrong  clearing the comparison list.","در هنگام پاک کردن لیست مقایسه، اشتباهی رخ داده است."
"You removed product %1 from the comparison list.","شما محصول %1 را از لیست مقایسه حذف کرده اید."
"1 item","1 مورد"
"%1 items","%1موردها"
"Are you sure you want to remove this item from your Compare Products list?","آیا مطمئن هستید می خواهید این مورد را از لیست مقایسه محصولات خود حذف کنید؟"
"Are you sure you want to remove all items from your Compare Products list?","آیا مطمئن هستید می خواهید همه موارد را از لیست مقایسه محصولات خود حذف کنید؟"
"Invalid attribute %1","%1 ویژگی نامعتبر می باشد"
"Grid","مشبک"
"List","لیست"
"All","همه"
"Bad controller interface for showing product","رابط کنترل کننده برای نشان دادن محصول مناسب نیست"
"Product is not loaded","محصول بارگذاری نشده است"
"Make sure the To Date is later than or the same as the From Date.","به تاریخ اطمینان حاصل کنید که بعد از آن یا همان تاریخ از تاریخ است."
"Sorry, but we can't find the new parent category you selected.","با عرض پوزش، اما ما نمیتوانیم دسته بندی والدین جدیدی که انتخاب کرده اید را پیدا کنیم."
"Sorry, but we can't find the new category you selected.","با عرض پوزش، اما ما نمیتوانیم دسته جدیدی را که انتخاب کردید پیدا کنیم."
"We can't move the category because the parent category name matches the child category name.","ما نمی توانیم این دسته را جا به جا کنیم زیرا نام دسته والد با نام دسته فرزند مطابقت دارد."
"Something went wrong while getting the image url.","در هنگام دریافت Url تصویر اشتباهی رخ داد."
"Can't delete root category.","ریشه دسته ها را نمی توان حذف کرد."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","مرتب سازی فهرست محصول پیش فرض در مرتب سازی فهرست محصول موجود وجود ندارد."
"No layout updates","هیچ چیدمان به روز رسانی شده ای وجود ندارد"
"Products only","تنها محصولات"
"Static block only","فقط بلوک ایستا"
"Static block and products","بلوک ایستا و محصولات"
"Please select a static block.","لطفا یک بلوک ثابت انتخاب کنید."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","محصول ""%1"" با موقعیت %2 در دسته بندی %3 دخیره نمی شود"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","نمیتوان محصول ""%product"" با موقعیت %position to را در دسته بندی %category ذخیره کرد"
"Operation do not allow to move a parent category to any of children category","عملیات اجازه نمی دهد که یک دسته بندی مادر را به یک دسته بندی فرزند منتقل کند"
"Could not move category","دسته بندی جا به جا نشد"
"Could not save category: %1","دسته بندی %1 ذخیره نشد"
"Cannot delete category with id %1","دسته بندی با شناسه %1 حذف نشد"
"-- Please Select a Category --","-- لطفا یک دسته بندی را انتخاب نمایید --"
"Grid Only","فقط جدول"
"List Only","فقط لیست"
"Grid (default) / List","جدول (پیش فرض) / لیست"
"List (default) / Grid","لیست (پیش فرض) / جدول"
"Automatic (equalize price ranges)","به صورت خودکار (برابر با محدوده های قیمت)"
"Automatic (equalize product counts)","به صورت خودکار (برابر با تعداد محصول)"
"Manual","به صورت دستی"
"Fixed","ثابت"
"Percent","درصد"
"Discount","تخفيف"
"-- Please select --","-- لطفا انتخاب نمایید --"
"Product Thumbnail Itself","تصویر بند انگشتی خود محصول"
"Parent Product Thumbnail","تصویر بند انگشتی محصول مادر"
"12h AM/PM","12 ساعته ق.ظ/ب.ظ"
"24h","24 ساعته"
"Stretch","کشیدن"
"Tile","موزاییک"
"Top/Left","بالا/چپ"
"Top/Right","بالا/راست"
"Bottom/Left","پایین/چپ"
"Bottom/Right","پایین/راست"
"Center","مرکز"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","٪ 1 گسترش نمی دهد \ Magento \ Framework \ Model \ AbstractModel"
"Something went wrong while saving the file(s).","هنگام ذخیره فایل (ها) مشکلی پیش آمد."
"File can not be saved to the destination folder.","فایل را نمی توان در پوشه مقصد ذخیره کرد."
"Unknown EAV indexer type ""%1"".","نوع نمایه ساز EAV ناشناخته ""%1""."
"We can't rebuild the index for an undefined product.","ما نمی توانیم شاخص را برای محصول نامشخص بازسازی کنیم."
"Bad value was supplied.","مقدار بدی تأمین شده است."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","ماژول کاتالوگ Flat دارای محدودیت %2$d و قابلیت فیلتراسیون و/ یا مرتب سازی است. در حال حاضر %1$d از آنها وجود دارد. لطفا برای استفاده از این ماژول تعداد ویژگی های قابل فیلتراسیون/ قابل مرتب سازی را کاهش دهید"
"Unsupported product type ""%1"".","نوع محصول پشتیبانی نشده ""%1""."
"Please correct the category.","لطفا دسته بندی را اصلاح کنید."
"Must be category model instance or its id.","باید نمونه مدل دسته بندی یا شناسه اش باشد."
"The attribute model is not defined.","مدل ویژگی تعریف نشده است."
"Category","دسته بندی"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 گسترش نمی دهد \ Magento \ کاتالوگ \ مدل \ Layer \ Filter \ Dynamic \ AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 گسترش نمی دهد\Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","فیلتر باید یک شیء باشد. لطفا فیلتر درست را تنظیم کنید."
"Clear Price","پاک كردن قيمت"
"%1 and above","%1 و بالاتر"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","گروه قيمت باید عددی بزرگتر از 0 باشد."
"Media Gallery converter should be an instance of EntryConverterInterface.","مبدل گالری رسانه باید یک نمونه از رابط مبدل ورودی باشد."
"There is no MediaGalleryEntryConverter for given type","هیچ مبدل ورودی گالری رسانه ای برای نوع داده شده وجود ندارد"
"Please enter a number 0 or greater in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","طول کد محصول باید حداکثر %1 کاراکتر باشد."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"We found a duplicate website, tier price, customer group and quantity.","ما یک وب سایت تکراری، قیمت تکراری، گروه مشتری و تعداد یافتیم."
"Percentage value must be a number between 0 and 100.","مقدار درصد باید یک عدد بین 0 تا 100 باشد."
"Invalid option id %1","شناسه %1 نامعتبر است"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","ویژگی ارائه شده به عنوان مجموعه ویژگی غیر تولیدی تنظیم شده است."
"Use config","استفاده از پیکربندی"
"Enabled","فعال"
"Disabled","غير فعال"
"Attribute Set already exists.","مجموعه ویژگی از قبل وجود دارد."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","ما نمیتوانیم فایل٪ 1 را کپی کنیم. لطفا رسانه ها را با تصاویر موجود حذف کنید و دوباره امتحان کنید."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","نوع گزینه برای دریافت نمونه گروه نادرست است."
"Select type options required values rows.","گزینه‌ های نوع مورد نیاز برای سطور مقادیر را انتخاب کنید."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","لطفا گزینه(ها)ی الزامی تاریخ را مشخص نمایید."
"Please specify time required option(s).","لطفا گزینه(ها)ی الزامی زمان را مشخص نمایید."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","نوع نمونه گزینه در گروه گزینه ها نادرست است."
"The product instance type in options group is incorrect.","نوع نمونه محصول در گروه گزینه ها نادرست است."
"The configuration item option instance in options group is incorrect.","نمونه گزینه مورد پیکربندی در گروه گزینه ها نادرست است."
"The configuration item instance in options group is incorrect.","نمونه مورد پیکربندی در گروه گزینه ها نادرست است."
"The BuyRequest instance in options group is incorrect.","نمونه درخواست خرید در گروه گزینه ها نادرست است."
"We can't add the product to the cart because of an option validation issue.","ما نمی توانیم محصول را به سبد خرید اضافه کنیم زیرا یک مسئله اعتبارسنجی وجود دارد."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 گسترش نمی دهد \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","پیکسل."
"The file '%1' for '%2' has an invalid extension.","پرونده '%1' برای '%2' دارای پسوند نامعتبر است."
"The maximum allowed image size for '%1' is %2x%3 px.","حداکثر اندازه تصویر مجاز برای'%1' ، %2x%3 پیکسل است."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","پرونده ""%1"" که آپلود کرده اید بزرگتر از%2 مگابایت است که توسط سرور ما مجاز شمرده می شود."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","پرونده '%1' نامعتبر است. لطفا یکی دیگر را انتخاب کنید"
"File '%1' is not an image.","فایل '%1' تصویر نیست."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","برخی از گزینه های مورد انتخاب شده در حال حاضر موجود نیستند."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","ویژگی نامعتبر %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","فروشگاه مورد نظر یافت نشد. شناسه ردیف: کد محصول= %SKU, شناسه فروشگاه: %store Id."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","هزینه ویژگی نامعتبر = %cost. شناسه ردیف: کد محصول = %SKU, شناسه فروشگاه: %storeId."
"Could not save Prices.","قیمت ها را نمی توان ذخیره کرد."
"Could not delete Prices","قیمت ها را نمی توان حذف کرد"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","فروشگاه مورد نظر یافت نشد. شناسه ردیف: SKU = %SKU, شناسه فروشگاه: %storeId, قیمت از: %priceFrom, قیمت تا: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ویژگی نامعتبر %label = %priceTo. شناسه ردیف: SKU = %SKU, شناسه فروشگاه: %storeId, قیمت از: %priceFrom, قیمت تا: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ویژگی نامعتبر قیمت =%price. شناسه ردیف: SKU = %SKU, شناسه فروشگاه: %storeId, قیمت از: %priceFrom, قیمت تا: %priceTo."
"Could not save Tier Prices","قیمت گذاری سطوح نمی تواند ذخیره شود"
"Could not replace Tier Prices","قیمت گذاری سطوح را نمی توان جایگزین کرد"
"Could not delete Tier Prices","قیمت گذاری سطوح حذف نشد"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ویژگی نامعتبر کد محصول= %SKU. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ویژگی نامعتبر قیمت = %price. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ویژگی نامعتبر نوع قیمت = %priceType. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ویژگی نامعتبر تعداد = %qty. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ویژگی شناسه نامعتبر وب سایت = %websiteId. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ما یک وب سایت، قیمت گذاری سطوح، گروه مشتری و تعداد مشابه پیدا کردیم: گروه مشتری = %customerGroup, شناسه وب سایت = %websiteId, تعداد = %qty. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","چنین ورودی برای گروه مشتری وجود ندارد = %customerGroup. شناسه ردیف: SKU = %SKU, شناسه وب سایت: %websiteId, گروه مشتریان: %customerGroup, تعداد: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","قیمت محصول گروهی با چنین اطلاعاتی ندارد: customerGroupId = '%1'، وبسایت=%2، تعداد =%3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","در هنگام پردازش درخواست شما خطایی رخ داده است."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 گسترش نمی دهد \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 گسترش نمی دهد \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"Not Visible Individually","به تنهایی قابل مشاهده نیست"
"Search","جستجو"
"Catalog, Search","کاتالوگ، جستجو"
"Something went wrong while removing products from the websites.","در هنگام حذف محصولات از وب سایت ها، خطایی رخ داده است."
"Something went wrong while adding products to websites.","هنگام افزودن محصولات به وب سایت ها، خطایی رخ داده است."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
