"Root","Početak"
"Last Name","Prezime"
"Email","E-pošta"
"Subscribe Date","Datum pretplate"
"Last Notified","Poslednji put obavešteni"
"Send Count","Poslati broj"
"New Attribute","Novi atribut"
"Type","Tip"
"Attribute Set","Skup atributa"
"Add New Option","Dodati novu opciju"
"Import Options","Uvoz opcija"
"Use Default","Koristi podrazumevano"
"Import","Uvesti"
"Add New Row","Dodavanje novog reda"
"Delete Row","Brisanje reda"
"Tier Pricing","Cenovnik za sloj"
"Default Price","Podrazumevana cena"
"All Websites","Sve Web lokacije"
"ALL GROUPS","SVE GRUPE"
"Add Price","Dodavanje cena"
"Default Values","Podrazumevane vrednosti"
"Related Products","Slični proizvodi"
"Up-sells","Up-prodaje"
"Cross-sells","Cross-prodaje"
"Size for %1","Veličina za %1"
"Watermark File for %1","Vodeni žig datoteku za %1"
"Position of Watermark for %1","Položaj vodeni žig za %1"
"Name in %1","Ime u %1"
"Quantity","Količina"
"Edit","Izmeni"
"Are you sure?","Da li ste sigurni?"
"Change Status","Promena statusa"
"Update Attributes","Ažurirati atribute"
"start typing to search category","počnite da kucate za pretragu kategorija"
"New Category","Nova Kategorija"
"Images (.gif, .jpg, .png)","Slike (.gif, .jpg, .png)"
"Add New Images","Dodati nove slike"
"Inc. Tax","Iznos sa Pdv"
"Does this have a weight?","Da li ovo ima težinu?"
"Product","Proizvod"
"Notify Low Stock RSS","Prijavi malu količinu na stanju RSS"
"Low Stock Products","Nisko stanje proizvoda"
"%1 has reached a quantity of %2.","%1 je dostigao količinu od %2."
"Home","Početna"
"Go to Home Page","Idi na početnu stranicu"
"Subscribe to RSS Feed","Prijavi se na RSS Feed"
"Products Comparison List","Lista proizvoda za poređenje"
"N/A","N/A - nije dostupno"
"AM","Pre podne"
"PM","Posle podne"
"-- Please Select --","-- Molim odaberite --"
"New Products from %1","Novi proizvodi od %1"
"New Products","Novi proizvodi"
"%1 - Special Products","%1 - specijalni proizvodi"
"Click for price","Kliknite za cenu"
"Special Expires On: %1","Specijalna ponuda ističe: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Posebna cena: %1"
"Special Products","Specijalni proizvodi"
"Manage Catalog Categories","Upravljanje katalogom kategorija"
"Manage Categories","Upravljanje kategorijama"
"You deleted the category.","Obrisali ste kategoriju."
"Something went wrong while trying to delete the category.","Došlo je do greške prilikom brisanja kategorije."
"Categories","Kategorije"
"Category is not available for requested store.","Kategorija nije dostupna za traženu prodavnicu."
"There was a category move error.","Došlo je do greške pri pomeranju kategorije."
"You moved the category.","Premestili ste kategoriju."
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Something went wrong while saving the category.","Došlo je do greške prilikom snimanja kategorije."
"You saved the category.","Sačuvali ste kategoriju."
"Please select products for attributes update.","Odaberite proizvode za ažuriranje atributa."
"Please make sure to define SKU values for all processed products.","Uverite se da ste definisali vrednost šifri za sve obrađene proizvode."
"Message is added to queue","Message is added to queue"
"Something went wrong while updating the product(s) attributes.","Došlo je do greške prilikom ažuriranja atributa proizvod(a)."
"Update attributes for ' . . ' selected products","Update attributes for ' . . ' selected products"
"Something went wrong while processing the request.","Došlo je do greške prilikom obrade zahteva."
"Unable to add attribute","Nije moguće dodati atribut"
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"Catalog","Katalog"
"Manage Product Attributes","Upravljanje atributima proizvoda"
"We can't delete the attribute.","We can't delete the attribute."
"You deleted the product attribute.","Izbrisali ste atribut proizvoda."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","Ovaj atribut više ne postoji."
"This attribute cannot be edited.","Ovaj atribut se ne može izmeniti."
"Edit Product Attribute","Izmeniti atribut proizvoda"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","Došlo je do greške prilikom snimanja atributa."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","Sačuvali ste atribut proizvoda."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Code (%1) is a reserved key and cannot be used as attribute code.","Code (%1) is a reserved key and cannot be used as attribute code."
"An attribute with this code already exists.","Atribut sa ovim kodom već postoji."
"An attribute with the same code (%1) already exists.","Atribut sa istim kodom (%1) već postoji."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The value of Admin scope can't be empty.","Vrednost admin područja ne može biti prazno."
"You duplicated the product.","Duplirali ste proizvod."
"This product doesn't exist.","Ovaj proizvod ne postoji."
"Invalid product id. Should be numeric value greater than 0","Nevažeći id proizvoda. Mora biti broj veći od 0"
"Products","Proizvodi"
"A group with the same name already exists.","Grupa sa istim nazivom već postoji."
"Something went wrong while saving this group.","Došlo je do greške prilikom snimanja atributa."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details."
"A total of %1 record(s) have been updated.","Ukupno %1 zapis(a) je promenjeno."
"Something went wrong while updating the product(s) status.","Došlo je do greške prilikom ažuriranja statusa proizvod(a)."
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"You saved the product.","Sačuvali ste proizvod."
"SKU for product %1 has been changed to %2.","Šifra za proizvod %1 se promenila na %2."
"The image cannot be removed as it has been assigned to the other image role","Slika nije mogla biti uklonjena zato što je dodeljena drugom pravilu"
"The value of attribute(s) ""%1"" must be unique","The value of attribute(s) ""%1"" must be unique"
"New Attribute Set","Novi skup atributa"
"The attribute set has been removed.","Skup atributa je uklonjen."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","Novi komplet"
"Manage Product Sets","Upravljanje skupom proizvoda"
"Manage Attribute Sets","Upravljanje skupom atributa"
"This attribute set no longer exists.","Ovaj skup atributa više ne postoji."
"You saved the attribute set.","Sačuvali ste skup atributa."
"Something went wrong while saving the attribute set.","Došlo je do greške prilikom snimanja kompleta atributa."
"You cleared the comparison list.","Obrisali ste listu za poređenje."
"Something went wrong  clearing the comparison list.","Došlo je do greške prilikom brisanja liste za poređenje."
"You removed product %1 from the comparison list.","Uklonili ste proizvod %1 iz liste za poređenje."
"1 item","1 stavka"
"%1 items","%1 stavke"
"The specified Catalog media URL format is not supported.","The specified Catalog media URL format is not supported."
"Are you sure you want to remove this item from your Compare Products list?","Da li ste sigurni da želite da uklonite ovu stavku sa liste za poređenje proizvoda?"
"Are you sure you want to remove all items from your Compare Products list?","Da li ste sigurni da želite da uklonite sve stavke sa liste za poređenje proizvoda?"
"Invalid attribute %1","Nevažeći atribut %1"
"Grid","Mreža"
"List","Lista"
"All","Sve"
"Bad controller interface for showing product","Loš kontroler interfejsa za prikazivanje proizvoda"
"Product is not loaded","Proizvod nije učitan"
"Selected layout update is not available","Selected layout update is not available"
"Sorry, something went wrong during product attributes update. Please see log for details.","Sorry, something went wrong during product attributes update. Please see log for details."
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Using restricted HTML elements for ""%1"". %2","Using restricted HTML elements for ""%1"". %2"
"Make sure the To Date is later than or the same as the From Date.","Uverite se da je do datum nakon ili isti kao i od datuma."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","Došlo je do greške prilikom snimanja url slike."
"Can't delete root category.","Can't delete root category."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Podrazumevani listing sortiranja proizvoda ne postoji u listingu sortiranih dostupnih proizvoda."
"No layout updates","Nema raspored ažuriranja"
"Products only","Samo proizvodi"
"Static block only","Samo statički blok"
"Static block and products","Statični blok i proizvodi"
"Please select a static block.","Molim vas izaberite statični blok."
"frontend_label","frontend_label"
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"Could not save product ""%1"" with position %2 to category %3","Nije moguće sačuvati proizvod „%1” sa pozicije %2 u kategoriju %3"
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"Could not save product ""%product"" with position %position to category %category","Nije moguće sačuvati proizvod „%p” sa pozicije %p u kategoriju %c"
"The category doesn't contain the specified products.","The category doesn't contain the specified products."
"Could not save products ""%products"" to category %category","Could not save products ""%products"" to category %category"
"Operation do not allow to move a parent category to any of children category","Operacija vam ne dozvoljava da premestite nadređenu kategoriju u bilo koju od kategorija dece"
"Could not move category","Nije moguće premestiti kategoriju"
"Could not save category: %1","Nije moguće sačuvati kategoriju: %1"
"Cannot delete category with id %1","Nije moguće izbrisati opciju sa id %1"
"This customer is not authorized to access this list","This customer is not authorized to access this list"
"-- Please Select a Category --","--Izaberite kategoriju--"
"Grid Only","Samo koordinatnu mrežu"
"List Only","Samo lista"
"Grid (default) / List","Mreža (podrazumevana) / lista"
"List (default) / Grid","Lista (podrazumevana) / Mreža"
"Automatic (equalize price ranges)","Automatsko (izjednačavanje ranga cena)"
"Automatic (equalize product counts)","Automatsko (izjednačavanje broja proizvoda)"
"Manual","Ručno"
"Fixed","Fiksno"
"Percent","Procenat"
"Discount","Popust"
"-- Please select --","-- Molimo izaberite --"
"Product Thumbnail Itself","Male sličice samih proizvoda"
"Parent Product Thumbnail","Male sličice nadređenih proizvoda"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Stretch"
"Tile","Tile"
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Center","Center"
"Image optimization based on query parameters","Image optimization based on query parameters"
"Unique hash per image variant (Legacy mode)","Unique hash per image variant (Legacy mode)"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","Unknown EAV indexer type ""%1""."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Please correct the category.","Please correct the category."
"Must be category model instance or its id.","Must be category model instance or its id."
"The attribute model is not defined.","The attribute model is not defined."
"Category","Kategorija"
"%1 - %2","%1 x %2"
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","The filter must be an object. Please set the correct filter."
"Clear Price","Clear Price"
"%1 and above","%1 i iznad"
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","U ovo polje unesite broj 0 ili veći."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"SKU length should be %1 characters maximum.","Dužina šifre bi trebalo da bude najviše %1 karaktera."
"Please enter a valid number in this field.","Molimo unesite važeći broj u ovo polje."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Percentage value must be a number between 0 and 100.","Percentage value must be a number between 0 and 100."
"Invalid option id %1","Invalid option id %1"
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Use config"
"Enabled","Omogućeno"
"Disabled","Onemogućeno"
"Attribute Set already exists.","Attribute Set already exists."
"Not allowed to edit the product's design attributes","Not allowed to edit the product's design attributes"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Select type options required values rows."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The option instance type in options group is incorrect.","Instanca tipa proizvoda u grupi proizvoda je neispravna."
"The product instance type in options group is incorrect.","Instanca tipa proizvoda u grupi proizvoda je neispravna."
"The configuration item option instance in options group is incorrect.","Konfiguracija instance artikla u grupi opcija nije korektna."
"The configuration item instance in options group is incorrect.","Konfiguracija instance artikla u grupi opcija nije korektna."
"The BuyRequest instance in options group is incorrect.","Instanca KupiZahtev u grupi opcija nije korektna."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"px.","px."
"Full file path is expected.","Full file path is expected."
"The file '%1' for '%2' has an invalid extension.","Datoteka '%1' za '%2' ima neispravnu ekstenziju."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksimalna dozvoljena veličina slike za '%1' je %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Datoteka '%1' koju ste poslali je veća od %2MB dozvoljeno za ovaj server."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The file '%1' is invalid. Please choose another one","Datoteka „%1” je nevažeća. Odaberite drugu"
"File '%1' is not an image.","File '%1' is not an image."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"Some of the selected item options are not currently available.","Neke izabrane opcije stavke nisu trenutno dostupne."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"Invalid attribute %fieldName = %fieldValue.","Nevažeći atribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Zahtevana radnja nije pronađena. Red ID: Šifra = %SKU, prodavnica ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Nevažeći atribut troška = %cost. Red ID: Šifra = %SKU, prodavnica ID: %storeId."
"Could not save Prices.","Nije bilo moguće sačuvati cene."
"Could not delete Prices","Nije bilo moguće izbrisati cene"
"Could not save Tier Prices","Nije bilo moguće sačuvati sloj cena"
"Could not replace Tier Prices","Nije bilo moguće zameniti sloj cena"
"Could not delete Tier Prices","Nije bilo moguće obrisati sloj cena"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut Šifra = %SKU. Red ID: Šifra = %SKU, Web lokacija ID: % websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut cena = %price. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut tip cena = %priceType. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut količina = %qty. Red ID: Šifra = %SKU, Web lokacija ID: % websiteId, grupa kupaca: %customerGroup, količina: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nevažeći atribut Web lokacija ID: %websiteId. Red ID: Šifra = %SKU, Web lokacija ID: %websiteId, grupa kupaca: %customerGroup, količina: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Pronašli smo duplikat web lokacije, sloja cena, korisničke grupe i količine: Korisnička grupa = %customerGroup, Web lokacija ID = %websiteId, Količina = %qty. Row ID: Šifra = %SKU, Weblokacija ID: %websiteId, Groupa kupaca: %customerGroup, Količina: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ne postoji entitet sa grupom korisnika = %customerGroup. Row ID: Šifra= %SKU, Web lokacija ID: %websiteId, Grupa korisnika: %customerGroup, Količina: %qty."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Nije vidljivo individualno"
"Search","Pretraga"
"Catalog, Search","Katalog, pretraga"
"Something went wrong while removing products from the websites.","Došlo je do greške prilikom uklanjanja proizvoda sa web lokacija."
"Something went wrong while adding products to websites.","Došlo je do greške pri dodavanju proizvoda na web lokacije."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"Product with SKU '%1' is not linked to product with SKU '%2'","Proizvod sa šifrom „%1” nije povezan sa proizvodom sa šifrom „%2”"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Invalid product data: %1","Nevažeći podatak proizvoda: %1"
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Database connection error","Greška u povezivanju sa bazom podataka"
"Database deadlock found when trying to get lock","Greška pri zaključavanju baze prilikom pokušaja zaključavanja"
"Database lock wait timeout exceeded","Prekoračeno vreme u čekanju na zaključavanju baze"
"There are not websites for assign to product","Ne postoje Web lokacije za dodeljivanje proizvoda"
"Could not assign product ""%1"" to websites ""%2""","Nije mogao da dodeliti proizvod „%1” web lokaciji „%2”"
"Could not save product ""%1"" with websites %2","Nije moguće sačuvati proizvod „%1” sa web lokacije %2"
"We cannot determine the field name.","Ne možemo da utvrdimo naziv polja."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","Ne menjajte opseg. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","%1 procesor ne implementira BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Tip proizvoda nije definisan za indeksiranje."
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"Product with SKU %1 is not linked to product with SKU %2","Proizvod sa šifrom „%1” nije povezan sa proizvodom sa šifrom „%2”"
"Multiple Select","Izbor više stavki"
"Dropdown","Padajuća lista"
