"Root","Почетак"
"This product doesn't exist.","Овај производ не постоји."
"Invalid product id. Should be numeric value greater than 0","Неважећи ид производа. Мора бити број већи од 0"
"Products","Производи"
"A group with the same name already exists.","Група са истим називом већ постоји."
"Something went wrong while saving this group.","Дошло је до грешке приликом снимања атрибута."
"A total of %1 record(s) have been deleted.","Укупно %1 запис(а) је уклоњено."
"A total of %1 record(s) have been updated.","Укупно %1 запис(а) је промењено."
"Something went wrong while updating the product(s) status.","Дошло је до грешке приликом ажурирања статуса производ(а)."
"Unable to save product","Производ се не може сачувати"
"You saved the product.","Сачували сте производ."
"SKU for product %1 has been changed to %2.","Шифра за производ %1 се променила на %2."
"The image cannot be removed as it has been assigned to the other image role","Слика није могла бити уклоњена зато што је додељена другом правилу"
"New Attribute Set","Нови скуп атрибута"
"The attribute set has been removed.","Скуп атрибута је уклоњен."
"We can't delete this set right now.","Тренутно не можемо да обришемо овај скуп."
"New Set","Нови комплет"
"Manage Product Sets","Управљање скупом производа"
"Manage Attribute Sets","Управљање скупом атрибута"
"This attribute set no longer exists.","Овај скуп атрибута више не постоји."
"You saved the attribute set.","Сачували сте скуп атрибута."
"Something went wrong while saving the attribute set.","Дошло је до грешке приликом снимања комплета атрибута."
"You added product %1 to the comparison list.","Додали сте производ %1 у листу за поређење."
"You cleared the comparison list.","Обрисали сте листу за поређење."
"Something went wrong  clearing the comparison list.","Дошло је до грешке приликом брисања листе за поређење."
"You removed product %1 from the comparison list.","Уклонили сте производ %1 из листе за поређење."
"1 item","1 ставка"
"%1 items","%1 ставке"
"Are you sure you want to remove this item from your Compare Products list?","Да ли сте сигурни да желите да уклоните ову ставку са листе за поређење производа?"
"Are you sure you want to remove all items from your Compare Products list?","Да ли сте сигурни да желите да уклоните све ставке са листе за поређење производа?"
"Invalid attribute %1","Неважећи атрибут %1"
"Grid","Мрежа"
"List","Листа"
"All","Све"
"Bad controller interface for showing product","Лош контролер интерфејса за приказивање производа"
"Product is not loaded","Производ није учитан"
"Make sure the To Date is later than or the same as the From Date.","Уверите се да је до датум након или исти као и од датума."
"Sorry, but we can't find the new parent category you selected.","Жао нам је, али не можемо да пронађемо нову родитељску категорију за изабрано."
"Sorry, but we can't find the new category you selected.","Жао нам је, али не можемо да пронађемо нову категорију за изабрано."
"We can't move the category because the parent category name matches the child category name.","Не можемо да померимо категорију јер се назив надређене категорије поклапа са називом подређене категорије."
"Something went wrong while getting the image url.","Дошло је до грешке приликом снимања урл слике."
"Can't delete root category.","Није могуће избрисати основну категорију."
"The value of attribute ""%1"" must be unique.","Вредност атрибута „%1” мора бити јединствен."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Подразумевани листинг сортирања производа не постоји у листингу сортираних доступних производа."
"No layout updates","Нема распоред ажурирања"
"Products only","Само производи"
"Static block only","Само статички блок"
"Static block and products","Статични блок и производи"
"Please select a static block.","Молим вас изаберите статични блок."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Није могуће сачувати производ „%1” са позиције %2 у категорију %3"
"Category does not contain specified product","Категорија не садржи наведени производ"
"Could not save product ""%product"" with position %position to category %category","Није могуће сачувати производ „%п” са позиције %п у категорију %ц"
"Operation do not allow to move a parent category to any of children category","Операција вам не дозвољава да преместите надређену категорију у било коју од категорија деце"
"Could not move category","Није могуће преместити категорију"
"Could not save category: %1","Није могуће сачувати категорију: %1"
"Cannot delete category with id %1","Није могуће избрисати опцију са ид %1"
"-- Please Select a Category --","--Изаберите категорију--"
"Grid Only","Само координатну мрежу"
"List Only","Само листа"
"Grid (default) / List","Мрежа (подразумевана) / листа"
"List (default) / Grid","Листа (подразумевана) / Мрежа"
"Automatic (equalize price ranges)","Аутоматско (изједначавање ранга цена)"
"Automatic (equalize product counts)","Аутоматско (изједначавање броја производа)"
"Manual","Ручно"
"Fixed","Фиксно"
"Percent","Проценат"
"Discount","Попуст"
"-- Please select --","-- Молимо изаберите --"
"Product Thumbnail Itself","Мале сличице самих производа"
"Parent Product Thumbnail","Мале сличице надређених производа"
"12h AM/PM","12х АМ/ПМ"
"24h","24х"
"Stretch","Растегнути"
"Tile","Поплочано"
"Top/Left","Горе/Лево"
"Top/Right","Горе/Десно"
"Bottom/Left","Доле/Лево"
"Bottom/Right","Доле/Десно"
"Center","Центрирано"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 не проширује \Магенто\Фрамеwорк\Модел\АбстрацтМодел"
"Something went wrong while saving the file(s).","Дошло је до грешке приликом чувања фајлова."
"File can not be saved to the destination folder.","Фајл не може бити сачуван у одредишном фолдеру."
"Unknown EAV indexer type ""%1"".","Непознати ЕАВ индексер типа ""%1""."
"We can't rebuild the index for an undefined product.","Не можемо поново да направимо индекс за недефинисани производ."
"Bad value was supplied.","Унета је погрешна вредност."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модул Флат Цаталога има лимит од %2$д филтрирајућа и/или сортирајућа својства. Тренутно их има %1$д. Молимо смањите број филтрирајућих или сортирајућих својства, како бисте могли да користите овај модул"
"Unsupported product type ""%1"".","Неподржани тип производа ""%1""."
"Please correct the category.","Молимо коригујте категорију."
"Must be category model instance or its id.","Мора бити инстанца модела категорија или њен ид."
"The attribute model is not defined.","Модел атрибута није дефинисан."
"Category","Категорија"
"%1 - %2","%1 x %2"
"%1 was not found in algorithms","%1 се не може наћи у алгоритмима"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 не проширује \Магенто\Цаталог\Модел\Лаyер\Филтер\Дyнамиц\АлгоритхмИнтерфаце"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 не проширује \Магенто\Цаталог\Модел\Лаyер\Филтер\АбстрацтФилтер"
"The filter must be an object. Please set the correct filter.","Филтер мора бити објекат. Молимо подесите одговарајући филтер."
"Clear Price","Права цена"
"%1 and above","%1 и изнад"
"The filters must be an array.","Филтери морају бити низ."
"Product was not registered","Производ није регистрован"
"Store was not registered","Продавница није регистеред"
"Group price must be a number greater than 0.","Групна цена мора бити број већи од 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Конвертер Медиа Галлерy мора бити инстанца ЕнтрyЦонвертерИнтерфаце."
"There is no MediaGalleryEntryConverter for given type","Не постоји МедиаГаллерyЕнтрyЦонвертер за дати тип"
"Please enter a number 0 or greater in this field.","У ово поље унесите број 0 или већи."
"The value of attribute ""%1"" must be set","Вредност атрибута ""%1"" мора бити постављена"
"SKU length should be %1 characters maximum.","Дужина шифре би требало да буде највише %1 карактера."
"Please enter a valid number in this field.","Молимо унесите важећи број у ово поље."
"We found a duplicate website, tier price, customer group and quantity.","Пронашли смо дупликат сајта, попуста на количину, корисничке групе и количине."
"Percentage value must be a number between 0 and 100.","Процентна вредност мора бити број између 0 и 100."
"Invalid option id %1","Неисправан ид опције %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Обезбеђени атрибут сет није везан за производе."
"Use config","Користи конфигурацију"
"Enabled","Омогућено"
"Disabled","Онемогућено"
"Attribute Set already exists.","Атрибут сет већ постоји."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Wе цоулдн'т цопy филе %1. Плеасе делете медиа wитх нон-еxистинг имагес анд покушајте поново."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Не може се сачувати производ."
"Failed to save new media gallery entry.","Неуспешно саве неw медиа галлерy ентрy."
"There is no image with provided ID.","Не постоји слика са датим ИД-ом."
"Such product doesn't exist","Суцх продуцт не постоји"
"Such image doesn't exist","Суцх имаге не постоји"
"The image does not exist.","Ова слика не постоји."
"Please correct the image file type.","Коригујте тип фајла слике."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Немогуће добити Инфорамције о овој фотографијеи: %1"
"The image could not be resized: ","Ова фотографија не може да мења величину:"
"Some images could not be resized. See log file for details.","Неке фотографије немогу да мењају величину. Погледајте дневник за детаље."
"The option type to get group instance is incorrect.","Тип опције за добијање инстанце групе је нетачан."
"Select type options required values rows.","Одаберите тип опције неопходан за ред вредности."
"ProductSku should be specified","ПродуцтСку мора бити наведен"
"Could not remove custom option","Није могуће уклонити прилагођену опцију"
"Please specify date required option(s).","Молимо наведите опцију(е) датум је неопходан."
"Please specify time required option(s).","Молимо наведите опцију(е) време је неопходно."
"Please specify product's required option(s).","Молимо наведите продуцт'с реqуиред оптион(с)."
"The option instance type in options group is incorrect.","Инстанца типа производа у групи производа је неисправна."
"The product instance type in options group is incorrect.","Инстанца типа производа у групи производа је неисправна."
"The configuration item option instance in options group is incorrect.","Конфигурација инстанце артикла у групи опција није коректна."
"The configuration item instance in options group is incorrect.","Конфигурација инстанце артикла у групи опција није коректна."
"The BuyRequest instance in options group is incorrect.","Инстанца КупиЗахтев у групи опција није коректна."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 доесн'т еxтендс \Магенто\Каталог\Модел\Производ\Опција\Тип\ДефаултТyпе"
"The file options format is not valid.","Формат датотеке са опцијама није исправан."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Датотека '%1' за '%2' има неисправну екстензију."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимална дозвољена величина слике за '%1' је %2x%3 пx."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Датотека '%1' коју сте послали је већа од %2МБ дозвољено за овај сервер."
"The file '%1' is empty. Please choose another one","Датотека '%1' је празна. Молим одабрати другу"
"The file '%1' is invalid. Please choose another one","Датотека „%1” је неважећа. Одаберите другу"
"File '%1' is not an image.","Датотека '%1' ис нот ан имаге."
"Validation failed. Required options were not filled or the file was not uploaded.","Провера валидације није успела. Потребне опције неће бити попуњене или датотека није послата."
"The file you uploaded is larger than %1 Megabytes allowed by server","Послата датотека је већа од %1МБ колико допушта овај сервер"
"Option required.","Опција је потребна."
"The file is empty. Please choose another one","Датотека '' је празна. Молим одабрати другу"
"Some of the selected item options are not currently available.","Неке изабране опције ставке нису тренутно доступне."
"The text is too long.","Текст је предуг."
"Invalid attribute %fieldName = %fieldValue.","Неважећи атрибут %фиелдНаме = %фиелдВалуе."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Захтевана радња није пронађена. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Неважећи атрибут трошка = %цост. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд."
"Could not save Prices.","Није било могуће сачувати цене."
"Could not delete Prices","Није било могуће избрисати цене"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Тражени производ не постоји. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд, цена од: %прицеФром, цена до: %прицеТо."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Тражена продавница не постоји. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд, цена од: %прицеФром, цена до: %прицеТо."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Неважећи атрибут %лабел = %прицеТо. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд, цена од: %прицеФром, цена до: %прицеТо."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Неважећи атрибут цена = %прице. Ред ИД: Шифра = %СКУ, продавница ИД: %стореИд, цена од: %прицеФром, цена до: %прицеТо."
"Could not save Tier Prices","Није било могуће сачувати слој цена"
"Could not replace Tier Prices","Није било могуће заменити слој цена"
"Could not delete Tier Prices","Није било могуће обрисати слој цена"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Неважећи атрибут Шифра = %СКУ. Ред ИД: Шифра = %СКУ, Wеб локација ИД: % wебситеИд, група купаца: %цустомерГроуп, количина: %qтy."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Неважећи атрибут цена = %прице. Ред ИД: Шифра = %СКУ, Wеб локација ИД: %wебситеИд, група купаца: %цустомерГроуп, количина: %qтy."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Неважећи атрибут тип цена = %прицеТyпе. Ред ИД: Шифра = %СКУ, Wеб локација ИД: %wебситеИд, група купаца: %цустомерГроуп, количина: %qтy."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Неважећи атрибут количина = %qтy. Ред ИД: Шифра = %СКУ, Wеб локација ИД: % wебситеИд, група купаца: %цустомерГроуп, количина: %qтy."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Неважећи атрибут Wеб локација ИД: %wебситеИд. Ред ИД: Шифра = %СКУ, Wеб локација ИД: %wебситеИд, група купаца: %цустомерГроуп, количина: %qтy."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Пронашли смо дупликат wеб локације, слоја цена, корисничке групе и количине: Корисничка група = %цустомерГроуп, Wеб локација ИД = %wебситеИд, Количина = %qтy. Роw ИД: Шифра = %СКУ, Wеблокација ИД: %wебситеИд, Гроупа купаца: %цустомерГроуп, Количина: %qтy."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Не постоји ентитет са групом корисника = %цустомерГроуп. Роw ИД: Шифра= %СКУ, Wеб локација ИД: %wебситеИд, Група корисника: %цустомерГроуп, Количина: %qтy."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Производ хасн'т гроуп прице wитх суцх дата: цустомерГроупИд = '%1', wебсите = %2, qтy = %3"
"Invalid data provided for tier_price","Погрешно постављен датум за слој_цена"
"Could not save group price","Није било могуће сачувати групу цена"
"Please provide valid data","Молим обезбедите исправан датум"
"Values of following attributes are invalid: %1","Вредности следећих атрибута су неисправни: %1"
"We can't create writeable directory ""%1"".","Не можемо да креирамо директоријум за писање ""%1""."
"The file upload failed.","Дошло је до грешке при слању датотеке."
"The product has required options.","Производ је захтевао опције."
"Something went wrong while processing the request.","Дошло је до грешке приликом обраде захтева."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 доесн'т еxтендс \Магенто\Каталог\Модел\Производ\Тип\АбстрацтТyпе"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 доесн'т еxтендс \Магенто\Каталог\Модел\Производ\Тип\Цена"
"Not Visible Individually","Није видљиво индивидуално"
"Search","Претрага"
"Catalog, Search","Каталог, претрага"
"Something went wrong while removing products from the websites.","Дошло је до грешке приликом уклањања производа са wеб локација."
"Something went wrong while adding products to websites.","Дошло је до грешке при додавању производа на wеб локације."
"Group with id ""%1"" does not exist.","Група са ид %1 не постоји."
"Attribute group that contains system attributes can not be deleted","Атрибут групе који садржи атрибуте система не може бити обрисан"
"Collection provider is not registered","Пружалац колекције није регистрован"
"Unknown link type: %1","Непозната тип везе: %1"
"Provided link type ""%1"" does not exist","Дати линк типа ""%1"" не постоји"
"Invalid data provided for linked products","Погрешини податаци за повезане производе"
"Product with SKU '%1' is not linked to product with SKU '%2'","Производ са шифром „%1” није повезан са производом са шифром „%2”"
"Product %1 doesn't have linked %2 as %3","Производ %1 доесн'т хаве линкед %2 ас %3"
"Requested product doesn't exist","Реqуестед продуцт не постоји"
"Product with SKU ""%1"" does not exist","Производ са шифром %1 не постоји"
"Invalid product data: %1","Неважећи податак производа: %1"
"Database connection error","Грешка у повезивању са базом података"
"Database deadlock found when trying to get lock","Грешка при закључавању базе приликом покушаја закључавања"
"Database lock wait timeout exceeded","Прекорачено време у чекању на закључавању базе"
"Unable to remove product %1","Није могуће уклонити производ %1"
"Requested product does not support images.","Тражени производ не подржава слике."
"There are not websites for assign to product","Не постоје Wеб локације за додељивање производа"
"Could not assign product ""%1"" to websites ""%2""","Није могао да доделити производ „%1” wеб локацији „%2”"
"Could not save product ""%1"" with websites %2","Није могуће сачувати производ „%1” са wеб локације %2"
"We cannot determine the field name.","Не можемо да утврдимо назив поља."
"Attribute '%1' is locked. %2","Атрибут '%1' ис лоцкед. %2"
"Do not change the scope. %1","Не мењајте опсег. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","%1 процесор не имплементира БасеСелецтПроцессорИнтерфаце"
"A product type is not defined for the indexer.","Тип производа није дефинисан за индексирање."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 доесн'т еxтенд \Магенто\Каталог\Модел\РесоурцеМодел\Производ\Индеxер\Цена\ДефаултПрице"
"Product with SKU %1 is not linked to product with SKU %2","Производ са шифром „%1” није повезан са производом са шифром „%2”"
"Multiple Select","Избор више ставки"
"Dropdown","Падајућа листа"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","Снижење"
"test","test"
"Some text is here.","Неки текст овде."
"Some exception","Неки изузетак"
"Could not get extension attributes","Није било могуће добити атрибуте ознака типа датотеке"
"message","порука"
"fl","fl"
"Lock wait timeout","Истекло временско ограничења чекања"
"123","123"
"Images","Слике"
"Select...","Изабрати..."
"Advanced Pricing","Више опција за одређивање цена"
"Customer Group Price","Групе цена за купца"
"Customer Group","Група купаца"
"Special Price From","Посебне цене од"
"To","До"
"Done","Готово"
"Product Alerts","Аларм производа"
"Alert stock","Алерт Залихе"
"Alert Stock","Алерт Залихе"
"Alert price","Алерт Цена"
"Alert Price","Алерт Цена"
"Add Selected","Додај одабране"
"Select Attribute","Изаберите атрибут"
"Create New Attribute","Направити нови атрибут"
"Customizable Options","Прилагодљиве опције"
"Custom options let customers choose the product variations they want.","Прилагођавање опција омогућава кориснику да изабере различите вредности које он жели."
