"Root","최상위"
"We can't delete the attribute.","We can't delete the attribute."
"You deleted the product attribute.","상품 어트리뷰트를 삭제하였습니다."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","해당 어트리뷰트는 더이상 존재하지 않습니다."
"This attribute cannot be edited.","해당 어트리뷰트는 수정할 수 없습니다."
"Edit Product Attribute","상품 어트리뷰트 수정"
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","어트리뷰트 저장중 문제가 발생했습니다."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","상품 어트리뷰트를 저장했습니다."
"An attribute with this code already exists.","해당 코드를 가진 어트리뷰트가 이미 존재합니다."
"An attribute with the same code (%1) already exists.","동일한 코드(%1)을 가진 어트리뷰트가 이미 존재합니다."
"The value of Admin must be unique.","The value of Admin must be unique."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","상품을 복제하였습니다."
"This product doesn't exist.","해당 상품이 존재하지 않습니다."
"Invalid product id. Should be numeric value greater than 0","잘못된 상품 ID입니다. 0보다 큰 숫자를 입력해야 합니다."
"Products","상품"
"A group with the same name already exists.","동일한 이름의 그룹이 이미 존재합니다."
"Something went wrong while saving this group.","해당 그룹 저장중 문제가 발생했습니다."
"A total of %1 record(s) have been deleted.","총 %1개의 레코드가 삭제되었습니다."
"A total of %1 record(s) have been updated.","총 %1개의 레코드가 업데이트 되었습니다."
"Something went wrong while updating the product(s) status.","상품 상태 업데이트중 문제가 발생했습니다."
"Unable to save product","Unable to save product"
"You saved the product.","상품을 저장했습니다."
"SKU for product %1 has been changed to %2.","상품 %1의 SKU가 %2로 변경되었습니다."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"New Attribute Set","신규 어트리뷰트 세트"
"The attribute set has been removed.","어트리뷰트 세트가 삭제되었습니다."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","신규 세트"
"Manage Product Sets","상품 세트 관리"
"Manage Attribute Sets","어트리뷰트 세트 관리"
"This attribute set no longer exists.","해당 어트리뷰트 세트는 더이상 존재하지 않습니다."
"You saved the attribute set.","어트리뷰트를 저장했습니다."
"Something went wrong while saving the attribute set.","어트리뷰트 세트 저장중 문제가 발생했습니다."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","비교 리스트를 비웠습니다."
"Something went wrong  clearing the comparison list.","비교 리스트 삭제중 문제가 발생했습니다."
"You removed product %1 from the comparison list.","상품 %1을(를) 비교 리스트에서 삭제하였습니다."
"1 item","1 개 항목"
"%1 items","%1개 항목"
"Are you sure you want to remove this item from your Compare Products list?","Are you sure you want to remove this item from your Compare Products list?"
"Are you sure you want to remove all items from your Compare Products list?","Are you sure you want to remove all items from your Compare Products list?"
"Invalid attribute %1","어트리뷰트 %1이(가) 올바르지 않습니다."
"Grid","그리드"
"List","리스트"
"All","모두"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","상품이 로드되지 않았습니다."
"Make sure the To Date is later than or the same as the From Date.","Make sure the To Date is later than or the same as the From Date."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","이미지 URL을 가져오는중 문제가 발생했습니다."
"Can't delete root category.","Can't delete root category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","No layout updates"
"Products only","상품만"
"Static block only","정적 블럭만"
"Static block and products","정적 블럭과 상품"
"Please select a static block.","정적 블럭을 선택해 주십시오."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Could not save product ""%1"" with position %2 to category %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","상위 카테고리를 하위 카테고리로 옮기는것은 허용되지 않습니다."
"Could not move category","카테고리를 옮길 수 없습니다."
"Could not save category: %1","카테고리를 저장할 수 없습니다: %1"
"Cannot delete category with id %1","카테고리를 삭제할 수 없습니다: %1"
"-- Please Select a Category --","-- 카테고리를 선택하세요 --"
"Grid Only","그리드만 표시"
"List Only","리스트만 표시"
"Grid (default) / List","그리드(기본) / 리스트"
"List (default) / Grid","리스트 (기본) / 그리드"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Manual","수동"
"Fixed","고정 요금"
"Percent","퍼센트"
"Discount","할인"
"-- Please select --","--선택하세요--"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","상위 상품 썸네일"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","늘리기"
"Tile","타일"
"Top/Left","상단/좌측"
"Top/Right","상단/우측"
"Bottom/Left","하단/좌측"
"Bottom/Right","하단/우측"
"Center","중앙"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","파일 저장중 문제가 발생했습니다."
"File can not be saved to the destination folder.","폴더에 파일을 저장할 수 없습니다."
"Unknown EAV indexer type ""%1"".","Unknown EAV indexer type ""%1""."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","지원하지 않는 제품 타입 ""%1""."
"Please correct the category.","카테고리를 수정해 주십시오."
"Must be category model instance or its id.","Must be category model instance or its id."
"The attribute model is not defined.","어트리뷰트 모델이 정의되지 않았습니다."
"Category","카테고리"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","The filter must be an object. Please set the correct filter."
"Clear Price","Clear Price"
"%1 and above","%1 이상"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","그룹 가격은 반드시 0보다 커야합니다."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","0 이상의 숫자를 입력해 주십시오."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU의 최대 글자수는 %1입니다."
"Please enter a valid number in this field.","올바른 숫자를 입력해 주십시오."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Percentage value must be a number between 0 and 100.","Percentage value must be a number between 0 and 100."
"Invalid option id %1","옵션 id %1이(가) 올바르지 않습니다."
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Use config"
"Enabled","활성화"
"Disabled","비활성화"
"Attribute Set already exists.","어트리뷰트 세트가 이미 존재합니다."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Select type options required values rows."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","필수 날짜 옵션을 지정해 주십시오."
"Please specify time required option(s).","필수 시간 옵션을 지정해 주십시오."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"The maximum allowed image size for '%1' is %2x%3 px.","이미지 '%1'의 최대 사이즈는 %2x%3 px 입니다."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","업로드한 파일 '%1'은 서버에서 허용된 %2 메가바이트보다 큽니다."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","파일 '%1'이 잘못되었습니다. 다른 파일을 선택해 주십시오."
"File '%1' is not an image.","File '%1' is not an image."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","선택한 옵션중 현재 사용 불가한것이 있습니다."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Could not save Prices."
"Could not delete Prices","Could not delete Prices"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","Could not save Tier Prices"
"Could not replace Tier Prices","Could not replace Tier Prices"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","요청을 처리하는 도중 문제가 발생했습니다."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","개별 표시 안함"
"Search","검색"
"Catalog, Search","카탈로그, 검색"
"Something went wrong while removing products from the websites.","웹사이트에서 상품을 삭제중 문제가 발생했습니다."
"Something went wrong while adding products to websites.","웹사이트에 상품을 저장중 문제가 발생했습니다."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' 상품은 SKU '%2' 상품과 연결되어있지 않습니다."
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","상품 데이터가 올바르지 않습니다: %1"
"Database connection error","Database connection error"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","상품을 지정할 웹사이트가 없습니다."
"Could not assign product ""%1"" to websites ""%2""","상품 ""%1""을(를) 웹사이트 ""%2""에 지정할 수 없습니다."
"Could not save product ""%1"" with websites %2","웹사이트 ""%2""의 상품 ""%1""을 저장할 수 없습니다."
"We cannot determine the field name.","필드명을 특정지을 수 없습니다."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","적용점위를 변경하지 마십시오. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","SKU '%1' 상품은 SKU '%2' 상품과 연결되어있지 않습니다."
"Multiple Select","다중선택"
"Dropdown","드롭다운"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","As low as"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","메세지"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","이미지"
"Select...","선택..."
"Advanced Pricing","Advanced Pricing"
"Customer Group Price","Customer Group Price"
"Customer Group","고객 그룹"
"Special Price From","Special Price From"
"To","받는 사람"
"Done","완료"
"Product Alerts","상품 알림"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","선택항목 추가"
"Select Attribute","어트리뷰트 선택"
"Create New Attribute","신규 어트리뷰트 추가"
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Add Option","옵션 추가"
"New Option","신규 옵션"
"Select Product","상품 선택"
"Option Title","옵션 타이틀"
"Add Value","밸루 추가"
"Title","타이틀"
"Option Type","옵션 타입"
"Required","필수"
"Price Type","가격 타입"
"Max Characters","최대 글자수"
"Compatible File Extensions","호환 가능한 파일 확장자"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","최대 이미지 사이즈"
"Please leave blank if it is not an image.","이미지가 아니면 빈칸으로 두십시오."
"%1","%1"
"This item has weight","해당 상품은 중량이 있습니다."
"This item has no weight","해당 상품은 중량이 없습니다."
"Set Product as New From","상품을 신규 상태로 설정 From"
"Related Products, Up-Sells, and Cross-Sells","관련 상품, 상향판매, 교차판매"
"Related products are shown to customers in addition to the item the customer is looking at.","Related products are shown to customers in addition to the item the customer is looking at."
"Add Related Products","관련 상품 추가"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","상향판매 상품은 고객이 보고있는 제품에 비해 가격이 비싸거나 고품질의 상품을 제안합니다."
"Add Up-Sell Products","상향판매 상품 추가"
"Up-Sell Products","상향판매 상품"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","교차판매 상품 추가"
"Cross-Sell Products","교차판매 상품"
"Add Selected Products","선택된 상품 추가"
"Remove","삭제"
"Thumbnail","썸네일"
"Actions","동작"
"Schedule Update From","Schedule Update From"
"Product in Websites","웹사이트 상품"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","이름"
"Copy Data from","Copy Data from"
