"Root","Rot"
"Stock Alert Subscriptions","Lager varslings abonnement"
"There are no customers for this alert.","Det finnes ingen kunder for dette varselet."
"First Name","Fornavn"
"Last Name","Etternavn"
"Email","E-post"
"Subscribe Date","Abonnerings dato"
"Last Notified","Siste varslet"
"Send Count","Send telling"
"New Attribute","Nytt attributt"
"Type","Type"
"Attribute Set","Attributtsett"
"Add New Option","Legg til nytt alternativ"
"Import Options","Alternativer for import"
"Use Default","Bruk standard"
"Import","Importere"
"Add New Row","Legg til ny rad"
"Delete Row","Slett rad"
"Tier Pricing","Nivå prising"
"Default Price","Standardpris"
"All Websites","Alle nettsteder"
"ALL GROUPS","ALLE GRUPPER"
"Add Price","Legg til pris"
"Default Values","Standardverdier"
"Related Products","Beslektede produkter"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Size for %1","Størrelse for %1"
"Watermark File for %1","Vannmerke-filen for %1"
"Position of Watermark for %1","Plasseringen av vannmerket for %1"
"Name in %1","Navnet i %1"
"Quantity","Antall"
"Edit","Redigere"
"Are you sure?","Er du sikker?"
"Change Status","Endre status"
"Update Attributes","Oppdatere attributter"
"start typing to search category","begynn å skrive for å søke etter kategori"
"New Category","Ny kategori"
"Images (.gif, .jpg, .png)","Bilder (GIF, jpg, PNG)"
"Add New Images","Legge til nye bilder"
"Inc. Tax","Inkl. mva"
"Does this have a weight?","Har dette en vekt?"
"Product","Produkt"
"Notify Low Stock RSS","Varsle lav lager RSS"
"Low Stock Products","Lav lager produkter"
"%1 has reached a quantity of %2.","%1 har nådd et antall på %2."
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"Subscribe to RSS Feed","Abonner på RSS Feed"
"Products Comparison List","Sammenligning produktlisten"
"N/A","I/T"
"AM","AM"
"PM","PM"
"-- Please Select --","-Vennligst velg--"
"None","Ingen"
"New Products from %1","Nye produkter fra %1"
"New Products","Nye produkter"
"%1 - Special Products","%1 - spesielle produkter"
"Click for price","Klikk for pris"
"Special Expires On: %1","Special Expires On: %1"
"Price: %1","Pris: %1"
"Special Price: %1","Spesialpris: %1"
"Special Products","Spesielle produkter"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrere kategorier"
"You deleted the category.","Du slettet kategorien."
"Something went wrong while trying to delete the category.","Noe gikk galt mens du prøver å slette kategorien."
"Categories","Kategorier"
"Category is not available for requested store.","Kategorien er ikke tilgjengelig for forespurt butikk."
"There was a category move error.","Det oppstod en kategori flyttefeil."
"You moved the category.","Du flyttet kategorien."
"Attribute ""%1"" is required.","Attributten ""%1"" kreves."
"You saved the category.","Du lagret kategorien."
"Something went wrong while saving the category.","Noe gikk galt under lagring av kategorien."
"Please select products for attributes update.","Velg produkter for attributtoppdateringen."
"Please make sure to define SKU values for all processed products.","Kontroller at det er definert SKU verdier for alle bearbeidede produkter."
"A total of %1 record(s) were updated.","Totalt %1 post(er) ble oppdatert."
"Something went wrong while updating the product(s) attributes.","Noe gikk galt ved oppdatering av produkt(er) attributtene."
"Unable to add attribute","Kan ikke legge til attributtet"
"Please, specify attributes","Vennligst velg attributter"
"Catalog","Katalog"
"Manage Product Attributes","Administrere produkt-attributter"
"We can't delete the attribute.","Vi kan ikke slette attributtet."
"You deleted the product attribute.","Du slettet produktattributtet."
"We can't find an attribute to delete.","Vi kan ikke finne et attributt å slette."
"This attribute no longer exists.","Dette attributtet finnes ikke lenger."
"This attribute cannot be edited.","Attributtet kan ikke redigeres."
"Edit Product Attribute","Redigere produkt attributt"
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","Noe gikk galt under lagring av attributtet."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributtet kode ""%1"" er ugyldig. Bruk bare bokstaver (a-z), tall (0-9) eller understreking (_) i dette feltet, første tegnet må være en bokstav."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","Du lagret attributtet produktet."
"An attribute with this code already exists.","Det finnes allerede et attributt med denne koden."
"An attribute with the same code (%1) already exists.","Det finnes allerede et attributt med den samme koden (%1)."
"The value of Admin must be unique.","Verdien av Admin må være unik."
"The value of Admin scope can't be empty.","Verdien av Admin området kan ikke være tomt."
"You duplicated the product.","Du dupliserte produktet."
"This product doesn't exist.","Dette produktet finnes ikke."
"Invalid product id. Should be numeric value greater than 0","Ugyldig produkt-ID. Må være numerisk verdi større enn 0"
"Products","Produkter"
"A group with the same name already exists.","En gruppe med dette navnet eksisterer allerede."
"Something went wrong while saving this group.","Noe gikk galt under lagringen av denne gruppen."
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) ble slettet."
"A total of %1 record(s) have been updated.","Totalt %1 post(er) er oppdatert."
"Something went wrong while updating the product(s) status.","Noe gikk galt ved oppdatering av produkt(er) status."
"Unable to save product","Kan ikke lagre produkt"
"You saved the product.","Du lagret produktet."
"SKU for product %1 has been changed to %2.","SKU for produktet %1 er endret til %2."
"The image cannot be removed as it has been assigned to the other image role","Bildet kan ikke fjernes som den er tilordnet andre bildet rollen"
"New Attribute Set","Nytt attributtsett"
"The attribute set has been removed.","Attributtsettet er fjernet."
"We can't delete this set right now.","Vi kan ikke slette settet akkurat nå."
"New Set","Nytt sett"
"Manage Product Sets","Administrere produktsett"
"Manage Attribute Sets","Administrer attributtsett"
"This attribute set no longer exists.","Dette attributtet finnes ikke lenger."
"You saved the attribute set.","Du lagret attributtsettet."
"Something went wrong while saving the attribute set.","Noe gikk galt under lagring av attributtsettet."
"You added product %1 to the comparison list.","Du har lagt til produktet %1 i listen for sammenligning."
"You cleared the comparison list.","Du fjernet listen for sammenligning."
"Something went wrong  clearing the comparison list.","Noe gikk galt undering fjerning av sammenligning-listen."
"You removed product %1 from the comparison list.","Du fjernet produktet %1 fra listen for sammenligning."
"1 item","1 produkt"
"%1 items","%1 produkter"
"Are you sure you want to remove this item from your Compare Products list?","Er du sikker på at du vil fjerne dette elementet fra din sammenlignproduktliste?"
"Are you sure you want to remove all items from your Compare Products list?","Er du sikker på at du vil fjerne alle elementer fra din sammenlignproduktliste?"
"Invalid attribute %1","Ugyldig attributt %1"
"Grid","Rutenett"
"List","Liste"
"All","Alle"
"Bad controller interface for showing product","Dårlig kontrolleren grensesnitt for å vise produktet"
"Product is not loaded","Produktet er ikke lastet"
"Make sure the To Date is later than or the same as the From Date.","Kontroller at Til Dato er senere enn eller samme som Fra Dato."
"Sorry, but we can't find the new parent category you selected.","Beklager, men vi finner ikke den nye overordnede kategorien du har valgt."
"Sorry, but we can't find the new category you selected.","Beklager, men vi finner ikke den nye kategorien du har valgt."
"We can't move the category because the parent category name matches the child category name.","Vi kan ikke flytte kategorien fordi det overordnede kategorinavnet samsvarer med navnet på underkategorien."
"Something went wrong while getting the image url.","Noe gikk galt under henting av bilde-url."
"Can't delete root category.","Kan ikke slette rotkategori."
"The value of attribute ""%1"" must be unique.","Verdien på attributtet ""%1"" må være unikt."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standard Produkt Liste Sortering Etter finnes ikke i Tilgjengelig Produkt Liste Sortering Etter."
"No layout updates","Ingen layout oppdateringer"
"Products only","Kun produkter"
"Static block only","Kun statisk blokk"
"Static block and products","Statisk blokk og produkter"
"Please select a static block.","Velg en statisk blokk."
"frontend_label","frontend_etikett"
"Could not save product ""%1"" with position %2 to category %3","Kan ikke lagre produkt ""%1"" med posisjon %2 til kategori %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Kan ikke lagre produkt ""%product"" med posisjon %position til kategori %category"
"Operation do not allow to move a parent category to any of children category","Operasjonen tillater ikke at man flytter en overordnet kategori til en underordnet kategori"
"Could not move category","Kan ikke flytte kategori"
"Could not save category: %1","Kan ikke lagre Kategori: %1"
"Cannot delete category with id %1","Kan ikke slette kategorien med ID %1"
"-- Please Select a Category --","-Velg en kategori-"
"Grid Only","Bare rutenett"
"List Only","Kun liste"
"Grid (default) / List","Rutenett (standard) / liste"
"List (default) / Grid","Liste (standard) / rutenett"
"Automatic (equalize price ranges)","Automatisk (utjevne prisklasser)"
"Automatic (equalize product counts)","Automatisk (utjevne produktantall)"
"Manual","Manuell"
"Fixed","Fast"
"Percent","Prosent"
"Discount","Rabatt"
"-- Please select --","-Vennligst velg--"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Overordnet produkt miniatyrbilde"
"12h AM/PM","12 timer AM/PM"
"24h","24t"
"Stretch","Strekk"
"Tile","Flis"
"Top/Left","Øverst/venstre"
"Top/Right","Øverste/høyre"
"Bottom/Left","Nederst/venstre"
"Bottom/Right","Nederst/høyre"
"Center","Midtstill"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 er ikke en forlengelse av \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Noe gikk galt mens filen/filene skulle lagres."
"File can not be saved to the destination folder.","Filen kan ikke lagres til angitt mappe."
"Unknown EAV indexer type ""%1"".","Ukjent EAV indekser type""%1""."
"We can't rebuild the index for an undefined product.","Vi kan ikke bygge indeksen for en udefinert produkt."
"Bad value was supplied.","Ugyldig verdi ble angitt."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modulen Flat katalogen har en grense på %2$d filtrerbare og/eller sorterbar attributter. Foreløpig er det %1$d av dem. Reduser antall filtrerbare/sorterbar attributter for å bruke denne modulen"
"Unsupported product type ""%1"".","Ikke-støttet produkt type ""%1""."
"Please correct the category.","Korriger kategorien."
"Must be category model instance or its id.","Må være kategori modell forekomst eller denne sin id."
"The attribute model is not defined.","Attributtmodellen er ikke definert."
"Category","Kategori"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 ble ikke funnet i algoritmer"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 er ikke en forlengelse av \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgoritmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 er ikke en forlengelse av \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filteret må være et objekt. Angi riktig filter."
"Clear Price","Fjern pris"
"%1 and above","%1 og over"
"The filters must be an array.","Filtrene må være en matrise (array)."
"Product was not registered","Produktet ble ikke registrert"
"Store was not registered","Butikken ble ikke registrert"
"Group price must be a number greater than 0.","Gruppepris må være et nummer større enn 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Galleri Konverterer burde være en instanse av EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Det finnes ikke en MediaGalleryEntryConverter for den angitte typen"
"Please enter a number 0 or greater in this field.","Angi et nummer 0 eller større i dette feltet."
"The value of attribute ""%1"" must be set","Verdien av attributtet ""%1"" må være definert"
"SKU length should be %1 characters maximum.","SKU lengde burde være %1 tegn maksimum."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"We found a duplicate website, tier price, customer group and quantity.","Vi fant en duplisert nettside, prisnivå, kundegruppe og kvantitet."
"Percentage value must be a number between 0 and 100.","Prosentverdi må være et tall mellom 0 og 100."
"Invalid option id %1","Ugyldig alternativ id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Bruk konfigurasjon"
"Enabled","Aktivert"
"Disabled","Deaktivert"
"Attribute Set already exists.","Attributt sett eksisterer allerede."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Kan ikke lagre produktet."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","Bildet finnes ikke."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Finner ikke informasjon om bildet: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Alternativtypen for å få gruppeforekomsten er feil."
"Select type options required values rows.","Velg typealternativer krever verdier rader."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Angi alternativene for datoen som kreves."
"Please specify time required option(s).","Angi alternativene for tid."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Forekomst alternativtypen alternativer er feil."
"The product instance type in options group is incorrect.","Produktets forekomsttype i alternativer gruppe er feil."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","BuyRequest forekomsten alternativer er feil."
"We can't add the product to the cart because of an option validation issue.","Vi kan ikke legge produktet i handlevognen på grunn av et problem med godkjennelse av alternativ."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Filen '%1' til '%2' har en ugyldig filtype."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksimalt tillatt størrelsen for '%1' er %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Filen '%1' du lastet opp er større enn %2 MB tillatt av vår server."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","Filen '%1' er ugyldig. Velg en annen"
"File '%1' is not an image.","File '%1' is not an image."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Noen av de valgte alternativene er ikke tilgjengelige for øyeblikket."
"The text is too long.","Teksten er for lang."
"Invalid attribute %fieldName = %fieldValue.","Ugyldig attributt %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Forespurt butikk ble ikke funnet. Rad-ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ugyldig attributt pris = %cost. Rad-ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Kan ikke lagre priser."
"Could not delete Prices","Kan ikke slette priser"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Finner ikke forespurt butikk. Rad-ID: SKU = %SKU, Store ID: %storeId, pris fra: %priceFrom, pris til: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ugyldig attributt %label = %priceTo. Rad ID: SKU = %SKU, Butikk ID: %storeId, Pris Fra: %priceFrom, Pris Til: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ugyldig attributt Pris = %price. Rad ID: SKU = %SKU, Butikk ID: %storeId, Pris Fra: %priceFrom, Pris Til: %priceTo."
"Could not save Tier Prices","Kan ikke lagre nivå priser"
"Could not replace Tier Prices","Kan ikke erstatte nivå priser"
"Could not delete Tier Prices","Kan ikke slette Tier priser"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attributt SKU = %SKU. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attributt pris = %pris. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attributt Pristype = %priceType. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attributt antall = %qty. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attributt nettsted-ID = % websiteId. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Vi fant et duplisert nettsted, nivå pris, kundegruppe og antall: kundegruppen = %customerGroup, nettsted-ID = % websiteId, antall = %qty. Rad-ID: SKU = %SKU, nettside-ID: % websiteId, kundegruppe: %customerGroup, mengde: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ingen enhet med Kundegruppe = %customerGroup. Rad ID: SKU = %SKU, Nettside ID: %websiteId, Kundegruppe: %customerGroup, Kvantitet: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Angi gyldige data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","Filopplasting mislyktes."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Noe gikk galt under arbeidet av denne forespørselenen."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Ikke sett individuelt"
"Search","Søk"
"Catalog, Search","Katalog, søk"
"Something went wrong while removing products from the websites.","Noe gikk galt under fjerning av produkter fra nettsiden."
"Something went wrong while adding products to websites.","Noe gikk galt under tillegging av produkter til nettsiden."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt med SKU '%1' er ikke linket til produkt med SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Produktet finnes ikke"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Ugyldig produkt data: %1"
"Database connection error","Nettverksfeil"
"Database deadlock found when trying to get lock","Database vanglås funnet under forsøket på å få lås"
"Database lock wait timeout exceeded","Database lås ventetid overgått"
"Unable to remove product %1","Kan ikke fjerne produkt %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Det er ikke websider for tildeling til produkt"
"Could not assign product ""%1"" to websites ""%2""","Kunne ikke tildele produkt ""%1"" til nettsider ""%2"""
"Could not save product ""%1"" with websites %2","Kunne ikke lagre produkt ""%1"" med nettsidene ""%2"""
"We cannot determine the field name.","Vi kan ikke avgjøre feltnavn."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","Ikke forandre omfanget. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Prosessor %1 implementerer ikke BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","En produkttype er ikke definert for indeksereren."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produktet med SKU %1 er ikke linket til produktet med SKU %2"
"Multiple Select","Merk flere"
"Dropdown","Rullgardinmeny"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","Så lav som"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Noen unntak"
"Could not get extension attributes","Kan ikke hente tilleggsattributter"
"message","melding"
"fl","fl"
"Lock wait timeout","Tidsavbrudd for Lås"
"123","123"
"Images","Bilder"
"Select...","Velg..."
"Advanced Pricing","Avansert prising"
"Customer Group Price","Kundegruppe pris"
"Customer Group","Kundegruppe"
"Special Price From","Spesialpris fra"
"To","Til"
"Done","Utført"
"Product Alerts","Produktmeldinger"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Legg til valgte"
"Select Attribute","Velg attributt"
"Create New Attribute","Opprette ny attributt"
"Customizable Options","Egendefinerbare alternativer"
"Custom options let customers choose the product variations they want.","Egendefinerte alternativer lar kundene velge de produktvariasjonene de ønsker."
"Add Option","Legg til alternativ"
"New Option","Nytt alternativ"
"Select Product","Velg produkt"
"Option Title","Alternativtittel"
"Add Value","Legg til verdi"
"Title","Tittel"
"Option Type","Valg type"
"Required","Kreves"
"Price Type","Pristype"
"Max Characters","Maks tegn"
"Compatible File Extensions","Kompatible filtyper"
"Enter separated extensions, like: png, jpg, gif.","Angi atskilt utvidelser, som: png, jpg, gif."
"Maximum Image Size","Maksimal bildestørrelse"
"Please leave blank if it is not an image.","La stå tomt hvis det ikke er et bilde."
"%1","%1"
"This item has weight","Produktvekt"
"This item has no weight","Har ingen vekt"
"Set Product as New From","Angi produkt som ny fra"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, and Cross-Sells"
