"Root","Wurzel"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Wenn es keine benutzerdefinierten Hauptkategorien gibt, benutzen Sie bitte die Standard-Hauptkategorie. Sie können die Kategorie jederzeit in <a href=""""%1"""" target=""""_blank"""">Produkte > Kategorien</a> neu zuweisen."
"Price Alert Subscriptions","Preisalarm-Abonnements"
"Stock Alert Subscriptions","Lagerbestands-Benachrichtigungs-Abo"
"There are no customers for this alert.","Es sind keine Kunden für diese Warnung vorhanden."
"First Name","Vorname"
"Last Name","Nachname"
"Email","E-Mail"
"Subscribe Date","Anmeldedatum"
"Last Notified","Zuletzt benachrichtigt"
"Send Count","Anzahl abschicken"
"New Attribute","Neues Attribut"
"Type","Typ"
"Attribute Set","Attribut-Set"
"Add New Option","Neue Option hinzufügen"
"Import Options","Import-Optionen"
"Use Default","Standard verwenden"
"Import","Importieren"
"Add New Row","Neue Zeile einfügen"
"Delete Row","Zeile löschen"
"Tier Pricing","Staffelpreise"
"Default Price","Standard-Preis"
"All Websites","Alle Webseiten"
"ALL GROUPS","ALLE GRUPPEN"
"Add Price","Preis hinzufügen"
"Default Values","Standardwerte"
"Related Products","Verwandte Produkte"
"Up-sells","Up-Sells"
"Cross-sells","Cross-Sells"
"Size for %1","Größe für %1"
"Watermark File for %1","Wasserzeichen-Datei für %1"
"Position of Watermark for %1","Position des Wasserzeichens für %1"
"Name in %1","Name in %1"
"Quantity","Menge"
"Edit","Bearbeiten"
"Are you sure?","Sind Sie sicher?"
"Change Status","Status ändern"
"Update Attributes","Attribute aktualisieren"
"start typing to search category","beginnen Sie zu tippen, um die Kategorie zu durchsuchen"
"New Category","Neue Kategorie"
"Images (.gif, .jpg, .png)","Sichtbare abwählen"
"Add New Images","Neue Bilder hinzufügen"
"Inc. Tax","Inkl. Steuern"
"Does this have a weight?","Hat es ein Gewicht?"
"Product","Produkt"
"Notify Low Stock RSS","RSS-Benachrichtigung bei niedrigem Lagerbestand"
"Low Stock Products","Produkte mit niedrigem Lagerbestand"
"%1 has reached a quantity of %2.","%1 hat eine Menge von %2 erreicht."
"Home","Startseite"
"Go to Home Page","Zur Startseite"
"Subscribe to RSS Feed","RSS Feed abonnieren"
"Products Comparison List","Produkt-Vergleichsliste"
"N/A","Keine Angabe"
"AM","Vormittags (a.m.)"
"PM","Nachmittags (p.m.)"
"-- Please Select --","-- Bitte wählen --"
"None","Keine"
"New Products from %1","Neue Produkte von %1"
"New Products","Neue Produkte"
"%1 - Special Products","%1 - Spezialprodukte"
"Click for price","Klicken für Preis"
"Special Expires On: %1","Angebot erlischt: %1"
"Price: %1","Preis: %1"
"Special Price: %1","Angebotspreis: %1"
"Special Products","Produkte im Angebot"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"You deleted the category.","Sie haben die Kategorie gelöscht."
"Something went wrong while trying to delete the category.","Etwas ging schief beim Versuch, die Kategorie zu löschen."
"Categories","Kategorien"
"Category is not available for requested store.","Kategorie ist nicht für den angeforderten Store verfügbar."
"There was a category move error.","Ist ein Fehler aufgetreten beim Verschieben der Kategorie."
"You moved the category.","Sie haben die Kategorie verschoben."
"Attribute ""%1"" is required.","Attribut ""%1"" ist erforderlich."
"You saved the category.","Sie haben die Kategorie gespeichert."
"Something went wrong while saving the category.","Beim Speichern der Kategorie ging etwas schief."
"Please select products for attributes update.","Bitte wählen Sie Produkte zur Attributaktualisierung."
"Please make sure to define SKU values for all processed products.","Bitte stellen Sie sicher, SKU-Werte für alle verarbeiteten Produkte zu definieren."
"A total of %1 record(s) were updated.","Insgesamt wurden %1 Einträge aktualisiert."
"Something went wrong while updating the product(s) attributes.","Während der Aktualisierung der Produktattribute ging etwas schief."
"Unable to add attribute","Attribut konnte nicht hinzugefügt werden"
"Please, specify attributes","Bitte Attribute angeben"
"Catalog","Katalog"
"Manage Product Attributes","Produkt-Attribute verwalten"
"We can't delete the attribute.","Das Attribut kann nicht gelöscht werden."
"You deleted the product attribute.","Sie haben das Produktattribut gelöscht."
"We can't find an attribute to delete.","Wir können ein Attribut zum Löschen nicht finden."
"This attribute no longer exists.","Dieses Attribut ist nicht mehr vorhanden."
"This attribute cannot be edited.","Dieses Attribut kann nicht bearbeitet werden."
"Edit Product Attribute","Produkt-Attribut bearbeiten"
"An attribute set named '%1' already exists.","Ein Attributset mit dem Namen '%1' ist bereits vorhanden."
"Something went wrong while saving the attribute.","Beim Speichern des Attributs ist ein Fehler aufgetreten."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Der Attribut-Code ""%1"" ist ungültig. Bitte verwenden Sie nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"We can't update the attribute.","Wir können das Attribut nicht aktualisieren."
"You saved the product attribute.","Sie haben das Produkt-Attribute gespeichert."
"An attribute with this code already exists.","Ein Attribut mit diesem Code existiert bereits."
"An attribute with the same code (%1) already exists.","Ein Attribut mit dem gleichen Code (%1) existiert bereits."
"The value of Admin must be unique.","Der Wert für Admin muss eindeutig sein."
"The value of Admin scope can't be empty.","Der Wert für den Admin Bereich darf nicht leer sein."
"You duplicated the product.","Artikel wurde dupliziert."
"This product doesn't exist.","Das Produkt existiert nicht."
"Invalid product id. Should be numeric value greater than 0","Ungültige Produkt-ID. ID sollte ein numerischer Wert größer als 0 sein"
"Products","Artikel"
"A group with the same name already exists.","Eine Gruppe mit dem selben Namen existiert bereits."
"Something went wrong while saving this group.","Beim Speichern dieser Gruppe ging etwas schief."
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Einträge gelöscht."
"A total of %1 record(s) have been updated.","Insgesamt wurden %1 Einträge aktualisiert."
"Something went wrong while updating the product(s) status.","Während der Aktualisierung des Produkt-Status ist ein Fehler aufgetreten."
"Unable to save product","Produkte konnte nicht gespeichert werden"
"You saved the product.","Das Produkt wurde gespeichert."
"SKU for product %1 has been changed to %2.","Artikelnummer für Produkt %1 wurde in %2 geändert."
"The image cannot be removed as it has been assigned to the other image role","Das Bild kann nicht entfernt werden, weil es einer anderen Bildrolle zugewiesen wurde"
"New Attribute Set","Neues Attribut-Set"
"The attribute set has been removed.","Das Attribut-Set wurde entfernt."
"We can't delete this set right now.","Dieser Satz kann nicht sofort gelöscht werden."
"New Set","Neues Set"
"Manage Product Sets","Produkt-Sets verwalten"
"Manage Attribute Sets","Attribut-Sets verwalten"
"This attribute set no longer exists.","Dieses Attribut-Set existiert nicht mehr."
"You saved the attribute set.","Das Attribut-Set wurde gespeichert."
"Something went wrong while saving the attribute set.","Beim Speichern des Attribut-Sets ist ein Fehler aufgetreten."
"You added product %1 to the comparison list.","Sie haben das Produkt %1 zur Vergleichsliste hinzugefügt."
"You cleared the comparison list.","Sie haben die Vergleichsliste gelöscht."
"Something went wrong  clearing the comparison list.","Während des Löschens der Vergleichsliste ist ein Fehler aufgetreten."
"You removed product %1 from the comparison list.","Sie haben Produkt %1 aus der Vergleichsliste entfernt."
"1 item","1 Artikel"
"%1 items","%1 Artikel"
"Are you sure you want to remove this item from your Compare Products list?","Sind Sie sicher, dass Sie dieses Produkt von Ihrer Vergleichsliste entfernen möchten?"
"Are you sure you want to remove all items from your Compare Products list?","Sind Sie sicher, dass Sie alle Produkte von Ihrer Vergleichsliste entfernen möchten?"
"Invalid attribute %1","Ungültiges Attribut %1"
"Grid","Liste"
"List","Liste"
"All","Alle"
"Bad controller interface for showing product","Falsche Controller-Schnittstelle für Produktansicht"
"Product is not loaded","Produkt nicht geladen"
"Make sure the To Date is later than or the same as the From Date.","Stellen Sie sicher, dass das Bis-Datum größer oder gleich dem Ab-Datum ist."
"Sorry, but we can't find the new parent category you selected.","Die neue übergeordnete Kategorie, welche Sie ausgewählt haben, wurde nicht gefunden."
"Sorry, but we can't find the new category you selected.","Die neue Kategorie, welche Sie ausgewählt haben, wurde nicht gefunden."
"We can't move the category because the parent category name matches the child category name.","Wir können die Kategorie nicht verschieben, da der Name der übergeordneten Kategorie mit dem der Kind-Kategorie übereinstimmt."
"Something went wrong while getting the image url.","Beim Speichern der Bild-URL ging etwas schief."
"Can't delete root category.","Root-Kategorie kann nicht gelöscht werden."
"The value of attribute ""%1"" must be unique.","Der Wert des Attributs ""%1"" muss einmalig sein."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standardsortierung der Artikelliste steht in den verfügbaren Sortierungen nicht zur Auswahl."
"No layout updates","Keine Layout Aktualisierungen"
"Products only","Nur Produkte"
"Static block only","Nur statischer Block"
"Static block and products","Statischer Block und Produkte"
"Please select a static block.","Bitte wählen Sie einen statischen Block."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Produkt ""%1"" mit der Position %2 konnte nicht in der Kategorie %3 gespeichert werden"
"Category does not contain specified product","Kategorie enthält das angegebene Produkt nicht"
"Could not save product ""%product"" with position %position to category %category","Produkt ""%product"" mit Position %position in Kategorie %category konnte nicht gespeichert werden"
"Operation do not allow to move a parent category to any of children category","Eine Hauptkategorie darf keiner Unterkategorie zugeordnet werden."
"Could not move category","Die Kategorie konnte nicht verschoben werden"
"Could not save category: %1","Kategorie %1 konnte nicht gespeichert werden."
"Cannot delete category with id %1","Kategorie mit ID %1 kann nicht gelöscht werden"
"-- Please Select a Category --","--Bitte wählen--"
"Grid Only","Nur Raster"
"List Only","Nur Liste"
"Grid (default) / List","Raster (Standard) / Liste"
"List (default) / Grid","Liste (Standard) / Raster"
"Automatic (equalize price ranges)","Automatisch (Preisbereiche angleichen)"
"Automatic (equalize product counts)","Automatisch (Produktanzahlen angleichen)"
"Manual","Manuell"
"Fixed","Festkosten"
"Percent","Prozent"
"Discount","Rabatt"
"-- Please select --","--Bitte auswählen--"
"Product Thumbnail Itself","Produkt Miniaturansicht selbst"
"Parent Product Thumbnail","Übergeordnetes Produktbild"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Strecken"
"Tile","Kachel"
"Top/Left","Oben/Links"
"Top/Right","Oben/Rechts"
"Bottom/Left","Unten/Links"
"Bottom/Right","Unten/Rechts"
"Center","Mitte"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 erweitert nicht \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Ein Fehler ist aufgetreten beim speichern der Datei(en)."
"File can not be saved to the destination folder.","Datei kann im Zielordner nicht gespeichert werden."
"Unknown EAV indexer type ""%1"".","Unbekannter EAV Index Typ ""%1""."
"We can't rebuild the index for an undefined product.","Wir können den Index für ein undefiniertes Produkt nicht neu erstellen."
"Bad value was supplied.","Ungültiger Wert wurde angegeben."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","DasFlat Catalog-Modul hat eine Grenze von %2$d filterbaren und/oder sortierbaren Attributen. "" ""Derzeit gibt es %1$d von ihnen."" ' Bitte reduzieren Sie die Anzahl der filterbaren/sortierbaren Attribute, um dieses Modul nutzen zu können"
"Unsupported product type ""%1"".","Nicht unterstützter Produkt-Typ ""%1""."
"Please correct the category.","Bitte korrigieren Sie die Kategorie."
"Must be category model instance or its id.","Muss Kategorie Modell Instanz oder dessen Id sein."
"The attribute model is not defined.","Das Attribut-Modell ist nicht definiert."
"Category","Kategorie"
"%1 - %2","%1 – %2"
"%1 was not found in algorithms","%1 wurde nicht in den Algorithmen gefunden."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 erweitert nicht \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 erweitert nicht \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Der Filter muss ein Objekt sein. Bitte verwenden Sie einen korrekten Filter."
"Clear Price","Preis löschen"
"%1 and above","%1 und mehr"
"The filters must be an array.","Der Filter muss ein Array sein."
"Product was not registered","Produkt wurde nicht registriert"
"Store was not registered","Store wurde nicht registriert"
"Group price must be a number greater than 0.","Gruppenpreis muss eine Zahl größer als 0 sein."
"Media Gallery converter should be an instance of EntryConverterInterface.","Mediengalerie-Konverter sollte eine Instanz von EntryConverterInterface sein."
"There is no MediaGalleryEntryConverter for given type","Es gibt keinen MediaGalleryEntryConverter für den gegebenen Typ"
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl größer gleich 0 ein."
"The value of attribute ""%1"" must be set","Der Wert des Attributs ""%1"" muss festgelegt werden"
"SKU length should be %1 characters maximum.","Die Länge der Artikelnummer sollte maximal %1 Zeichen betragen."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Nummer in dieses Feld ein."
"We found a duplicate website, tier price, customer group and quantity.","Wir fanden Webseite, Staffelpreis, Kundengruppe und Menge als Dublette."
"Percentage value must be a number between 0 and 100.","Prozentualer Wert muss eine Zahl zwischen 0 und 100 sein."
"Invalid option id %1","Ungültige Option Id %1"
"Can not create attribute set based on non product attribute set.","Attribut-Set kann nicht auf Basis eines Attribut-Sets erstellt werden, das kein Produkt-Attribut-Set ist."
"Can not create attribute set based on not existing attribute set","Attribut-Set kann nicht auf Basis eines nicht existierenden Attribut-Sets"
"Provided Attribute set non product Attribute set.","Angegebenes Attribut-Set ist kein Produkt-Attribut-Set."
"Use config","Konfiguration verwenden"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Attribute Set already exists.","Dieses Attribut-Set ist bereits vorhanden."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Wir konnten die Datei %1 nicht kopieren. Löschen Sie Medien mit nicht vorhandenen Bildern und versuchen Sie es erneut."
"The image content is not valid.","Der Bildinhalt ist nicht gültig."
"Cannot save product.","Produkt kann nicht gespeichert werden."
"Failed to save new media gallery entry.","Neuer Medien Galerie Eintrag konnte nicht gespeichert werden."
"There is no image with provided ID.","Es gibt kein Bild mit der angegebenen ID."
"Such product doesn't exist","Ein solches Produkt existiert nicht"
"Such image doesn't exist","Ein solches Bild existiert nicht"
"The image does not exist.","Das Bild ist nicht vorhanden."
"Please correct the image file type.","Bitte korrigieren Sie den Bilddateityp."
"We couldn't move this file: %1.","Die Datei %1 konnte nicht verschoben werden."
"Can't get information about the picture: %1","Keine Informationen über das Bild erhältlich: %1"
"The image could not be resized: ","Das Bild konnte nicht skaliert werden: "
"Some images could not be resized. See log file for details.","Einige Bilder konnten nicht skaliert werden. Siehe Logdatei für Details."
"The option type to get group instance is incorrect.","Der Optionstyp um eine Gruppeninstanz zu bekommen ist falsch."
"Select type options required values rows.","Typenoptionen für benötigte Wertezeilen auswählen."
"ProductSku should be specified","Produkt SKU muss angegeben werden"
"Could not remove custom option","Benutzerdefinierte Option konnte nicht entfernt werden."
"Please specify date required option(s).","Bitte geben Sie die Datums Option(en) ein."
"Please specify time required option(s).","Bitte geben Sie die Zeit Option(en) ein."
"Please specify product's required option(s).","Bitte geben Sie die Produktspezifischen Option(en) ein."
"The option instance type in options group is incorrect.","Der Optionsinstanztyp in der Optionengruppe ist inkorrekt."
"The product instance type in options group is incorrect.","Der Produktinstanztyp in der Optionengruppe ist inkorrekt."
"The configuration item option instance in options group is incorrect.","Die Konfigurationsartikel-Optionsinstanz in der Optionengruppe ist inkorrekt."
"The configuration item instance in options group is incorrect.","Die Konfigurationsartikelinstanz in der Optionengruppe ist inkorrekt."
"The BuyRequest instance in options group is incorrect.","Die BuyRequest-Instanz in der Optionengruppe ist inkorrekt."
"We can't add the product to the cart because of an option validation issue.","Wir können den Artikel aufgrund eines Validierungsproblems einer Option nicht zum Warenkorb hinzufügen."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 erweitert nicht \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Das Datei-Optionsformat ist nicht gültig."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Die Datei '%1' für '%2' hat eine ungültige Erweiterung."
"The maximum allowed image size for '%1' is %2x%3 px.","Die maximal erlaubte Bildgröße für '%1' ist %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Die Datei '%1' die Sie hochgeladen haben ist größer als die %2 Megabytes, die von unserem Server erlaubt sind."
"The file '%1' is empty. Please choose another one","Die Datei '%1' ist leer. Bitte wählen Sie eine andere aus."
"The file '%1' is invalid. Please choose another one","Die Datei '%1' ist unbrauchbar. Bitte wählen Sie eine andere aus."
"File '%1' is not an image.","Datei '%1' ist kein Bild."
"Validation failed. Required options were not filled or the file was not uploaded.","Validierung ist fehlgeschlagen. Erforderliche Optionen wurden nicht ausgefüllt, oder die Datei wurde nicht hochgeladen."
"The file you uploaded is larger than %1 Megabytes allowed by server","Die Datei, die Sie hochgeladen haben ist größer als %1 Megabyte, die vom Server zugelassen werden"
"Option required.","Option erforderlich."
"The file is empty. Please choose another one","Die Datei ist leer. Bitte wählen Sie eine andere aus."
"Some of the selected item options are not currently available.","Einige der ausgewählten Elementoptionen sind nicht verfügbar."
"The text is too long.","Der Text ist zu lang."
"Invalid attribute %fieldName = %fieldValue.","Ungültiges Attribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Der angeforderte Store wurde nicht gefunden. Zeile: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ungültiges Attribut Kosten = %cost. Zeile: SKU = %SKU, Store-ID: %sToreId."
"Could not save Prices.","Die Preise konnten nicht gespeichert werden."
"Could not delete Prices","Die Preise konnten nicht gelöscht werden"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Das angeforderte Produkt existiert nicht. Zeile: SKU = %SKU, Store ID: %storeId, Preis Von: %priceFrom, Preis bis: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Der angeforderte Store wurde nicht gefunden. Row ID: SKU = %SKU, Store ID: %storeId, Preis Von: %priceFrom, Preis bis: %preisTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ungültiges Attribut %label = %priceTo. Zeile: SKU = %SKU, Store ID: %storeId, Preis von: %priceFrom, Preis bis: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ungültiger Attributpreis = %price. Zele: SKU = %SKU, Store ID: %storeId, Preis von: %priceFrom, Preis bis: %priceTo."
"Could not save Tier Prices","Staffelpreise konntent nicht gespeichert werden"
"Could not replace Tier Prices","Staffelpreise konnten nicht ersetzt werden"
"Could not delete Tier Prices","Staffelpreise konnten nicht gelöscht werden"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ungültiges Attribut SKU = %SKU. Zeile: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ungültiges Attribut Preis = %price. Zeilen ID: SKU = %SKU, Website ID: %websiteID, Kundengruppe: %customerGroup, Menge: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ungültiger Attribut-Preis-Typ = %priceType. Zeilen ID: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ungültiges Attribut Menge = %qty. Zeilen ID: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ungültiges Attribut Website ID = %websiteId. Zeile ID: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Wir haben eine Duplikat website gefunden, Staffelpreis, Kundengruppe und Menge: Kundengruppe = %customerGroup, Website ID = %websiteId, Menge = %qty. Zeilen ID: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Keine Entität mit Kundengruppe Kundengruppe = %customerGroup. Zeile ID: SKU = %SKU, Website ID: %websiteId, Kundengruppe: %customerGroup, Menge: %qty."
"This product doesn't have tier price","Das Produkt hat keine Preis-Staffeln"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Artikel hat keinen Gruppenpreis mit solchen Daten: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Ungültige Daten für tier_price"
"Could not save group price","Gruppenpreis konnte nicht gespeichert werden."
"Please provide valid data","Bitte geben Sie gültige Daten ein"
"Values of following attributes are invalid: %1","Werte der folgenden Attribute sind ungültig: %1"
"We can't create writeable directory ""%1"".","Das Verzeichnis '%1' mit Schreibrechten konnte nicht erstellt werden."
"The file upload failed.","Der Dateiupload ist fehlgeschlagen."
"The product has required options.","Das Produkt hat erforderliche Optionen."
"Something went wrong while processing the request.","Beim Verarbeiten der Abfrage ist ein Fehler aufgetreten."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 erweitert nicht \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 erweitert nicht \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Einzeln nicht sichtbar"
"Search","Suche"
"Catalog, Search","Katalog, Suche"
"Something went wrong while removing products from the websites.","Beim Entfernen von Produkten aus den Websites ist etwas schief gegangen."
"Something went wrong while adding products to websites.","Beim Hinzufügen der Produkte zu den Websites ist ein Fehler aufgetreten."
"Group with id ""%1"" does not exist.","Die Gruppe mit der ID ""%1"" existiert nicht."
"Attribute group that contains system attributes can not be deleted","Eine Attributgruppe, die Systemattribute enthält, kann nicht gelöscht werden."
"Collection provider is not registered","Collection-Provider nicht registriert"
"Unknown link type: %1","Unbekannter Verknüpfungstyp: %1"
