"Root","Gyökér"
"Save & Duplicate","Mentés & duplikálás"
"Save & Close","Mentés & bezárás"
"Attributes","Jellemzők"
"Change","Módosítás"
"Advanced Inventory","Továbbfejlesztett raktárkészlet"
"Websites","Weboldalak"
"Products Information","Termék információk"
"Create Category","Kategória létrehozása"
"Category Name","Kategória neve"
"Parent Category","Szülőkategória"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ha nincsenek egyéni szülő kategóriák, kérjük használja az alapértelmezett szülő kategóriát. A <a href=""%1"" target=""_blank""> Termékek > Kategóriák</a> útvonalon bármikor újra összerendezheti a kategóriát."
"Price Alert Subscriptions","Ár értesítés feliratkozások"
"Stock Alert Subscriptions","Készlet figyelmeztetést kérők listája"
"There are no customers for this alert.","Ehhez a figyelmeztetéshez nincs vevő hozzárendelve."
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Email","E-mail"
"Subscribe Date","Feliratkozás dátuma"
"Last Notified","Utoljára értesített"
"Send Count","Számlálás küldése"
"New Attribute","Új jellemző"
"Type","Típus"
"Attribute Set","Jellemző halmaz"
"Add New Option","Új választási lehetőség hozzáadása"
"Import Options","Választási lehetőségek importálása"
"Use Default","Alapértelmezés használata"
"Import","Importálás"
"Add New Row","Új sor hozzáadása"
"Delete Row","Sor törlése"
"Tier Pricing","Lépcsős árazás"
"Default Price","Alapértelmezett ár"
"All Websites","Minden honlap"
"ALL GROUPS","MINDEN CSOPORT"
"Add Price","Ár hozzáadása"
"Default Values","Alapértelmezett értékek"
"Related Products","Kapcsolódó termékek"
"Up-sells","Felülértékesítések"
"Cross-sells","Kereszt eladások"
"Size for %1","%1 mérete"
"Watermark File for %1","%1 Vízjel fájlja"
"Position of Watermark for %1","%1 vízjelének pozíciója"
"Name in %1","Név %1"
"Quantity","Mennyiség"
"Edit","Szerkesztés"
"Are you sure?","Biztos benne?"
"Change Status","Állapot megváltoztatása"
"Update Attributes","Jellemzők frissítése"
"start typing to search category","kezdjen el gépelni a kategória kereséshez"
"New Category","Új kategória"
"Images (.gif, .jpg, .png)","Képek (.gif, .jpg, .png)"
"Add New Images","Új képek hozzáadása"
"Inc. Tax","Adóval"
"Does this have a weight?","Van súlya?"
"Product","Termék"
"Notify Low Stock RSS","RSS értesítés alacsony készlet esetén"
"Low Stock Products","Alacsony készletű termékek"
"%1 has reached a quantity of %2.","%1 elérte a %2 mennyiséget."
"Home","Kezdőlap"
"Go to Home Page","Ugrás a honlapra"
"Subscribe to RSS Feed","Feliratozás az RSS hírcsatornára"
"Products Comparison List","Termék összehasonlító lista"
"N/A","N/A"
"AM","de"
"PM","du"
"-- Please Select --","-- Kérem válasszon --"
"None","Egyik sem"
"New Products from %1","%1 új termékei"
"New Products","Új termékek"
"%1 - Special Products","%1 - különleges termékek"
"Click for price","Kattintson ide az árért"
"Special Expires On: %1","Akció lejár: %1"
"Price: %1","Ár: %1"
"Special Price: %1","Akciós ár: %1"
"Special Products","Speciális termékek"
"Manage Catalog Categories","Katalógus-kategóriák kezelése"
"Manage Categories","Kategóriák kezelése"
"You deleted the category.","Kategória törölve."
"Something went wrong while trying to delete the category.","Valami elromlott a Kategória törlése közben."
"Categories","Kategóriák"
"Category is not available for requested store.","A kategória nem érhető el a megadott boltban."
"There was a category move error.","Kategória mozgatási hiba."
"You moved the category.","Kategória átmozgatva."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Kategória elmentve."
"Something went wrong while saving the category.","Valami elromlott a kategória mentése közben."
"Please select products for attributes update.","Válasszon termékeket a jellemzők frissítéséhez."
"Please make sure to define SKU values for all processed products.","Bizonyosodjon meg róla hogy a feldolgozott termékeknek van cikkszáma."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Valami elromlott a termék(ek) jellemzőinek frissítése közben."
"Unable to add attribute","Nem lehet hozzáadni jellemzőt"
"Please, specify attributes","Please, specify attributes"
"Catalog","Katalógus"
"Manage Product Attributes","Termék jellemzők kezelése"
"We can't delete the attribute.","Nem tudjuk az attribútumot törölni."
"You deleted the product attribute.","Törölte a termék jellemzőjét."
"We can't find an attribute to delete.","Nem találunk törölhető attribútumot."
"This attribute no longer exists.","E jellemző már nem létezik."
"This attribute cannot be edited.","Ezt a jellemzőt nem lehet szerkeszteni."
"Edit Product Attribute","Termék jellemző szerkesztése"
"An attribute set named '%1' already exists.","Egy '%1' nevű attribútumhalmaz már létezik."
"Something went wrong while saving the attribute.","Valami elromlott a jellemző mentése közben."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Nem tudjuk frissíteni az attribútumot."
"You saved the product attribute.","Termék jellemző elmentve."
"An attribute with this code already exists.","Már van egy jellemző ezzel a kóddal."
"An attribute with the same code (%1) already exists.","Már létezik ezzel a kóddal (%1) egy jellemző."
"The value of Admin must be unique.","Az Admin értékének egyedinek kell lennie."
"The value of Admin scope can't be empty.","Az Admin rész tulajdonság értéke nem lehet üres."
"You duplicated the product.","A termék lemásolva."
"This product doesn't exist.","Ez a termék nem létezik."
"Invalid product id. Should be numeric value greater than 0","Érvénytelen termék azonosító. 0-nál nagyobb szám kell"
"Products","Termékek"
"A group with the same name already exists.","Egy csoport már létezik ezzel a névvel."
"Something went wrong while saving this group.","Hiba történt a csoport mentésekor."
"A total of %1 record(s) have been deleted.","Összesen %1 sor törölve."
"A total of %1 record(s) have been updated.","Összesen %1 sor frissítve."
"Something went wrong while updating the product(s) status.","Hiba történt a termék(ek) állapotának frissítésekor."
"Unable to save product","Unable to save product"
"You saved the product.","Termék elmentve."
"SKU for product %1 has been changed to %2.","A termék %1 cikkszáma %2 -re változott."
"The image cannot be removed as it has been assigned to the other image role","A kép eltávolítása nem lehetséges, mert valamilyen szerepben használatban van"
"New Attribute Set","Új jellemző halmaz"
"The attribute set has been removed.","A jellemző halmaz eltávolítva."
"We can't delete this set right now.","Ezt a halmazt nem tudjuk törölni."
"New Set","Új készlet"
"Manage Product Sets","Termék-készletek kezelése"
"Manage Attribute Sets","Jellemző halmaz kezelése"
"This attribute set no longer exists.","Ez a jellemző halmaz már nem létezik."
"You saved the attribute set.","A jellemző halmaz elmentve."
"Something went wrong while saving the attribute set.","Hiba a jellemző halmaz mentésekor."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Az összehasonlító lista törölve."
"Something went wrong  clearing the comparison list.","Hiba történt az összehasonlító lista kiürítésekor."
"You removed product %1 from the comparison list.","%1 termék eltávolítva az összehasonlító listáról."
"1 item","1 elem"
"%1 items","%1 elem"
"Are you sure you want to remove this item from your Compare Products list?","Biztos, hogy el akarja távolítani ezt a tételt az összehasonlításból?"
"Are you sure you want to remove all items from your Compare Products list?","Biztos, hogy el akarja távolítani az összes tételt az összehasonlításból?"
"Invalid attribute %1","%1 érvénytelen jellemző"
"Grid","Rács"
"List","Lista"
"All","Összes"
"Bad controller interface for showing product","Rossz controller interface a termék megjelenítéséhez"
"Product is not loaded","Termék nincs betöltve"
"Make sure the To Date is later than or the same as the From Date.","Győződjön meg róla, hogy a befejezés dátuma későbbi, vagy ugyanaz, mint a kezdés dátuma."
"Sorry, but we can't find the new parent category you selected.","Sajnos nem találjuk a kijelölt új szülő kategóriát."
"Sorry, but we can't find the new category you selected.","Sajnos nem találjuk a kijelölt új kategóriát."
"We can't move the category because the parent category name matches the child category name.","Nem tudjuk áthelyezni a kategóriát, mert a szülő kategória megegyezik az gyermek kategória nevével."
"Something went wrong while getting the image url.","Hiba a kép url-címének lekérdezésekor."
"Can't delete root category.","Nem lehet törölni gyökér kategóriát."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Az alapértelmezett termékrendezés nem létezik a rendelkezésre álló termékrendezések listájában."
"No layout updates","Nincs layout frissítés"
"Products only","Csak termékek"
"Static block only","Csak statikus blokk"
"Static block and products","Statikus blokk és termékek"
"Please select a static block.","Kérjük, válasszon egy statikus blokkot."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Nem lehet menteni a(z) ""%1"" terméket a(z) %2 pozícióba a(z) %3 kategóriában"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","A(z) ""%product"" termék a(z) %position pozícióban a(z) %category kategóriában nem menthető"
"Operation do not allow to move a parent category to any of children category","Szülő kategória nem mozgatható egyetlen gyermek kategória alá sem"
"Could not move category","Nem lehet mozgatni a kategóriát"
"Could not save category: %1","Nem lehet menteni a %1 kategóriát"
"Cannot delete category with id %1","Nem lehet törölni a %1 azonosítójú kategóriát"
"-- Please Select a Category --","-- Kérjük, válasszon egy kategóriát --"
"Grid Only","Csak rács"
"List Only","Csak lista"
"Grid (default) / List","Rács (alapértelmezett) / lista"
"List (default) / Grid","Lista (alapértelmezett) / rács"
"Automatic (equalize price ranges)","Automatikus (árfekvések kiegyenlítése)"
"Automatic (equalize product counts)","Automatikus (termékek számának kiegyenlítése)"
"Manual","Kézi"
"Fixed","Rögzített"
"Percent","Százalék"
"Discount","Kedvezmény"
"-- Please select --","-- Kérjük válasszon --"
"Product Thumbnail Itself","Termék bélyegképe saját maga"
"Parent Product Thumbnail","Szülő termék bélyegképe"
"12h AM/PM","12 óra, de/du"
"24h","24h"
"Stretch","Nyújtás"
"Tile","Mozaik"
"Top/Left","Fent/Balra"
"Top/Right","Fent/Jobbra"
"Bottom/Left","Lent/Balra"
"Bottom/Right","Lent/Jobbra"
"Center","Középen"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nem bővíti a ""\Magento\Framework\Model\AbstractModel""-t"
"Something went wrong while saving the file(s).","Hiba történt a fájl(ok) mentése során!"
"File can not be saved to the destination folder.","A fájl nem menthető a célmappába."
"Unknown EAV indexer type ""%1"".","Ismeretlen EAV indexelő típus ""%1""."
"We can't rebuild the index for an undefined product.","Nemt tudjuk újraépíteni az indexet egy nem definiált termékre."
"Bad value was supplied.","Rossz érték lett megadva."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","A lapos katalógus modul csak %2$d szűrhető vagy sorba rendezhető jellemzőt tud kezelni. Most %1$d jellemző van beállítva. Kérem csökkentse a beállított jellemzők számát, hogy használható legyen a modul"
"Unsupported product type ""%1"".","Nem támogatott termék típus ""%1""."
"Please correct the category.","Javítsd ki a kategóriát."
"Must be category model instance or its id.","Szükséges a kategória modell példánya vagy azonosítója."
"The attribute model is not defined.","A jellemző modell nincs megadva."
"Category","Kategória"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nem bővíti a ""\Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface""-t"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nem bővíti a ""\Magento\Catalog\Model\Layer\Filter\AbstractFilter""-t"
"The filter must be an object. Please set the correct filter.","A szűrőnek objektumnak kell lennie. Állítsa be a megfelelő szűrőt!"
"Clear Price","Ár törlése"
"%1 and above","%1 és felette"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Csoport árának nagyobbnak kell lennie 0-nál."
"Media Gallery converter should be an instance of EntryConverterInterface.","A médiatár konverter az EntityConverterInterface egy példányának kell lennie."
"There is no MediaGalleryEntryConverter for given type","Nincs MediaGalleryEntryConverter a típusnak"
"Please enter a number 0 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 0 vagy annál nagyobb."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","A cikkszám maximum %1 karakter hosszú lehet."
"Please enter a valid number in this field.","Kérem adjon meg egy érvényes számot."
"We found a duplicate website, tier price, customer group and quantity.","Duplikált weboldalt, árlépcsőt, vásárlói csoportot és mennyiséget találtunk."
"Percentage value must be a number between 0 and 100.","A százalék értéknek egy 0 és 100 közötti számnak kell lennie."
"Invalid option id %1","Érvénytelen azonosító: %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","A megadott jellemző halmaz nem termék jellemző halmaz."
"Use config","Használja a beállításokat"
"Enabled","Engedélyezve"
"Disabled","Tiltott"
"Attribute Set already exists.","A jellemző halmaz már létezik."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nem tudjuk a %1 filet másolni. Kérjük törölje a mediát a nem létező képekkel és próbálja újra."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Nem találunk információt a %1 képről"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Hibás beállítási típus a csoporthoz."
"Select type options required values rows.","Válassza ki a kötelező mezők típusát!"
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Kérjük, határozza meg a dátum kötelező opció(i)t!"
"Please specify time required option(s).","Kérjük, határozza meg az idő kötelező opció(i)t!"
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Hibás beállítási példány típus a csoportban."
"The product instance type in options group is incorrect.","Hibás termék példány típus a csoportban."
"The configuration item option instance in options group is incorrect.","A kiválasztott konfigurációs beállítás érvénytelen."
"The configuration item instance in options group is incorrect.","A kiválasztott konfigurációs beállítás érvénytelen."
"The BuyRequest instance in options group is incorrect.","Rossz BuyRequest példány a beállítás csoportban."
"We can't add the product to the cart because of an option validation issue.","Nem tudjuk a teméket a kosárba helyezni opció validálási probléma miatt."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nem bővíti a ""\Magento\Catalog\Model\Product\Option\Type\DefaultType""-t"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","A(z) ""%1""-""%2"" file kiterjesztése érvénytelen."
"The maximum allowed image size for '%1' is %2x%3 px.","A(z) ""%1"" maximálisan megengedett kép mérete %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","A feltöltött file (""%1"") nagyobb, mint az engedélyezett %2 megabájt."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","A '%1' fájl érvénytelen. Válasszon másikat"
"File '%1' is not an image.","A '%1' file nem kép."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Némely kijelölt beállítás jelenleg elérhető."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Érvénytelen jellemző %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","A keresett bolt nem található. Sor azonosító: CSZ = %SKU, Bolt azonosító: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Érvénytelen jellemző Beszerzési ár = %cost. Sor azonosító: CSZ = %SKU, Bolt azonosító: %storeId."
"Could not save Prices.","Az árakat nem lehet elmenteni."
"Could not delete Prices","Az árak nem törölhetők"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","A keresett bolt nem létezik. Sor azonosító: CSZ = %SKU, Bolt azonosító: %storeId, Árról: %priceFrom, Árra: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Érvénytelen %label jellemző = %priceTo. Sor azonosítója: SKU = %SKU, Bolt-azonosító: %storeId, Árról: %priceFrom, Árra: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Érvénytelen Ár jellemző = %price. Sor azonosítója: SKU = %SKU, Bolt-azonosító: %storeId, Árról: %priceFrom, Árra: %priceTo."
"Could not save Tier Prices","A lépcsős árak nem menthetőek el"
"Could not replace Tier Prices","A lépcsős árakat nem lehet lecserélni"
"Could not delete Tier Prices","A lépcsős árak nem lehet törölni"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Érvénytelen Csikkszám jellemző = %SKU. Sor azonosítója: SKU = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Érvénytelen Ár jellemző = %price. Sor azonosítója: SKU = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Érvénytelen Ártípus jellemző = %priceType. Sor azonosítója: CSZ = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Érvénytelen Mennyiség jellemző = %qty. Sor azonosítója: CSZ = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Érvénytelen Weboldal-azonosító jellemző = %websiteId. Sor azonosítója: CSZ = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ismétlődő weboldal, lépcsős ár, vevőcsoport, és mennyiség: Vevőcsoport = %customerGroup, Weboldal-azonosító = %websiteId, mennyiség = %qty. Sor azonosító: CSZ = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nincs olyan entitás ahol a Vevőcsoport = %customerGroup. Sor azonosítója: CSZ = %SKU, Weboldal-azonosító: %websiteId, Vevőcsoport: %customerGroup, mennyiség: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","A temréknek nincs csoport ára az alábbi adatokkal: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Hiba a kérelem feldolgozása közben."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nem bővíti a ""\Magento\Catalog\Model\Product\Type\AbstractType""-t"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nem bővíti a ""\Magento\Catalog\Model\Product\Type\Price""-t"
"Not Visible Individually","Önmagában nem látható"
"Search","Keresés"
"Catalog, Search","Katalógus, keresés"
"Something went wrong while removing products from the websites.","Hiba a termékek eltávolítása közben."
"Something went wrong while adding products to websites.","Hiba a termékek hozzáadása közben."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","A ""%1"" cikkszámú termék nincs összekötve a ""%2"" cikkszámú termékkel"
"Product %1 doesn't have linked %2 as %3","A %1 terméknek nincs kapcsolt %2 mint %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Érvénytelen termék adat: %1"
"Database connection error","Adatbázis kapcsolódási hiba"
"Database deadlock found when trying to get lock","Adatbázis deadlock jelentkezett amikor megpróbáltam zárolni"
"Database lock wait timeout exceeded","Túlléptük az adatbázis zárolás várakozási idejét"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Nincsenek weboldalak a termlékhozzárendeléshez kiválasztva"
"Could not assign product ""%1"" to websites ""%2""","A(z) ""%1"" termék nem rendelhető a(z) ""%2"" honlaphoz"
"Could not save product ""%1"" with websites %2","Nem lehet menteni a(z) ""%1"" terméket a(z) %2  weboldalakhoz"
"We cannot determine the field name.","Nem tudjuk meghatározni a mező nevét."
"Attribute '%1' is locked. %2","Attribútum '%1' zárolva. %2"
"Do not change the scope. %1","Ne változtassa meg a hatókört. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","%1 Processzor nem hajtotta végre a BaseSelectProcessorInterface -t"
"A product type is not defined for the indexer.","A terméktípus nincs definiálva az indexelőhöz."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","A %1 cikkszámú termék nincs összekötve a %2 cikkszámú termékkel"
"Multiple Select","Többszörös kijelölés"
"Dropdown","Legördülő lista"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nem bővíti a ""\Magento\Framework\Filter\Template""-t"
"As low as","Olcsóbb mint"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Nem sikerült beolvasni a bővítmény attribútumait"
"message","üzenet"
"fl","fl"
"Lock wait timeout","Zárolási időtúllépés"
"123","123"
"Images","Képek"
"Select...","Válasszon..."
"Advanced Pricing","Részletes ár"
"Customer Group Price","Vevőcsoport ár"
