"Root","Sakne"
"Globally Editable","Globāli labojams"
"Attribute Information","Atribūta informācija"
"Properties","Iestatījumi"
"Manage Labels","Pārvaldīt birkas"
"Visible","Redzams"
"Web Site","Mājas lapa"
"Searchable","Meklējams"
"Comparable","Salīdzināms"
"Delete Selected Group","Dzēst izvēlēto grupu"
"Add New","Pievienot jaunu"
"Back","Atpakaļ"
"Reset","Notīrīt"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Jūs vēlaties dzēst visus produktus no šīs atribūtu kopas. Vai vēlaties to darīt?"
"New Set Name","Jauns kopas nosaukums"
"Edit Attribute Set '%1'","Rediģēt atribūtu kopu ""%1"""
"Empty","Tukšs"
"Add Attribute","Pievienot atribūtu"
"Add New Group","Pievienot jaunu grupu"
"Add Group","Pievienot grupu"
"Edit Attribute Set Name","Labot atribūtu kopas nosaukumu"
"For internal use","Iekšējai lietošanai"
"Based On","Pamatojoties uz"
"Add New Attribute Set","Pievienotu jaunu atribūtu kopu"
"Add Attribute Set","Pievienot atribūtu kopu"
"Attribute Sets","Atribūtu kopas"
"Close Window","Aizvērt logu"
"New Product","Jauns produkts"
"Save & Edit","Saglabāt & Labot"
"Save & New","Saglabāt & Jauns"
"Save & Duplicate","Saglabāt & Duplicēt"
"Save & Close","Saglabāt & Aizvērt"
"Attributes","Atribūti"
"Change","Mainīt"
"Advanced Inventory","Paplašināta noliktava"
"Websites","Mājas lapas"
"Products Information","Produktu informācija"
"Create Category","Izveidot kategoriju"
"Category Name","Kategorijas nosaukums"
"Parent Category","Augstāka kategorija"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ja nav speciālu vecāko kategoriju, lietojiet noklusēto galveno kategoriju. Jūs varat pārlikt kategoriju jebkurā laikā <a href=""%1"" target=""_blank"">Produkti > Kategorijas</a>."
"Price Alert Subscriptions","Pierakstīšanās cenu izmaiņām"
"Stock Alert Subscriptions","Pierakstīšanās noliktavas izmaiņām"
"There are no customers for this alert.","Nav klientu šo paziņojumu saņēmējiem."
"First Name","Vārds"
"Last Name","Uzvārds"
"Email","E-pasts"
"Subscribe Date","Pierakstīšanās datums"
"Last Notified","Pēdējo reizi paziņots"
"Send Count","Sūtīt skaitu"
"New Attribute","Jauns atribūts"
"Type","Veids"
"Attribute Set","Atribūtu kopa"
"Add New Option","Pievienot jaunu opciju"
"Import Options","Importēšanas opcijas"
"Use Default","Lietot noklusēto"
"Import","Importēt"
"Add New Row","Pievienot jaunu rindu"
"Delete Row","Dzēst rindu"
"Tier Pricing","Cenu līmenis"
"Default Price","Noklusētā cena"
"All Websites","Visas lapas"
"ALL GROUPS","VISAS GRUPAS"
"Add Price","Pievienot cenu"
"Default Values","Noklusētās vērtības"
"Related Products","Saistītie produkti"
"Up-sells","Papildus pārdošana"
"Cross-sells","Šķērspārdošana"
"Size for %1","Izmērs priekš %1"
"Watermark File for %1","Ūdenszīmes fails priekš %1"
"Position of Watermark for %1","Pozīcija ūdenszīmei priekš %1"
"Name in %1","Nosaukums %1"
"Quantity","Skaits"
"Edit","Labot"
"Are you sure?","Vai esat pārliecināts?"
"Change Status","Mainīt statusu"
"Update Attributes","Atjaunot atribūtus"
"start typing to search category","sāciet rakstīt lai atrastu kategoriju"
"New Category","Jauna kategorija"
"Images (.gif, .jpg, .png)","Attēli (. gif,. jpg,. png)"
"Add New Images","Pievienot jaunus attēlus"
"Inc. Tax","Ieskaitot PVN"
"Does this have a weight?","Vai šim ir svars?"
"Product","Produkts"
"Notify Low Stock RSS","Paziņot RSS par tukšu noliktavu"
"Low Stock Products","Produkti ar maziem krājumiem"
"%1 has reached a quantity of %2.","%1 skaits sasniedzis %2."
"Home","Sākums"
"Go to Home Page","Iet uz sākumlapu"
"Subscribe to RSS Feed","Pierakstīties RSS plūsmai"
"Products Comparison List","Produktu salīdzināšanas saraksts"
"N/A","N/A"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"None","Neviens"
"New Products from %1","Jauni produkti no %1"
"New Products","Jauni produkti"
"%1 - Special Products","%1 - Īpašie produkti"
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Special Expires On: %1","Īpašais beidzas: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Īpašā cena: %1"
"Special Products","Īpašie produkti"
"Manage Catalog Categories","Pārvaldīt kataloga kategorijas"
"Manage Categories","Pārvaldīt kategorijas"
"You deleted the category.","Kategorija ir izdzēsta."
"Something went wrong while trying to delete the category.","Kļūda mēģinot dzēst kategoriju."
"Categories","Kategorijas"
"Category is not available for requested store.","Kategorija nav pieejama pieprasītajam veikalam."
"There was a category move error.","Kļūda pārvietojot kategoriju."
"You moved the category.","Kategorija ir pārvietota."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Kategorija ir saglabāta."
"Something went wrong while saving the category.","Kļūda saglabājot kategoriju."
"Please select products for attributes update.","Izvēlieties produktus atribūtu atjaunināšanai."
"Please make sure to define SKU values for all processed products.","Pārliecinieties ka nodefinējāt artikulus visiem procesētajiem produktiem."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Kļūda atjaunojot produktu atribūtus."
"Unable to add attribute","Nevar pievienot atribūtu"
"Please, specify attributes","Please, specify attributes"
"Catalog","Katalogs"
"Manage Product Attributes","Pārvaldīt produktu atribūtus"
"We can't delete the attribute.","Nevar nodzēst atribūtu."
"You deleted the product attribute.","Produkta atribūts ir nodzēsts."
"We can't find an attribute to delete.","Nevar atrast atribūtu lai nodzēstu."
"This attribute no longer exists.","Atribūts vairs neeksistē."
"This attribute cannot be edited.","Šo atribūtu nevar labot."
"Edit Product Attribute","Labot produkta atribūtu"
"An attribute set named '%1' already exists.","Atribūtu kopa ar nosaukumu '%1' jau eksistē."
"Something went wrong while saving the attribute.","Kļūda saglabājot atribūtu."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Nevar atjaunināt atribūtu."
"You saved the product attribute.","Produkta atribūts ir saglabāts."
"An attribute with this code already exists.","Atribūts ar šādu kodu jau eksistē."
"An attribute with the same code (%1) already exists.","Atribūts ar tādu pašu kodu (%1) jau eksistē."
"The value of Admin must be unique.","Admin vērtībai jābūt unikālai."
"The value of Admin scope can't be empty.","Admin vērtība nevar būt tukša."
"You duplicated the product.","Produkts ir duplicēts."
"This product doesn't exist.","Šāds produkts neeksistē."
"Invalid product id. Should be numeric value greater than 0","Nederīga produkta id. Skaitliskai vērtībai jābūt lielākai par 0"
"Products","Produkti"
"A group with the same name already exists.","Grupa ar šādu nosaukumu jau eksistē."
"Something went wrong while saving this group.","Kļūda saglabājot šo grupu."
"A total of %1 record(s) have been deleted.","Pavisam izdzēsti %1 ieraksti."
"A total of %1 record(s) have been updated.","Pavisam atjaunoti %1 ieraksti."
"Something went wrong while updating the product(s) status.","Kļūda atjaunojot produktu statusu."
"Unable to save product","Unable to save product"
"You saved the product.","Produkts ir saglabāts"
"SKU for product %1 has been changed to %2.","Produkta %1 artikuls tika mainīts uz %2."
"The image cannot be removed as it has been assigned to the other image role","Attēlu nevar nodzēst, jo tas ir piešķirts citam attēlam"
"New Attribute Set","Jauna atribūtu kopa"
"The attribute set has been removed.","Atribūtu kopa ir nodzēsta."
"We can't delete this set right now.","Nevar nodzēst šo kopu."
"New Set","Jauna kopa"
"Manage Product Sets","Pārvaldīt produktu kopas"
"Manage Attribute Sets","Pārvaldīt atribūtu kopas"
"This attribute set no longer exists.","Šī atribūtu kopa vairs neeksistē."
"You saved the attribute set.","Atribūtu kopa ir saglabāta."
"Something went wrong while saving the attribute set.","Kļūda saglabājot atribūtu kopu."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Salīdzināšanas saraksts ir iztīrīts."
"Something went wrong  clearing the comparison list.","Kļūda tīrot salīdzināšanas sarakstu."
"You removed product %1 from the comparison list.","Jūs izdzēsāt %1 no salīdzināšanas."
"1 item","1 produkts"
"%1 items","%1 produkti"
"Are you sure you want to remove this item from your Compare Products list?","Vai vēlaties noņemt produktu no salīdzināšanas saraksta?"
"Are you sure you want to remove all items from your Compare Products list?","Vai vēlaties noņemt visus produktus no salīdzināšanas saraksta?"
"Invalid attribute %1","Nederīgs atribūts %1"
"Grid","Režģis"
"List","Saraksts"
"All","Visi"
"Bad controller interface for showing product","Nepareizs kontroliera interfeiss produkta parādīšanai"
"Product is not loaded","Produkts nav ielādēts"
"Make sure the To Date is later than or the same as the From Date.","Pārliecinieties, ka Līdz datums ir lielāks vai tāds pats kā No datums."
"Sorry, but we can't find the new parent category you selected.","Nevar atrast jaunu augstāku kategoriju kuru izvēlējāties."
"Sorry, but we can't find the new category you selected.","Nevar atrast jaunu kategoriju kuru izvēlējāties."
"We can't move the category because the parent category name matches the child category name.","Nevar pārvietot kategoriju, jo augstākas ketegorijas nosaukums ir tāds pats kā zemākas kategorijas nosaukums."
"Something went wrong while getting the image url.","Kļūda saņemot attēla saiti."
"Can't delete root category.","Nevar nodzēst saknes kategoriju."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Noklusētā produktu saraksta šķirošana pēc neeksistē Pieejamo produktu škirošanā pēc."
"No layout updates","Nav izkārtojuma atjauninājumu"
"Products only","Tikai produkti"
"Static block only","Tikai statiskais bloks"
"Static block and products","Statiskais bloks un produkti"
"Please select a static block.","Izvēlieties statisko bloku."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Nevar saglabāt produktu ""%1"" ar pozīciju %2 kategorijā %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Nevar saglabāt produktu ""%product"" ar pozīciju %position kategorijā %category"
"Operation do not allow to move a parent category to any of children category","Operācija neļauj pārvietot augstāku kategoriju uz kādu no apakškategorijām"
"Could not move category","Nevar pārvietot kategoriju"
"Could not save category: %1","Nevar saglabāt kategoriju: %1"
"Cannot delete category with id %1","Nevar izdzēst kategoriju ar id: %1"
"-- Please Select a Category --","-- Izvēlieties kategoriju --"
"Grid Only","Tikai režģis"
"List Only","Tikai saraksts"
"Grid (default) / List","Režģis (noklusētais) / Saraksts"
"List (default) / Grid","Saraksts (noklusētais) / Režģis"
"Automatic (equalize price ranges)","Automātiski (izlīdzināt cenu apgabalu)"
"Automatic (equalize product counts)","Automātiski (izlīdzināt produktu skaitu)"
"Manual","Manuāli"
"Fixed","Fiksēta"
"Percent","Procenti"
"Discount","Atlaide"
"-- Please select --","-- Lūdzu, izvēlieties --"
"Product Thumbnail Itself","Paša produkta priekšskats"
"Parent Product Thumbnail","Augstāka produkta priekšskats"
"12h AM/PM","12st AM/PM"
"24h","24st"
"Stretch","Izstiept"
"Tile","Mozaīka"
"Top/Left","Augša/Kreisais"
"Top/Right","Augša/Labais"
"Bottom/Left","Apakša/Kreisais"
"Bottom/Right","Apakša/Labais"
"Center","Centrs"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nepaplašina \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Kļūda saglabājot failu(s)."
"File can not be saved to the destination folder.","Failu nevar saglabāt šajā direktorijā."
"Unknown EAV indexer type ""%1"".","Nezināms EAV indeksētāja veids ""%1""."
"We can't rebuild the index for an undefined product.","Nevar pārbūvēt indeksus nedefinētam produktam."
"Bad value was supplied.","Tika norādīta nederīga vērtība."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Parasta kataloga modulim ir %2$d filtrējamu un/vai šķirojamu atribūtu limits. Pašlaik ir %1$d. Lūdzu samaziniet filtrējamo/šķirojamo atribūtu skaitu lai lietotu šo moduli"
"Unsupported product type ""%1"".","Produkta veids ""%1"" netiek atbalstīts."
"Please correct the category.","Izlabojiet kategoriju."
"Must be category model instance or its id.","Jābūt kategorijas modeļa instancei vai tās id."
"The attribute model is not defined.","Atribūta modelis nav definēts."
"Category","Kategorija"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nepaplašina \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nepaplašina \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtram jābūt objektam. Izvēlieties pareizu filtru."
"Clear Price","Notīrīt cenu"
"%1 and above","%1 un vairāk"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Grupas cenai jābūt lielākai kā 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Mēdiju Galerijas konvertoram jābūt EntryConverterInterface instancei."
"There is no MediaGalleryEntryConverter for given type","Nav EntryConverterInterface dotajam tipam"
"Please enter a number 0 or greater in this field.","Ievadiet ciparu 0 vai lielāku šajā laukā."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Artikula garums nevar būt garāks par %1 simboliem."
"Please enter a valid number in this field.","Ievadiet derīgu ciparu šajā laukā."
"We found a duplicate website, tier price, customer group and quantity.","Tika atrasts lapas dublikāts, cenu līmenis, klientu grupa un daudzums."
"Percentage value must be a number between 0 and 100.","Procentu vērtībai jābūt no 0 līdz 100."
"Invalid option id %1","Neapreizs opcijas id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Piedāvātais Atribūtu kopums nav produkta Atribūtu kopums."
"Use config","Lietot konfigurāciju"
"Enabled","Ieslēgts"
"Disabled","Izslēgts"
"Attribute Set already exists.","Atribūtu kopa jau eksistē."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nevar nokopēt failu %1. Nodzēsiet mēdiju failu ar neeksistējošiem attēliem un mēģiniet vēlreiz."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Opcijas veids lai iegūtu grupu ir nepareizs."
"Select type options required values rows.","Izvēlieties opcijas veidu obligātās vērtības rindas."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Norādiet datuma obligātās opcijas."
"Please specify time required option(s).","Norādiet laika obligātās opcijas."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Opcijas veids opciju grupā ir nepareizs."
"The product instance type in options group is incorrect.","Produkta veids opciju grupa ir nepareizs."
"The configuration item option instance in options group is incorrect.","Konfigurējamās vienības opcija grupā ir nepareiza."
"The configuration item instance in options group is incorrect.","Konfigurējamās vienība opciju grupā ir nepareiza."
"The BuyRequest instance in options group is incorrect.","BuyRequest opciju grupā nav pareiza."
"We can't add the product to the cart because of an option validation issue.","Nevar pievienot grozam produktu. Kļūdaina opciju validācija."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nepaplašina \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Failam '%1' priekš '%2' ir nederīgs paplašinājums."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksimālais pieļaujamais attēla izmērs priekš '%1' ir %2x%3 pikseļi."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Fails '%1' kuru augšupielādējāt ir lielāks kā %2 Megabaiti ko pieļauj serveris."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","Fails '%1' ir nederīgs. Izvēlieties citu"
"File '%1' is not an image.","Fails '%1' nav attēls."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Atsevišķas no izvēlētajām produkta opcijām pašlaik nav pieejamas."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Nederīgs atribūts %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Pieprasītais veikals nav atrasts. Rindas ID: NV = %SKU, veikala ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Nepareiza atribūta vērtība = %cost. Rindas ID: SKU = %SKU, Veikala ID: %storeId."
"Could not save Prices.","Nevarēja saglabāt cenas."
"Could not delete Prices","Nevarēja dzēst cenas"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Pieprasītais veikals nav atrodams. Rindas ID: SKU = %SKU, Veikala ID: %storeId, Cena no: %priceFrom, Cena līdz: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nepareizs atribūts %label = %priceTo. Rindas ID: SKU = %SKU, Veikala ID: %storeId, Cena no: %priceFrom, Cena līdz: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nepareiza atribūta cena = %price. Rindas ID: SKU = %SKU, Veikala ID: %storeId, Cena no: %priceFrom, Cena līdz: %priceTo."
"Could not save Tier Prices","Nevar saglabāt Cenu līmeni"
"Could not replace Tier Prices","Nevar aizvietot Cenu līmeni"
"Could not delete Tier Prices","Nevar nodzēst Cenu līmeni"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nepareizs Artikula atribūts = %SKU. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nepareiza atribūta cena = %price. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nepareizs atribūta cenas veids = %priceType. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nepareizs atribūta Skaits = %qty. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nepareizs lapas ID = %websiteId. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Tika atrasts dublikāts lapai, cenu līmenim, klienta grupai un skaitam: Klienta grupa = %customerGroup, Lapas ID = %websiteId, Skaits = %qty. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nav ieraksta ar šo Klienta grupu = %customerGroup. Rindas ID: SKU = %SKU, Lapas ID: %websiteId, Klienta grupa: %customerGroup, Skaits: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produktam nav grupas cena ar šādiem datiem: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Kļūda apstrādājot pieprasījumu."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nepaplašina \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nepaplašina \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Nav redzami atsevišķi"
"Search","Meklēt"
"Catalog, Search","Katalogs, meklēšana"
"Something went wrong while removing products from the websites.","Kļūda dzēšot produktus no lapām."
"Something went wrong while adding products to websites.","Kļūda pievienotjot produktus lapām."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkts ar artikulu %1 nav saistīts ar produktu kura artikuls ir %2'"
"Product %1 doesn't have linked %2 as %3","Produkts %1 nav saistīts %2 kā %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Neapreizi produkta dati: %1"
"Database connection error","Datu bāzes savienojuma kļūda"
"Database deadlock found when trying to get lock","Atrasta datu bāzes bloķēšana mēģinot to bloķēt"
"Database lock wait timeout exceeded","Datu bāzes bloķēšanas gaidīšanas laiks beidzies"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Nav lapu kurām piešķirt produktu"
"Could not assign product ""%1"" to websites ""%2""","Nevar piešķirt produktu ""%1"" lapām ""%2"""
"Could not save product ""%1"" with websites %2","Nevar saglabāt produktu ""%1"" lapām ""%2"""
"We cannot determine the field name.","Nevar noteikt lauka nosaukumu."
"Attribute '%1' is locked. %2","Atribūts '%1' ir slēgts. %2"
"Do not change the scope. %1","Nemainiet apgabalu. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Procesors %1 neiekļauj BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Produkta tips nav definēts indeksētājā."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkts ar artikulu %1 nav saistīts ar produktu kura artikuls ir %2"
"Multiple Select","Izvēlēties vairākus"
"Dropdown","Nolaižamā izvēlne"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nepaplašina \Magento\Framework\Filter\Template"
"As low as","Samazināt līdz"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
