"Root","Rot"
"Product Thumbnail Itself","Produktens egen Thumbnail"
"Parent Product Thumbnail","Föräldrar produktens thumbnail"
"12h AM/PM","12 timmar FM/EM"
"24h","24 timmar"
"Stretch","Utvidga"
"Tile","Över hela"
"Top/Left","Top/Vänster"
"Top/Right","Top/Höger"
"Bottom/Left","Botten/Vänster"
"Bottom/Right","Botten/Höger"
"Center","Centrerad"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Något gick fel när fil(erna) sparades."
"File can not be saved to the destination folder.","Filen kan inte sparas till målmappen."
"Unknown EAV indexer type ""%1"".","Okänd EAV indexer typ ""%1""."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Bad value was supplied.","Ett felaktigt värde var tillhandahållt."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Produkttypen ""%1"" stödjs inte."
"Please correct the category.","Vänligen rätta kategorin."
"Must be category model instance or its id.","Måste vara kategorins modell instans eller dess id."
"The attribute model is not defined.","Attributmodellen är inte definierad."
"Category","Kategori"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtret måste vara ett objekt. Vänligen korrektera filtret."
"Clear Price","Rensa priset"
"%1 and above","%1 och över"
"The filters must be an array.","Filtrerna måste vara en array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Grupp priset måste vara ett nummer större än 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Det finns ingen MediaGalleryEntryConverter för den här typen"
"Please enter a number 0 or greater in this field.","Skriv in en siffra, 0 eller större i detta fält."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Artikelnumrets längd bör vara högst %1 tecken."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"We found a duplicate website, tier price, customer group and quantity.","Vi hittade en dubblett webbplats, tier pris, kundgrupp och kvantitet."
"Percentage value must be a number between 0 and 100.","Procentuellt värde måste vara ett tal mellan 0 och 100."
"Invalid option id %1","Ogiltigt alternativ-id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Ditt attributset är inte ett produktattributset."
"Use config","Använda inställningar"
"Enabled","Aktiverad"
"Disabled","Inaktiverad"
"Attribute Set already exists.","Attributuppsättningen finns redan."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Produkten finns inte"
"Such image doesn't exist","Bilden finns inte"
"The image does not exist.","Bilden finns inte."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Alternativtypen för gruppinstans är felaktig."
"Select type options required values rows.","Vald typ kräver värderader."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Vänligen ange datum."
"Please specify time required option(s).","Ange tid."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Instans alternativtypen i gruppen alternativ är felaktig."
"The product instance type in options group is incorrect.","Typ av produkt-instans i gruppen alternativ är felaktig."
"The configuration item option instance in options group is incorrect.","Konfigurationen i egenskapsgruppen är felaktig."
"The configuration item instance in options group is incorrect.","Konfigurationen i egenskapsgruppen är felaktig."
"The BuyRequest instance in options group is incorrect.","Köpkravsinstancen i inställningsgruppen är felaktig."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Filen '%1' för '%2' har en ogiltig filextension."
"The maximum allowed image size for '%1' is %2x%3 px.","Högst tillåtna bildstorleken för '%1' är %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Filen '%1' du laddat upp är större än den %2 megabyte tillåts av vår server."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","Filen '%1' är ogiltigt. Vänligen välj en annan"
"File '%1' is not an image.","Filen '%1' är inte en bild."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Några av de markerade objektalternativ är ej tillgängliga."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Ogiltigt attribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Önskade butik finns inte. Rad-ID: SKU = %SKU, Store-ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ogiltigt attribut kostnad = %cost. Rad-ID: SKU = %SKU, Store-ID: %storeId."
"Could not save Prices.","Kunde inte spara priser."
"Could not delete Prices","Kunde inte ta bort priser"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Begärd produkt existerar inte. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ogiltigt attribut %label = %priceTo. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ogiltigt attribut Pris = %price. Rad-ID: SKU = %SKU, Store-ID: %storeId, Pris från: %priceFrom, pris till: %priceTo."
"Could not save Tier Prices","Kunde inte spara Gruppris"
"Could not replace Tier Prices","Kunde inte ersätta Gruppris"
"Could not delete Tier Prices","Kunde inte ta bort Gruppriser"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut SKU = %SKU. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Pris = %price. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Pristyp = %priceType. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Kvantitet = %qty. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ogiltigt attribut Webbplats-ID = % websiteId. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Vi hittade en dubblett webbplats, tier pris, kundgrupp och kvantitet: kundgrupp = %customerGroup, webbplats-ID = % websiteId, kvantitet = %qty. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ingen sådan enhet med Gundgrupp = %customerGroup. Rad-ID: SKU = %SKU, webbplats-ID: % websiteId, kundgrupp: %customerGroup, kvantitet: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkten har inte grupppris med sådan data: customerGroupId = '%1', hemsida = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Något gick fel vid bearbetning av begäran."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Syns inte individuellt"
"Search","Sök"
"Catalog, Search","Katalog, Sök"
"Something went wrong while removing products from the websites.","Något gick fel vid borttagning av produkter från webbplatser."
"Something went wrong while adding products to websites.","Något gick fel vid tilläggning av produkter till webbplatser."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt med artikelnummer '%1' är inte kopplad till produkten med artikelnummer '%2'"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Ogiltig produktdata: %1"
"Database connection error","Databasanslutningsfel"
"Database deadlock found when trying to get lock","Databas dödläge hittades när man försöker erhålla lås"
"Database lock wait timeout exceeded","Väntan för att erhålla lås för databasen överskreds"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Det finns inte webbplatser för att tilldela produkten"
"Could not assign product ""%1"" to websites ""%2""","Kunde inte tilldela produkten ""%1"" till webbplatser ""%2"""
"Could not save product ""%1"" with websites %2","Kunde inte spara produkten ""%1"" i webbplatser %2"
"We cannot determine the field name.","Vi kan inte avgöra fältnamnet."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","Ändra inte omfattningen. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 implementerar inte BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Produkttypen är inte definierad för indexeraren."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkt med artikelnummer '%1' är inte kopplad till produkten med artikelnummer '%2'"
"Multiple Select","Flerval"
"Dropdown","Rullgardinsmeny"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","Så lågt som"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Kunde inte få extension attribut"
"message","meddelande"
"fl","fl"
"Lock wait timeout","Väntan för lås överskreds"
"123","123"
"Images","Bilder"
"Select...","Välj..."
"Advanced Pricing","Avancerad prissättning"
"Customer Group Price","Kundgruppspris"
"Customer Group","Kundgrupp"
"Special Price From","Specialpris från"
"To","Till"
"Done","Klart"
"Product Alerts","Produktmeddelanden"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Lägg till valda"
"Select Attribute","Välj attribut"
"Create New Attribute","Skapa nytt attribut"
"Customizable Options","Anpassningsbara alternativ"
"Custom options let customers choose the product variations they want.","Anpassade alternativ låter kunderna välja de produktvariationer de vill."
"Add Option","Lägg till alternativ"
"New Option","Nytt alternativ"
"Select Product","Välj produkt"
"Option Title","Alternativ titel"
"Add Value","Lägg till värde"
"Title","Titel"
"Option Type","Alternativtyp"
"Required","Obligatorisk"
"Price Type","Pristyp"
"Max Characters","Max tecken"
"Compatible File Extensions","Kompatibla filändelser"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maximal bildstorlek"
"Please leave blank if it is not an image.","Vänligen lämna tomt om det inte är en bild."
"%1","%1"
"This item has weight","Artikeln har vikt"
"This item has no weight","Det här objektet har ingen vikt"
"Set Product as New From","Ställ in produkten som ny från"
"Related Products, Up-Sells, and Cross-Sells","Relaterade produkter, merförsäljning och korsförsäljning"
"Related products are shown to customers in addition to the item the customer is looking at.","Relaterade produkter visas för kunder förutom artikeln kunden tittar på."
"Add Related Products","Lägga till relaterade produkter"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Ett merförsäljningsobjekt erbjuds till kunden som en dyrare eller högre kvalitet alternativ till den produkt som kunden tittar på."
"Add Up-Sell Products","Lägg till merförsäljningsprodukter"
