"Root","ルート"
"Subscribe Date","登録日"
"Last Notified","最終通知日"
"Send Count","カウント送信"
"New Attribute","新規属性"
"Type","種別"
"Attribute Set","属性セット"
"Add New Option","オプションの追加"
"Import Options","オプションのインポート"
"Use Default","標準の値を使用"
"Import","インポート"
"Add New Row","新しい行の追加"
"Delete Row","行の削除"
"Tier Pricing","段階的価格"
"Default Price","標準の価格"
"All Websites","すべてのウェブサイト"
"ALL GROUPS","全てのグループ"
"Add Price","価格追加"
"Default Values","標準の値"
"Related Products","関連商品"
"Up-sells","アップセル商品"
"Cross-sells","クロスセル"
"Size for %1","%1 のサイズ"
"Watermark File for %1","%1 の透かしファイル"
"Position of Watermark for %1","%1 の透かしファイルの位置"
"Name in %1","%1内での名前"
"Quantity","個数"
"Edit","編集"
"Are you sure?","よろしいですか？"
"Change Status","ステータス変更"
"Update Attributes","属性を更新"
"start typing to search category","カテゴリ検索をおこないます"
"New Category","新規カテゴリ"
"Images (.gif, .jpg, .png)","画像（.gif, .jpg, .png）"
"Add New Images","新規画像の追加"
"Inc. Tax","税込"
"Does this have a weight?","重量がありますか?"
"Product","商品"
"Notify Low Stock RSS","在庫僅か通知RSS"
"Low Stock Products","在庫が残り僅かな商品"
"%1 has reached a quantity of %2.","%1 は %2 の量に達しました"
"Home","ホーム"
"Go to Home Page","ホームページへ"
"Subscribe to RSS Feed","RSSフィードを購読する"
"Products Comparison List","比較リスト"
"N/A","該当無し"
"AM","AM"
"PM","PM"
"-- Please Select --","-- 選択してください --"
"None","なし"
"New Products from %1","%1 からの新商品"
"New Products","新しい商品"
"%1 - Special Products","%1 - 特別商品"
"Click for price","クリックして価格を表示"
"Special Expires On: %1","特価期限: %1"
"Price: %1","価格: %1"
"Special Price: %1","特別価格: %1"
"Special Products","特別価格商品"
"Manage Catalog Categories","カタログカテゴリ管理"
"Manage Categories","カテゴリ管理"
"You deleted the category.","カテゴリを削除しました。"
"Something went wrong while trying to delete the category.","カテゴリを削除しようとする間に問題が発生しました。"
"Categories","カテゴリ"
"Category is not available for requested store.","要求されたストアにてカテゴリは有効ではありません。"
"There was a category move error.","カテゴリ移動エラーが発生しました。"
"You moved the category.","カテゴリを移動しました。"
"Attribute ""%1"" is required.","属性 ""%1"" は必須です。"
"You saved the category.","カテゴリを保存しました。"
"Something went wrong while saving the category.","カテゴリの保存中に問題が発生しました。"
"Please select products for attributes update.","属性アップデートのために商品を選択してください。"
"Please make sure to define SKU values for all processed products.","全ての生成済み商品のSKUの値を確実に定義してください。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"Something went wrong while updating the product(s) attributes.","商品属性をアップデートしている間に問題が発生しました。"
"Unable to add attribute","属性を追加できません"
"Please, specify attributes","属性を指定してください"
"Catalog","カタログ"
"Manage Product Attributes","商品属性管理"
"We can't delete the attribute.","属性を削除できません。"
"You deleted the product attribute.","商品属性を削除しました。"
"We can't find an attribute to delete.","削除する属性が見つかりません。"
"This attribute no longer exists.","この属性はもう存在しません。"
"This attribute cannot be edited.","この属性は変更できません。"
"Edit Product Attribute","商品属性の編集"
"An attribute set named '%1' already exists.","'%1'という名の属性セットは既に存在します。"
"Something went wrong while saving the attribute.","属性の保存中に問題が発生しました。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性コード ""%1""は不正です。 このフィールドでは英字 (a-z)、数字 (0-9) あるいはアンダースコア(_) のみ使ってください。また最初の文字は英数字でなくてはなりません。"
"We can't update the attribute.","属性をアップデートできません。"
"You saved the product attribute.","商品属性を保存しました。"
"An attribute with this code already exists.","このコードの属性は既に存在します。"
"An attribute with the same code (%1) already exists.","同じコード(%1)の属性が既に存在します。"
"The value of Admin must be unique.","Adminの値は一意でなければなりません。"
"The value of Admin scope can't be empty.","管理スコープの値は空にすることはできません。"
"You duplicated the product.","商品を複製しました。"
"This product doesn't exist.","この商品は存在しません。"
"Invalid product id. Should be numeric value greater than 0","無効な商品IDです。 0より大きい数値である必要があります"
"Products","商品"
"A group with the same name already exists.","同じ名前のグループが既に存在しています。"
"Something went wrong while saving this group.","このグループの保存中に問題が発生しました。"
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"A total of %1 record(s) have been updated.","合計 %1 レコードがアップデートされました。"
"Something went wrong while updating the product(s) status.","商品のステータスを更新中に問題が発生しました。"
"Unable to save product","商品を保存できません"
"You saved the product.","商品を保存しました。"
"SKU for product %1 has been changed to %2.","商品%1 のSKUは%2に変更されました。"
"The image cannot be removed as it has been assigned to the other image role","他の画像ロールにアサインされているため画像は削除できません"
"New Attribute Set","新規属性セット"
"The attribute set has been removed.","属性セットを削除しました。"
"We can't delete this set right now.","現在このセットを削除できません。"
"New Set","新しいセット"
"Manage Product Sets","商品セット管理"
"Manage Attribute Sets","属性セット管理"
"This attribute set no longer exists.","この属性セットが存在していません。"
"You saved the attribute set.","属性セットを保存しました。"
"Something went wrong while saving the attribute set.","属性セット保存中に問題が発生しました。"
"You added product %1 to the comparison list.","比較リストに %1 を追加しました"
"You cleared the comparison list.","比較リストをクリアしました。"
"Something went wrong  clearing the comparison list.","比較リストクリア中に問題が発生しました。"
"You removed product %1 from the comparison list.","比較リストより商品 %1 を削除しました。"
"1 item","1 商品"
"%1 items","%1 商品"
"Are you sure you want to remove this item from your Compare Products list?","比較リストからこの商品を削除してもよろしいですか？"
"Are you sure you want to remove all items from your Compare Products list?","比較リストから全ての商品を削除してもよろしいですか？"
"Invalid attribute %1","不正な属性 %1"
"Grid","表"
"List","リスト"
"All","全て"
"Bad controller interface for showing product","商品を表示するには不正なコントローラーインターフェイスです"
"Product is not loaded","商品が読み込まれていません。"
"Make sure the To Date is later than or the same as the From Date.","終了時期は開始時期より後か同じであることを確認してください"
"Sorry, but we can't find the new parent category you selected.","申し訳ありません、しかし選択された新しい親カテゴリが見つかりませんでした。"
"Sorry, but we can't find the new category you selected.","申し訳ありません、しかし選択された新しいカテゴリが見つかりませんでした。"
"We can't move the category because the parent category name matches the child category name.","親カテゴリー名が子カテゴリーにマッチするためカテゴリーを移動できません。"
"Something went wrong while getting the image url.","イメージURLを取得中に何か問題が発生しました。"
"Can't delete root category.","ルートカテゴリーは削除できません。"
"The value of attribute ""%1"" must be unique.","属性の値 ""%1"" は特殊でなければなりません。"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","標準の商品リスト表示順は利用できる候補に存在していません。"
"No layout updates","更新するレイアウトがありません"
"Products only","商品のみ"
"Static block only","静的ブロックのみ"
"Static block and products","静的ブロックと商品"
"Please select a static block.","静的ブロックを選択してください。"
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","商品 ""%1"" を %2の位置で %3のカテゴリに保存出来ませんでした。"
"Category does not contain specified product","カテゴリは指定された商品を含みません"
"Could not save product ""%product"" with position %position to category %category","カテゴリ%categoryへのポジション%positionの商品""%product""は保存できませんでした"
"Operation do not allow to move a parent category to any of children category","オペレーションは親カテゴリをどの子カテゴリに移動させることを許可しません"
"Could not move category","カテゴリを移動できませんでした"
"Could not save category: %1","カテゴリは保存できませんでした: %1"
"Cannot delete category with id %1","id %1 のカテゴリは削除できません"
"-- Please Select a Category --","-- カテゴリを選択してください --"
"Grid Only","グリッドのみ"
"List Only","リストのみ"
"Grid (default) / List","グリッド（デフォルト） /リスト"
"List (default) / Grid","リスト（デフォルト） /グリッド"
"Automatic (equalize price ranges)","自動 (価格範囲と同じ)"
"Automatic (equalize product counts)","自動 (商品カウントと同じ)"
"Manual","手動"
"Fixed","固定"
"Percent","パーセント"
"Discount","値引き"
"-- Please select --","-- 選択してください --"
"Product Thumbnail Itself","商品サムネイル"
"Parent Product Thumbnail","親商品のサムネイル"
"12h AM/PM","12時間表記"
"24h","24時間"
"Stretch","拡大"
"Tile","タイル"
"Top/Left","上/左"
"Top/Right","上/右"
"Bottom/Left","下部/左"
"Bottom/Right","下部/右"
"Center","中央"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 は \Magento\Framework\Model\AbstractModel　拡張しません"
"Something went wrong while saving the file(s).","ファイル保存中に問題が発生しました"
"File can not be saved to the destination folder.","ファイルを保存先フォルダに保存することはできません。"
"Unknown EAV indexer type ""%1"".","不明な EAV インデクサータイプ ""%1""。"
"We can't rebuild the index for an undefined product.","未定義製品のためのインデックスを再構築できません。"
"Bad value was supplied.","不正な値です。"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","フラットカタログモジュールは限界値%2$dのフィルター可能と/またはソート可能属性を持っています。 現在は %1$d あります。このモジュールを使うためにフィルター可能と/またはソート可能属性の数を減らして下さい。"
"Unsupported product type ""%1"".","サポートされていない商品タイプ ""%1""。"
"Please correct the category.","カテゴリを修正してください。"
"Must be category model instance or its id.","カテゴリモデルインスタンスかそのidでなければなりません。"
"The attribute model is not defined.","属性モデルが定義されていません。"
"Category","カテゴリ"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 はアルゴリズムに見つかりません"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 は \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface　拡張できません"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 は \Magento\Catalog\Model\Layer\Filter\AbstractFilter　拡張しません"
"The filter must be an object. Please set the correct filter.","フィルターはオブジェクトでなければなりません。正しいフィルターをセットしてください。"
"Clear Price","クリア価格"
"%1 and above","%1 と以上"
"The filters must be an array.","フィルタは配列でなければなりません。"
"Product was not registered","商品が登録されていません"
"Store was not registered","ストアは登録されていません"
"Group price must be a number greater than 0.","グループ価格は0以上の数字でなければなりません。"
"Media Gallery converter should be an instance of EntryConverterInterface.","メディアギャラリーコンバーターはEntryConverterInterfaceのインスタンスでなければなりません。"
"There is no MediaGalleryEntryConverter for given type","与えられたタイプにMediaGalleryEntryConverterはありません"
"Please enter a number 0 or greater in this field.","0以上の数字を入力してください。"
"The value of attribute ""%1"" must be set","属性 ""%1"" の値はセットされなければなりません。"
"SKU length should be %1 characters maximum.","SKUの値の長さは最大 %1 文字でなければなりません。"
"Please enter a valid number in this field.","正しい数字で入力してください。"
"We found a duplicate website, tier price, customer group and quantity.","重複したウェブサイト、段階的価格、顧客グループと数量が見つかりました。"
"Percentage value must be a number between 0 and 100.","値は0から100の間の数値である必要があります。"
"Invalid option id %1","不正なオプション id %1"
"Can not create attribute set based on non product attribute set.","商品属性セットでないものに基づく属性セットは作成できません。"
"Can not create attribute set based on not existing attribute set","存在しない商品属性セットに基づく属性セットは作成できません。"
"Provided Attribute set non product Attribute set.","与えられた商品属性セットは正しくありません。"
"Use config","設定を使用する"
"Enabled","有効"
"Disabled","無効"
"Attribute Set already exists.","属性セットは既に存在します。"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","ファイル%1はコピーできませんでした。 画像が存在しないメディアを削除して再度試して下さい。"
"The image content is not valid.","画像コンテンツは有効ではありません。"
"Cannot save product.","商品保存できません。"
"Failed to save new media gallery entry.","新しいメディアギャラリーエントリーの保存に失敗しました。"
"There is no image with provided ID.","提供されたIDの画像はありません。"
"Such product doesn't exist","その商品は存在しません"
"Such image doesn't exist","その画像は存在しません"
"The image does not exist.","画像は存在しません。"
"Please correct the image file type.","画像ファイルタイプを修正してください。"
"We couldn't move this file: %1.","このファイルを移動できません: %1."
"Can't get information about the picture: %1","その画像についての情報を取得できません：%1"
"The image could not be resized: ","画像のサイズを変更できませんでした: "
"Some images could not be resized. See log file for details.","いくつかの画像のサイズを変更できませんでした。詳細についてはログファイルを参照して下さい。"
"The option type to get group instance is incorrect.","グループインスタンスを入手するオプションタイプが間違っています。"
"Select type options required values rows.","価格の列を要求されたタイプオプションを選択"
"ProductSku should be specified","製品SKUを指定する必要があります"
"Could not remove custom option","カスタムオプションを削除できませんでした"
"Please specify date required option(s).","日付の必須オプションを指定してください。"
"Please specify time required option(s).","時間の必須項目を指定してください。"
"Please specify product's required option(s).","製品の必須オプションを指定してください。"
"The option instance type in options group is incorrect.","オプショングループのオプションインスタンスタイプが正しくありません。"
"The product instance type in options group is incorrect.","オプショングループの商品インスタンスタイプが正しくありません。"
"The configuration item option instance in options group is incorrect.","オプショングループのコンフィグレーションアイテムオプションインスタンスは正しくありません。"
"The configuration item instance in options group is incorrect.","オプショングループのコンフィグレーションアイテムインスタンスは正しくありません。"
"The BuyRequest instance in options group is incorrect.","オプショングループのBuyRequestインスタンスは正しくありません。"
"We can't add the product to the cart because of an option validation issue.","オプション認証問題のため商品をカートに追加できません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 は \Magento\Catalog\Model\Product\Option\Type\DefaultType　を拡張しません。"
"The file options format is not valid.","ファイルオプションフォーマットは有効ではありません。"
"px.","ピクセル"
"The file '%1' for '%2' has an invalid extension.","'%2' の'%1' ファイルが無効なエクステンションをもっています。"
"The maximum allowed image size for '%1' is %2x%3 px.","'%1'のための最大可能画像サイズは %2x%3 pxです。"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","アップロードされたファイル '%1'は我々のサーバーで許可された %2 メガバイトより大きいです。"
"The file '%1' is empty. Please choose another one","ファイル'%1' は空です。 別のものをお選びください"
"The file '%1' is invalid. Please choose another one","ファイル '%1' は無効です。 別のものをお選びください"
"File '%1' is not an image.","ファイル '%1' は画像ではありません。"
"Validation failed. Required options were not filled or the file was not uploaded.","認証失敗。必須オプションが埋められてないかファイルがアップロードされていません"
"The file you uploaded is larger than %1 Megabytes allowed by server","アップロードされたファイルはサーバーで許可された%1メガバイトより大きいです"
"Option required.","オプション必須です。"
"The file is empty. Please choose another one","ファイルは空です。 別のものをお選びください"
"Some of the selected item options are not currently available.","選択いただいたオプションのうちいくつかは現在ご利用いただけません。"
"The text is too long.","テキストが長すぎます。"
"Invalid attribute %fieldName = %fieldValue.","不正な属性 %fieldName = %fieldValue。"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","要求されたストアが見つかりませんでした。行ID: SKU = %SKU, ストアID: %storeId"
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","不正な原価 = %cost。 行ID: SKU = %SKU, ストアID: %storeId。"
"Could not save Prices.","価格を保存できません。"
"Could not delete Prices","価格を削除できません"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求された商品が存在しません。 行ID: SKU = %SKU, ストアID: %storeId, 開始価格: %priceFrom, 終了価格: %priceTo。"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求されたストアが存在しません。 行ID: SKU = %SKU, ストアID: %storeId, 開始価格: %priceFrom, 終了価格: %priceTo。"
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","不正な属性 %label = %priceTo。 行ID: SKU = %SKU, ストアID: %storeId, 開始価格: %priceFrom, 終了価格: %priceTo。"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","不正な価格 = %price。 行ID: SKU = %SKU, ストアID: %storeId, 開始価格: %priceFrom, 終了価格: %priceTo。"
"Could not save Tier Prices","段階的価格を保存できませんでした"
"Could not replace Tier Prices","段階的価格を置換できませんでした"
"Could not delete Tier Prices","段階的価格を削除できませんでした"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","不正なSKU = %SKU。 行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty。"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","不正な価格 = %price。 行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty。"
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","不正な価格タイプ = %priceType。 行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty。"
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","不正な数量 = %qty。行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty。"
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","不正なウェブサイトID = %websiteId。行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty。"
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","重複したウェブサイト、段階的価格、顧客グループ、数量が見つかりました: 顧客グループ = %customerGroup, ウェブサイトID= %websiteId, 数量 = %qty. 行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","顧客グループ = %customerGroup のデータはありません。 行ID: SKU = %SKU, ウェブサイトID: %websiteId, 顧客グループ: %customerGroup, 数量: %qty."
"This product doesn't have tier price","この商品は段階的価格がありません"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","商品は他のデータ: customerGroupId = '%1', website = %2, qty = %3　とグループ化しませんでした。"
"Invalid data provided for tier_price","tier_priceのデータが無効です"
"Could not save group price","グループ価格を保存できません"
"Please provide valid data","有効なデータを提供してください"
"Values of following attributes are invalid: %1","以下の属性の値は不正です: %1"
"We can't create writeable directory ""%1"".","書き込み可能なディレクトリを作成できません ""%1""."
"The file upload failed.","ファイルアップロードが失敗しました。"
"The product has required options.","商品は必須のオプションがあります"
"Something went wrong while processing the request.","リクエストを処理中に問題が発生しました。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 は \Magento\Catalog\Model\Product\Type\AbstractType　を拡張できません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 は \Magento\Catalog\Model\Product\Type\Price　を拡張できません。"
"Not Visible Individually","非表示"
"Search","検索"
"Catalog, Search","カタログ, 検索"
"Something went wrong while removing products from the websites.","製品をウェブサイトから削除中に問題が発生しました。"
"Something went wrong while adding products to websites.","商品をウェブサイトに追加中に問題が発生しました。"
"Group with id ""%1"" does not exist.","id ""%1"" のグループは存在しません。"
"Attribute group that contains system attributes can not be deleted","システム属性を含む属性グループは削除できませんでした。"
"Collection provider is not registered","コレクションプロバイダーは登録していません。"
"Unknown link type: %1","不明なリンクタイプ: %1"
"Provided link type ""%1"" does not exist","提供されたリンクタイプ ""%1"" は存在しません"
"Invalid data provided for linked products","リンクされた商品に不正なデータが提供されました"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' の製品はSKU '%2' の製品にリンクされていません"
"Product %1 doesn't have linked %2 as %3","製品 %1 は %3 として　%2　に紐づいていません。"
"Requested product doesn't exist","要求された商品は存在しません"
"Product with SKU ""%1"" does not exist","SKU ""%1"" は商品は存在しません"
"Invalid product data: %1","不明な商品データ: %1"
"Database connection error","データベース接続エラー"
"Database deadlock found when trying to get lock","データベースのデッドロックが発生しました"
"Database lock wait timeout exceeded","データベースのロック待ち時間を超過しました"
"Unable to remove product %1","商品%1削除不能"
"Requested product does not support images.","要求された商品は画像をサポートしてません。"
"There are not websites for assign to product","製品に割り当てるウェブサイトがありません"
"Could not assign product ""%1"" to websites ""%2""","ウェブサイト%2にて製品 ""%1""をアサインできませんでした"
"Could not save product ""%1"" with websites %2","ウェブサイト%2にて製品 ""%1""を保存できませんでした"
"We cannot determine the field name.","フィールドネームを決めることはできません"
"Attribute '%1' is locked. %2","属性 '%1' はロックされています。 %2"
"Do not change the scope. %1","スコープを変えないでください。 %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","プロセッサ %1 はBaseSelectProcessorInterfaceを実装していません"
"A product type is not defined for the indexer.","商品種別はインデックス処理で未定義です。"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 は \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice　を拡張できません。"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 の商品はSKU %2の商品とリンクされていません"
"Multiple Select","複数選択"
"Dropdown","ドロップダウン"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 は \Magento\Framework\Filter\Template　を拡張できません。"
"As low as","同じかそれ以下"
"test","テスト"
"Some text is here.","いくつかのテキストがここにあります。"
"Some exception","何らかの例外"
"Could not get extension attributes","拡張属性を取得できませんでした"
"message","メッセージ"
"fl","fl"
"Lock wait timeout","ロック待ちタイムアウト"
"123","123"
"Images","画像"
"Select...","選択..."
"Advanced Pricing","特別価格"
"Customer Group Price","顧客グループ価格"
"Customer Group","顧客グループ"
"Special Price From","特別価格から"
"To","終了"
"Done","完了"
"Product Alerts","商品通知"
"Alert stock","アラート在庫"
"Alert Stock","アラート在庫"
"Alert price","アラート価格"
"Alert Price","アラート価格"
"Add Selected","選択項目を追加"
"Select Attribute","属性の選択"
"Create New Attribute","新規属性作成"
"Customizable Options","カスタムオプション"
"Custom options let customers choose the product variations they want.","カスタムオプションは商品に対するバリエーションを提案できます。"
"Add Option","オプションを追加"
"New Option","新オプション"
"Select Product","商品選択"
"Option Title","オプションのタイトル"
"Add Value","値を追加"
"Title","タイトル"
"Option Type","オプションタイプ"
"Required","必須"
"Price Type","価格タイプ"
"Max Characters","最大文字数"
"Compatible File Extensions","互換性のあるファイル拡張子"
"Enter separated extensions, like: png, jpg, gif.","png、jpg、gifなどの区切られた拡張子を入力して下さい。"
"Maximum Image Size","最大画像サイズ"
"Please leave blank if it is not an image.","もし画像でなければ空白にしてください。"
"%1","%1"
"This item has weight","重量あり"
"This item has no weight","重量なし"
"Set Product as New From","商品を新しいものから設定する"
"Related Products, Up-Sells, and Cross-Sells","関連商品, アップセル, クロスセル"
"Related products are shown to customers in addition to the item the customer is looking at.","関連商品は、顧客が閲覧中の商品に追加で表示されます。"
"Add Related Products","関連商品を追加"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","アップセル商品は、顧客が閲覧中の商品よりも高価格・高付加価値な商品として表示されます。"
"Add Up-Sell Products","アップセル商品を追加"
"Up-Sell Products","アップセル商品"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","これらの商品は衝動買いを誘発する目的で、ショッピングカートに入っている商品に基づいて、カート画面に表示されます。"
"Add Cross-Sell Products","クロスセル商品を追加"
"Cross-Sell Products","クロスセル商品"
"Add Selected Products","選択した商品を追加"
"Remove","削除"
