"Root","Raíz"
"Allow HTML Tags on Storefront","Permitir Tags HTML en la tienda"
"Visible on Catalog Pages on Storefront","Visible en las páginas del catálogo de la tienda"
"Used in Product Listing","Se utiliza en las listas de artículos"
"Depends on design theme.","Depende del diseño del tema."
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de artículos"
"Media Image","Imagen multimedia"
"Gallery","Galería"
"System Properties","Propiedades de sistema"
"No","No"
"Yes","Sí"
"Data Type for Saving in Database","Tipo de datos para guardar en la base de datos"
"Text","Texto"
"Varchar","Varchar"
"Static","Estático"
"Datetime","Fecha/hora"
"Decimal","Decimal"
"Integer","Entero"
"Globally Editable","Editable globalmente"
"Attribute Information","Información de atributo"
"Properties","Propiedades"
"Manage Labels","Administrar etiquetas"
"Visible","Visible"
"Web Site","Sitio web"
"Searchable","Buscable"
"Comparable","Comparable"
"Delete Selected Group","Eliminar grupo seleccionado"
"Add New","Agregar nuevo"
"Back","Atrás"
"Reset","Restablecer"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Estás a punto de borrar todos los productos en este conjunto de atributos. ¿Estás seguro de que deseas hacerlo?"
"New Set Name","Nuevo nombre de conjunto"
"Edit Attribute Set '%1'","Editar el conjunto de atributos ""%1"""
"Empty","Vacío"
"Add Attribute","Añadir atributo"
"Add New Group","Nuevo grupo"
"Add Group","Añadir grupo"
"Edit Attribute Set Name","Editar nombre del conjunto de atributos"
"For internal use","Para uso interno"
"Based On","Basado en"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add Attribute Set","Añadir el conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Close Window","Cerrar ventana"
"New Product","Nuevo producto"
"Save & Edit","Guardar y editar"
"Save & New","Guardar y Nuevo"
"Save & Duplicate","Guardar y Duplicar"
"Save & Close","Guardar y Cerrar"
"Attributes","Atributos"
"Change","Cambio"
"Advanced Inventory","Inventario avanzado"
"Websites","Sitios web"
"Products Information","Información de productos"
"Create Category","Crear categoría"
"Category Name","Nombre de categoría"
"Parent Category","Categoría principal"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Si no hay categorías padres personalizadas, por favor usa la categoría principal predeterminada. Puedes reasignar la categoría en cualquier momento en <a href=""%1"" target=""_blank"">Productos > Categorías</a>."
"Price Alert Subscriptions","Suscripciones de alerta de precio"
"Stock Alert Subscriptions","Alerta de suscripción de existencias"
"There are no customers for this alert.","No hay clientes para esta alerta."
"First Name","Nombre"
"Last Name","Apellidos"
"Email","Correo electrónico"
"Subscribe Date","Fecha de suscripción"
"Last Notified","Última notificación"
"Send Count","Cantidad de envíos"
"New Attribute","Nuevo atributo"
"Type","Tipo"
"Attribute Set","Conjunto de atributos"
"Add New Option","Añadir nueva opción"
"Import Options","Importar opciones"
"Use Default","Usar predeterminado"
"Import","Importar"
"Add New Row","Agregar nueva fila"
"Delete Row","Eliminar fila"
"Tier Pricing","Nivel de precios"
"Default Price","Precio predeterminado"
"All Websites","Todos los sitios web"
"ALL GROUPS","TODOS LOS GRUPOS"
"Add Price","Agregar precio"
"Default Values","Valores (predeterminado)"
"Related Products","Artículos relacionados"
"Up-sells","Ventas ampliadas"
"Cross-sells","Ventas cruzadas"
"Size for %1","Tamaño de %1"
"Watermark File for %1","Archivo de marca de agua para %1"
"Position of Watermark for %1","Posición de la marca de agua para %1"
"Name in %1","Nombre en %1"
"Quantity","Cantidad"
"Edit","Editar"
"Are you sure?","¿Estás seguro?"
"Change Status","Cambiar Estado"
"Update Attributes","Actualizar atributos"
"start typing to search category","comienza a escribir para buscar categoría"
"New Category","Nueva categoría"
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Add New Images","Agregar nuevas imágenes"
"Inc. Tax","Impuestos incluídos"
"Does this have a weight?","¿Esto tiene un peso?"
"Product","Producto"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Low Stock Products","Artículos con baja cantidad en inventario"
"%1 has reached a quantity of %2.","%1 ha alcanzado una cantidad de %2."
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"Products Comparison List","Lista de Comparación de artículos"
"N/A","N/D"
"AM","a la mañana"
"PM","a la tarde"
"-- Please Select --","-- Selecciona --"
"None","Ninguno"
"New Products from %1","Nuevos artículos de %1"
"New Products","Nuevos artículos"
"%1 - Special Products","%1 - artículos especiales"
"Click for price","Haz clic para ver precio"
"Special Expires On: %1","Especial expira en: %1"
"Price: %1","Precio: %1"
"Special Price: %1","Precio especial: %1"
"Special Products","Artículos especiales"
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Gestionar categorías"
"You deleted the category.","Ha eliminado la categoría."
"Something went wrong while trying to delete the category.","Algo salió mal al intentar borrar la categoría."
"Categories","Categorías"
"Category is not available for requested store.","La categoría no está disponible para la tienda solicitada."
"There was a category move error.","Hubo un error al mover la categoría."
"You moved the category.","Has movido la categoría."
"Attribute ""%1"" is required.","El atributo ""%1"" es obligatorio."
"You saved the category.","Se guardó la categoría."
"Something went wrong while saving the category.","Algo salió mal al guardar la categoría."
"Please select products for attributes update.","Por favor, selecciona productos para la actualización de atributos."
"Please make sure to define SKU values for all processed products.","Por favor, asegúrate de definir valores de SKU para todos los productos procesados."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Algo salió mal al actualizar los atributos del producto."
"Unable to add attribute","No se puede agregar el atributo"
"Please, specify attributes","Please, specify attributes"
"Catalog","Catálogo"
"Manage Product Attributes","Gestionar atributos del artículo"
"We can't delete the attribute.","No se puede eliminar el atributo."
"You deleted the product attribute.","Se ha eliminado el atributo del producto."
"We can't find an attribute to delete.","No podemos encontrar un atributo a eliminar."
"This attribute no longer exists.","Este atributo ya no existe."
"This attribute cannot be edited.","No se puede editar este atributo."
"Edit Product Attribute","Editar atributo del artículo"
"An attribute set named '%1' already exists.","Un conjunto de atributos denominado '%1' ya existe."
"Something went wrong while saving the attribute.","Algo salió mal al guardar el atributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","El código del atributo %1 no es válido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo, el primer carácter debe ser una letra."
"We can't update the attribute.","No se puede actualizar el atributo."
"You saved the product attribute.","Se guardo el atributo del producto."
"An attribute with this code already exists.","Ya existe un atributo con este código."
"An attribute with the same code (%1) already exists.","Ya existe un atributo con el mismo código (%1)."
"The value of Admin must be unique.","El valor de Admin debe ser único."
"The value of Admin scope can't be empty.","El valor del alcance de Admin no puede estar vacío."
"You duplicated the product.","Se duplico el producto."
"This product doesn't exist.","Este producto no existe."
"Invalid product id. Should be numeric value greater than 0","Identificación del producto no válida. Debe ser un valor numérico mayor que 0"
"Products","Productos"
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"Something went wrong while saving this group.","Algo salió mal al guardar este grupo."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido borrados."
"A total of %1 record(s) have been updated.","Se han actualizado un total de %1 registro(s)."
"Something went wrong while updating the product(s) status.","Algo salió mal al actualizar el estado del producto(s)."
"Unable to save product","No se puede guardar el producto"
"You saved the product.","Se guardo el producto."
"SKU for product %1 has been changed to %2.","SKU de producto %1 se ha cambiado a %2."
"The image cannot be removed as it has been assigned to the other image role","La imagen no se puede eliminar, ya que se ha asignado a la otra función de imagen"
"New Attribute Set","Nuevo conjunto de atributos"
"The attribute set has been removed.","El conjunto de atributos ha sido eliminado."
"We can't delete this set right now.","No se puede eliminar este conjunto en este momento."
"New Set","Nuevo conjunto"
"Manage Product Sets","Gestionar conjuntos de artículos"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"You saved the attribute set.","Se guardó el conjunto de atributos."
"Something went wrong while saving the attribute set.","Algo salió mal al guardar el conjunto de atributos."
"You added product %1 to the comparison list.","Añadiste el producto %1 a la lista de comparación."
"You cleared the comparison list.","Se ha borrado la lista de comparación."
"Something went wrong  clearing the comparison list.","Algo salió mal al borrar la lista de comparación."
"You removed product %1 from the comparison list.","Se quito el producto %1 de la lista de comparación."
"1 item","1 artículo"
"%1 items","%1 artítulos"
"Are you sure you want to remove this item from your Compare Products list?","¿Está seguro que desea eliminar este elemento de la lista de productos a comparar?"
"Are you sure you want to remove all items from your Compare Products list?","¿Está seguro que desea eliminar todos los elementos de la lista de productos a comparar?"
"Invalid attribute %1","Atributo %1 inválido"
"Grid","Cuadrícula"
"List","Lista"
"All","Todos"
"Bad controller interface for showing product","Interfaz de controlador invalida para mostrar el producto"
"Product is not loaded","El artículo no se ha cargado"
"Make sure the To Date is later than or the same as the From Date.","Asegúrate de que la fecha de término es posterior o igual a la fecha de inicio."
"Sorry, but we can't find the new parent category you selected.","Lo sentimos, no podemos encontrar la nueva categoría principal que has seleccionado."
"Sorry, but we can't find the new category you selected.","Lo sentimos, no podemos encontrar la nueva categoría que has seleccionado."
"We can't move the category because the parent category name matches the child category name.","No podemos mover la categoría porque el nombre de la categoría de principal coincide con el nombre de la subcategoría."
"Something went wrong while getting the image url.","Algo salió mal al obtener la url de la imagen."
"Can't delete root category.","No se puede eliminar la categoría raíz."
"The value of attribute ""%1"" must be unique.","El valor del atributo ""%1"" debe ser único."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","El orden predeterminado del listado de artículos no existe en los listados de artículos disponibles."
"No layout updates","No hay actualizaciones de diseño"
"Products only","Sólo artículos"
"Static block only","Solo bloque estático"
"Static block and products","Bloque y artículos estáticos"
"Please select a static block.","Por favor, selecciona un bloque estático."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","No se puede guardar el producto ""%1"" con la posición %2 en la categoría %3"
"Category does not contain specified product","La categoría no contiene el producto especificado"
"Could not save product ""%product"" with position %position to category %category","No se pueden guardar el producto ""%product"" con la posición %position a la categoría %category"
"Operation do not allow to move a parent category to any of children category","No se puede mover una categoría principal a una subcategoría"
"Could not move category","No se puede mover la categoría"
"Could not save category: %1","No se puede guardar la categoría: %1"
"Cannot delete category with id %1","No se puede eliminar la categoría con id %1"
"-- Please Select a Category --","-- Por favor, selecciona una categoría --"
"Grid Only","Cuadrícula sólo"
"List Only","Lista sólo"
"Grid (default) / List","Cuadrícula (por defecto)/Lista"
"List (default) / Grid","Lista (por defecto)/Cuadrícula"
"Automatic (equalize price ranges)","Automático (igualar los rangos de precios)"
"Automatic (equalize product counts)","Automático (igualar total de productos)"
"Manual","Manual"
"Fixed","Fijo"
"Percent","Porcentaje"
"Discount","Descuento"
"-- Please select --","-- Por favor, selecciona --"
"Product Thumbnail Itself","Miniatura del Producto en sí"
"Parent Product Thumbnail","Miniatura del Producto Padre"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Flexibilidad"
"Tile","Mosaico"
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Center","Centro"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 no extiende \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Algo salió mal al guardar los archivos."
"File can not be saved to the destination folder.","El archivo no puede guardarse en la carpeta de destino."
"Unknown EAV indexer type ""%1"".","Tipo de indexador EAV desconocido ""%1""."
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Bad value was supplied.","Valor incorrecto fue proveído."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo Plano tiene un límite de %2$d atributos filtrables y ordenables. Actualmente hay %1$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"Unsupported product type ""%1"".","Tipo de producto no soportado ""%1""."
"Please correct the category.","Por favor corrige la categoría."
"Must be category model instance or its id.","Debe ser instancia de la categoría de modelo o su id."
"The attribute model is not defined.","El modelo de atributo no está definido."
"Category","Categoría"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 no se encuentra en los algoritmos"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 no extiende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 no extiende \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","El filtro debe ser un objeto. Configura el filtro correcto."
"Clear Price","Borrar precio"
"%1 and above","%1 y superior"
"The filters must be an array.","Los filtros deben ser una matriz."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Precio de grupo debe ser un número mayor que 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","EL convertidor de galería multimedia debe ser una instancia de EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","No hay MediaGalleryEntryConverter para el tipo dado"
"Please enter a number 0 or greater in this field.","Por favor, introduce 0 o un número mayor en este campo."
"The value of attribute ""%1"" must be set","El valor del atributo ""%1"" debe establecerse"
"SKU length should be %1 characters maximum.","La longitud de SKU debe ser de un máximo de %1 caracteres."
"Please enter a valid number in this field.","Por favor, introduce un número válido en este campo."
"We found a duplicate website, tier price, customer group and quantity.","Se encontró un sitio web duplicado, precios del segmento, grupo de clientes y cantidad."
"Percentage value must be a number between 0 and 100.","El valor de procentaje debe ser un número entre 0 y 100."
"Invalid option id %1","Opción id %1 no válida"
"Can not create attribute set based on non product attribute set.","No se puede crear el conjunto de atributos basado en conjunto de atributos que no es de artículos."
"Can not create attribute set based on not existing attribute set","No se puede crear el conjunto de atributos basado en conjunto de atributos que no existe"
"Provided Attribute set non product Attribute set.","El conjunto de atributos proporcionado no es un conjunto de atributos de artículo."
"Use config","Usar config"
"Enabled","Habilitado"
"Disabled","Inhabilitada"
"Attribute Set already exists.","Conjunto de atributo ya existe."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","No podemos copiar el fichero %1. Por favor elimina el archivo con las imágenes inexistentes y prueba otra vez."
"The image content is not valid.","El contenido de la imagen no es válido."
"Cannot save product.","No se puede guardar el artículo."
"Failed to save new media gallery entry.","Error al guardar la nueva entrada multimedia en la galería."
"There is no image with provided ID.","No hay ninguna imagen con el ID proporcionado."
"Such product doesn't exist","Tal producto no existe"
"Such image doesn't exist","Tal imagen no existe"
"The image does not exist.","La imagen no existe."
"Please correct the image file type.","Por favor corrige el tipo de archivo de imagen."
"We couldn't move this file: %1.","No pudimos mover este archivo: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","El tipo de opción para obtener la instancia de grupo es incorrecta."
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","No se pudo quitar la opción personalizada"
"Please specify date required option(s).","Por favor, especifica las opciones obligatorias de la fecha."
"Please specify time required option(s).","Por favor, especifica las opciones obligatorias de la hora."
"Please specify product's required option(s).","Por favor, especifica las opciones obligatorias del producto."
"The option instance type in options group is incorrect.","El tipo de instancia de opción en el grupo de opciones es incorrecta."
"The product instance type in options group is incorrect.","El tipo de instancia de artículo en el grupo de opciones es incorrecto."
"The configuration item option instance in options group is incorrect.","La instancia de opción del elemento de configuración en el grupo de opciones es incorrecta."
"The configuration item instance in options group is incorrect.","La instancia del elemento de configuración en el grupo de opciones es incorrecta."
"The BuyRequest instance in options group is incorrect.","La instancia del pedido de compra en el grupo de opciones es incorrecta."
"We can't add the product to the cart because of an option validation issue.","No podemos añadir el producto a la cesta por un error al validar una opción."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 no extiende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","El formato de opciones de archivo no es válido."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","El archivo '%1' para '%2' tiene una extensión no válida."
"The maximum allowed image size for '%1' is %2x%3 px.","El máximo tamaño de imagen permitido para '%1' es %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","El archivo '%1' que se subió es mayor que de los %2 megabytes permitidos por el servidor."
"The file '%1' is empty. Please choose another one","El archivo '%1' está vacío. Por favor, elige otro"
"The file '%1' is invalid. Please choose another one","El archivo '%1' no es válido. Por favor, elige otro"
"File '%1' is not an image.","El archivo '%1' no es una imagen."
"Validation failed. Required options were not filled or the file was not uploaded.","Error de validación. No se rellenaron las opciones necesarias o el archivo no fue subido."
"The file you uploaded is larger than %1 Megabytes allowed by server","El archivo subido es mayor que los '%1' Megabytes permitidos por el servidor"
"Option required.","Opción necesaria."
"The file is empty. Please choose another one","El archivo está vacío. Por favor, elige otro"
"Some of the selected item options are not currently available.","Algunos de los artículos seleccionados no están disponibles en este momento."
"The text is too long.","El texto es demasiado largo."
"Invalid attribute %fieldName = %fieldValue.","Atributo inválido %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Tienda solicitada no se encuentra. ID de la fila: SKU = %SKU, ID de tienda: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Costo Atributo no válido = %cost. ID de la fila: SKU = %SKU, ID de tienda: %storeId."
"Could not save Prices.","No se pudieron guardar los precios."
"Could not delete Prices","No se pudieron eliminar los precios"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","La tienda solicitada no se encuentra. ID de la fila: SKU = %SKU, tienda ID: %storeId, precio desde: %priceFrom, precio a: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo no válido %label = %priceTo. Fila ID: SKU = %SKU, Tienda ID: %storeId, Precio desde: %priceFrom, Precio a: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo no válido Precio = %price. Fila ID: SKU = %SKU, Tienda ID: %storeId, Precio desde: %priceFrom, Precio a: %priceTo."
"Could not save Tier Prices","No se pudieron guardar los niveles del precio"
"Could not replace Tier Prices","No se pudo reemplazar los niveles del precio"
"Could not delete Tier Prices","No se pudieron eliminar los niveles del precio"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo no válido SKU = %SKU. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo no válido Precio = %price. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo no válido Tipo de precio = %priceType. FilaID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo no válido Cantidad = %qty. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo no válido Website ID = %websiteId. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Encontramos un sitio web duplicado, precio de nivel, grupo de clientes y cantidad: grupo de clientes = %customerGroup, Website ID = %websiteId, Cantidad = %qty. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No existe dicha entidad con grupo de clientes = %customerGroup. Fila ID: SKU = %SKU, Website ID: %websiteId, Grupo de clientes: %customerGroup, Cantidad: %qty."
"This product doesn't have tier price","Este producto no tiene rangos de precios"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","El producto no tiene un grupo de precios con estos datos: Grupo id del cliente = '%1', Sitio Web =%2, cantidad =%3"
"Invalid data provided for tier_price","Datos proporcionados no válidos para tier_price"
"Could not save group price","No se pudo guardar el precio del grupo"
"Please provide valid data","Por favor proporciona datos válidos"
"Values of following attributes are invalid: %1","Los valores de los atributos siguientes no son válidos: %1"
"We can't create writeable directory ""%1"".","No se puede crear el directorio de escritura ""%1""."
"The file upload failed.","Falló la carga del archivo."
"The product has required options.","El producto tiene opciones obligatorias."
"Something went wrong while processing the request.","Algo salió mal durante el procesamiento de la solicitud."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 no extiende \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 no extiende \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","No es visible individualmente"
"Search","Buscar"
"Catalog, Search","Catálogo, Búsqueda"
"Something went wrong while removing products from the websites.","Algo salió mal al eliminar los productos de los sitios web."
"Something went wrong while adding products to websites.","Algo salió mal al añadir productos a los sitios web."
"Group with id ""%1"" does not exist.","El grupo con id ""%1"" no existe."
"Attribute group that contains system attributes can not be deleted","No se puede eliminar un grupo de atributos que contenga atributos de sistema"
"Collection provider is not registered","El proveedor de la colección no está registrado"
"Unknown link type: %1","Tipo de enlace desconocido: %1"
"Provided link type ""%1"" does not exist","El tipo de enlace proporcionado ""%1"" no existe"
"Invalid data provided for linked products","Datos no válidos para los productos enlazados"
"Product with SKU '%1' is not linked to product with SKU '%2'","El producto con SKU '%1' no está vinculado al producto con SKU '%2'"
"Product %1 doesn't have linked %2 as %3","El producto %1 no tiene vinculado %2 como %3"
"Requested product doesn't exist","El producto solicitado no existe"
"Product with SKU ""%1"" does not exist","El producto con SKU ""%1"" no existe"
"Invalid product data: %1","Dato de producto no válido: %1"
"Database connection error","Error de conexión de la base de datos"
"Database deadlock found when trying to get lock","Interbloqueo de base de datos encontrado al intentar obtener bloqueo"
"Database lock wait timeout exceeded","Tiempo de espera de espera de bloqueo de base de datos excedido"
"Unable to remove product %1","No se puede eliminar el producto %1"
"Requested product does not support images.","El producto solicitado no permite imágenes."
"There are not websites for assign to product","No hay sitios web para asignar al producto"
"Could not assign product ""%1"" to websites ""%2""","No se puede asignar el producto ""%1"" al sitio web ""%2"""
"Could not save product ""%1"" with websites %2","No se puede guardar el producto ""%1"" con el sitio web %2"
"We cannot determine the field name.","No se puede determinar el nombre del campo."
"Attribute '%1' is locked. %2","El atributo '%1' está bloqueado. %2"
"Do not change the scope. %1","No cambiar el alcance. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","El procesador %1 no implementa BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 no extiende \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","El producto con SKU %1 no está vinculado al producto con SKU %2"
"Multiple Select","Selección múltiple"
"Dropdown","Lista desplegable"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 no extiende \Magento\Framework\Filter\Template"
"As low as","Tan bajo como"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","No se pudo obtener los atributos de extensión"
"message","mensaje"
"fl","fl"
"Lock wait timeout","Bloquear espera de tiempo de espera"
"123","123"
"Images","Imágenes"
"Select...","Seleccionar..."
"Advanced Pricing","Sistema avanzado de precios"
"Customer Group Price","Precio para grupo de clientes"
"Customer Group","Grupo del cliente"
"Special Price From","Precio especial a partir de"
"To","Hasta"
"Done","Hecho"
"Product Alerts","Alertas de artículo"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Añadir seleccionado"
"Select Attribute","Seleccione el atributo"
"Create New Attribute","Crear nuevo atributo"
"Customizable Options","Opciones personalizables"
"Custom options let customers choose the product variations they want.","Las opciones personalizadas permiten a los clientes elegir las variantes de producto que quieren."
"Add Option","Agregar opción"
"New Option","Nueva opción"
