"Root","Bază"
"Depends on design theme.","Depends on design theme."
"Used for Sorting in Product Listing","Folosit pentru sortare în listarea produselor"
"Media Image","Imagine media"
"Gallery","Galerie"
"System Properties","Proprietăți sistem"
"No","Nu"
"Yes","Da"
"Data Type for Saving in Database","Tip informație pentru salvarea în baza de date"
"Text","Text"
"Varchar","Varchar"
"Static","Static"
"Datetime","Setează data"
"Decimal","Zecimal"
"Integer","întreg"
"Globally Editable","Editabil la nivel global"
"Attribute Information","Informații atribut"
"Properties","Proprietăți"
"Manage Labels","Gestionare etichete"
"Visible","Vizibil"
"Web Site","Web Site"
"Searchable","Căutat"
"Comparable","Camparabil"
"Delete Selected Group","ștergeți grupul selectat"
"Add New","Adăugați nou"
"Back","Înapoi"
"Reset","Resetați"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Sunteți pe cale să ștergeți toate produsele din acest set de atribute. Sunteți sigur că doriți să faceți acest lucru?"
"New Set Name","Nume set nou"
"Edit Attribute Set '%1'","Modificați set de atribute '%1'"
"Empty","Gol"
"Add Attribute","Adăugați atribut"
"Add New Group","Adăugați grupă nouă"
"Add Group","Adăugați grupă"
"Edit Attribute Set Name","Modificați Nume set atribut"
"For internal use","Pentru uz intern"
"Based On","Bazat pe"
"Add New Attribute Set","Adăugați set atribute nou"
"Add Attribute Set","Adăugați set atribute"
"Attribute Sets","Atribuiți seturi"
"Close Window","Închide fereastra"
"New Product","Produs nou"
"Save & Edit","Salvare și editare"
"Save & New","Salvare și creare nou"
"Save & Duplicate","Salvare și Dublare"
"Save & Close","Salvare și închidere"
"Attributes","Atribute"
"Change","Schimbați."
"Advanced Inventory","Inventar avansat"
"Websites","Website-uri"
"Products Information","Informații produse"
"Create Category","Creați Categorie."
"Category Name","Nume categorie"
"Parent Category","Categorie de bază"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Dacă nu există categorii de bază personalizate, folosiți categoria de bază implicită. Puteți reatribui categoria oricând în <a href=""%1"" target=""_blank"">Produse > Categorii</a>."
"Price Alert Subscriptions","Price Alert Subscriptions"
"Stock Alert Subscriptions","Stock Alert Subscriptions"
"There are no customers for this alert.","Nu există clienți pentru această alertă."
"First Name","Prenume"
"Last Name","Nume de familie"
"Email","Email"
"Subscribe Date","Dată abonare"
"Last Notified","Ultima notificare"
"Send Count","Timiteți contor"
"New Attribute","Atribut nou"
"Type","Tip"
"Attribute Set","Set atribute"
"Add New Option","Adăugați opțiune nouă"
"Import Options","Importare opțiuni"
"Use Default","Folosiți ca implicit"
"Import","Import"
"Add New Row","Adăugați rând nou"
"Delete Row","ștergere rând"
"Tier Pricing","Preț diferențiat"
"Default Price","Preț standard"
"All Websites","Toate Website-urile"
"ALL GROUPS","TOATE GRUPURILE"
"Add Price","Adăugați preț"
"Default Values","Valori implicite"
"Related Products","Produse asociate"
"Up-sells","Up-selling"
"Cross-sells","Cross-selling"
"Size for %1","Mărime pentru %1"
"Watermark File for %1","Fișier suprapus pentru %1"
"Position of Watermark for %1","Poziție suprapus pentru %1"
"Name in %1","Nume în %1"
"Quantity","Cantitate"
"Edit","Editați"
"Are you sure?","Sunteți sigur?"
"Change Status","Modificați status"
"Update Attributes","Actualizați atribute"
"start typing to search category","începeți să tastați pentru a căuta categoria"
"New Category","Categorie nouă"
"Images (.gif, .jpg, .png)","Imagini (.gif, .jpg, .png)"
"Add New Images","Adăugați imagini noi"
"Inc. Tax","Impozit"
"Does this have a weight?","Acest produs are greutate?"
"Product","Proodus"
"Notify Low Stock RSS","Notificare nivel stoc scăzut RSS"
"Low Stock Products","Produse nivel stoc scăzut"
"%1 has reached a quantity of %2.","%1 a ajuns la cantitatea %2."
"Home","Acasă"
"Go to Home Page","Mergeți la pagina principală"
"Subscribe to RSS Feed","Abonare la notificări RSS"
"Products Comparison List","Listă comparare produse"
"N/A","N/A"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Selectați --"
"None","Nici unul"
"New Products from %1","Produse noi de la %1"
"New Products","Produse noi"
"%1 - Special Products","%1 - Produse speciale"
"Click for price","Faceți click pe preț"
"Special Expires On: %1","Oferta specială expiră la: %1"
"Price: %1","Preț: %1"
"Special Price: %1","Preț special: %1"
"Special Products","Produse speciale"
"Manage Catalog Categories","Gestionați catalog categorii"
"Manage Categories","Gestionați categorii"
"You deleted the category.","Ați șters cateoria."
"Something went wrong while trying to delete the category.","A avut loc o eroare la ștergerea categoriei.."
"Categories","Categorii"
"Category is not available for requested store.","Categoria nu este disponibilă pentru magazinul solicitat."
"There was a category move error.","A avut loc o eroare la mutarea categoriei."
"You moved the category.","You moved the category."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Ați salvat categoria."
"Something went wrong while saving the category.","A avut loc o eroare la salvarea categoriei."
"Please select products for attributes update.","Selectați produsul pentru actualizarea atributelor."
"Please make sure to define SKU values for all processed products.","Asigurați-vă că definiți valoarea unităților de înmagazinare pentru toate produsele procesate."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","A avut loc o eroare la actualizarea atributelor de produs."
"Unable to add attribute","Unable to add attribute"
"Please, specify attributes","Please, specify attributes"
"Catalog","Catalog"
"Manage Product Attributes","Gestionați atribut produs."
"We can't delete the attribute.","Atributul nu poate fi șters."
"You deleted the product attribute.","Ati șters atributul produsului."
"We can't find an attribute to delete.","Nu se poate găsi un atribut de șters."
"This attribute no longer exists.","Acest atribut nu mai există."
"This attribute cannot be edited.","Acest atribut nu poate fi editat."
"Edit Product Attribute","Editează atribut produs."
"An attribute set named '%1' already exists.","Setul de atribute numit '%1' există deja."
"Something went wrong while saving the attribute.","A avut loc o eroare la salvarea atributului."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Atributul nu poate fi actualizat."
"You saved the product attribute.","Ați salvat atributul produsului."
"An attribute with this code already exists.","Există deja un atribut cu acest cod."
"An attribute with the same code (%1) already exists.","Există deja un atribut cu aceșasi cod (%1)."
"The value of Admin must be unique.","The value of Admin must be unique."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","Ați dublat produsul."
"This product doesn't exist.","This product doesn't exist."
"Invalid product id. Should be numeric value greater than 0","Invalid product id. Should be numeric value greater than 0"
"Products","Produse"
"A group with the same name already exists.","Există deja un grup cu același nume."
"Something went wrong while saving this group.","A avut loc o eroare la salvarea acestui grup."
"A total of %1 record(s) have been deleted.","Un total de %1 registre au fost șterse."
"A total of %1 record(s) have been updated.","Un total de %1 registre au fost actualizate."
"Something went wrong while updating the product(s) status.","A avut loc o eroare la actualizarea statusului produsului(produselor)."
"Unable to save product","Unable to save product"
"You saved the product.","Ați salvat produsul."
"SKU for product %1 has been changed to %2.","Unitatea de înmagazinare pentru produsul %1 a fost modificată la %2."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"New Attribute Set","Set atribute nou"
"The attribute set has been removed.","Setul de atribute a fost șters."
"We can't delete this set right now.","Momentan acest set nu poate fi șters."
"New Set","Set nou"
"Manage Product Sets","Gestionați seturi produse"
"Manage Attribute Sets","Gestionați seturi atribute"
"This attribute set no longer exists.","Acest set de atribute nu mai există."
"You saved the attribute set.","Ați salvat setul de atribute"
"Something went wrong while saving the attribute set.","A avut loc o erore la salvarea setului de atribute."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Ați șters lista de comparare."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"You removed product %1 from the comparison list.","Ați șters produsul %1 din lista de comparare."
"1 item","1 articol"
"%1 items","%1 articole"
"Are you sure you want to remove this item from your Compare Products list?","Are you sure you want to remove this item from your Compare Products list?"
"Are you sure you want to remove all items from your Compare Products list?","Are you sure you want to remove all items from your Compare Products list?"
"Invalid attribute %1","Atribut nevalid %1"
"Grid","Grilă"
"List","Listă"
"All","Toate"
"Bad controller interface for showing product","Interfață controler nepotrivită pentru expunerea produsului."
"Product is not loaded","Produsul nu este încărcat"
"Make sure the To Date is later than or the same as the From Date.","Asigurați-vă că Până la este o dată mai târzie sau acceeași dată ca De la."
"Sorry, but we can't find the new parent category you selected.","Ne cerem scuze, dar categoria de bază selectată nu poate fi găsită."
"Sorry, but we can't find the new category you selected.","Ne cerem scuze, dar categoria nouă selectată nu poate fi găsită."
"We can't move the category because the parent category name matches the child category name.","Nu putem muta categoria deoarece numele categoriei de bază este același cu al subcategoriei."
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
"Can't delete root category.","Categoria de bază nu poate fi ștearsă."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Opțiunea Sortează după din Listă produs implicită nu există în Opțiunea Sortează după din Listă produs disponibil."
"No layout updates","Nici o actualizare de aspect"
"Products only","Doar produse"
"Static block only","Doar bloc static"
"Static block and products","Bloc static și produse"
"Please select a static block.","Selectați un bloc static"
"frontend_label","etichetă_intefață"
"Could not save product ""%1"" with position %2 to category %3","Nu s-a putut salva produsul ""%1"" cu poziția %2 în categoria %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Nu s-a putul salva produsul ""%product"" cu poziția %position în categoria %category"
"Operation do not allow to move a parent category to any of children category","Operațiunea nu permite mutarea unei categorii de bază în nici una din subcategorii."
"Could not move category","Categoria nu poate fi mutată"
"Could not save category: %1","Nu se poate salva categoria: %1"
"Cannot delete category with id %1","Categoria cu ID-ul %1 nu poate fi ștearsă"
"-- Please Select a Category --","-- Selectați o categorie --"
"Grid Only","Doar grilă"
"List Only","Doar listă"
"Grid (default) / List","Grilă (implicită) / Listă"
"List (default) / Grid","Listă (implicită) / Grilă"
"Automatic (equalize price ranges)","Automat (egalează gamă prețuri)"
"Automatic (equalize product counts)","Automat (egalează sume produs)"
"Manual","Manual"
"Fixed","Fix"
"Percent","Procentaj"
"Discount","Reducere"
"-- Please select --","-- Selectați --"
"Product Thumbnail Itself","Mniatura produsului însăși"
"Parent Product Thumbnail","Miniatură Produs de bază"
"12h AM/PM","12h AM/PM"
"24h","24ore"
"Stretch","extindeți"
"Tile","Dală"
"Top/Left","Sus/Stânga"
"Top/Right","Sus/Dreapta"
"Bottom/Left","Jos/Stânga"
"Bottom/Right","Jos/Dreapta"
"Center","Centru"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nu se extinde \Magento\Cadru\Model\ModelAbstract"
"Something went wrong while saving the file(s).","A avut loc o eroare la salvarea fișierelor."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","EAV necunoscut tip indexare ""%1""."
"We can't rebuild the index for an undefined product.","Nu se poate reconstrui indexul pentru un produs nedefinit."
"Bad value was supplied.","Valoare greșită furnizată."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modulul Plan Catalog are o limită de %2$d atribute filtrabile și/sau sortabile. Momentan există %1$d exemplare. Reduceți numărul de atribute filtrabile/sortabile pentru folosirea acestui modul."
"Unsupported product type ""%1"".","Tip produs neacceptat ""%1""."
"Please correct the category.","Corectați categoria."
"Must be category model instance or its id.","Trebuie să fie o versiune de model categorie sau id-ul său."
"The attribute model is not defined.","Acest model de atribut nu este definit"
"Category","Categorie"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nu se extinde\Magento\Catalog\Model\Nivel\Filtru\Dinamic\InterfațăAlgoritmi"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nu se extinde \Magento\Catalog\Model\Nivel\Filtru\FiltruAbstract"
"The filter must be an object. Please set the correct filter.","Filtrul trebuie să fie un obiect. Setați filtrul corespunzător."
"Clear Price","ștergere preț"
"%1 and above","%1 și peste"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Prețul de grup trebuie să fie mai mare decât 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Converterul Galeriei Media trebuie să fie o versiune a IntrareInterfațăConvertor."
"There is no MediaGalleryEntryConverter for given type","Nu există IntrareConvertorGalerieMedia pentru tipul furnizat."
"Please enter a number 0 or greater in this field.","Introduceți un număr mai mare sau egal cu 0 în acest câmp."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Lungimea unității de înmagazinare trebuie să fie de maximum %1 caractere."
"Please enter a valid number in this field.","Introduceți un număr valid în acest câmp."
"We found a duplicate website, tier price, customer group and quantity.","S-a găsit o dublură a website-ului, preț diferențiat, grup clienți și cantitate."
"Percentage value must be a number between 0 and 100.","Percentage value must be a number between 0 and 100."
"Invalid option id %1","Id opțiune nevalid %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Set atribute specificat Set atribute non produs."
"Use config","Folosește configurație"
"Enabled","Activat"
"Disabled","Dezactivat"
"Attribute Set already exists.","Set atribute deja existent."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nu s-a putut copia fișierul %1. ștergeți fișierele media cu inagini inexistente și încercați din nou."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","Tip opțiune incorectă pentru obținerea versiunii de grup."
"Select type options required values rows.","Selectați tipuri opțiuni solicitate pentru rândurile indicatoare de valoare."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Specificați opțiunile de dată specificate."
"Please specify time required option(s).","Specificați opțiunile de oră specificate."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Tip opțiune incorectă în grupul de opțiuni."
"The product instance type in options group is incorrect.","Tip produs incorect în grupul de opțiuni."
"The configuration item option instance in options group is incorrect.","Tip opțiune articol de configurare incorect în grupul de opțiuni."
"The configuration item instance in options group is incorrect.","Versiune articol de configurare incorectă în grupul de opțiuni."
"The BuyRequest instance in options group is incorrect.","Versiunea Solicitare(Ofertă)Achiziție incorectă în grupul de opțiuni."
"We can't add the product to the cart because of an option validation issue.","Nu se poate adăuga prosul în coș din cauza unei probleme la validarea unei opțiuni."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nu se extinde \Magento\Catalog\Model\Produs\Opțiune\Tip\TipImplicit"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Fișierul '%1' for '%2' are o extensie nevalidă."
"The maximum allowed image size for '%1' is %2x%3 px.","Mărimea maximă acceptată a unei imagini pentru '%1' este de %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Fișierul încărcat '%1' este mai mare de %2 megaocteți acceptați de server-ul nostru."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","The file '%1' is invalid. Please choose another one"
"File '%1' is not an image.","Fișierul '%1' nu este o imagine."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Unele din opțiunile de articol selectate nu sunt disponibile momentan."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Could not save Prices."
"Could not delete Prices","Could not delete Prices"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","Could not save Tier Prices"
"Could not replace Tier Prices","Could not replace Tier Prices"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produsul nu are preț de grup cu astfel de informații: IdGrupClient = '%1', website = %2, cantitate = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","A avut loc o eroare la procesarea solicitării."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nu se extinde \Magento\Catalog\Model\Produs\Tip\TipAbstract"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nu se extinde \Magento\Catalog\Model\Produs\Tip\Preț"
"Not Visible Individually","Nu este vizibil individual"
"Search","Căutare"
"Catalog, Search","Catalog, Căutare"
"Something went wrong while removing products from the websites.","A avut loc o eroare la ștergerea de produse de pe website-uri."
"Something went wrong while adding products to websites.","A avut loc o eroare la adăugarea de produse pe website-uri."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product with SKU '%1' is not linked to product with SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produsul %1 nu are asociat %2 ca %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Informații produs nevalide: %1"
"Database connection error","Database connection error"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Nu există website-uri de atribuit produsului"
"Could not assign product ""%1"" to websites ""%2""","Nu s-a putut atribui produsul ""%1"" la website-urile ""%2"""
"Could not save product ""%1"" with websites %2","Nu s-a putut salva produsul ""%1"" cu website-urile %2"
"We cannot determine the field name.","Nu se poate stabili numele câmpului."
"Attribute '%1' is locked. %2","Atributul '%1' este blocat. %2"
"Do not change the scope. %1","Nu schimbați domeniul. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Un tip de produs nu este definit pentru indexare."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produsul cu unitatea de înmagazinare %1 nu este asociat cu produsul cu unitatea de înmagazinare %2"
"Multiple Select","Selecție multiplă"
"Dropdown","Dropdown"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nu se extinde\Magento\Cadru\Filtru\șablon"
"As low as","începând de la"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","mesaj"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","Imagini"
"Select...","Selectați..."
"Advanced Pricing","Advanced Pricing"
"Customer Group Price","Customer Group Price"
"Customer Group","Grup Clienți"
"Special Price From","Special Price From"
"To","Către"
"Done","Efectuat"
"Product Alerts","Alerte produs"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Add Selected"
"Select Attribute","Select Attribute"
"Create New Attribute","Creați atribut nou"
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Add Option","Adăugați opțiune"
"New Option","Opțiune nouă."
"Select Product","Selectați produs."
"Option Title","Titlu opțiune"
"Add Value","Add Value"
"Title","Titlu"
"Option Type","Option Type"
"Required","Necesar"
"Price Type","Tip preț"
"Max Characters","Număr maxim de caractere"
"Compatible File Extensions","Extensii de fișier compatibile"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Mărime maximă imagine"
"Please leave blank if it is not an image.","Dacă nu este imagine, lăsați câmpul necompletat."
"%1","%1"
"This item has weight","This item has weight"
"This item has no weight","This item has no weight"
"Set Product as New From","Set Product as New From"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, and Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Related products are shown to customers in addition to the item the customer is looking at."
"Add Related Products","Add Related Products"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at."
"Add Up-Sell Products","Add Up-Sell Products"
"Up-Sell Products","Up-Sell Products"
