"Root","Rod"
"No layout updates","Ingen layout opdateringer"
"Products only","Kun produkter"
"Static block only","Kun statisk blok"
"Static block and products","Statisk blok og produkter"
"Please select a static block.","Vælg venligst en statisk blok."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Kunne ikke gemme produktet ""%1"" med position %2 til kategori %3"
"Category does not contain specified product","Kategori indeholder ikke det angivne produkt"
"Could not save product ""%product"" with position %position to category %category","Kunne ikke gemme produktet ""%product"" med position %position til kategori %category"
"Operation do not allow to move a parent category to any of children category","Operationen ikke tillader for at flytte en overordnet kategori til en child kategori"
"Could not move category","Kunne ikke flytte kategori"
"Could not save category: %1","Kunne ikke gemme kategori: %1"
"Cannot delete category with id %1","Kan ikke slette kategori med id %1"
"-- Please Select a Category --","--Vælg en kategori--"
"Grid Only","Kun gitter"
"List Only","Kun liste"
"Grid (default) / List","Gitter (standard) / liste"
"List (default) / Grid","Liste (standard) / gitter"
"Automatic (equalize price ranges)","Automatisk (udligning af prisklasser)"
"Automatic (equalize product counts)","Automatisk (udligning af produkt tællere)"
"Manual","Manual"
"Fixed","Fast"
"Percent","Procent"
"Discount","Rabat"
"-- Please select --","-- Vælg venligst --"
"Product Thumbnail Itself","Produkt miniaturebillede"
"Parent Product Thumbnail","Overordnede produkt miniaturebillede"
"12h AM/PM","12t AM/PM"
"24h","24t"
"Stretch","Stræk"
"Tile","Flise"
"Top/Left","Øverst til venstre"
"Top/Right","Top/højre"
"Bottom/Left","Bund/venstre"
"Bottom/Right","Bund/Højre"
"Center","Center"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 forlænger ikke \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Noget gik galt da fil(er) skulle gemmes."
"File can not be saved to the destination folder.","Filen kan ikke gemmes i destinationsmappen."
"Unknown EAV indexer type ""%1"".","Ukendt EAV indekseringenstype ""%1""."
"We can't rebuild the index for an undefined product.","Vi kan ikke genopbygge indekset for et udefineret produkt."
"Bad value was supplied.","Forkert værdi."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modulet ""Flat"" katalog har en grænse på %2$d kan filtreres og/eller sorterbare attributter. I øjeblikket er der %1$d af dem. Skal du reducere antallet af kan filtreres/sorterbare attributter for at bruge dette modul"
"Unsupported product type ""%1"".","Ikke-understøttede produkt type ""%1""."
"Please correct the category.","Ret venligst kategorien."
"Must be category model instance or its id.","Der skal indtastes en kategoriserede model eller dens ID."
"The attribute model is not defined.","Modellens egenskaber er ikke defineret."
"Category","Kategori"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 blev ikke fundet i algoritmerne"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 forlænger ikke \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 forlænger ikke \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filteret skal være et objekt. Angiv det korrekte filter."
"Clear Price","Slet prisen"
"%1 and above","%1 og derover"
"The filters must be an array.","Filtrene skal være et array."
"Product was not registered","Produkt blev ikke registreret"
"Store was not registered","Produkt blev ikke registreret"
"Group price must be a number greater than 0.","Gruppe pris skal være et tal større end 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Mediegalleri konverteren bør være en forekomst af EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Der er ingen MediaGalleryEntryConverter for den givne type"
"Please enter a number 0 or greater in this field.","Indtast venligst et tal, 0 eller større i dette felt."
"The value of attribute ""%1"" must be set","Værdien af attributten ""%1"" skal angives"
"SKU length should be %1 characters maximum.","SKU længde bør være maksimalt %1 tegn."
"Please enter a valid number in this field.","Angiv et gyldigt tal i dette felt."
"We found a duplicate website, tier price, customer group and quantity.","Vi fandt en duplikeret hjemmeside, tier price, kundegruppe eller mængde."
"Percentage value must be a number between 0 and 100.","Procentværdi skal være et tal mellem 0 og 100."
"Invalid option id %1","Ugyldig indstilling id %1"
"Can not create attribute set based on non product attribute set.","Kan ikke oprette attribut sæt baseret på en ikke produkt-attribut som angivet."
"Can not create attribute set based on not existing attribute set","Kan ikke oprette attributsæt baseret på et ikke eksisterende attribut sæt"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Use config","Brug config"
"Enabled","Aktiveret"
"Disabled","Slået fra"
"Attribute Set already exists.","Attributtet findes allerede."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Vi kunne ikke kopiere filen %1. Slet medier med ikke-eksisterende billeder, og prøv igen."
"The image content is not valid.","Billedindholdet er ikke gyldigt."
"Cannot save product.","Kan ikke gemme produkt."
"Failed to save new media gallery entry.","Kunne ikke gemme nyt medie galleri postering."
"There is no image with provided ID.","Der er intet billede med medfølgende ID."
"Such product doesn't exist","Sådan et produkt findes ikke"
"Such image doesn't exist","Sådan et billede findes ikke"
"The image does not exist.","Billedet findes ikke."
"Please correct the image file type.","Ret venligst image filtype."
"We couldn't move this file: %1.","Vi kunne ikke flytte denne fil: %1."
"Can't get information about the picture: %1","Kan ikke få oplysninger om billedet: %1"
"The image could not be resized: ","Billedet kunne ikke omskæres: "
"Some images could not be resized. See log file for details.","Nogle billeder kunne ikke blive omskåret. Se logfil for detaljer."
"The option type to get group instance is incorrect.","Den valgte mulighed for at få gruppe instance er forkert."
"Select type options required values rows.","Vælg type indstillinger krævet af værdi rækker."
"ProductSku should be specified","ProductSku skal angives"
"Could not remove custom option","Kunne ikke fjerne brugerdefinerede indstilling"
"Please specify date required option(s).","Angiv venligst dato krævede indstillinger."
"Please specify time required option(s).","Angiv venligst dato krævede indstillinger."
"Please specify product's required option(s).","Udfyld alle produktets mulighed(er)."
"The option instance type in options group is incorrect.","Den valgte valgmulighed i valgmuligheder er forkert."
"The product instance type in options group is incorrect.","Det valgte produkt type i valgmuligheder er forkert."
"The configuration item option instance in options group is incorrect.","Det valgte konfigurations element i valgmuligheder er forkert."
"The configuration item instance in options group is incorrect.","Konfigurations elementet i valgmuligheder er forkert."
"The BuyRequest instance in options group is incorrect.","Det valgte BuyRequest i valgmuligheder er forkert."
"We can't add the product to the cart because of an option validation issue.","Vi kunne ikke tilføje produktet til kurven på grund af en fejl med indstillingerne."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 forlænger ikke \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Indstillinger filformat er ikke gyldig."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Filen '%1' for '%2' har en ugyldig extension."
"The maximum allowed image size for '%1' is %2x%3 px.","Maksimalt tilladte billedstørrelse for '%1' er %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Filen '%1' du har uploadet er større end de %2 megabytes tilladt af vores server."
"The file '%1' is empty. Please choose another one","Filen '%1' er tom. Vælg venligst en anden"
"The file '%1' is invalid. Please choose another one","Filen '%1' er ugyldig. Vælg venligst en anden"
"File '%1' is not an image.","Filen '%1' er ikke et billede."
"Validation failed. Required options were not filled or the file was not uploaded.","Valideringen mislykkedes. Påkrævede indstillinger blev ikke udfyldt eller filen blev ikke overført."
"The file you uploaded is larger than %1 Megabytes allowed by server","Den fil du har uploadet er større end %1 Megabytes tilladt af serveren"
"Option required.","Indstilling kræves."
"The file is empty. Please choose another one","Filen er tom. Vælg venligst en anden"
"Some of the selected item options are not currently available.","Nogle af de markerede indstillinger er ikke tilgængelige i øjeblikket."
"The text is too long.","Teksten er for lang."
"Invalid attribute %fieldName = %fieldValue.","Ugyldig attribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Ønskede butik blev ikke fundet. Række-ID: SKU = %SKU, butiks-ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Ugyldig attribut Omkostninger = %cost. Række-ID: SKU = %SKU, butiks-ID: %storeId."
"Could not save Prices.","Kunne ikke gemme priser."
"Could not delete Prices","Kunne ikke slette priser"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ønskede produkt findes ikke. Række-ID: SKU = %SKU, butiks-ID: %storeId, pris fra: %priceFrom, pris: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ønskede butik blev ikke fundet. Række-ID: SKU = %SKU, butiks-ID: %storeId, pris fra: %priceFrom, pris: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ugyldig attribut %label = %priceTo. Række-ID: SKU = %SKU, butiks-ID: %storeId, pris fra: %priceFrom, pris: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Ugyldig attribut pris = %price. Række-ID: SKU = %SKU, butiks-ID: %storeId, pris fra: %priceFrom, pris: %priceTo."
"Could not save Tier Prices","Kunne ikke gemme niveau priser"
"Could not replace Tier Prices","Kunne ikke erstatte niveau priser"
"Could not delete Tier Prices","Kunne ikke slette niveau priser"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attribut SKU = %SKU. Række-ID: SKU = %SKU, hjemmeside-ID: % websiteId, kunde gruppe: %customerGroup, mængde: % antal."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attribut pris = %price. Række-ID: SKU = %SKU, Hjemmeside-ID: % websiteId, Kunde gruppe: %customerGroup, Antal: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attribut Pris type= %priceType. Række-ID: SKU = %SKU, Hjemmeside-ID: % websiteId, Kunde gruppe: %customerGroup, Antal: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attribut Antal= %qty. Række-ID: SKU = %SKU, hjemmeside-ID: %websiteId, Kunde gruppe: %customerGroup, Antal: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Ugyldig attribut Hjemmeside-ID = %websiteId. Række-ID: SKU = %SKU, Hjemmeside-ID: %websiteId, Kunde gruppe: %customerGroup, Antal: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Vi fandt en duplikant af hjemmesiden, tier pris, kunde gruppe og antal: Kunde gruppe= %customerGroup, Hjemmeside-ID = %websiteId, Antal= %qty. Række-ID: SKU = %SKU, Hjemmeside-ID: %websiteId, Kundegruppe: %customerGroup, Antal: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Der findes ingen enhed med Kunde gruppe = %customerGroup. Række-ID: SKU = %SKU, Hjemmeside-ID: %websiteId, Kunde gruppe: %customerGroup, Antal: %qty."
"This product doesn't have tier price","Dette produkt har ikke en mængderabat"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produktet har ikke en gruppe pris med den data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Ugyldig data givet for tier_price"
"Could not save group price","Kunne ikke gemme gruppe pris"
"Please provide valid data","Angiv gyldige data"
"Values of following attributes are invalid: %1","Værdier for følgende attributter er ugyldigt: %1"
"We can't create writeable directory ""%1"".","Vi kan ikke oprette en skrivbar sti ""%1""."
"The file upload failed.","Fil upload mislykkedes."
"The product has required options.","Produktet har obligatoriske muligheder."
"Something went wrong while processing the request.","Noget gik galt under behandlingen af anmodningen."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 forlænger ikke \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 forlænger ikke \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Ikke synligt individuelt"
"Search","Søg"
"Catalog, Search","Katalog, Søg"
"Something went wrong while removing products from the websites.","Noget gik galt, mens du fjernede produkter fra hjemmesiderne."
"Something went wrong while adding products to websites.","Noget gik galt under tilføjelse af produkter til hjemmesiderne."
"Group with id ""%1"" does not exist.","Gruppe med id ""%1"" findes ikke."
"Attribute group that contains system attributes can not be deleted","Attributgruppe, der indeholder system attributter kan ikke slettes"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Ukendt link-type: %1"
"Provided link type ""%1"" does not exist","Angivet link type ""%1"" ikke findes"
"Invalid data provided for linked products","Ugyldige data for sammenkædede varer"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt med SKU '%1' er ikke knyttet til produkt med SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Produkt med SKU ""%1"" findes ikke"
"Invalid product data: %1","Ugyldig produktdata: %1"
"Database connection error","Database forbindelsesfejl"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Ikke i stand til at fjerne produkt %1"
"Requested product does not support images.","Ønskede produkt understøtter ikke billeder."
"There are not websites for assign to product","Der er ikke hjemmesider som kan tildeles produktet"
"Could not assign product ""%1"" to websites ""%2""","Could not assign product ""%1"" to websites ""%2"""
"Could not save product ""%1"" with websites %2","Could not save product ""%1"" with websites %2"
"We cannot determine the field name.","Vi kan ikke bestemme navnet på feltet."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","Undlad at ændre anvendelsesområdet. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Product with SKU %1 is not linked to product with SKU %2"
"Multiple Select","Marker flere"
"Dropdown","Dropdown"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","Fra"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Nogle undtagelse"
"Could not get extension attributes","Kunne ikke hente udvidelsesattributter"
"message","besked"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","Billeder"
"Select...","Vælg..."
"Advanced Pricing","Avanceret priser"
"Customer Group Price","Kundegruppe pris"
"Customer Group","Kundegruppe"
"Special Price From","Special pris fra"
"To","Til"
"Done","Udført"
"Product Alerts","Produktet alarmer"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Tilføj valgte"
"Select Attribute","Vælg attribut"
"Create New Attribute","Opret ny attribut"
"Customizable Options","Brugerdefinerbare indstillinger"
"Custom options let customers choose the product variations they want.","Brugerdefinerede indstillinger lader kunderne vælge de produktvarianter de ønsker."
"Add Option","Tilføj valgmulighed"
"New Option","Ny mulighed"
"Select Product","Vælg produkt"
