"Root","Raiz"
"Manage Labels","Gerenciar rótulos"
"Visible","Visível"
"Web Site","Website"
"Searchable","Pesquisável"
"Comparable","Comparável"
"Delete Selected Group","Apagar Grupo Selecionado"
"Add New","Adicionar Novo"
"Back","Voltar"
"Reset","Reiniciar"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Você está prestes a remover todos os produtos neste conjunto de atributos. Tem a certeza que pretende fazer isto?"
"New Set Name","Novo Nome do Conjunto"
"Edit Attribute Set '%1'","Editar Conjunto de Atributos '%1'"
"Empty","Vazio"
"Add Attribute","Adicionar Atributo"
"Add New Group","Adicionar Novo Grupo"
"Add Group","Adicionar Grupo"
"Edit Attribute Set Name","Editar Nome do Conjunto de Atributos"
"For internal use","Para uso interno"
"Based On","Com Base Na"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add Attribute Set","Adicionar Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributo"
"Close Window","Fechar Janela"
"New Product","Novo Produto"
"Save & Edit","Salvar e Editar"
"Save & New","Salvar e Novo"
"Save & Duplicate","Salvar e Duplicar"
"Save & Close","Salvar e Fechar"
"Attributes","Atributos"
"Change","Alterar"
"Advanced Inventory","Estoque Avançado"
"Websites","Websites"
"Products Information","Informação de produtos"
"Create Category","Criar categoria"
"Category Name","Nome da Categoria"
"Parent Category","Categoria Mãe"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Se não houver nenhuma categoria pai personalizada, por favor use a categoria pai padrão. Você pode reatribuir a categoria a qualquer momento em <a href=""%1"" target=""_blank"">Produtos > Categorias</a>."
"Price Alert Subscriptions","Assinaturas de Alerta de Preço"
"Stock Alert Subscriptions","Assinaturas de Alerta de Estoque"
"There are no customers for this alert.","Não há clientes para esse alerta."
"First Name","Nome"
"Last Name","Sobrenome"
"Email","E-mail"
"Subscribe Date","Data de Assinatura"
"Last Notified","Última Notificação"
"Send Count","Total de Envios"
"New Attribute","Novo Atributo"
"Type","Tipo"
"Attribute Set","Conjuntos de Atributo"
"Add New Option","Adicionar Nova Opção"
"Import Options","Importar Opções"
"Use Default","Usar Padrão"
"Import","Importar"
"Add New Row","Adicionar Nova Linha"
"Delete Row","Remover Linha"
"Tier Pricing","Nível de Preços"
"Default Price","Preço Padrão"
"All Websites","Todos os sites"
"ALL GROUPS","TODOS OS GRUPOS"
"Add Price","Adicionar Preço"
"Default Values","Valor Padrão"
"Related Products","Produtos Relacionados"
"Up-sells","Venda Agregada"
"Cross-sells","Vendas cruzadas"
"Size for %1","Tamanho de %1"
"Watermark File for %1","Arquivo de marca d'água para %1"
"Position of Watermark for %1","Posição da marca d'água para %1"
"Name in %1","Nome em %1"
"Quantity","Quantidade"
"Edit","Editar"
"Are you sure?","Você tem certeza?"
"Change Status","Mudar Status"
"Update Attributes","Atualizar Atributos"
"start typing to search category","comece a digitar para pesquisar categoria"
"New Category","Adicionar categoria"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Add New Images","Adicionar Nova Imagem"
"Inc. Tax","Inc. Impostos"
"Does this have a weight?","Este artigo tem um peso associado?"
"Product","Produto"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Low Stock Products","Produtos com estoque baixo"
"%1 has reached a quantity of %2.","%1 atingiu uma quantidade de %2."
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Subscribe to RSS Feed","Assinar o RSS Feed"
"Products Comparison List","Lista de Comparação de Produtos"
"N/A","Não Disponível"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Selecione uma opção --"
"None","Nenhum"
"New Products from %1","Novos produtos de %1"
"New Products","Novos Produtos"
"%1 - Special Products","%1 - produtos especiais"
"Click for price","Clique para precificar"
"Special Expires On: %1","Especial expira em: %1"
"Price: %1","Preço: %1"
"Special Price: %1","Preço especial: %1"
"Special Products","Produtos especiais"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"You deleted the category.","Você excluiu a categoria."
"Something went wrong while trying to delete the category.","Algo deu errado ao tentar excluir a categoria."
"Categories","Categorias"
"Category is not available for requested store.","Categoria não está disponível para loja selecionada."
"There was a category move error.","Houve um erro na mudança de categoria."
"You moved the category.","A categoria foi movida."
"Attribute ""%1"" is required.","Atributo ""%1"" é obrigatório."
"You saved the category.","Você salvou a categoria."
"Something went wrong while saving the category.","Algo deu errado ao salvar a categoria."
"Please select products for attributes update.","Por favor selecione os produtos para atualização de atributos."
"Please make sure to define SKU values for all processed products.","Por favor, certifique-se de definir valores SKU para todos os produtos processados."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foi(ram) atualizado(s)."
"Something went wrong while updating the product(s) attributes.","Algo deu errado ao atualizar os atributos do(s) produto(s)."
"Unable to add attribute","Não é possível adicionar o atributo"
"Please, specify attributes","Por favor, especifique os atributos"
"Catalog","Catálogo"
"Manage Product Attributes","Gerenciar os atributos do produto"
"We can't delete the attribute.","Não é possível excluir o atributo."
"You deleted the product attribute.","Você excluiu o atributo do produto."
"We can't find an attribute to delete.","Atributo não encontrado para exclusão."
"This attribute no longer exists.","Este atributo não existe mais."
"This attribute cannot be edited.","Esse atributo não pode ser editado."
"Edit Product Attribute","Editar atributo do produto"
"An attribute set named '%1' already exists.","Um atributo chamado '%1' já existe."
"Something went wrong while saving the attribute.","Problema ao salvar o atributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","O código de atributo ""%1"" é inválido. Por favor use somente letras (a-z), números (0-9) ou underscore(_) neste campo, e o primeiro caractere deve ser uma letra."
"We can't update the attribute.","Não é possível atualizar o atributo."
"You saved the product attribute.","Você salvou o atributo do produto."
"An attribute with this code already exists.","Um atributo com esse código já existe."
"An attribute with the same code (%1) already exists.","Um atributo com o mesmo código (%1) já existe."
"The value of Admin must be unique.","O valor de Admin deve ser único."
"The value of Admin scope can't be empty.","O valor do escopo Admin não pode ser vazio."
"You duplicated the product.","Você duplicou o produto."
"This product doesn't exist.","Este produto não existe."
"Invalid product id. Should be numeric value greater than 0","Id de produto inválido. O valor numérico deve ser maior que 0"
"Products","Produtos"
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"Something went wrong while saving this group.","Algo deu errado ao salvar este grupo."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"A total of %1 record(s) have been updated.","Um total de %1 registro(s) foram atualizados."
"Something went wrong while updating the product(s) status.","Algo deu errado ao atualizar o status do produto(s)."
"Unable to save product","Não foi possível salvar o produto"
"You saved the product.","Você salvou o produto."
"SKU for product %1 has been changed to %2.","SKU do produto %1 foi alterado para %2."
"The image cannot be removed as it has been assigned to the other image role","A imagem não pode ser removida visto que foi atribuída a outra função de imagem"
"New Attribute Set","Novo Conjunto de Atributos"
"The attribute set has been removed.","O conjunto de atributos foi removido."
"We can't delete this set right now.","Não é possível excluir este conjunto agora."
"New Set","Novo Conjunto"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"This attribute set no longer exists.","Este conjunto de atributos não existe mais."
"You saved the attribute set.","Conjunto de atributos salvo."
"Something went wrong while saving the attribute set.","Algum erro ocorreu ao salvar o conjunto de atributos."
"You added product %1 to the comparison list.","Você adicionou o produto %1 à lista de comparação."
"You cleared the comparison list.","Você limpou a lista de comparação."
"Something went wrong  clearing the comparison list.","Algo deu errado ao limpar a lista de comparação."
"You removed product %1 from the comparison list.","Você removeu o produto %1 da lista de comparação."
"1 item","1 item"
"%1 items","%1 itens"
"Are you sure you want to remove this item from your Compare Products list?","Tem certeza que deseja remover todos os itens da sua lista de comparação de produtos?"
"Are you sure you want to remove all items from your Compare Products list?","Tem certeza que deseja remover todos os itens da sua lista de comparação de produtos?"
"Invalid attribute %1","Atributo inválido %1"
"Grid","Grade"
"List","Lista"
"All","Todos"
"Bad controller interface for showing product","Interface do controller inválida para visualizar o produto"
"Product is not loaded","Produto não está carregado"
"Make sure the To Date is later than or the same as the From Date.","Certifique-se de que a Data de Término é posterior ou igual a Data de Início."
"Sorry, but we can't find the new parent category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria mãe selecionada."
"Sorry, but we can't find the new category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria selecionada."
"We can't move the category because the parent category name matches the child category name.","Não é possível mover a categoria porque o nome da categoria mãe coincide com o nome de categoria filho."
"Something went wrong while getting the image url.","Algum erro ocorreu ao obter a url da imagem."
"Can't delete root category.","Não é possível excluir a categoria principal."
"The value of attribute ""%1"" must be unique.","O valor do atributo ""%1"" deve ser exclusivo."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Ordenação Padrão Produto na Listagem não existe nas Opções Disponíveis para Ordenação do Produto na Listagem."
"No layout updates","Não há atualizações de layout"
"Products only","Somente produtos"
"Static block only","Somente bloco estático"
"Static block and products","Bloco estático e produtos"
"Please select a static block.","Por favor, selecione um bloco estático."
"frontend_label","rótulo_frete_de_loja"
"Could not save product ""%1"" with position %2 to category %3","Não foi possível gravar o produto ""%1"" com a posição ""%2"" na categoria ""%3"""
"Category does not contain specified product","Categoria não contém produto especificado"
"Could not save product ""%product"" with position %position to category %category","Não foi possível gravar o produto ""%product"" com posição %position na categoria %category"
"Operation do not allow to move a parent category to any of children category","Operação não permite mover uma categoria mãe para qualquer categoria filho"
"Could not move category","Não é possível mover a categoria"
"Could not save category: %1","Não foi possível salvar a categoria: %1"
"Cannot delete category with id %1","Não é possível excluir a categoria com id %1"
"-- Please Select a Category --","--Por Favor, Selecione uma Categoria--"
"Grid Only","Apenas Grade"
"List Only","Apenas Lista"
"Grid (default) / List","Grade (padrão) / Lista"
"List (default) / Grid","Lista (padrão) / Grade"
"Automatic (equalize price ranges)","Automático (equalizar variação de preço)"
"Automatic (equalize product counts)","Automático (equalizar contagens de produto)"
"Manual","Manual"
"Fixed","Fixo"
"Percent","Por cento"
"Discount","Desconto"
"-- Please select --","-- Selecione uma opção --"
"Product Thumbnail Itself","Miniatura de Produto Em Si"
"Parent Product Thumbnail","Miniatura de Produto Mãe"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Ajustar"
"Tile","Lado a Lado"
"Top/Left","Superior/Esquerda"
"Top/Right","Superior/Direita"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Center","Centralizar"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 não se estende a \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Ocorreu algum problema ao salvar o(s) arquivo(s)."
"File can not be saved to the destination folder.","Arquivo não pode ser salvo na pasta de destino."
"Unknown EAV indexer type ""%1"".","Índice EAV tipo ""%1"" desconhecido."
"We can't rebuild the index for an undefined product.","Não é possível recriar o índice para um produto indefinido."
"Bad value was supplied.","Valor fornecido é inválido."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de catálogo Flat tem um limite de %2$d atributos filtráveis e/ou classificáveis. Atualmente existem %1$d. Por favor reduza o número de atributos filtráveis ou classificáveis para utilizar este módulo"
"Unsupported product type ""%1"".","Tipo de produto ""%1"" não suportado."
"Please correct the category.","Por favor, corrija a categoria."
"Must be category model instance or its id.","Deve ser uma instância do model de categoria ou seu id."
"The attribute model is not defined.","O modelo do atributo não foi definido."
"Category","Categoria"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 não foi encontrado nos algoritmos"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 não se estende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 não se estende a \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","O filtro deve ser um objeto. Por favor, defina o filtro corretamente."
"Clear Price","Limpar Preço"
"%1 and above","%1 e acima"
"The filters must be an array.","Os filtros devem ser uma matriz."
"Product was not registered","Produto não foi registrado"
"Store was not registered","Loja não foi registrada"
"Group price must be a number greater than 0.","Preço do grupo deve ser um número maior que 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Conversor de Galeria de Mídia deve ser uma instância de EntryConverterinterface."
"There is no MediaGalleryEntryConverter for given type","Não existe MediaGalleryEntryConverter para tipo selecionado"
"Please enter a number 0 or greater in this field.","Por favor, insira um número maior ou igual a 0 neste campo."
"The value of attribute ""%1"" must be set","O valor do atributo ""%1"" deve ser definido"
"SKU length should be %1 characters maximum.","Tamanho do SKU deve ter, no máximo, %1 caracteres."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"We found a duplicate website, tier price, customer group and quantity.","Encontramos um website, preço de camada, grupo de clientes e quantidade duplicados."
"Percentage value must be a number between 0 and 100.","O valor percentual deve ser um número entre 0 e 100."
"Invalid option id %1","Opção inválida id %1"
"Can not create attribute set based on non product attribute set.","Não é possível criar o conjunto de atributos com base em um conjunto de atributos de produtos não especificado."
"Can not create attribute set based on not existing attribute set","Não é possível criar um conjunto de atributos baseado em um conjunto de atributos não existente"
"Provided Attribute set non product Attribute set.","O conjunto de atributos indicado não é um conjunto de atributos de produto."
"Use config","Usar o config"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Attribute Set already exists.","O Conjunto de Atributos já existe."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Não é possível copiar o arquivo %1. Por favor, excluir a mídia com imagens inexistentes e tente novamente."
"The image content is not valid.","O conteúdo da imagem não é válido."
"Cannot save product.","Não foi possível salvar o produto."
"Failed to save new media gallery entry.","Falha ao salvar as novas entradas da galeria."
"There is no image with provided ID.","Não há nenhuma imagem com o ID fornecido."
"Such product doesn't exist","Não existe tal produto"
"Such image doesn't exist","A imagem não existe"
"The image does not exist.","A imagem não existe."
"Please correct the image file type.","Por favor, defina corretamente o tipo de arquivo de imagem."
"We couldn't move this file: %1.","Não é possível mover esse arquivo: %1."
"Can't get information about the picture: %1","Não é possível obter informações sobre o foto: %1"
"The image could not be resized: ","A imagem não pode ser redimensionada: "
"Some images could not be resized. See log file for details.","Algumas imagens não podem ser redimensionadas. Consulte o arquivo de log para obter detalhes."
"The option type to get group instance is incorrect.","O tipo da opção para receber a instância do grupo está incorreta."
"Select type options required values rows.","As linhas de valores são obrigatórias para este tipo de opção."
"ProductSku should be specified","O SKU do produto deve ser especificado"
"Could not remove custom option","Não foi possível remover opção personalizada"
"Please specify date required option(s).","Por favor, especifique as opções de data solicitadas."
"Please specify time required option(s).","Por favor, especifique as opções de data solicitada(s)."
"Please specify product's required option(s).","Por favor, especifique opções necessárias do produto."
"The option instance type in options group is incorrect.","O tipo de instância da opção está incorreto no grupo de opções."
"The product instance type in options group is incorrect.","O tipo de instância do produto no grupo de opções está incorreto."
"The configuration item option instance in options group is incorrect.","A instância de opção de item de configuração no grupo de opções está incorreta."
"The configuration item instance in options group is incorrect.","A instância de configuração do item no grupo de opções está incorreta."
"The BuyRequest instance in options group is incorrect.","A instancia de Pedido de Compra no grupo de opção está incorreta."
"We can't add the product to the cart because of an option validation issue.","Não podemos adicionar o produto no carrinho de compras devido a um problema de validação."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 não estende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","O formato do arquivo de opções é inválido."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","O arquivo '%1' para '%2' tem uma extensão inválida."
"The maximum allowed image size for '%1' is %2x%3 px.","O tamanho máximo permitido da imagem é '%1' é %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","O arquivo '%1' você carregou é maior do que o %2 megabytes permitidos pelo nosso servidor."
"The file '%1' is empty. Please choose another one","O arquivo '%1' está vazio. Por favor escolha outro"
"The file '%1' is invalid. Please choose another one","O arquivo '%1' é inválido. Por favor escolha outro"
"File '%1' is not an image.","Arquivo '%1' não é uma imagem."
"Validation failed. Required options were not filled or the file was not uploaded.","Falha na validação. Opções solicitadas não foram preenchidas ou o arquivo não foi carregado."
"The file you uploaded is larger than %1 Megabytes allowed by server","O arquivo que você carregou é maior do que %1 Megabytes permitidos pelo servidor"
"Option required.","Opção obrigatória."
"The file is empty. Please choose another one","O arquivo está vazio. Por favor escolha outro"
"Some of the selected item options are not currently available.","Opções de itens selecionados não estão disponíveis atualmente."
"The text is too long.","O texto é muito longo."
"Invalid attribute %fieldName = %fieldValue.","Atributo inválido %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Loja solicitada não foi encontrada. Linha ID: SKU = %SKU, loja ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","O atributo inválido custo = %cost. Linha ID: SKU = %SKU, loja ID: %storeId."
"Could not save Prices.","Não foi possível salvar os preços."
"Could not delete Prices","Não foi possível excluir preços"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Produto solicitado não existe. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Loja solicitada não foi encontrada. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo inválido %label = %priceTo. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo inválido preço = %price. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Could not save Tier Prices","Não foi possível salvar os Preços por Níveis"
"Could not replace Tier Prices","Não foi possível substituir os Preços por Níveis"
"Could not delete Tier Prices","Não foi possível excluir os Preços por Níveis"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido SKU = %SKU. Linha ID: SKU = %SKU, ID do site: % websiteId, grupo de clientes: %customerGroup, quantidade: % Qtd."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido preço = %price. Linha ID: SKU = %SKU, ID do site: % websiteId, grupo de clientes: %customerGroup, quantidade: % Qtd."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido tipo preço = %priceType. Linha ID: SKU = %SKU, ID do site: % websiteId, grupo de clientes: %customerGroup, quantidade: % Qtd."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido Quantidade = %qty. Linha ID: SKU = %SKU, ID do website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido ID do site = websiteId %. Linha ID: SKU = %SKU, ID do site: % websiteId, grupo de clientes: %customerGroup, quantidade: % Qtd."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Foi encontrado um website duplicado, preços por níveis, grupo de clientes e quantidade: Grupo de Clientes = %customerGroup, ID do Website = %websiteId, Quantidade = %qty. ID da Linha: SKU = %SKU, ID do Website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nenhuma entidade com Grupo de Clientes = %customerGroup. ID da Linha: SKU = %SKU, ID do Website: %websiteId, Grupo de Clientes = %customerGroup, Quantidade: %qty."
"This product doesn't have tier price","Este produto não tem preço"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","O produto não tem o preço de grupo com esses dados:customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Dados inválidos fornecidos para tier_price"
"Could not save group price","Não foi possível salvar o grupo de preço"
"Please provide valid data","Por favor, forneça dados válidos"
"Values of following attributes are invalid: %1","Os valores dos seguintes atributos são inválidos: %1"
"We can't create writeable directory ""%1"".","Não podemos criar o diretório gravável ""%1""."
"The file upload failed.","O carregamento do arquivo falhou."
"The product has required options.","O produto requer opções."
"Something went wrong while processing the request.","Problema ao processar a requisição/pedido."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 não se estende a \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 não se estende a \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Não Visível Individualmente"
"Search","Pesquisa"
"Catalog, Search","Catálogo, Pesquisa"
"Something went wrong while removing products from the websites.","Problema ao remover produtos dos websites."
"Something went wrong while adding products to websites.","Problema ao adicionar produtos ao website."
"Group with id ""%1"" does not exist.","Grupo com id ""%1"" não existe."
"Attribute group that contains system attributes can not be deleted","Grupo de atributo que contém atributos de sistema não pode ser excluído"
"Collection provider is not registered","Coleção fornecida não foi registrada"
"Unknown link type: %1","Tipo de link desconhecido: %1"
"Provided link type ""%1"" does not exist","Tipo de link ""%1"" fornecido não existe"
"Invalid data provided for linked products","Dados fornecidos para produtos vinculados é inválido"
"Product with SKU '%1' is not linked to product with SKU '%2'","Produto com SKU '%1' não está associado ao produto com SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produto %1 não tem %2 vinculado a %3"
"Requested product doesn't exist","Produto requisitado não existe"
"Product with SKU ""%1"" does not exist","Não existe produto com SKU ""%1"""
"Invalid product data: %1","Dados do produto inválido: %1"
"Database connection error","Erro de conexão de banco de dados"
"Database deadlock found when trying to get lock","Deadlock do banco de dados encontrado ao tentar obter o bloqueio"
"Database lock wait timeout exceeded","O tempo de espera do bloqueio do banco de dados foi excedido"
"Unable to remove product %1","Não é possível remover o produto %1"
"Requested product does not support images.","O produto selecionado não oferece suporte a imagens."
"There are not websites for assign to product","Não existem sites para atribuir ao produto"
"Could not assign product ""%1"" to websites ""%2""","Não foi possível atribuir o produto ""%1"" ao(s) site(s) ""%2"""
"Could not save product ""%1"" with websites %2","Não foi possível gravar o produto ""%1"" no(s) site(s) %2"
"We cannot determine the field name.","Não conseguimos determinar o nome do campo."
"Attribute '%1' is locked. %2","Atributo '%1' está bloqueado. %2"
"Do not change the scope. %1","Não altere o escopo. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processador %1 não implementa BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para indexação."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 não se estende \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produto com %1 SKU não está relacionado ao produto com SKU %2"
"Multiple Select","Múltipla Seleção"
"Dropdown","Menu suspenso"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 não se estende \Magento\Framework\Filter\Template"
"As low as","A partir de"
"test","teste"
"Some text is here.","Algum texto está aqui."
"Some exception","Alguma exceção"
"Could not get extension attributes","Não foi possível obter atributos de extensão"
"message","mensagem"
"fl","fl"
"Lock wait timeout","Tempo limite de espera de bloqueio"
"123","123"
"Images","Imagens"
"Select...","Selecionar..."
"Advanced Pricing","Precificação avançada"
"Customer Group Price","Cliente grupo preço"
"Customer Group","Grupo de clientes"
"Special Price From","Preço Especial de"
"To","Até"
"Done","Concluído"
"Product Alerts","Alertas de Produto"
"Alert stock","Alerta de estoque"
"Alert Stock","Alerta de estoque"
"Alert price","Alerta de preço"
"Alert Price","Aviso de Preço"
"Add Selected","Adicionar Selecionados"
"Select Attribute","Selecione Atributos"
"Create New Attribute","Criar Novo Atributo"
"Customizable Options","Opções Personalizáveis"
