"Root","Hlavný"
"Delete Selected Group","Odstrániť vybranú skupinu"
"Add New","Pridať nové"
"Back","Späť"
"Reset","Resetovať"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Chystáte sa odstrániť všetky produkty v tejto sade atribútov. Naozaj to chcete urobiť?"
"New Set Name","Názov novej sady"
"Edit Attribute Set '%1'","Upraviť sadu atribútov ""%1"""
"Empty","Prázdne"
"Add Attribute","Pridať atribút"
"Add New Group","Pridať novú skupinu"
"Add Group","Pridať skupinu"
"Edit Attribute Set Name","Upraviť názov sady atribútov"
"For internal use","Pre vnútorné použitie"
"Based On","Na základe"
"Add New Attribute Set","Pridať novú sadu atribútov"
"Add Attribute Set","Pridať sadu atribútov"
"Attribute Sets","Sada atribútov"
"Close Window","Zavrieť okno"
"New Product","Nový produkt"
"Save & Edit","Uložiť & upravovať"
"Save & New","Uložiť & Nový"
"Save & Duplicate","Uložiť & Duplikovať"
"Save & Close","Uložiť a Zavrieť"
"Attributes","Atribúty"
"Change","Zmeniť"
"Advanced Inventory","Pokročilý inventár"
"Websites","Webové stránky"
"Products Information","Informácie o produktoch"
"Create Category","Vytvoriť kategóriu"
"Category Name","Názov kategórie"
"Parent Category","Nadradená Kategória"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ak neexistujú žiadne vlastné nadradené kategórie, použite predvolenú nadradenú kategóriu. Kategóriu môžete kedykoľvek priradiť v <a href=""%1"" target=""_blank""> Produkty > Kategórie</a>."
"Price Alert Subscriptions","Price Alert Subscriptions"
"Stock Alert Subscriptions","Stock Alert Subscriptions"
"There are no customers for this alert.","Žiadny zákazník nepoužíva tento typ upozornenia."
"First Name","Meno"
"Last Name","Priezvisko"
"Email","E-mail"
"Subscribe Date","Dátum prihlásenia"
"Last Notified","Naposledy oznámené"
"Send Count","Počet odoslaní"
"New Attribute","Nový atribút"
"Type","Typ"
"Attribute Set","Sada atribútov"
"Add New Option","Pridať novú možnosť"
"Import Options","Nahrať možnosti"
"Use Default","Použiť predvolené"
"Import","Nahrať"
"Add New Row","Pridať nový riadok"
"Delete Row","Odstrániť riadok"
"Tier Pricing","Skupinová cenotvorba"
"Default Price","Predvolená cena"
"All Websites","Všetky skupiny obchodov(websites)"
"ALL GROUPS","VŠETKY SKUPINY"
"Add Price","Pridať cenu"
"Default Values","Predvolené hodnoty"
"Related Products","Podobné produkty"
"Up-sells","Hodnotnejšie produkty"
"Cross-sells","Zaujmavé produkty"
"Size for %1","Veľkosť pre %1"
"Watermark File for %1","Súbor vodoznaku pre %1"
"Position of Watermark for %1","Umiestnenie vodoznaku pre %1"
"Name in %1","Meno v %1"
"Quantity","Množstvo"
"Edit","Upraviť"
"Are you sure?","Ste si istí?"
"Change Status","Zmeniť stav"
"Update Attributes","Aktualizovať atribúty"
"start typing to search category","začnite písať pre vyhľadánie kategórie"
"New Category","Nová kategória"
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Add New Images","Pridať nové obrázky"
"Inc. Tax","Vrátane dane"
"Does this have a weight?","Má to váhu?"
"Product","Produkt"
"Notify Low Stock RSS","RSS oznamenia nízkych zásob"
"Low Stock Products","Produkty s nízkym stavom"
"%1 has reached a quantity of %2.","%1 dosiahol množstvo %2."
"Home","Domov"
"Go to Home Page","Prejdite na domovskú stránku"
"Subscribe to RSS Feed","Prihlásiť sa k RSS"
"Products Comparison List","Porovnanie produktov"
"N/A","NEDOST."
"AM","predo."
"PM","poob."
"-- Please Select --","-- Prosím vyberte --"
"None","Žiadne"
"New Products from %1","Nové produkty od %1"
"New Products","Nové produkty"
"%1 - Special Products","%1 - zlacnené produkty"
"Click for price","Pre cenu kliknite"
"Special Expires On: %1","Zľava končí v: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Cena po zľave: %1"
"Special Products","Zlacnené produkty"
"Manage Catalog Categories","Správa kategórií katalógu"
"Manage Categories","Spravovať kategórie"
"You deleted the category.","Odstránili ste kategóriu."
"Something went wrong while trying to delete the category.","Niečo pokazilo pri pokuse odstrániť kategóriu."
"Categories","Kategórie"
"Category is not available for requested store.","Kategória nie je dostupná pre požadovaný obchod."
"There was a category move error.","Nastala chyba presunu kategórie."
"You moved the category.","Premiestnili ste kategóriu."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Uložili ste kategóriu."
"Something went wrong while saving the category.","Pri ukladaní kategórie došlo k chybe."
"Please select products for attributes update.","Vyberte produkty pre aktualizáciu atribútov."
"Please make sure to define SKU values for all processed products.","Prosím, uistite sa, že ste zadali katalogové čísla pre všetky spracované produkty."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Pri aktualizácii atribútov produktu došlo k chybe."
"Unable to add attribute","Nepodarilo sa pridať atribút"
"Please, specify attributes","Please, specify attributes"
"Catalog","Katalóg"
"Manage Product Attributes","Spravovať atribúty produktu"
"We can't delete the attribute.","Atribút, sa nedá odstrániť."
"You deleted the product attribute.","Odstránili ste atribút produktu."
"We can't find an attribute to delete.","Nemôžeme nájsť atribút, ktorý chcete odstrániť."
"This attribute no longer exists.","Tento atribút sa už neexistuje."
"This attribute cannot be edited.","Tento atribút nie je možné upravovať."
"Edit Product Attribute","Upraviť atribút produktu"
"An attribute set named '%1' already exists.","Sada atribútov s názvom ""%1"" už existuje."
"Something went wrong while saving the attribute.","Pri ukladaní atribútu došlo k chybe."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Nemôže aktualizovať atribút."
"You saved the product attribute.","Uložili ste atribút produktu."
"An attribute with this code already exists.","Atribút s týmto kódom už existuje."
"An attribute with the same code (%1) already exists.","Atribút s rovnakým kódom (%1) už existuje."
"The value of Admin must be unique.","The value of Admin must be unique."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","Vytvorili ste duplikát produktu."
"This product doesn't exist.","Takýto výrobok neexistuje."
"Invalid product id. Should be numeric value greater than 0","Neplatné Id produktu. Musí byť číselná hodnota väčšia ako 0"
"Products","Produkty"
"A group with the same name already exists.","Skupina s rovnakým názvom už existuje."
"Something went wrong while saving this group.","Pri ukladaní tejto skupiny došlo k chybe."
"A total of %1 record(s) have been deleted.","Celkom %1 záznam(ov) bol(o) odstráný(ch)."
"A total of %1 record(s) have been updated.","Celkom %1 záznamov bolo aktualizovaných."
"Something went wrong while updating the product(s) status.","Pri aktualizácii stavu produktu došlo k chybe."
"Unable to save product","Unable to save product"
"You saved the product.","Uložili ste duplikát produktu."
"SKU for product %1 has been changed to %2.","Katalogové číslo, produktu %1 bolo zmenené na %2."
"The image cannot be removed as it has been assigned to the other image role","Obrázok sa nedá odstrániť, pretože je pripojeny ešte k inej úlohe obrazku"
"New Attribute Set","Nová sada atribútov"
"The attribute set has been removed.","Sada atribútov bola odstránená."
"We can't delete this set right now.","Túto sadu nieje možné zmazať práve teraz."
"New Set","Nová sada"
"Manage Product Sets","Spravovať sady produktov"
"Manage Attribute Sets","Spravovať sady atribútov"
"This attribute set no longer exists.","Táto sada atribútov už neexistuje."
"You saved the attribute set.","Uložili ste sadu atribútov."
"Something went wrong while saving the attribute set.","Pri ukladaní sady atribútov došlo k chybe."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Vymazali ste zoznam na porovnanie."
"Something went wrong  clearing the comparison list.","Došlo k chybe pri mazaní zoznamu na porovnanie."
"You removed product %1 from the comparison list.","Produkt %1 bol odobraný zo zoznamu na porovnanie."
"1 item","1 položka"
"%1 items","%1 položiek"
"Are you sure you want to remove this item from your Compare Products list?","Are you sure you want to remove this item from your Compare Products list?"
"Are you sure you want to remove all items from your Compare Products list?","Are you sure you want to remove all items from your Compare Products list?"
"Invalid attribute %1","Neplatný atribút %1"
"Grid","Mriežka"
"List","Zoznam"
"All","Všetky"
"Bad controller interface for showing product","Zlé rozhranie radiča pre zobraznie produktu"
"Product is not loaded","Produkt nie je načítaný"
"Make sure the To Date is later than or the same as the From Date.","Uistite sa, že dátum DO je neskorší alebo rovnaký ako dátum OD."
"Sorry, but we can't find the new parent category you selected.","Je nám ľúto, ale nemôžeme nájsť novú nadradenu kategóriu ktorú ste vybrali."
"Sorry, but we can't find the new category you selected.","Je nám ľúto, ale nemôžeme nájsť novú kategóriu, ktoré ste vybrali."
"We can't move the category because the parent category name matches the child category name.","Nieje možné presunúť kategóriu, pretože názov nadriadenej kategórie sa zhoduje s názvom podkategórie."
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
"Can't delete root category.","Nemôžete odstrániť základnú kategóriu."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Predefinovaný spôsob radenie vypisu produktov neexistuje v zozname dostupných spôsobov radenia vypisu produktov."
"No layout updates","Žiadne zmeny v rozložení"
"Products only","Iba produkty"
"Static block only","Len statický blok"
"Static block and products","Statický blok a produkty"
"Please select a static block.","Prosím vyberte statický blok."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Nepodarilo sa uložiť produkt ""%1"" na pozíciu %2 do kategórie %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Nepodarilo sa uložiť produkt ""%product"" na pozíciu %position do kategórie %category"
"Operation do not allow to move a parent category to any of children category","Operácia presunu nadradenej kategórie do podkategórie nieje povolená"
"Could not move category","Nebolo možné presunúť kategóriu"
"Could not save category: %1","Nebolo možné uložiť kategóriu: %1"
"Cannot delete category with id %1","Nemôžete odstrániť kategóriu s id %1"
"-- Please Select a Category --","-- Prosím vyberte kategóriu --"
"Grid Only","Len mriežku"
"List Only","Len zoznam"
"Grid (default) / List","Mriežka (predvolené) / zoznam"
"List (default) / Grid","Zoznam (default) / mriežka"
"Automatic (equalize price ranges)","Automatické (vyrovnávanie cenových rozsahov)"
"Automatic (equalize product counts)","Automaticky (vyrovnať počty produktu)"
"Manual","Ručne"
"Fixed","Pevné"
"Percent","Percentá"
"Discount","Zľava"
"-- Please select --","-- Prosím vyberte --"
"Product Thumbnail Itself","Náhľad produktu, vlastný"
"Parent Product Thumbnail","Náhľad nadradeného produktu"
"12h AM/PM","12h doob./poob."
"24h","24h"
"Stretch","Stretch"
"Tile","Tile"
"Top/Left","Hore/Vľavo"
"Top/Right","Hore/Vpravo"
"Bottom/Left","Dole/Vľavo"
"Bottom/Right","Dole/Vpravo"
"Center","Stred"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nieje rozšírením triedy \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Pri ukladaní súboru/súborov došlo k chybe."
"File can not be saved to the destination folder.","Súbor môže byť uložený do cieľového adresára."
"Unknown EAV indexer type ""%1"".","Neznámy typ EAV indexer-u ""%1""."
"We can't rebuild the index for an undefined product.","Nemožeme vygenerovať nové indexy pre neznámy produkt."
"Bad value was supplied.","Bola zadaná nesprávna hodnota."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Vygenerovaný Katalog ma limit %2$d fitrovatelných/zoraditelných atribútov. Aktuálne je použitých %1$d. Prosím doberte niektore atribúty pre použite v tomto moduli"
"Unsupported product type ""%1"".","Nepodporovaný typ produktu ""%1""."
"Please correct the category.","Opravte prosím kategóriu."
"Must be category model instance or its id.","Musí byť inštancia modelu kategórie alebo jej id."
"The attribute model is not defined.","Nie je definovaný model atribútu."
"Category","Kategória"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nieje rozšírením triedy \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nieje rozšírením triedy \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filter musí byť objekt. Nastavte správny filter."
"Clear Price","Vymazať cenu"
"%1 and above","%1 a viac"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Cena pre skupinu musí byť číslo väčšie ako 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Nie je žiaden MediaGalleryEntryConverter, pre daný typ"
"Please enter a number 0 or greater in this field.","Do tohto poľa zadajte číslo 0 alebo väčšie."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","Katalogové číslo musí mať maximálne %1 znakov."
"Please enter a valid number in this field.","Prosím v tomto poličku zadajte platné číslo."
"We found a duplicate website, tier price, customer group and quantity.","Našli sa duplicítne stránky, skupinové ceny, zákaznícké skupiny a množstvo."
"Percentage value must be a number between 0 and 100.","Percentuálna hodnota musí byť číslo medzi 0 a 100."
"Invalid option id %1","Neplatná možnosť id %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","Zadaná sada atribútov nieje sadou pre produkty."
"Use config","Použiť konfiguráciu"
"Enabled","Zapnuté"
"Disabled","Vypnuté"
"Attribute Set already exists.","Sada atribútov už existuje."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nebolo možné skopírovat súbor %1. Prosím odstráňte média s neexistujúcími obrázkami a skúste to znova."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Select type options required values rows."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Prosím uveďte požadovaný dátum."
"Please specify time required option(s).","Prosím uveďte požadovaný čas."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","Je zadaná nesprávna možnosť v skupine možností."
"The product instance type in options group is incorrect.","Je zadaný nesprávny produkt v skupine možností."
"The configuration item option instance in options group is incorrect.","Je zadaná nesprávna možnosť položky nastavenia v skupine možností."
"The configuration item instance in options group is incorrect.","Je zadaná nesprávna položka nastavenia v skupine možností."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We can't add the product to the cart because of an option validation issue.","Nebolo možné pridať produkt do košíku pretože sa vyskytli problémi pri overení nastavenia možnosti produktu."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Súbor ""%1"" pre ""%2"" má neplatnú príponu."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximálny povolený rozmer obrazu pre ""%1"" je %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Súbor '%1' ktorý ste nahrali je vačší ako %2 megabytes, čo je limit na našom servery."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","Súbor ""%1"" je neplatný. Prosím, vyberte iný,"
"File '%1' is not an image.","Súbor ""%1"" nie je obrázok."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Niektoré z vybraných možnosti položky momentálne niesu dostupné."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","Ceny sa nepodarilo uložiť."
"Could not delete Prices","Ceny sa nedá odstrániť"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","Could not save Tier Prices"
"Could not replace Tier Prices","Could not replace Tier Prices"
"Could not delete Tier Prices","Could not delete Tier Prices"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nemá zadefinovanú skupinovú cenu pre parametre: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Pri spracovaní požiadavku došlo k chybe."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Samotné nezobrazovať"
"Search","Hľadať"
"Catalog, Search","Katalóg a vyhľadávanie"
"Something went wrong while removing products from the websites.","Pri odstranení produktov zo strániek došlo k chybe."
"Something went wrong while adding products to websites.","Pri pridávaní produktov na stránky došlo k chybe."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product with SKU '%1' is not linked to product with SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produkt %1 nemá pripojené %2 ako %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Neplatné údaje produktu: %1"
"Database connection error","Chyba pripojenia k databázi"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Neexistujú žiadne stránky pre priradenie produktu"
"Could not assign product ""%1"" to websites ""%2""","Nebolo možné priradiť produkt ""%1"" k webovej stránke ""%2"""
"Could not save product ""%1"" with websites %2","Nepodarilo sa uložiť produkt ""%1"" s webovou stránkou %2"
"We cannot determine the field name.","Nemohly sme určiť názov políčka."
"Attribute '%1' is locked. %2","Atribút ""%1"" je zamknutý. %2"
"Do not change the scope. %1","Nemente objektív. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Typ výrobku nie je definovaný pre indexovanie."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkt s katalogovým číslom %1 nie je spojený produktom s katalogovým číslom %2"
"Multiple Select","Viacnásobný výber"
"Dropdown","Rozbaľovací zoznam"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nieje rozšírením triedy \Magento\Framework\Filter\Template"
"As low as","Už od"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","správa"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","Obrázky"
"Select...","Vyberte..."
"Advanced Pricing","Pokročilá cenotvorba"
"Customer Group Price","Customer Group Price"
"Customer Group","Zákaznicka skupina"
"Special Price From","Zľava od"
"To","Do"
"Done","Hotovo"
"Product Alerts","Upozornenia produktu"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Pridať vybrané"
"Select Attribute","Vyberte atribút"
"Create New Attribute","Vytvoriť nový atribút"
"Customizable Options","Prispôsobiteľné možnosti"
