"Root","Ρίζα"
"Depends on design theme.","Εξαρτάται από το σχεδιαστικό θέμα."
"Used for Sorting in Product Listing","Χρησιμοποιείται για την Ταξινόμηση στην Λίστα Προϊόντων"
"Media Image","Εικόνα Μέσων"
"Gallery","Συλλογή φωτογραφιών"
"System Properties","Ιδιότητες συστήματος"
"No","Όχι"
"Yes","Ναί"
"Data Type for Saving in Database","Ο Τύπος Δεδομένων για την Αποθήκευση στη Βάση Δεδομένων"
"Text","Κείμενο"
"Varchar","Varchar"
"Static","Στατική"
"Datetime","Ημερομηνία/ώρα"
"Decimal","Δεκαδική"
"Integer","Ακέραιος"
"Globally Editable","Καθολικά Επεξεργάσιμο"
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Properties","Ιδιότητες"
"Manage Labels","Διαχείριση ετικετών"
"Visible","Ορατό"
"Web Site","Ιστοσελίδα"
"Searchable","Αναζητήσιμο"
"Comparable","Συγκρίσιμο"
"Delete Selected Group","Διαγραφή της Επιλεγμένης Ομάδας"
"Add New","Προσθήκη Νέου"
"Back","Πίσω"
"Reset","Επαναφορά"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Πρόκειται να διαγράψετε όλα τα προϊόντα σε αυτό το σύνολο χαρακτηριστικών. Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"New Set Name","Νέο όνομα συνόλου"
"Edit Attribute Set '%1'","Επεξεργασία συνόλου χαρακτηριστικού '%1'"
"Empty","Κενό"
"Add Attribute","Προσθήκη Χαρακτηριστικού"
"Add New Group","Προσθήκη Νέας Ομάδας"
"Add Group","Προσθήκη Ομάδας"
"Edit Attribute Set Name","Επεξεργαστείτε το όνομα του χαρακτηριστικού συνόλου"
"For internal use","Για εσωτερική χρήση"
"Based On","Με βάση το"
"Add New Attribute Set","Προσθέστε νέο σύνολο χαρακτηριστικών"
"Add Attribute Set","Προσθέστε σύνολο χαρακτηριστικών"
"Attribute Sets","Σύνολα χαρακτηριστικών"
"Close Window","Κλείσιμο Παραθύρου"
"New Product","Νέο προϊόν"
"Save & Edit","Αποθήκευση & Επεξεργασία"
"Save & New","Αποθήκευση & Νέο"
"Save & Duplicate","Αποθήκευση & Κλωνοποίηση"
"Save & Close","Αποθήκευση & Κλείσιμο"
"Attributes","Χαρακτηριστικά"
"Change","Αλλαγή"
"Advanced Inventory","Προηγμένο Απόθεμα"
"Websites","Ιστοσελίδες"
"Products Information","Πληροφορίες προϊόντων"
"Create Category","Δημιουργία Κατηγορίας"
"Category Name","Όνομα Κατηγορίας"
"Parent Category","Γονική Κατηγορία"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Εάν δεν υπάρχουν προσαρμοσμένες γονικές κατηγορίες, παρακαλούμε χρησιμοποιήστε την προεπιλεγμένη κατηγορία γονέα. Να εκχωρείτε την κατηγορία ανά πάσα στιγμή σε <a href=""%1"" target=""_blank"">προϊόντα > κατηγορίες</a>."
"Price Alert Subscriptions","Συνδρομές Προειδοποίησης Τιμής"
"Stock Alert Subscriptions","Συνδρομές Προειδοποίησης Αποθεμάτων"
"There are no customers for this alert.","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση."
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Email","Email"
"Subscribe Date","Ημερομηνία Εγγραφής"
"Last Notified","Τελευταία Ειδοποίηση"
"Send Count","Στείλτε Count"
"New Attribute","Νέο Χαρακτηριστικό"
"Type","Τύπος"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Add New Option","Προσθήκη νέας επιλογής"
"Import Options","Επιλογές Εισαγωγής"
"Use Default","Χρήση Προεπιλογής"
"Import","Εισαγωγή"
"Add New Row","Προσθέσετε νέα γραμμή"
"Delete Row","Διαγραφή γραμμής"
"Tier Pricing","Κλιμακωτή Τιμολόγηση"
"Default Price","Προεπιλεγμένη Τιμή"
"All Websites","Όλες οι Ιστοσελίδες"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"Add Price","Προσθήκη τιμής"
"Default Values","Προεπιλεγμένες τιμές"
"Related Products","Σχετικά Προϊόντα"
"Up-sells","Πρόσθετες-πωλήσεις"
"Cross-sells","Διασταυρούμενες-πωλήσεις"
"Size for %1","Μέγεθος για %1"
"Watermark File for %1","Αρχείο Υδατογραφήματος για %1"
"Position of Watermark for %1","Θέση του Υδατοσήμου για %1"
"Name in %1","Όνομα σε %1"
"Quantity","Ποσότητα"
"Edit","Επεξεργασία"
"Are you sure?","Είστε σίγουροι;"
"Change Status","Αλλαγή Κατάστασης"
"Update Attributes","Ενημέρωση Χαρακτηριστικών"
"start typing to search category","ξεκινήστε να πληκτρολογείτε για αναζήτηση κατηγορίας"
"New Category","Νέα κατηγορία"
"Images (.gif, .jpg, .png)","Εικόνες (.gif, .jpg, .png)"
"Add New Images","Προσθήκη νέων εικόνων"
"Inc. Tax","Περιλ. ΦΠΑ"
"Does this have a weight?","Έχει αυτό βάρος;"
"Product","Προϊόν"
"Notify Low Stock RSS","RSS Ειδοποίηση Χαμηλού Αποθέματος"
"Low Stock Products","Προϊόντα Χαμηλού Αποθέματος"
"%1 has reached a quantity of %2.","%1 έχει φτάσει σε ποσότητα %2."
"Home","Αρχική"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Subscribe to RSS Feed","Εγγραφείτε στο RSS Feed"
"Products Comparison List","Λίστα Σύγκρισης Προϊόντων"
"N/A","Μ/Δ Μή Διαθέσιμο"
"AM","Π.Μ."
"PM","Μ.Μ."
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"None","Κανένα"
"New Products from %1","Νέα Προϊόντα από %1"
"New Products","Νέα Προϊόντα"
"%1 - Special Products","%1 - Ειδικά Προϊόντα"
"Click for price","Κάντε κλικ για την τιμή"
"Special Expires On: %1","Τα Ειδικά Λήγουν Στις: %1"
"Price: %1","Τιμή: %1"
"Special Price: %1","Ειδική Τιμή: %1"
"Special Products","Ειδικά Προϊόντα"
"Manage Catalog Categories","Διαχείριση κατηγοριών καταλόγου"
"Manage Categories","Διαχειριστείτε τις κατηγορίες"
"You deleted the category.","Διαγράψατε την κατηγορία."
"Something went wrong while trying to delete the category.","Κάτι πήγε στραβά κατά την προσπάθεια διαγραφής της κατηγορίας."
"Categories","Kατηγορίες"
"Category is not available for requested store.","Δεν υπάρχει κατηγορία για το ζητούμενο κατάστημα."
"There was a category move error.","Υπήρξε ένα λάθος στην μετακίνηση κατηγορίας."
"You moved the category.","Μετακινήσατε την κατηγορία."
"Attribute ""%1"" is required.","Το Χαρακτηριστικό ""%1"" είναι απαραίτητο."
"You saved the category.","Μετακινήσατε την κατηγορία."
"Something went wrong while saving the category.","Κάτι πήγε στραβά κατά την αποθήκευση της κατηγορίας."
"Please select products for attributes update.","Παρακαλώ επιλέξτε προϊόντα για ενημέρωση χαρακτηριστικών."
"Please make sure to define SKU values for all processed products.","Παρακαλούμε φροντίστε να καθορίσετε τιμές SKU για όλα τα μεταποιημένα προϊόντα."
"A total of %1 record(s) were updated.","Συνολικά %1 εγγραφή(ές) ενημερώθηκαν."
"Something went wrong while updating the product(s) attributes.","Κάτι πήγε στραβά κατά την ενημέρωση των χαρακτηριστικών του προϊόντος/ων."
"Unable to add attribute","Δεν είναι δυνατή η προσθήκη του χαρακτηριστικού"
"Please, specify attributes","Παρακαλώ, προσδιορίστε χαρακτηριστικά"
"Catalog","Κατάλογος"
"Manage Product Attributes","Διαχειριστείτε χαρακτηριστικά προϊόντος"
"We can't delete the attribute.","Αδύνατη η διαγραφή του χαρακτηριστικό."
"You deleted the product attribute.","Διαγράψατε το χαρακτηριστικό του προϊόντος."
"We can't find an attribute to delete.","Αδύνατη η εύρεση χαρακτηριστικού για διαγραφή."
"This attribute no longer exists.","Αυτό το χαρακτηριστικό δεν υπάρχει πλέον."
"This attribute cannot be edited.","Αυτό το χαρακτηριστικό δεν μπορεί να επεξεργαστεί."
"Edit Product Attribute","Επεξεργαστείτε το χαρακτηριστικό του προϊόντος"
"An attribute set named '%1' already exists.","Το σύνολο χαρακτηριστικών «%1» υπάρχει ήδη."
"Something went wrong while saving the attribute.","Κάτι πήγε στραβά κατά την αποθήκευση του χαρακτηριστικού."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Κωδικός Χαρακτηριστικού ""%1"" δεν είναι έγκυρος. Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z), αριθμών (0-9) ή χαρακτήρε υπογράμισης (_) σε αυτό το πεδίο, ο πρώτος χαρακτήρας πρέπει να είναι ένα γράμμα."
"We can't update the attribute.","Αδύνατη η ενημέρωση του χαρακτηριστικού."
"You saved the product attribute.","Αποθηκεύσατε το χαρακτηριστικό του προϊόντος."
"An attribute with this code already exists.","Υπάρχει ήδη ένα χαρακτηριστικό με αυτόν τον κώδικα."
"An attribute with the same code (%1) already exists.","Υπάρχει ήδη ένα χαρακτηριστικό με τον ίδιο κωδικό (%1)."
"The value of Admin must be unique.","Η τιμή του Διαχειριστή πρέπει να είναι μοναδική."
"The value of Admin scope can't be empty.","Η τιμή του πεδίου εφαρμογής του διαχειριστή δεν μπορεί να είναι κενή."
"You duplicated the product.","Κλωνοποιήσατε το προϊόν."
"This product doesn't exist.","Αυτό το προϊόν δεν υπάρχει."
"Invalid product id. Should be numeric value greater than 0","Το id προϊόντος δεν είναι έγκυρο. Θα πρέπει να είναι αριθμητική τιμή μεγαλύτερη από 0"
"Products","Προϊόντα"
"A group with the same name already exists.","Μια ομάδα με το ίδιο όνομα υπάρχει ήδη."
"Something went wrong while saving this group.","Κάτι πήγε στραβά κατά την αποθήκευση αυτής της ομάδας."
"A total of %1 record(s) have been deleted.","Συνολικά %1 εγγραφη(ές) έχουν διαγραφεί."
"A total of %1 record(s) have been updated.","Συνολικά %1 εγγραφή(ές) έχουν ενημερωθεί."
"Something went wrong while updating the product(s) status.","Κάτι πήγε στραβά κατά την ενημέρωση της κατάστασης του προϊόντος(ων)."
"Unable to save product","Δεν είναι δυνατή η αποθήκευση του προϊόντος"
"You saved the product.","Αποθηκεύσατε το προϊόν."
"SKU for product %1 has been changed to %2.","SKU για το προϊόν %1 έχει αλλάξει σε %2."
"The image cannot be removed as it has been assigned to the other image role","Η εικόνα δεν μπορεί να αφαιρεθεί καθώς έχει ανατεθεί σε ένα άλλο ρόλο εικόνας"
"New Attribute Set","Νέο Σύνολο Χαρακτηριστικού"
"The attribute set has been removed.","Έχει αφαιρεθεί το Σύνολο Χαρακτηριστικών."
"We can't delete this set right now.","Αδύνατη η διαγραφή του συνόλου αυτή τη στιγμή."
"New Set","Νέο σύνολο"
"Manage Product Sets","Διαχειριστείτε σύνολα προϊόντων"
"Manage Attribute Sets","Διαχειριστείτε τα σύνολα χαρακτηριστικών"
"This attribute set no longer exists.","Αυτό το Σύνολο Χαρακτηριστικών δεν υπάρχει πλέον."
"You saved the attribute set.","Αποθηκεύσατε το Σύνολο Χαρακτηριστικών."
"Something went wrong while saving the attribute set.","Κάτι πήγε στραβά κατά την αποθήκευση του Σύνολου Χαρακτηριστικών."
"You added product %1 to the comparison list.","Προσθέσατε το προϊόν %1 στη λίστα σύγκρισης."
"You cleared the comparison list.","Καταργήσατε τη λίστα σύγκρισης."
"Something went wrong  clearing the comparison list.","Κάτι πήγε λάθος κατά την εκκαθάριση της λίστας σύγκρισης."
"You removed product %1 from the comparison list.","Αφαιρέσατε το προϊόν %1 από τη λίστα σύγκρισης."
"1 item","1 είδος"
"%1 items","%1 είδη"
"Are you sure you want to remove this item from your Compare Products list?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε αυτό το στοιχείο από τη Λίστα Σύγκρισης Προϊόντων;"
"Are you sure you want to remove all items from your Compare Products list?","Είστε βέβαιοι ότι θέλετε να καταργήσετε όλα τα στοιχεία από τη Λίστα Σύγκρης Προϊόντων σας;"
"Invalid attribute %1","Μη έγκυρο χαρακτηριστικό %1"
"Grid","Πλέγμα"
"List","Λίστα"
"All","Όλα"
"Bad controller interface for showing product","Κακή διεπαφή ελεγκτή για προβολή προϊόντος"
"Product is not loaded","Το προϊόν δεν έχει φορτωθεί"
"Make sure the To Date is later than or the same as the From Date.","Βεβαιωθείτε ότι η Έως Ημερομηνία να είναι μεταγενέστερη ή ίδια με την Από Ημερομηνία."
"Sorry, but we can't find the new parent category you selected.","Συγγνώμη, αλλά δεν μπορούμε να βρούμε την νέα γονική κατηγορία που επιλέξατε."
"Sorry, but we can't find the new category you selected.","Συγγνώμη, αλλά δεν μπορούμε να βρούμε τη νέα κατηγορία που έχετε επιλέξει."
"We can't move the category because the parent category name matches the child category name.","Δεν μπορούμε να προχωρήσουμε στην κατηγορία επειδή το γονικό όνομα κατηγορίας ταιριάζει με το όνομα της κατηγορία παιδιού."
"Something went wrong while getting the image url.","Κάτι πήγε στραβά κατά την λήψη διεύθυνσης url εικόνας."
"Can't delete root category.","Αδύνατη η διαγραφή της κατηγορίας ρίζας."
"The value of attribute ""%1"" must be unique.","Την τιμή του χαρακτηριστικού ""%1"" πρέπει να είναι μοναδική."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Προεπιλεγμένη Ταξινόμηση κατά Λίστα Προϊόντων δεν υπάρχει στη Διαθέσιμη Ταξινόμηση κατά Λίστας Προϊόντων."
"No layout updates","Δεν υπάρχουν ενημερωμένες εκδόσεις διάταξης"
"Products only","Προϊόντα μόνο"
"Static block only","Στατικά μπλοκ μόνο"
"Static block and products","Στατικά μπλοκ και προϊόντα"
"Please select a static block.","Παρακαλώ επιλέξτε ένα στατικό μπλοκ."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Δεν μπορούσαμε να σώσουμε προϊόν ""%1"" με την θέση %2 στην κατηγορία %3"
"Category does not contain specified product","Κατηγορία δεν περιέχει καθορισμένο προϊόν"
"Could not save product ""%product"" with position %position to category %category","Δεν μπορούσαμε να σώσουμε προϊόν ""%product"" με την θέση %position στην κατηγορία %category"
"Operation do not allow to move a parent category to any of children category","Η Λειτουργία δεν επιτρέπει να μετακινήσετε μια γονική κατηγορία σε οποιοδήποτε από τις κατηγορίες παιδιά"
"Could not move category","Δεν ήταν δυνατή η μετακίνηση της κατηγορίας"
"Could not save category: %1","Δεν ήταν δυνατή η αποθήκευση της κατηγορίας: %1"
"Cannot delete category with id %1","Δεν είναι δυνατό να διαγράψετε την κατηγορία με id %1"
"-- Please Select a Category --","--Παρακαλώ Επιλέξτε μια Κατηγορία--"
"Grid Only","Μόνο πλέγμα"
"List Only","Λίστα μόνο"
"Grid (default) / List","Πλέγμα (προεπιλογή) / Λίστα"
"List (default) / Grid","Λίστα (προεπιλογή) / Πλέγμα"
"Automatic (equalize price ranges)","Αυτόματη (εξισώνει εύρη τιμών)"
"Automatic (equalize product counts)","Αυτόματη (εξισώνει καταμέτρηση τιμών)"
"Manual","Χειροκίνητα"
"Fixed","Σταθερή"
"Percent","Ποσοστό"
"Discount","Έκπτωση"
"-- Please select --","--Παρακαλώ επιλέξτε--"
"Product Thumbnail Itself","Μικρογραφία Ίδιου Προϊόντος"
"Parent Product Thumbnail","Μικρογραφία Γονικού Προϊόντος"
"12h AM/PM","12h πμ/μμ"
"24h","24ωρο"
"Stretch","Τέντωμα"
"Tile","Πλακάκι"
"Top/Left","Πάνω/Αριστερά"
"Top/Right","Πάνω/Δεξιά"
"Bottom/Left","Κάτω/Αριστερά"
"Bottom/Right","Κάτω/Δεξιά"
"Center","Κέντρο"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 δεν επεκτείνει το \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Κάτι πήγε στραβά κατά την αποθήκευση του αρχείου(ων)."
"File can not be saved to the destination folder.","Δεν μπορεί να αποθηκευτεί το αρχείο στο φάκελο προορισμού."
"Unknown EAV indexer type ""%1"".","Άγνωστος τύπος ευρετήριου EAV ""%1""."
"We can't rebuild the index for an undefined product.","Δεν είναι δυνατή η δημιουργία ξανά του ευρετηρίου για ένα προϊόν που δεν έχει οριστεί."
"Bad value was supplied.","Δόθηκε εσφαλμένη τιμή."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Η λειτουργική μονάδα Επίπεδου Καταλόγου έχει ένα όριο των %2$d φιλτραρισμένων χαρακτηριστικών ή/και δυνατότητα ταξινόμησης. Επί του παρόντος υπάρχουν %1$d από αυτούς. Ελαττώστε τον αριθμό χαρακτηριστικών που φιλτράρεται/ταξινομείται για να χρησιμοποιήσετε αυτή την ενότητα"
"Unsupported product type ""%1"".","Μη υποστηριζόμενος τύπος προϊόντος ""%1""."
"Please correct the category.","Παρακαλώ διορθώστε την κατηγορία."
"Must be category model instance or its id.","Πρέπει να είναι παρουσία μοντέλου κατηγορίας ή το id του."
"The attribute model is not defined.","Το μοντέλο χαρακτηριστικού δεν έχει οριστεί."
"Category","Κατηγορία"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 δεν βρέθηκε στους αλγορίθμους"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 δεν επεκτείνει το \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 δεν επεκτείνει το \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Το φίλτρο πρέπει να είναι ένα αντικείμενο. Ορίστε το σωστό φίλτρο."
"Clear Price","Σβήστε την Τιμή"
"%1 and above","%1 και άνω"
"The filters must be an array.","Τα φίλτρα πρέπει να είναι ένας πίνακας."
"Product was not registered","Το προϊόν δεν έχει καταχωρηθεί"
"Store was not registered","Το Κατάστημα δεν έχει καταχωρηθεί"
"Group price must be a number greater than 0.","Τιμή Ομάδας πρέπει να είναι ένας αριθμός μεγαλύτερος του 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Ο Μετατροπέας Γκαλερί Πολυμέσων θα πρέπει να είναι μια παρουσία του EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Δεν υπάρχει καμία MediaGalleryEntryConverter για τον τύπο"
"Please enter a number 0 or greater in this field.","Σε αυτό το πεδίο εισαγάγετε αριθμό 0 ή μεγαλύτερο."
"The value of attribute ""%1"" must be set","Την τιμή του χαρακτηριστικού ""%1"" πρέπει να οριστεί"
"SKU length should be %1 characters maximum.","Ο κωδικός του προϊόντος πρέπει να είναι %1 χαρακτήρες μέγιστο."
"Please enter a valid number in this field.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό σε αυτό το πεδίο."
"We found a duplicate website, tier price, customer group and quantity.","Βρήκαμε μια διπλότυπη τοποθεσία Web, τιμή βαθμίδας, ομάδα πελατών και ποσότητα."
"Percentage value must be a number between 0 and 100.","Η ποσοστιαία τιμή πρέπει να είναι ένας αριθμός μεταξύ 0 και 100."
"Invalid option id %1","Μη έγκυρη επιλογή id %1"
"Can not create attribute set based on non product attribute set.","Δεν μπορούμε να δημιουργήσουμε το σύνολο χαρακτηριστικών βάσει μη σύνολου χαρακτηριστικών προϊόντος."
"Can not create attribute set based on not existing attribute set","Δεν μπορούμε να δημιουργήσουμε το σύνολο χαρακτηριστικών βάσει μη υπάρχοντος σύνολου χαρακτηριστικών προϊόντος"
"Provided Attribute set non product Attribute set.","Το παρεχόμενο Χαρακτηριστικό θέτει ένα μη Σύνολο Χαρακτηριστικών Προϊόντος."
"Use config","Χρήση Ρυθμήσεων"
"Enabled","Ενεργό"
"Disabled","Απενεργοποιημένο"
"Attribute Set already exists.","Υπάρχει ήδη Σύνολο Χαρακτηριστικών."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Δεν είναι δυνατή η αντιγραφή του αρχείου %1. Παρακαλώ διαγράψτε τα πολυμέσα με ανύπαρκτες εικόνες και προσπαθήστε ξανά."
"The image content is not valid.","Το περιεχόμενο της εικόνας δεν είναι έγκυρο."
"Cannot save product.","Δεν μπορούμε να αποθηκεύσουμε το προϊόν."
"Failed to save new media gallery entry.","Απέτυχε η αποθήκευση σε νέα καταχώρηση γκαλερί πολυμέσων."
"There is no image with provided ID.","Δεν υπάρχει καμία εικόνα με το παρεχόμενο id."
"Such product doesn't exist","Δεν υπάρχει τέτοιο προϊόν"
"Such image doesn't exist","Δεν υπάρχει τέτοια εικόνα"
"The image does not exist.","Η εικόνα δεν υπάρχει."
"Please correct the image file type.","Παρακαλώ διορθώστε τον τύπο αρχείου της εικόνας."
"We couldn't move this file: %1.","Δεν καταφέραμε να μετακινήσουμε αυτό το αρχείο: %1."
"Can't get information about the picture: %1","Δεν είναι δυνατή η λήψη πληροφοριών σχετικά με την εικόνα: %1"
"The image could not be resized: ","Δεν ήταν δυνατή η αλλαγή μεγέθους της εικόνας: "
"Some images could not be resized. See log file for details.","Δεν ήταν δυνατή η αλλαγή μεγέθους ορισμένων εικόνων. Ανατρέξτε στο αρχείο καταγραφής για λεπτομέρειες."
"The option type to get group instance is incorrect.","Ο τύπος επιλογής για να πάρει την παρουσία ομάδας είναι εσφαλμένος."
"Select type options required values rows.","Επιλέξτε απαιτούμενες τιμές γραμμών τύπο επιλογών."
"ProductSku should be specified","Θα πρέπει να καθοριστεί Sku Προϊόντος"
"Could not remove custom option","Δεν μπορούμε να καταργήσουμε την επιλογή προσαρμοσμένου"
"Please specify date required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ες) της ημερομηνίας."
"Please specify time required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ες) της ώρας."
"Please specify product's required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ες) του προϊόντος."
"The option instance type in options group is incorrect.","Ο τύπος παρουσίας επιλογής στην ομάδα επιλογών είναι εσφαλμένος."
"The product instance type in options group is incorrect.","Ο τύπος παρουσίας προϊόντος στην ομάδα επιλογών είναι εσφαλμένος."
"The configuration item option instance in options group is incorrect.","Η παρουσία επιλογής στοιχείο ρύθμισης παραμέτρων στις επιλογές ομάδας είναι εσφαλμένη."
"The configuration item instance in options group is incorrect.","Η παρουσία στοιχείο ρύθμισης παραμέτρων στις επιλογές ομάδας είναι εσφαλμένη."
"The BuyRequest instance in options group is incorrect.","Η παρουσία ΑίτημαΠώλησης στις επιλογές ομάδας είναι εσφαλμένη."
"We can't add the product to the cart because of an option validation issue.","Δεν είναι δυνατή η προσθήκη του προϊόντος στο καλάθι εξαιτίας ενός ζητήματος επιλογής επικύρωσης."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 δεν επεκτείνει το \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Η μορφή του αρχείου επιλογών δεν είναι έγκυρη."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Το αρχείο '%1' για '%2' έχει μια μη έγκυρη επέκταση."
"The maximum allowed image size for '%1' is %2x%3 px.","Το μέγιστο επιτρεπόμενο μέγεθος εικόνας για '%1' είναι %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Το αρχείο '%1' που ανεβάσατε είναι μεγαλύτερο από %2 Μb που επιτρέπονται από το διακομιστή."
"The file '%1' is empty. Please choose another one","Το αρχείο '%1' είναι κενό. Παρακαλείστε να επιλέξετε κάποιο άλλο"
"The file '%1' is invalid. Please choose another one","Το αρχείο '%1' δεν είναι έγκυρο. Παρακαλείστε να επιλέξετε κάποιο άλλο"
"File '%1' is not an image.","Το Αρχείο «%1» δεν είναι εικόνα."
