"Root","जड़"
"Yes","हाँ"
"Data Type for Saving in Database","डेटाबेस में बचत के लिए डेटा प्रकार"
"Text","टेक्स्ट"
"Varchar","varchar"
"Static","स्थिर"
"Datetime","दिनांक समय"
"Decimal","दशमलव"
"Integer","पूर्णांक"
"Globally Editable","वैश्विक रूप से संपादन योग्य"
"Attribute Information","जानकारी दें"
"Properties","गुण"
"Manage Labels","लेबल प्रबंधित करें"
"Visible","दर्शनीय"
"Web Site","वेबसाइट"
"Searchable","खोज सकने"
"Comparable","तुलनीय"
"Delete Selected Group","चयनित समूह हटाएं"
"Add New","नया जोड़ें"
"Back","पीछे	"
"Reset","रीसेट"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","आप इस विशेषता सेट में सभी उत्पादों को हटाने वाले हैं। क्या वाकई आपकी उसे करने की इच्छा है?"
"New Set Name","नया सेट नाम"
"Edit Attribute Set '%1'","विशेषता सेट संपादित करें '%1'"
"Empty","खाली"
"Add Attribute","विशेषता जोड़ें"
"Add New Group","नया समूह जोड़ें"
"Add Group","समूह जोड़ें"
"Edit Attribute Set Name","गुण सेट नाम संपादित करें"
"For internal use","आंतरिक उपयोग के लिए"
"Based On","पर आधारित"
"Add New Attribute Set","नया विशेषता सेट जोड़ें"
"Add Attribute Set","विशेषता सेट जोड़ें"
"Attribute Sets","गुण समूह"
"Close Window","विंडो बंद करें"
"New Product","नया उत्पाद"
"Save & Edit","सहेजें और संपादित करें"
"Save & New","सहेजें और नया"
"Save & Duplicate","सहेजें और डुप्लिकेट करें"
"Save & Close","सहेजे बंद करें"
"Attributes","गुण"
"Change","परिवर्तन"
"Advanced Inventory","उन्नत इन्वेंटरी"
"Websites","वेबसाइटों"
"Products Information","उत्पाद जानकारी"
"Create Category","श्रेणी बनाएँ"
"Category Name","श्रेणी नाम"
"Parent Category","अभिभावक श्रेणी"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","यदि कोई कस्टम पैरेंट श्रेणियां नहीं हैं, तो कृपया डिफ़ॉल्ट पैरेंट श्रेणी का उपयोग करें। आप <a href=""%1"" target=""_blank""> उत्पाद> श्रेणियां </a> में किसी भी समय श्रेणी को पुन: असाइन कर सकते हैं।"
"Price Alert Subscriptions","मूल्य अलर्ट सदस्यताएँ"
"Stock Alert Subscriptions","स्टॉक अलर्ट सब्सक्रिप्शन"
"There are no customers for this alert.","इस अलर्ट के लिए कोई ग्राहक नहीं हैं।"
"First Name","प्रथम नाम"
"Last Name","अंतिम नाम"
"Email","ईमेल"
"Subscribe Date","सदस्यता लें तिथि"
"Last Notified","अंतिम अधिसूचित"
"Send Count","गणना भेजें"
"New Attribute","नई विशेषता"
"Type","प्रकार"
"Attribute Set","विशेषता सेट करें"
"Add New Option","नया विकल्प जोड़ें"
"Import Options","आयात विकल्प"
"Use Default","पूर्व निर्धारित उपयोग करें"
"Import","आयात"
"Add New Row","नई पंक्ति जोड़ें"
"Delete Row","पंक्ति को हटाएं"
"Tier Pricing","टियर प्राइसिंग"
"Default Price","डिफ़ॉल्ट मूल्य"
"All Websites","सभी वेबसाइट"
"ALL GROUPS","सभी सकल"
"Add Price","मूल्य जोड़ें"
"Default Values","डिफ़ॉल्ट मान"
"Related Products","संबंधित उत्पाद"
"Up-sells","ऊपर बेचता है"
"Cross-sells","क्रॉस-बेचता है"
"Size for %1","%1 के लिए आकार"
"Watermark File for %1","%1 के लिए वॉटरमार्क फ़ाइल"
"Position of Watermark for %1","%1 के लिए वॉटरमार्क की स्थिति"
"Name in %1","%1 में नाम"
"Quantity","मात्रा"
"Edit","संपादित करें"
"Are you sure?","क्या आपको यकीन है?"
"Change Status","अवस्था बदलो"
"Update Attributes","अद्यतन विशेषताएँ"
"start typing to search category","खोज श्रेणी में लिखना प्रारंभ करें"
"New Category","नई श्रेणी"
"Images (.gif, .jpg, .png)","छवियाँ (.gif, .jpg, .png)"
"Add New Images","नई छवियाँ जोड़ें"
"Inc. Tax","इंक टैक्स"
"Does this have a weight?","क्या इससे वजन होता है?"
"Product","उत्पाद"
"Notify Low Stock RSS","कम स्टॉक आरएसएस को सूचित करें"
"Low Stock Products","कम स्टॉक उत्पाद"
"%1 has reached a quantity of %2.","%1 %2 की मात्रा तक पहुँच गया है।"
"Home","होम"
"Go to Home Page","मुखपृष्ठ प्र जाएं"
"Subscribe to RSS Feed","आरएसएस फ़ीड की सदस्यता लें"
"Products Comparison List","उत्पाद तुलना सूची"
"N/A","एन / ए"
"AM","AM"
"PM","PM"
"-- Please Select --","-- कृपया चुने --"
"None","कोई नहीं"
"New Products from %1","%1 से नए उत्पाद"
"New Products","नये उत्पाद"
"%1 - Special Products","%1 - विशेष उत्पाद"
"Click for price","कीमत के लिए क्लिक करें"
"Special Expires On: %1","विशेष समय सीमा समाप्त:%1"
"Price: %1","मूल्य:%1"
"Special Price: %1","विशेष मूल्य: %1"
"Special Products","विशेष उत्पाद"
"Manage Catalog Categories","कैटलॉग श्रेणियाँ प्रबंधित करें"
"Manage Categories","श्रेणी व्यवस्थित करें"
"You deleted the category.","आपने श्रेणी हटा दी।"
"Something went wrong while trying to delete the category.","श्रेणी को हटाने का प्रयास करते समय कुछ गलत हो गया।"
"Categories","श्रेणियाँ"
"Category is not available for requested store.","अनुरोधित स्टोर के लिए श्रेणी उपलब्ध नहीं है।"
"There was a category move error.","एक श्रेणी चाल त्रुटि थी।"
"You moved the category.","आपने श्रेणी को स्थानांतरित कर दिया।"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","आपने श्रेणी बचाई।"
"Something went wrong while saving the category.","श्रेणी को बचाने के दौरान कुछ गलत हो गया।"
"Please select products for attributes update.","कृपया उत्पाद अपडेट के लिए उत्पादों का चयन करें।"
"Please make sure to define SKU values for all processed products.","कृपया सभी संसाधित उत्पादों के लिए SKU मानों को परिभाषित करना सुनिश्चित करें।"
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","उत्पाद को अपडेट करते समय कुछ गलत हो गया।"
"Unable to add attribute","विशेषता जोड़ने में असमर्थ"
"Please, specify attributes","Please, specify attributes"
"Catalog","सूची"
"Manage Product Attributes","उत्पाद विशेषताएँ प्रबंधित करें"
"We can't delete the attribute.","हम विशेषता को हटा नहीं सकते।"
"You deleted the product attribute.","आपने उत्पाद विशेषता को हटा दिया।"
"We can't find an attribute to delete.","हम हटाने के लिए एक विशेषता नहीं ढूँढ सकते।"
"This attribute no longer exists.","यह विशेषता अब मौजूद नहीं है।"
"This attribute cannot be edited.","इस विशेषता को संपादित नहीं किया जा सकता है।"
"Edit Product Attribute","उत्पाद गुण संपादित करें"
"An attribute set named '%1' already exists.","'%1' नामक विशेषता सेट पहले से मौजूद है ।"
"Something went wrong while saving the attribute.","विशेषता को सहेजते समय कुछ गलत हो गया।"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","हम विशेषता अद्यतन नहीं कर सकता ।"
"You saved the product attribute.","आपने उत्पाद विशेषता को सहेजा है।"
"An attribute with this code already exists.","इस कोड के साथ एक विशेषता पहले से मौजूद है।"
"An attribute with the same code (%1) already exists.","समान कोड (%1) के साथ एक विशेषता पहले से मौजूद है।"
"The value of Admin must be unique.","व्यवस्थापक का मान अद्वितीय होना चाहिए।"
"The value of Admin scope can't be empty.","व्यवस्थापक स्कोप का मान रिक्त नहीं हो सकता।"
"You duplicated the product.","आपने उत्पाद को डुप्लिकेट किया।"
"This product doesn't exist.","यह उत्पाद मौजूद नहीं है।"
"Invalid product id. Should be numeric value greater than 0","अमान्य उत्पाद आईडी। संख्यात्मक मान 0 से अधिक होना चाहिए"
"Products","उत्पादों"
"A group with the same name already exists.","समान नाम वाला एक समूह पहले से मौजूद है।"
"Something went wrong while saving this group.","इस समूह को सहेजते समय कुछ गलत हुआ।"
"A total of %1 record(s) have been deleted.","कुल %1 रिकॉर्ड हटा दिया गया है।"
"A total of %1 record(s) have been updated.","कुल %1 रिकॉर्ड अपडेट किया गया है।"
"Something went wrong while updating the product(s) status.","उत्पाद को अपडेट करते समय कुछ गड़बड़ हो गई।"
"Unable to save product","Unable to save product"
"You saved the product.","आपने उत्पाद बचा लिया।"
"SKU for product %1 has been changed to %2.","उत्पाद %1 के लिए SKU को %2 में बदल दिया गया है।"
"The image cannot be removed as it has been assigned to the other image role","छवि को हटाया नहीं जा सकता क्योंकि इसे अन्य छवि भूमिका को सौंपा गया है"
"New Attribute Set","नई विशेषता सेट"
"The attribute set has been removed.","विशेषता सेट हटा दिया गया है।"
"We can't delete this set right now.","हम अभी इस सेट को हटा नहीं सकते ।"
"New Set","नया सेट"
"Manage Product Sets","उत्पाद सेट प्रबंधित करें"
"Manage Attribute Sets","विशेषता सेट प्रबंधित करें"
"This attribute set no longer exists.","यह विशेषता सेट मौजूद नहीं है।"
"You saved the attribute set.","आपने विशेषता सेट सहेजा है।"
"Something went wrong while saving the attribute set.","विशेषता सेट को सहेजते समय कुछ गलत हो गया।"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","आपने तुलना सूची साफ़ कर दी।"
"Something went wrong  clearing the comparison list.","तुलना सूची को साफ करने में कुछ गलत हुआ।"
"You removed product %1 from the comparison list.","आपने उत्पाद सूची %1 को तुलना सूची से हटा दिया।"
"1 item","1 समान"
"%1 items","%1 आइटम"
"Are you sure you want to remove this item from your Compare Products list?","क्या आप वाकई अपनी तुलना उत्पाद सूची से इस आइटम को निकालना चाहते हैं?"
"Are you sure you want to remove all items from your Compare Products list?","क्या आप वाकई अपनी तुलना उत्पाद सूची से सभी आइटम निकालना चाहते हैं?"
"Invalid attribute %1","अमान्य विशेषता %1"
"Grid","ग्रिड"
"List","सूची"
"All","सभी"
"Bad controller interface for showing product","उत्पाद दिखाने के लिए खराब नियंत्रक इंटरफ़ेस"
"Product is not loaded","उत्पाद लोड नहीं है"
"Make sure the To Date is later than or the same as the From Date.","सुनिश्चित करें कि दिनांक से बाद की तिथि के समान या समान है।"
"Sorry, but we can't find the new parent category you selected.","क्षमा करें, लेकिन हम आपके द्वारा चयनित नई मूल श्रेणी नहीं पा सकते हैं।"
"Sorry, but we can't find the new category you selected.","क्षमा करें, लेकिन हम आपके द्वारा चयनित नई श्रेणी नहीं खोज सकते।"
"We can't move the category because the parent category name matches the child category name.","हम श्रेणी को नहीं ले जा सकते क्योंकि पैरेंट श्रेणी नाम चाइल्ड श्रेणी नाम से मेल खाता है ।"
"Something went wrong while getting the image url.","छवि url प्राप्त करते समय कुछ गलत हो गया।"
"Can't delete root category.","रूट श्रेणी नहीं हटा सकते।"
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","डिफ़ॉल्ट उत्पाद सूची क्रमबद्ध करके उपलब्ध उत्पाद सूची क्रमबद्ध करके मौजूद नहीं है।"
"No layout updates","कोई लेआउट अपडेट नहीं"
"Products only","उत्पाद केवल"
"Static block only","केवल स्टेटिक ब्लॉक"
"Static block and products","स्थैतिक ब्लॉक और उत्पादों"
"Please select a static block.","कृपया एक स्थिर ब्लॉक चुनें।"
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","उत्पाद ""%1"" को स्थिति%2 से श्रेणी%3 में सहेजा नहीं जा सका"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","उत्पाद ""%product"" को %category श्रेणी की स्थिति %position से नहीं बचा सका"
"Operation do not allow to move a parent category to any of children category","ऑपरेशन किसी भी माता-पिता की श्रेणी को बच्चों की श्रेणी में जाने की अनुमति नहीं देता है"
"Could not move category","श्रेणी नहीं ले सका"
"Could not save category: %1","श्रेणी नहीं बचा सका:%1"
"Cannot delete category with id %1","आईडी 1 के साथ श्रेणी नहीं हटा सकते"
"-- Please Select a Category --","-- कृपया एक कैटेगरी चयनित करें --"
"Grid Only","केवल ग्रिड"
"List Only","केवल सूची"
"Grid (default) / List","ग्रिड (डिफ़ॉल्ट) / सूची"
"List (default) / Grid","सूची (डिफ़ॉल्ट) / ग्रिड"
"Automatic (equalize price ranges)","स्वचालित (मूल्य सीमा बराबर करें)"
"Automatic (equalize product counts)","स्वचालित (उत्पाद की संख्या बराबर करें)"
"Manual","गाइड"
"Fixed","स्थिर"
"Percent","प्रतिशत"
"Discount","छूट"
"-- Please select --","-- कृपया चुने --"
"Product Thumbnail Itself","उत्पाद थंबनेल खुद को"
"Parent Product Thumbnail","मूल उत्पाद थंबनेल"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","खिंचाव"
"Tile","टाइल"
"Top/Left","बाएं से बाएं"
"Top/Right","ठीक तरह से ऊपर"
"Bottom/Left","नीचे बाएँ"
"Bottom/Right","नीचे दाएं"
"Center","केंद्र"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 \Magento\Framework\Model\AbstractModel का विस्तार नहीं करता है"
"Something went wrong while saving the file(s).","फ़ाइल सहेजते समय कुछ गड़बड़ हो गई।"
"File can not be saved to the destination folder.","फ़ाइल को गंतव्य फ़ोल्डर में सहेजा नहीं जा सकता।"
"Unknown EAV indexer type ""%1"".","अज्ञात EAV अनुक्रमणिका प्रकार ""%1""।"
"We can't rebuild the index for an undefined product.","हम किसी अपरिभाषित उत्पाद के लिए अनुक्रमणिका का पुन: निर्माण नहीं कर सकते ।"
"Bad value was supplied.","खराब मूल्य की आपूर्ति की गई थी।"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","फ्लैट कैटलॉग मॉड्यूल में %2$d फ़िल्टर करने योग्य और / या सॉर्ट करने योग्य विशेषताओं की सीमा होती है। धीरे-धीरे उनमें %1$d होते हैं। कृपया इस मॉड्यूल का उपयोग करने के लिए फ़िल्टर करने योग्य / सॉर्ट करने योग्य विशेषताओं की संख्या कम करें"
"Unsupported product type ""%1"".","असमर्थित उत्पाद प्रकार ""%1""।"
"Please correct the category.","कृपया श्रेणी को सही करें।"
"Must be category model instance or its id.","श्रेणी मॉडल उदाहरण या इसकी आईडी होनी चाहिए।"
"The attribute model is not defined.","विशेषता मॉडल परिभाषित नहीं है।"
"Category","वर्ग"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 का विस्तार नहीं करता \magento\catalog\model\layer\filter\\"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 \Magento\Catalog\Model\Layer\Filter\AbstractFilter का विस्तार नहीं करता है"
"The filter must be an object. Please set the correct filter.","फ़िल्टर एक ऑब्जेक्ट होना चाहिए। कृपया सही फ़िल्टर सेट करें।"
"Clear Price","स्पष्ट मूल्य"
"%1 and above","%1 और ऊपर"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","समूह मूल्य 0 से अधिक होना चाहिए।"
"Media Gallery converter should be an instance of EntryConverterInterface.","मीडिया गैलरी कनवर्टर EntryConverterInterface का एक उदाहरण होना चाहिए।"
"There is no MediaGalleryEntryConverter for given type","दिए गए प्रकार के लिए कोई MediaGalleryEntryConverter नहीं है"
"Please enter a number 0 or greater in this field.","कृपया इस क्षेत्र में 0 या अधिक संख्या दर्ज करें।"
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU की लंबाई अधिकतम %1 होनी चाहिए।"
"Please enter a valid number in this field.","कृपया इस क्षेत्र में एक मान्य संख्या दर्ज करें।"
"We found a duplicate website, tier price, customer group and quantity.","हमें एक डुप्लिकेट वेबसाइट, स्तरीय मूल्य, ग्राहक समूह और मात्रा मिली।"
"Percentage value must be a number between 0 and 100.","प्रतिशत मान 0 और 100 के बीच की संख्या होना चाहिए।"
"Invalid option id %1","अमान्य विकल्प आईडी %1"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","बशर्ते एट्रीब्यूट सेट नॉन प्रोडक्ट एट्रीब्यूट सेट।"
"Use config","विन्यास का प्रयोग करें"
"Enabled","सक्षम"
"Disabled","अक्षम"
"Attribute Set already exists.","विशेषता सेट पहले से मौजूद है।"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","%1 फ़ाइल की प्रतिलिपि करने में विफल रहा। कृपया, गैर-मौजूदा छवियों के साथ मीडिया को हटाएँ और पुन: प्रयास करें।"
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Can't get information about the picture: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","समूह प्रकार प्राप्त करने का विकल्प प्रकार गलत है।"
"Select type options required values rows.","प्रकार के विकल्प आवश्यक मान पंक्तियों का चयन करें।"
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","कृपया दिनांक आवश्यक विकल्प निर्दिष्ट करें।"
"Please specify time required option(s).","कृपया समय के लिए आवश्यक विकल्प निर्दिष्ट करें।"
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","विकल्प समूह में विकल्प आवृत्ति प्रकार गलत है।"
"The product instance type in options group is incorrect.","विकल्प समूह में उत्पाद उदाहरण प्रकार गलत है।"
"The configuration item option instance in options group is incorrect.","विकल्प समूह में कॉन्फ़िगरेशन आइटम विकल्प आवृत्ति गलत है।"
"The configuration item instance in options group is incorrect.","विकल्प समूह में कॉन्फ़िगरेशन आइटम आवृत्ति गलत है।"
"The BuyRequest instance in options group is incorrect.","विकल्प समूह में BuyRequest उदाहरण गलत है।"
"We can't add the product to the cart because of an option validation issue.","हम एक विकल्प मान्यता समस्या के कारण cart करने के लिए उत्पाद नहीं जोड़ सकते ।"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 \Magento\Catalog\Model\Product\Option\Type\DefaultType का विस्तार नहीं करता है"
"The file options format is not valid.","The file options format is not valid."
"px.","पिक्सल।"
"The file '%1' for '%2' has an invalid extension.","'%2' के लिए फ़ाइल '%1' में एक अमान्य एक्सटेंशन है।"
"The maximum allowed image size for '%1' is %2x%3 px.","'%1' के लिए अधिकतम अनुमत छवि आकार %2x%3 px है।"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","आपके द्वारा अपलोड की गई फ़ाइल '%1' हमारे सर्वर द्वारा अनुमत %2 मेगाबाइट से बड़ी है।"
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","फ़ाइल '%1' अमान्य है। कृपया कोई और चुनें"
"File '%1' is not an image.","फ़ाइल '%1' एक छवि नहीं है।"
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","चयनित आइटम विकल्पों में से कुछ वर्तमान में उपलब्ध नहीं हैं।"
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","अमान्य विशेषता %fieldName =%fieldValue।"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","अनुरोधित स्टोर नहीं मिला है। पंक्ति आईडी: SKU =%SKU, स्टोर आईडी:%storeId।"
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","अमान्य विशेषता लागत =%cost। पंक्ति आईडी: SKU =%SKU, स्टोर आईडी:%storeId।"
"Could not save Prices.","मूल्य नहीं बचा सके।"
"Could not delete Prices","कीमतें नहीं हटा सका"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","अनुरोधित स्टोर नहीं मिला है। पंक्ति ID: SKU =%SKU, स्टोर ID:%storeId, मूल्य से:%priceFrom, मूल्य से:%priceTo।"
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","अमान्य विशेषता %label =%priceTo। पंक्ति ID: SKU = %SKU, स्टोर ID:%storeId, मूल्य से:%priceFrom, मूल्य से:%priceTo ।"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","अमान्य विशेषता मूल्य =%price। पंक्ति ID: SKU =%SKU, स्टोर ID:%storeId, मूल्य से:%priceFrom, मूल्य से:%priceTo।"
"Could not save Tier Prices","टियर की कीमतों को नहीं बचा सका"
"Could not replace Tier Prices","टियर प्राइस को प्रतिस्थापित नहीं किया जा सका"
"Could not delete Tier Prices","टियर प्राइस नहीं हटा सके"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","अमान्य विशेषता SKU =%SKU। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","अमान्य विशेषता मूल्य =%price। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","अमान्य विशेषता मूल्य प्रकार =%priceType। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","अमान्य विशेषता मात्रा =%qty। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","अमान्य विशेषता वेबसाइट ID =%websiteId। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","हमें एक डुप्लिकेट वेबसाइट, टियर प्राइस, ग्राहक समूह और मात्रा मिली: ग्राहक समूह =%customerGroup, वेबसाइट आईडी =%websiteId, मात्रा =%qty पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteID, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
