"Root","Корень"
"Add New Option","Добавить новую опцию"
"Import Options","Параметры импорта"
"Use Default","Использовать значение по умолчанию"
"Import","Импорт"
"Add New Row","Добавить новую строку"
"Delete Row","Удалить строку"
"Tier Pricing","Уровень цен"
"Default Price","Цена по умолчанию"
"All Websites","Все веб-сайты"
"ALL GROUPS","ВСЕ ГРУППЫ"
"Add Price","Добавить цену"
"Default Values","Значения по умолчанию"
"Related Products","Сопутствующие товары"
"Up-sells","Похожие товары"
"Cross-sells","Перекрёстные продажи"
"Size for %1","Размер для %1"
"Watermark File for %1","Подложка файла для %1"
"Position of Watermark for %1","Позиция водяного знака для %1"
"Name in %1","Имя в %1"
"Quantity","Количество"
"Edit","Редактировать"
"Are you sure?","Вы уверены?"
"Change Status","Изменить статус"
"Update Attributes","Обновить атрибуты"
"start typing to search category","начните ввод для поиска категории"
"New Category","Новая категория"
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Add New Images","Добавить новые изображения"
"Inc. Tax","Включая налог"
"Does this have a weight?","Это имеет вес?"
"Product","Товар"
"Notify Low Stock RSS","Уведомлять о низких запасах RSS"
"Low Stock Products","Продукты с низким запасом"
"%1 has reached a quantity of %2.","%1достигло количества %2."
"Home","Главная"
"Go to Home Page","Перейти на главную страницу"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Products Comparison List","Список сравнения продуктов"
"N/A","Н/Д"
"AM","Утра"
"PM","Вечер"
"-- Please Select --","-- Выберите --"
"None","Нет"
"New Products from %1","Новые товары от %1"
"New Products","Новые товары"
"%1 - Special Products","%1 - Специальные товары"
"Click for price","Нажмите чтобы узнать цену"
"Special Expires On: %1","Особенность истекает: %1"
"Price: %1","Цена: %1"
"Special Price: %1","Специальная цена: %1"
"Special Products","Специальные продукты"
"Manage Catalog Categories","Управление категориями"
"Manage Categories","Управление категориями"
"You deleted the category.","Вы удалили категорию."
"Something went wrong while trying to delete the category.","Что-то пошло не так при попытке удалить категорию."
"Categories","Категории"
"Category is not available for requested store.","Категория недоступна для запрашиваемого магазина."
"There was a category move error.","Там была ошибка перемещения категории."
"You moved the category.","Вы переместили категорию."
"Attribute ""%1"" is required.","Атрибут ""%1"" является обязательным."
"You saved the category.","Вы сохранили категорию."
"Something went wrong while saving the category.","Что-то пошло не так при сохранении категории."
"Please select products for attributes update.","Пожалуйста, выберите продукты для обновления атрибутов."
"Please make sure to define SKU values for all processed products.","Пожалуйста убедитесь, в определении значения SKU для всех обработанных продуктов."
"A total of %1 record(s) were updated.","В общей сложности обновлено %1 записи(ей)."
"Something went wrong while updating the product(s) attributes.","Что-то пошло не так при обновлении атрибутов товара(ов)."
"Unable to add attribute","Не удается добавить атрибут"
"Please, specify attributes","Пожалуйста, укажите атрибуты"
"Catalog","Каталог"
"Manage Product Attributes","Управление атрибутами товара"
"We can't delete the attribute.","Мы не можем удалить атрибут."
"You deleted the product attribute.","Вы удалили атрибут продукта."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","Этот атрибут больше не существует."
"This attribute cannot be edited.","Этот атрибут нельзя редактировать."
"Edit Product Attribute","Редактировать атрибут товара"
"An attribute set named '%1' already exists.","An attribute set named '%1' already exists."
"Something went wrong while saving the attribute.","При сохранении атрибута что-то пошло не так."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута ""%1"" не действителен. Используйте только буквы (a-z), цифры (0-9) или подчеркивание (_) в этом поле, первый символ должен быть буквой."
"We can't update the attribute.","We can't update the attribute."
"You saved the product attribute.","Вы сохранили атрибут продукта."
"An attribute with this code already exists.","Атрибут с этим кодом уже существует."
"An attribute with the same code (%1) already exists.","Атрибут с тем же кодом (%1) уже существует."
"The value of Admin must be unique.","Значение Admin должно быть уникальным."
"The value of Admin scope can't be empty.","Значение параметра Admin scope не может быть пустым."
"You duplicated the product.","Вы продублировали продукт."
"This product doesn't exist.","Этот продукт не существует."
"Invalid product id. Should be numeric value greater than 0","Недействительный id продукта. Должно быть числовое значение больше 0"
"Products","Товары"
"A group with the same name already exists.","Группа с таким именем уже существует."
"Something went wrong while saving this group.","При сохранении этой группы что-то пошло не так."
"A total of %1 record(s) have been deleted.","В общей сложности %1 записи(ей) были удалены."
"A total of %1 record(s) have been updated.","Обновлено в общей сложности %1 записи(ей)."
"Something went wrong while updating the product(s) status.","Что-то пошло не так во время обновления статуса товар(ов)."
"Unable to save product","Не удается сохранить товар"
"You saved the product.","Вы сохранили товар."
"SKU for product %1 has been changed to %2.","Артикул для товара %1 был изменен на %2."
"The image cannot be removed as it has been assigned to the other image role","Изображение не может быть удалено, поскольку оно было присвоено другой роли изображения"
"New Attribute Set","Новый набор атрибутов"
"The attribute set has been removed.","Набор атрибутов удален."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","Новый набор"
"Manage Product Sets","Управление наборами продуктов"
"Manage Attribute Sets","Управление наборами атрибутов"
"This attribute set no longer exists.","Этот атрибут больше не существует."
"You saved the attribute set.","Вы сохранили набор атрибутов."
"Something went wrong while saving the attribute set.","При сохранении набора атрибутов что-то пошло не так."
"You added product %1 to the comparison list.","Вы добавили товар %1 в список сравнения."
"You cleared the comparison list.","Вы очистили список сравнения."
"Something went wrong  clearing the comparison list.","Что-то пошло неправильно, очистив список сравнения."
"You removed product %1 from the comparison list.","Вы удалили продукт %1 из списка сравнения."
"1 item","1 товар"
"%1 items","%1товары"
"Are you sure you want to remove this item from your Compare Products list?","Вы действительно хотите удалить этот товар из списка ""Сравнить товары""?"
"Are you sure you want to remove all items from your Compare Products list?","Вы действительно хотите удалить все товары из списка ""Сравнение товаров""?"
"Invalid attribute %1","Недействительный атрибут %1"
"Grid","Сетка"
"List","Список"
"All","Все"
"Bad controller interface for showing product","Плохой интерфейс контроллера для демонстрации продукта"
"Product is not loaded","Товар не загружен"
"Make sure the To Date is later than or the same as the From Date.","Убедитесь, что конец периода не находится ранее его начала."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","Что-то пошло не так, при получении адреса изображения url."
"Can't delete root category.","Невозможно удалить корневую категорию."
"The value of attribute ""%1"" must be unique.","Значение атрибута ""%1"" должно быть уникальным."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Сортировка по умолчанию не приминима для данного продукта, сортировать по."
"No layout updates","Нет обновлений расположения"
"Products only","Только товары"
"Static block only","Только статический блок"
"Static block and products","Статический блок и товары"
"Please select a static block.","Пожалуйста, выберите статический блок."
"frontend_label","внешнийинтерфейс_метка"
"Could not save product ""%1"" with position %2 to category %3","Не удалось сохранить продукт «%1» с позицией %2 категории %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Не удалось сохранить продукт ""%product"" с позицией %p категории %c"
"Operation do not allow to move a parent category to any of children category","Нельзя перенести родительскую категорию внутрь одного из её потомков"
"Could not move category","Не удалось переместить категорию"
"Could not save category: %1","Не удалось сохранить категорию. Ошибка: %1"
"Cannot delete category with id %1","Не удается удалить категорию с id %1"
"-- Please Select a Category --","-- Выберите категорию --"
"Grid Only","Только сетка"
"List Only","Только список"
"Grid (default) / List","Сетка (по умолчанию) / Список"
"List (default) / Grid","Список (по умолчанию) / Сетка"
"Automatic (equalize price ranges)","Автоматически (уравнять ценовые диапазоны)"
"Automatic (equalize product counts)","Автоматически (уравнять количество продукта)"
"Manual","Вручную"
"Fixed","Исправлено"
"Percent","Процент"
"Discount","Скидка"
"-- Please select --","-- Выберите --"
"Product Thumbnail Itself","Миниатюра продукта"
"Parent Product Thumbnail","Эскиз родительского продукта"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Растянуть"
"Tile","Плитка"
"Top/Left","Сверху/Слева"
"Top/Right","Сверху/Справа"
"Bottom/Left","Внизу/Слева"
"Bottom/Right","Снизу/Справа"
"Center","По центру"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 не расширяет \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"File can not be saved to the destination folder.","Файл не может быть сохранен в папку назначения."
"Unknown EAV indexer type ""%1"".","Неизвестный EAV индексатор типа «%1»."
"We can't rebuild the index for an undefined product.","Мы не можем перестроить индекс для неопределенного продукта."
"Bad value was supplied.","Было введено недопустимое значение."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модуль простой каталог имеет ограничение в %2$d атрибутов фильтра и/или сортировки. Сейчас указано %1$d из них. Уменьшите количество атрибутов фильтра/сортировки, чтобы использовать этот модуль"
"Unsupported product type ""%1"".","Неподдерживаемый продукта типа «%1»."
"Please correct the category.","Пожалуйста, исправьте категорию."
"Must be category model instance or its id.","Должна быть категория модели пример или ее Id."
"The attribute model is not defined.","Признак модели не определен."
"Category","Категория"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Фильтр должен быть объектом. Пожалуйста, установите правильный фильтр."
"Clear Price","Четкая цена"
"%1 and above","%1 и выше"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","Общая сумма должна быть числом больше нуля."
"Media Gallery converter should be an instance of EntryConverterInterface.","Конвертер медиа-галереи должен быть экземпляром интерфейса конвертера ввода."
"There is no MediaGalleryEntryConverter for given type","Нет конвертера записи медиа-галереи для данного типа"
"Please enter a number 0 or greater in this field.","Пожалуйста, введите число 0 или больше в это поле."
"The value of attribute ""%1"" must be set","Значение атрибута ""%1"" должно быть установлено"
"SKU length should be %1 characters maximum.","Длина единицы хранения должна составлять не более %1 символов."
"Please enter a valid number in this field.","Пожалуйста введите правильный номер в это поле."
"We found a duplicate website, tier price, customer group and quantity.","Мы нашли дубликат веб-сайт, уровня цен, группу клиентов и количество."
"Percentage value must be a number between 0 and 100.","Процентное значение должно быть числом между 0 и 100."
"Invalid option id %1","Недействительный параметр id %1"
"Can not create attribute set based on non product attribute set.","Невозможно создать набор атрибутов, основанный на наборе атрибутов без продукта."
"Can not create attribute set based on not existing attribute set","Невозможно создать набор атрибутов, основанный на не существующем наборе атрибутов"
"Provided Attribute set non product Attribute set.","Предоставленный набор атрибутов является набором атрибутов без товаров."
"Use config","Использование конфигурации"
"Enabled","Включено"
"Disabled","Отключено"
"Attribute Set already exists.","Набор атрибутов уже существует."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","Изображение не является доступным."
"Cannot save product.","Не удается сохранить товар."
"Failed to save new media gallery entry.","Не удалось сохранить запись в новой галерее."
"There is no image with provided ID.","Нет изображения с предоставленным ID."
"Such product doesn't exist","Этот продукт не существует"
"Such image doesn't exist","Такое изображение не существует"
"The image does not exist.","Изображение не существует."
"Please correct the image file type.","Пожалуйста, исправьте тип файла изображения."
"We couldn't move this file: %1.","Мы не смогли переместить этот файл: %1."
"Can't get information about the picture: %1","Не удается получить информацию об изображении: %1"
"The image could not be resized: ","Изображение не может быть изменен: "
"Some images could not be resized. See log file for details.","Некоторые изображения могут не изменяться. Просмотрите файл журнала для деталей."
"The option type to get group instance is incorrect.","Неверный тип параметра для получения экземпляра группы."
"Select type options required values rows.","Выберите тип параметров требуемые значениями строк."
"ProductSku should be specified","Следует указать ProductSku"
"Could not remove custom option","Не удалось удалить пользовательский параметр"
"Please specify date required option(s).","Пожалуйста, укажите нужный вариант(ы) параметра."
"Please specify time required option(s).","Пожалуйста, укажите время варианта(ов)."
"Please specify product's required option(s).","Пожалуйста, укажите нужный вариант (ы) продукта."
"The option instance type in options group is incorrect.","Тип экземпляра опции в группе параметров неверен."
"The product instance type in options group is incorrect.","Тип экземпляра продукта в группе параметров неверен."
"The configuration item option instance in options group is incorrect.","Неверный экземпляр опции элемента конфигурации в группе параметров."
"The configuration item instance in options group is incorrect.","Экземпляр элемента конфигурации в группе параметров неверен."
"The BuyRequest instance in options group is incorrect.","Экземпляр BuyRequest в группе параметров неверен."
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the cart because of an option validation issue."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Формат файлов недействителен."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","Файл ""%1"" для ""%2"" имеет недопустимое расширение."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимально допустимый размер изображения для ""%1"" равен %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Загруженный файл ""%1"" больше, чем %2 мегабайт, разрешен нашим сервером."
"The file '%1' is empty. Please choose another one","Файл '%1' пустой. Пожалуйста, выберите другой"
"The file '%1' is invalid. Please choose another one","Файл ""%1"" недействителен. Пожалуйста, выберите другой"
"File '%1' is not an image.","Файл '%1' не является изображением."
"Validation failed. Required options were not filled or the file was not uploaded.","Проверка не удалась. Обязательные параметры не были заполнены или файл не был загружен."
"The file you uploaded is larger than %1 Megabytes allowed by server","Загруженный файл превышает %1 мегабайт, разрешенный сервером"
"Option required.","Требуется опция."
"The file is empty. Please choose another one","Файл пустой. Пожалуйста, выберите другой"
"Some of the selected item options are not currently available.","Некоторые из выбранных опций в настоящее время недоступны."
"The text is too long.","Текст слишком длинный."
"Invalid attribute %fieldName = %fieldValue.","Недопустимый атрибут %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Запрошенное хранилище не найдено. Id строки: SKU = %SKU, Id магазина: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Недопустимый атрибут стоимости = %cost. ID строки: SKU = %Sку, ID хранилища: %storeId."
"Could not save Prices.","Не удалось сохранить цены."
"Could not delete Prices","Не удалось удалить цены"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Запрошенное хранилище не найдено. ID строки: SKU = %SKU, ID хранилища: %storeId, Цена от: %priceFrom, Цена до:%priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Недопустимый признак %label = %priceTo. ID строки: SKU = %Sку, ID хранилища:%storeId, Цена от: %priceFrom, Цена до: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Недопустимый признак Цена = %price. ID строки: SKU = %Sку, ID хранилища: %storeId, Цена от: %priceFrom, Цена до: %priceTo."
"Could not save Tier Prices","Не удалось сохранить ряд цен"
"Could not replace Tier Prices","Не удалось заменить ряд цен"
"Could not delete Tier Prices","Не удалось удалить ряд цен"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недопустимый атрибут SKU = %SKU. ID строки: SKU = %Sку, ID сайта: % websiteId, группа клиентов: %customerGroup, количество: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недопустимый атрибут Цена = %pрис. ID строки: SKU = %Sку, ID сайта: %websiteId, группа клиентов: %customerGroup, количество: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недопустимый атрибут Тип Цены = %priceType. ID строки: SKU = %SKU, ID сайта: %websiteId, группа клиентов: %customerGroup, количество: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недопустимый атрибут Колличество = %qрис. ID строки: SKU =%SKU, ID сайта: %websiteId, группа клиентов: %customerGroup, количество: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Недопустимый атрибут ID Вебсайта = %websiteId. ID строки: SKU = %SKU, ID сайта: %websiteId, группа клиентов: %customerGroup, количество: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Мы нашли дубликат веб-сайта, уровня цен, группы клиентов и количества: группа клиентов = %customerGroup, веб-сайт ID = %websiteId, количество = %qty. ID строки: SKU = %SKU, ID сайта: %websiteId, группа клиентов: %customerGroup, количество: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Нет такого субъекта с группой клиентов = %customerGroup. Идентификатор строки: SKU = %Sку, идентификатор сайта: % websiteId, группа клиентов: %customerGroup, количество: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Не удалось сохранить групповую цену"
"Please provide valid data","Пожалуйста, предоставьте действительные данные"
"Values of following attributes are invalid: %1","Недействительный значения следующих атрибутов: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","Не удалось загрузить файл."
"The product has required options.","Товар имеет необходимые параметры."
"Something went wrong while processing the request.","Во время обработки запроса что-то пошло не так."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Не видим по отдельности"
"Search","Поиск"
"Catalog, Search","Каталог, Поиск"
"Something went wrong while removing products from the websites.","При удалении товаров с веб-сайтов что-то пошло не так."
"Something went wrong while adding products to websites.","При добавлении товаров на веб-сайты что-то пошло не так."
"Group with id ""%1"" does not exist.","Группа с идентификатором ""%1"" не существует."
"Attribute group that contains system attributes can not be deleted","Группа атрибутов, которая содержит системные атрибуты, не может быть удалена"
"Collection provider is not registered","Поставщик коллекции не зарегистрирован"
"Unknown link type: %1","Неизвестный тип ссылки: %1"
"Provided link type ""%1"" does not exist","Предоставленный тип ссылки ""%1"" не существует"
"Invalid data provided for linked products","Недействительные данные для связанных товаров"
"Product with SKU '%1' is not linked to product with SKU '%2'","Продукт с SKU «%1» не связан с продуктом с SKU «%2»"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Недопустимые данные: %1"
"Database connection error","Ошибка соединения с базой данных"
"Database deadlock found when trying to get lock","Обнаружена блокировки базы данных при попытке получить соединение"
"Database lock wait timeout exceeded","Превышен срок ожидания блокировки базы данных"
"Unable to remove product %1","Не удается удалить товар %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Есть не сайты для назначить продукта"
"Could not assign product ""%1"" to websites ""%2""","Не может назначить веб-сайты «%2» продукт «%1»"
"Could not save product ""%1"" with websites %2","Не удалось сохранить продукт «%1» с веб-сайтов %2"
"We cannot determine the field name.","Мы не можем определить имя поля."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","Не изменять область. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Процессор %1 не реализует BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Тип продукта не определен для индексатора."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Продукт с SKU %1 не связан с продуктом с SKU %2"
"Multiple Select","Множественный выбор"
"Dropdown","Выпадающий список"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","Так же низко как"
"test","тест"
"Some text is here.","Здесь некоторый текст."
"Some exception","Некоторые исключения"
"Could not get extension attributes","Не удается получить атрибуты расширения"
"message","сообщение"
"fl","fl"
"Lock wait timeout","Таймаут ожидания блокировки"
"123","123"
"Images","Изображения"
"Select...","Выберите..."
"Advanced Pricing","Расширенные цены"
"Customer Group Price","Цена на групповых клиентов"
"Customer Group","Группы клиентов"
"Special Price From","Специальная цена от"
"To","До"
"Done","Выполнено"
"Product Alerts","Оповещения о продукте"
"Alert stock","Оповещения о наличии"
"Alert Stock","Оповещения о наличии"
"Alert price","Оповещения Цена"
"Alert Price","Предупредить Цена"
"Add Selected","Добавить выбранное"
"Select Attribute","Выберите атрибут"
"Create New Attribute","Создать новый атрибут"
"Customizable Options","Настраиваемые параметры"
"Custom options let customers choose the product variations they want.","Пользовательские параметры позволяют клиентам выбирать желаемые варианты продуктов."
"Add Option","Добавить параметр"
"New Option","Новый параметр"
"Select Product","Выберите продукт"
"Option Title","Название параметра"
"Add Value","Добавить значение"
"Title","Заголовок"
"Option Type","Тип опции"
"Required","Необходимо"
"Price Type","Тип цены"
"Max Characters","Макс. количество символов"
"Compatible File Extensions","Совместимые расширения файлов"
"Enter separated extensions, like: png, jpg, gif.","Введите отдельные расширения, как: png, jpg, gif."
"Maximum Image Size","Максимальный размер изображения"
"Please leave blank if it is not an image.","Пожалуйста, оставьте пустым, если это не изображение."
"%1","%1"
"This item has weight","Этот предмет имеет вес"
"This item has no weight","Этот элемент имеет никакого веса"
"Set Product as New From","Установите продукт как новый"
