"Tax Rate Information","કર દરની માહિતી"
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ફીલ્ડ માટે ""%value"" નું અમાન્ય મૂલ્ય પ્રદાન કર્યું છે."
"This class no longer exists.","આ વર્ગ હવે અસ્તિત્વમાં નથી."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","તમે આ કર વર્ગને કાઢી શકતા નથી કારણ કે તેનો ઉપયોગ કર નિયમોમાં થાય છે. તમારે જે નિયમો પહેલા ઉપયોગમાં લેવાય છે તે કાઢી નાખવા પડશે."
"You cannot delete this tax class because it is used in existing %1(s).","તમે આ કર વર્ગને કાઢી શકતા નથી કારણ કે તેનો ઉપયોગ હાલના %1 (ઓ) માં થાય છે."
"Custom price if available","જો ઉપલબ્ધ હોય તો કસ્ટમ કિંમત"
"Original price only","મૂળ કિંમત જ"
"Shipping Address","પહોંચાડવાનું સરનામું"
"Billing Address","બિલિંગ સરનામું"
"Shipping Origin","શીપીંગ મૂળ"
"No (price without tax)","ના (કર વગરનો ભાવ)"
"Yes (only price with tax)","હા (કર સાથેની માત્ર કિંમત)"
"Both (without and with tax)","બંને (કર વગર અને સાથે)"
"Invalid attribute %1","અમાન્ય લક્ષણ %1"
"Code","કોડ"
"Invalid type supplied","અમાન્ય પ્રકાર પૂરો પાડ્યો"
"Class name and class type","વર્ગ નામ અને વર્ગ પ્રકાર"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue સાથેની આવી કોઈ એન્ટિટી નથી"
"Grand Total (Excl. Tax)","ભવ્ય કુલ (એક્સ્ક્લે. ટેક્સ)"
"Grand Total (Incl. Tax)","ભવ્ય કુલ (સમાવેશ કર)"
"Shipping (Excl. Tax)","શિપિંગ (એક્સ્ક્લે. ટેક્સ)"
"Shipping (Incl. Tax)","શિપિંગ (ટેક્સ સહિત)"
"Subtotal (Excl. Tax)","પેટાસરવાળો (એક્સ્ક્લે. ટેક્સ)"
"Subtotal (Incl. Tax)","પેટાસરવાળો (કર સહિત)"
"Subtotal","પેટાસરવાળો"
"Unit Price","એકમ ભાવ"
"Row Total","કુલ પંક્તિ"
"Total","કુલ"
"Before Discount","ડિસ્કાઉન્ટ પહેલાં"
"After Discount","ડિસ્કાઉન્ટ પછી"
"Excluding Tax","કર સિવાય"
"Including Tax","કર સહિત"
"None","કંઈ નહીં"
"Including and Excluding Tax","કર અને બાકાત સિવાય"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","ટેક્સ સહિતના ભાવો પર ડિસ્કાઉન્ટ લાગુ કરવા અને ડિસ્કાઉન્ટ પછી ટેક્સ લાગુ કરવા માટે, કેટલોગ કિંમતોને ""કર સહિત"" પર સેટ કરો. "
"Store(s) affected: ","સ્ટોર (ઓ) અસરગ્રસ્ત: "
"Click on the link to <a href=""%1"">ignore this notification</a>","<a href=""%1""> આ સૂચનાને અવગણો </a> ની લિંક પર ક્લિક કરો"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","ગ્રાહક કર લાગુ થતાં ""ડિસ્કાઉન્ટ પહેલાં"", અંતિમ ડિસ્કાઉન્ટ ગણતરી ગ્રાહકોની અપેક્ષાઓ સાથે મેળ ખાતી નથી. "
"Your current tax configuration may result in rounding errors. ","તમારી વર્તમાન ટેક્સ કન્ફિગરેશનના પરિણામે ગોળાકાર ભૂલો થઈ શકે છે. "
"Please see <a href=""%1"">documentation</a> for more details. ","કૃપા કરી વધુ વિગતો માટે <a href=""%1""> દસ્તાવેજીકરણ </a> જુઓ. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","<a href=""%1""> કર કન્ફિગરેશન </a> પર જવા અને તમારી સેટિંગ્સ બદલવા અહીં ક્લિક કરો."
"Invalid type of tax class ""%1""","અમાન્ય પ્રકારનો કર વર્ગ ""%1"""
"Updating classType is not allowed.","વર્ગ પ્રકારને અપડેટ કરવાની મંજૂરી નથી."
"A class with the same name already exists for ClassType %1.","ક્લાસ ટાઇપ %1 માટે સમાન નામનો વર્ગ પહેલાથી અસ્તિત્વમાં છે."
"customer group","ગ્રાહક જૂથ"
"product","ઉત્પાદન"
"Excl. tax:","એક્સ્ક્લ. કર:"
"Incl. Tax","Incl. કર"
"Entity already exists","એન્ટિટી પહેલેથી જ અસ્તિત્વમાં છે"
"Cannot save titles","શીર્ષકો સાચવી શકતા નથી"
"Some Message","કેટલાક સંદેશ"
"Something went wrong","કંઈક ખોટું થયું"
"Could not save","સાચવી શક્યા નહીં"
"No such entity","આવી કોઈ એન્ટિટી નથી"
"Excl. Tax","એક્સ્ક્લ. કર"
"Note:","નૉૅધ:"
"Leave this field empty if you wish to use the tax identifier.","જો તમે કર ઓળખકર્તાનો ઉપયોગ કરવા માંગતા હોવ તો આ ક્ષેત્રને ખાલી છોડી દો."
"An error occurred","એક ભૂલ આવી"
"Do you really want to delete this tax rate?","શું તમે ખરેખર આ કર દર કાઢી નાખવા માંગો છો?"
"Save","સાચવો"
"Add New Class","નવો વર્ગ ઉમેરો"
"Grand Total Excl. Tax","ગ્રાન્ડ કુલ એક્સ્ક્લ. કર"
"Grand Total Incl. Tax","ગ્રાન્ડ કુલ Incl. કર"
"Not yet calculated","હજી ગણતરી થઈ નથી"
"Taxes","કર"
"Tax Section","કર વિભાગ"
"Tax Classes","કર વર્ગો"
"Tax Class for Shipping","શિપિંગ માટે ટેક્સ વર્ગ"
"Default Tax Class for Product","પ્રોડક્ટ માટે ડિફોલ્ટ ટેક્સ વર્ગ"
"Default Tax Class for Customer","ગ્રાહક માટે ડિફોલ્ટ ટેક્સ વર્ગ"
"Calculation Settings","ગણતરી સેટિંગ્સ"
"Tax Calculation Method Based On","પર આધારિત કરની ગણતરીની પદ્ધતિ"
"Tax Calculation Based On","પર આધારિત કરની ગણતરી"
"Catalog Prices","કેટલોગ કિંમતો"
"This sets whether catalog prices entered from Magento Admin include tax.","આ સુયોજિત કરે છે કે મેજેન્ટો એડમિનમાંથી દાખલ કરેલ કેટલોગના ભાવોમાં કર શામેલ છે કે કેમ."
"Shipping Prices","શીપીંગ કિંમતો"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","આ સુનિશ્ચિત કરે છે કે મેજેન્ટો એડમિનમાંથી દાખલ કરેલી અથવા ગેટવેથી મેળવેલ શિપિંગ રકમમાં કર શામેલ છે."
"Apply Customer Tax","ગ્રાહક કર લાગુ કરો"
"Apply Discount On Prices","કિંમતો પર ડિસ્કાઉન્ટ લાગુ કરો"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","ચેતવણી: કર સહિતના ભાવો પર ડિસ્કાઉન્ટ લાગુ કરવા અને ડિસ્કાઉન્ટ પછી ટેક્સ લાગુ કરવા માટે, કેટલોગ કિંમતોને ""કર સહિત"" પર સેટ કરો."
"Apply Tax On","પર ટેક્સ લાગુ કરો"
"Enable Cross Border Trade","ક્રોસ બોર્ડર ટ્રેડને સક્ષમ કરો"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","જ્યારે કેટલોગના ભાવમાં કર શામેલ હોય, ત્યારે ગ્રાહકના ટેક્સના દર ગમે તે હોય તે કિંમત નક્કી કરવા માટે આ સેટિંગને સક્ષમ કરો."
"Default Tax Destination Calculation","ડિફોલ્ટ ટેક્સ ડેસ્ટિનેશન ગણતરી"
"Default Country","ડિફaultલ્ટ દેશ"
"Default State","ડિફaultલ્ટ રાજ્ય"
"Default Post Code","ડિફaultલ્ટ પોસ્ટ કોડ"
"Price Display Settings","ભાવ પ્રદર્શન સેટિંગ્સ"
"Display Product Prices In Catalog","કેટલોગમાં ઉત્પાદન કિંમતો દર્શાવો"
"Display Shipping Prices","શીપીંગ કિંમતો દર્શાવો"
"Shopping Cart Display Settings","શોપિંગ કાર્ટ ડિસ્પ્લે સેટિંગ્સ"
"Display Prices","કિંમતો દર્શાવો"
"Display Subtotal","પેટાસરવાળો દર્શાવો"
"Display Shipping Amount","શિપિંગની રકમ દર્શાવો"
"Include Tax In Order Total","ઓર્ડરમાં કુલ ટેક્સ શામેલ કરો"
"Display Full Tax Summary","સંપૂર્ણ કરનો સારાંશ દર્શાવો"
"Display Zero Tax Subtotal","ઝીરો ટેક્સ સબટોટલ દર્શાવો"
"Orders, Invoices, Credit Memos Display Settings","ઓર્ડર્સ, ઇન્વicesઇસેસ, ક્રેડિટ મેમોઝ ડિસ્પ્લે સેટિંગ્સ"
"State/Region","રાજ્ય / ક્ષેત્ર"
"Rate","દર"
"Subtotal Only","માત્ર પેટાસરવાળો"
"(Excl. Tax)","(એક્સ્ક્લે. ટેક્સ)"
"(Incl. Tax)","(કર સહિત)"
"Order Total Excl. Tax","ઓર્ડર કુલ એક્સ્ક્લ. કર"
"Order Total Incl. Tax","ઓર્ડર કુલ Incl. કર"
"Order Total","કુલ ઓર્ડર"
"You will be charged for","તમારા માટે શુલ્ક લેવામાં આવશે"
"Warning tax configuration can result in rounding errors. ","ચેતવણી કરવેરા ગોઠવણીના પરિણામે ગોળાકાર ભૂલો થઈ શકે છે. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","ચેતવણી ટેક્સ ડિસ્કાઉન્ટ ગોઠવણીને કારણે વિવિધ ડિસ્કાઉન્ટમાં પરિણમી શકે છે
                                કરતાં ગ્રાહક અપેક્ષા કરી શકે છે. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","જો ""ડિસ્કાઉન્ટ પછી ટેક્સ લાગુ કરો"" પસંદ કરવામાં આવે તો સ્ટોર ટેક્સના આધારે ટેક્સ સહિતના ભાવો પર ડિસ્કાઉન્ટ લાગુ કરો."
"Your credit card will be charged for","તમારા ક્રેડિટ કાર્ડ માટે શુલ્ક લેવામાં આવશે"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","ગ્રાહક કર લાગુ થતાં ""ડિસ્કાઉન્ટ પહેલાં"", અંતિમ ડિસ્કાઉન્ટ ગણતરી ગ્રાહકોની અપેક્ષાઓ સાથે મેળ ખાતી નથી."
"The required information is invalid. Verify the information and try again.","જરૂરી માહિતી અમાન્ય છે. માહિતીની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"The Rate Percent is invalid. Enter a positive number and try again.","દર ટકા અમાન્ય છે. સકારાત્મક નંબર દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","ઝીપ કોડ લંબાઈ અમાન્ય છે. ચકાસો કે લંબાઈ નવ અક્ષરો અથવા ઓછા છે અને ફરીથી પ્રયાસ કરો."
"The ZIP Code is invalid. Use numbers only.","પિન કોડ અમાન્ય છે. ફક્ત સંખ્યાઓનો ઉપયોગ કરો."
"The tax rate can't be removed because it exists in a tax rule.","કર દર દૂર કરી શકાતો નથી કારણ કે તે કરના નિયમમાં અસ્તિત્વમાં છે."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" આવશ્યક છે. દાખલ કરો અને ફરીથી પ્રયાસ કરો."
