"Tax Rate Information","Данъчна ставка информация"
"Grand Total (Incl. Tax)","Обща сума (С ДДС)"
"Shipping (Excl. Tax)","Доставка (без ДДС)"
"Shipping (Incl. Tax)","Доставка (с ДДС)"
"Subtotal (Excl. Tax)","Междинна сума (без ДДС)"
"Subtotal (Incl. Tax)","Междинна сума (с ДДС)"
"Subtotal","Сума"
"Unit Price","Единична цена"
"Row Total","Ред общо"
"Total","Общо"
"Before Discount","Преди отстъпка"
"After Discount","След отстъпка"
"Excluding Tax","Без данък"
"Including Tax","С данък"
"None","Никакъв"
"Including and Excluding Tax","Със и без данък"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","За да се приложи отстъпка на цени с включени данъци и да приложите данъка след отстъпката, задайте каталог цени за ""Вкл"". "
"Store(s) affected: "," Магазини засегнати: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Щракнете върху връзката, за да <a href=""%1""> игнорирате това съобщение</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","С клиентско данъчно прилагане на ""Преди отстъпка"", изчисление на крайното отстъпка може да не съвпадат техните очаквания. "
"Your current tax configuration may result in rounding errors. ","Текущата ви конфигурация данък може да доведе до грешки от закръгляване. "
"Please see <a href=""%1"">documentation</a> for more details. ","Моля, вижте <a href=""%1""> документацията</a> за повече подробности. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Щракнете тук, за да отидете на <a href=""%1""> Конфигурация на данък</a> и промените вашите настройки."
"Invalid type of tax class ""%1""","Невалиден тип на данъчен клас ""%1"""
"Updating classType is not allowed.","Актуализиране на classType не е позволено."
"A class with the same name already exists for ClassType %1.","Клас със същото име вече съществува за ClassType %1."
"customer group","Клиентска група"
"product","продукт"
"Excl. tax:","Без ДДС:"
"Incl. Tax","Вкл. Ддс"
"Entity already exists","Обект вече съществува"
"Cannot save titles","Не може да запише заглавия"
"Some Message","Някое съобщение"
"Something went wrong","Нещо се обърка"
"Could not save","Не може да запише"
"No such entity","Няма такъв обект"
"Excl. Tax","Без вкл. ДДС"
"Note:","Забележка:"
"Leave this field empty if you wish to use the tax identifier.","Оставете това поле празно, ако желаете да използвате идентификатора на данъка."
"An error occurred","Възникна грешка"
"Do you really want to delete this tax rate?","Наистина ли искате да изтриете този данък клас?"
"Save","Запиши"
"Add New Class","Добавяне на нов клас"
"Grand Total Excl. Tax","Обща сума (Без ДДС)"
"Grand Total Incl. Tax","Обща сума (С ДДС)"
"Not yet calculated","Все още не е калкулирано"
"Taxes","Данъци"
"Tax Section","Данъчен раздел"
"Tax Classes","Данъчни категории"
"Tax Class for Shipping","Данъчен клас за доставка"
"Default Tax Class for Product","По подразбиране данък клас за продукта"
"Default Tax Class for Customer","По подразбиране данък клас за клиент"
"Calculation Settings","Изчисляване настройки"
"Tax Calculation Method Based On","Метод за изчисляване на данък, въз основа на"
"Tax Calculation Based On","Изчисляване на данъци, въз основа на"
"Catalog Prices","Каталог цени"
"This sets whether catalog prices entered from Magento Admin include tax.","Тази опция задава дали каталог цените, въведени от Magento администратор включва данък."
"Shipping Prices","Цена за доставка"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Тази опция задава дали сумите за доставка въведени от Magento администратор или получени от терминали включват данък."
"Apply Customer Tax","Приложи клиент данък"
"Apply Discount On Prices","Прилагане на отстъпка върху цените"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","За да се приложи отстъпка на цени, включително данъчни и приложете данъка след отстъпката, задайте каталог цени за ""Вкл""."
"Apply Tax On","Приложи данък върху"
"Enable Cross Border Trade","Разреши трансграничната търговия"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Когато каталогът на цените включва данък, разрешете тази настройка да се фиксира цена без значение какво на клиента данъчна ставка."
"Default Tax Destination Calculation","По подразбиране дестинация изчисление"
"Default Country","Държава по подразбиране"
"Default State","Състояние по подразбиране"
"Default Post Code","По подразбиране пощенски код"
"Price Display Settings","Настрой в показване на цените"
"Display Product Prices In Catalog","Показване на цените на продуктите в каталога"
"Display Shipping Prices","Покажи цени доставка"
"Shopping Cart Display Settings","Настройки на показване на количката"
"Display Prices","Показване на цени"
"Display Subtotal","Показване на междинни суми"
"Display Shipping Amount","Показване на сумата за доставка"
"Include Tax In Order Total","Включи данък в сумата на поръчката"
"Display Full Tax Summary","Показване на общата сума с данък"
"Display Zero Tax Subtotal","Показване на нулев данък междинна сума"
"Orders, Invoices, Credit Memos Display Settings","Настройки за показване на Поръчки, Фактури, Кредитни известия"
"State/Region","Държава/регион"
"Rate","Оцени"
"Subtotal Only","Междинна сума само"
"(Excl. Tax)","(Без ДДС)"
"(Incl. Tax)","(С ДДС)"
"Order Total Excl. Tax","Поръчка общо без ДДС"
"Order Total Incl. Tax","Поръчка общо с ДДС"
"Order Total","Поръчка общо"
"You will be charged for","Ще бъдете таксван за"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","Необходимата информация е невалидна. Проверете информацията и опитайте отново."
"The Rate Percent is invalid. Enter a positive number and try again.","Процентът на ставката е невалиден. Въведете положително число и опитайте отново."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","Дължината на пощенския код е невалидна. Проверете дали дължината е девет знака или по-малко и опитайте отново."
"The ZIP Code is invalid. Use numbers only.","Пощенският код е невалиден. Използвайте само числа."
"The tax rate can't be removed because it exists in a tax rule.","Данъчната ставка не може да бъде премахната. Тя съществува в данъчните правила."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължителен. Въведете и опитайте пак."
