"Tax Rate Information","බදු අනුපාත තොරතුරු"
"Including and Excluding Tax","බදු ඇතුළුව සහ බැහැර කිරීම"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","බදු ඇතුළුව මිල ගණන් මත වට්ටම් යෙදීමට සහ වට්ටම් වලින් පසු බදු අය කිරීමට, නාමාවලි මිල ගණන් ""බදු ඇතුළුව"" ලෙස සකසන්න. "
"Store(s) affected: ","බලපෑමට ලක් වූ වෙළඳසැල්: "
"Click on the link to <a href=""%1"">ignore this notification</a>","<a href=""%1"">මෙම දැනුම්දීම නොසලකා හැරීමට සබැඳිය ක්ලික් කරන්න</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","""වට්ටම් කිරීමට පෙර"" පාරිභෝගික බද්ද යොදන විට, අවසාන වට්ටම් ගණනය ගනුදෙනුකරුවන්ගේ අපේක්ෂාවන්ට නොගැලපේ. "
"Your current tax configuration may result in rounding errors. ","ඔබගේ වත්මන් බදු වින්‍යාසය වටකුරු දෝෂ ඇති විය හැක. "
"Please see <a href=""%1"">documentation</a> for more details. ","වැඩි විස්තර සඳහා කරුණාකර <a href=""%1"">ලේඛන</a> බලන්න. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","<a href=""%1"">බදු වින්‍යාසය</a> වෙත ගොස් ඔබගේ සැකසුම් වෙනස් කිරීමට මෙතන ක්ලික් කරන්න."
"Invalid type of tax class ""%1""","වලංගු නොවන බදු වර්ගය ""%1"""
"Updating classType is not allowed.","පන්ති වර්ගය යාවත්කාලීන කිරීමට ඉඩ නොදේ."
"A class with the same name already exists for ClassType %1.","ClassType %1සඳහා එකම නම සහිත පන්තියක් දැනටමත් පවතී."
"customer group","පාරිභෝගික කණ්ඩායම"
"product","නිෂ්පාදන"
"Excl. tax:","හැර. බද්ද:"
"Incl. Tax","ඇතුළු. බද්ද"
"Entity already exists","ආයතනය දැනටමත් පවතී"
"Cannot save titles","මාතෘකා සුරැකිය නොහැක"
"Some Message","සමහර පණිවිඩ"
"Something went wrong","මොකක්හරි වැරැද්දක් වෙලා"
"Could not save","සුරැකීමට නොහැකි විය"
"No such entity","එවැනි ආයතනයක් නැත"
"Excl. Tax","හැර. බද්ද"
"Note:","සටහන:"
"Leave this field empty if you wish to use the tax identifier.","ඔබට බදු හැඳුනුම්කාරකය භාවිත කිරීමට අවශ්‍ය නම් මෙම ක්ෂේත්‍රය හිස්ව තබන්න."
"An error occurred","දෝෂයක් සිදු විය"
"Do you really want to delete this tax rate?","ඔබට ඇත්තටම මෙම බදු අනුපාතය මැකීමට අවශ්‍යද?"
"Save","සුරකින්න"
"Add New Class","නව පන්තිය එක් කරන්න"
"Grand Total Excl. Tax","Grand Total Excl. බද්ද"
"Grand Total Incl. Tax","Grand Total Incl. බද්ද"
"Not yet calculated","තවමත් ගණනය කර නැත"
"Taxes","බදු"
"Tax Section","බදු අංශය"
"Tax Classes","බදු පන්ති"
"Tax Class for Shipping","නැව්ගත කිරීම සඳහා බදු පන්තිය"
"Default Tax Class for Product","නිෂ්පාදන සඳහා පෙරනිමි බදු පන්තිය"
"Default Tax Class for Customer","පාරිභෝගිකයා සඳහා පෙරනිමි බදු පන්තිය"
"Calculation Settings","ගණනය කිරීමේ සැකසුම්"
"Tax Calculation Method Based On","මත පදනම්ව බදු ගණනය කිරීමේ ක්රමය"
"Tax Calculation Based On","මත පදනම්ව බදු ගණනය කිරීම"
"Catalog Prices","නාමාවලි මිල"
"This sets whether catalog prices entered from Magento Admin include tax.","මෙය Magento පරිපාලක වෙතින් ඇතුළත් කළ නාමාවලි මිල ගණන්වලට බදු ඇතුළත් වේද යන්න සකසයි."
"Shipping Prices","නැව්ගත කිරීමේ මිල ගණන්"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","මෙය Magento පරිපාලකගෙන් ඇතුළු කළ නැව්ගත කිරීමේ මුදලට බදු ඇතුළත් වේද ගේට්වේවලින් ලබා ගන්නේද යන්න සකසයි."
"Apply Customer Tax","පාරිභෝගික බදු අයදුම් කරන්න"
"Apply Discount On Prices","මිල ගණන් මත වට්ටම් අයදුම් කරන්න"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","අවවාදයයි: බදු ඇතුළුව මිල ගණන් මත වට්ටම් යෙදීමට සහ වට්ටම් වලින් පසු බද්ද යෙදීමට, නාමාවලි මිල ගණන් ""බදු ඇතුළුව"" ලෙස සකසන්න."
"Apply Tax On","මත බදු අයදුම් කරන්න"
"Enable Cross Border Trade","Cross Border Trade සබල කරන්න"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","නාමාවලි මිලට බදු ඇතුළත් වන විට, පාරිභෝගිකයාගේ බදු අනුපාතය කුමක් වුවත් මිල නියම කිරීමට මෙම සැකසුම සබල කරන්න."
"Default Tax Destination Calculation","පෙරනිමි බදු ගමනාන්ත ගණනය කිරීම"
"Default Country","පෙරනිමි රට"
"Default State","පෙරනිමි තත්ත්වය"
"Default Post Code","පෙරනිමි තැපැල් කේතය"
"Price Display Settings","මිල සංදර්ශක සැකසුම්"
"Display Product Prices In Catalog","නිෂ්පාදන මිල නාමාවලියෙහි පෙන්වන්න"
"Display Shipping Prices","නැව්ගත කිරීමේ මිල ගණන් පෙන්වන්න"
"Shopping Cart Display Settings","සාප්පු කරත්ත සංදර්ශක සැකසුම්"
"Display Prices","සංදර්ශක මිල ගණන්"
"Display Subtotal","උප එකතුව පෙන්වන්න"
"Display Shipping Amount","ප්‍රදර්ශනය නැව්ගත කිරීමේ මුදල"
"Include Tax In Order Total","මුළු අනුපිළිවෙලට බදු ඇතුළත් කරන්න"
"Display Full Tax Summary","සම්පූර්ණ බදු සාරාංශය පෙන්වන්න"
"Display Zero Tax Subtotal","ශුන්‍ය බදු උප එකතුව පෙන්වන්න"
"Orders, Invoices, Credit Memos Display Settings","ඇණවුම්, ඉන්වොයිසි, ක්‍රෙඩිට් මතක සටහන් දර්ශන සැකසුම්"
"State/Region","ප්රාන්තය/කලාපය"
"Rate","අගය කරන්න"
"Subtotal Only","උප එකතුව පමණි"
"(Excl. Tax)","(බදු හැර)"
"(Incl. Tax)","(බදු ඇතුළුව)"
"Order Total Excl. Tax","මුළු Excl ඇණවුම් කරන්න. බද්ද"
"Order Total Incl. Tax","Order Total Incl. බද්ද"
"Order Total","මුළු ඇණවුම"
"You will be charged for","ඔබට අය කරනු ලැබේ"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","අවශ්‍ය තොරතුරු වලංගු නොවේ. තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න."
"The Rate Percent is invalid. Enter a positive number and try again.","අනුපාත ප්‍රතිශතය වලංගු නොවේ. ධනාත්මක අංකයක් ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","ZIP කේතයේ දිග වලංගු නොවේ. දිග අනුලකුණු නවයක් හෝ ඊට අඩු බව තහවුරු කරගෙන නැවත උත්සාහ කරන්න."
"The ZIP Code is invalid. Use numbers only.","ZIP කේතය වලංගු නොවේ. අංක පමණක් භාවිතා කරන්න."
"The tax rate can't be removed because it exists in a tax rule.","එය බදු රීතියක පවතින නිසා බදු අනුපාතය ඉවත් කළ නොහැක."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
