"Tax Rate Information","Vergi Oranı Bilgisi"
"Shipping & Handling (Excl.Tax)","Teslimat ve Teslim alma (Vergi Hariç)"
"Shipping & Handling (Incl.Tax)","Teslimat ve Teslim alma (Vergi Dahil)"
"Grand Total (Excl.Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Incl.Tax)","Genel Toplam (Vergi Dahil)"
"Sales","Satışlar"
"Tax","Vergi"
"Manage Tax Rates","Vergi Oranlarını Yönet"
"New Tax Rate","Yeni Vergi Oranı"
"Tax Zones and Rates","Vergi bölgeleri ve oranları"
"We can't delete this tax rate right now.","Bu vergi oranını şu an silemeyiz."
"An error occurred while loading this tax rate.","Bu vergi oranını yüklerken bir hata oluştu."
"We can't save this rate right now.","Bu değerlendirmeyi şuanda kaydedemiyoruz."
"You deleted the tax rate.","Vergi oranını siz sildiniz."
"We can't delete this rate because of an incorrect rate ID.","Yanlış kimlikten dolayı bu ücreti silemiyoruz."
"Something went wrong deleting this rate.","Bu oranı silerken birşeyler yanlış gitti."
"Edit Tax Rate","Vergi Oranını Düzenle"
"You saved the tax rate.","Vergi oranını kurtardın."
"Tax Rules","Vergi Kuralları"
"An error occurred while loading tax rates.","Vergi oranları yüklenirken bir hata oluştu."
"The tax rule has been deleted.","Vergi kuralı silindi."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"Something went wrong deleting this tax rule.","Bu vergi kuralını silerken bir sorun çıktı."
"New Tax Rule","Yeni Vergi Kuralı"
"Edit Rule","Kuralı Düzenle"
"New Rule","Yeni Kural"
"You saved the tax rule.","Vergi kuralını kurtardın."
"We can't save this tax rule right now.","Bu vergi kuralını şu an kaydedemiyoruz."
"Invalid name of tax class specified.","Vergi sınıfının adı geçersiz belirtildi."
"We can't delete this tax class right now.","Bu vergi sınıfını şu an silemiyoruz."
"We can't save this tax class right now.","Bu vergi sınıfını şu an kaydedemiyoruz."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Aralık, Aralığa eşit veya daha büyük olmalıdır."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName alanı için geçersiz ""%value"" değeri."
"This class no longer exists.","Bu sınıf artık yok."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Bu vergi sınıfını, vergi kurallarında kullanıldığı için silemezsiniz. İlk önce kullanılan kuralları silmeniz gerekir."
"You cannot delete this tax class because it is used in existing %1(s).","Bu vergi sınıfı, mevcut %1 (ler) de kullanıldığı için silinemez."
"Custom price if available","Eğer mümkünse özel fiyat kullan"
"Original price only","Sadece orjinal fiyat"
"Shipping Address","Teslimat Adresi"
"Billing Address","Fatura Adresi"
"Shipping Origin","Teslimat Merkezi"
"No (price without tax)","Hayır (vergi hariç fiyat)"
"Yes (only price with tax)","Evet (sadece vergi dahil fiyat)"
"Both (without and with tax)","İkisi (Vergisiz ve vergi dahil)"
"Invalid attribute %1","Geçersiz %1 özniteliği"
"Code","Kod"
"Invalid type supplied","Geçersiz tür sağlandı"
"Class name and class type","Sınıf adı ve sınıf türü"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ile böyle bir giriş yok"
"Grand Total (Excl. Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Incl. Tax)","Genel Toplam (Vergi Dahil)"
"Shipping (Excl. Tax)","Teslimat (Vergi Hariç)"
"Shipping (Incl. Tax)","Teslimat (Vergi Dahil)"
"Subtotal (Excl. Tax)","Ara Toplam (Vergi Hariç)"
"Subtotal (Incl. Tax)","Ara Toplam (Vergi Dahil)"
"Subtotal","Ara Toplam"
"Unit Price","Birim Fiyat"
"Row Total","Satır Toplamı"
"Total","Toplam"
"Before Discount","İndirimden Önce"
"After Discount","İndirimden Sonra"
"Excluding Tax","Vergi Hariç"
"Including Tax","Vergi Dahil"
"None","Hiçbiri"
"Including and Excluding Tax","Vergi dahil ve hariç fiyat"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","İndirimi vergiden sonra fiyatlar üzerine uygulamak ve indirimden sonra vergiyi uygulamak için Katalog Fiyatlarını ""Vergi Dahil"" olarak ayarlayın. "
"Store(s) affected: ","Etkilenen mağaza(lar): "
"Click on the link to <a href=""%1"">ignore this notification</a>","<a href=""%1""> Bu bildirimi yok say ""bağlantısını tıklayın </a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Müşteri vergisi ""İndirimden Önce"" uygulanırsa, nihai indirimin hesaplanması müşterilerin beklentileri ile uyuşmamalıdır. "
"Your current tax configuration may result in rounding errors. ","Geçerli vergi yapılandırmanız yuvarlama hatalarına neden olabilir. "
"Please see <a href=""%1"">documentation</a> for more details. ","Daha fazla bilgi için lütfen <a href=""%1""> belgelerine </a> bakın. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Buraya <a href=""%1""> Vergi yapılandırma</a> tıklayarak vergi ayarlarınızı değiştirebilirsiniz."
"Invalid type of tax class ""%1""","Geçersiz tür vergi sınıfı ""%1"""
"Updating classType is not allowed.","ClassType öğesinin güncellenmesine izin verilmiyor."
"A class with the same name already exists for ClassType %1.","ClassType %1 için aynı ada sahip bir sınıf zaten mevcut."
"customer group","Müşteri grubu"
"product","ürün"
"Excl. tax:","Vergi hariç:"
"Incl. Tax","Vergi Dahil"
"Entity already exists","Varlık zaten mevcut"
"Cannot save titles","Başlıkları kaydedilemiyor"
"Some Message","Bazı Mesaj"
"Something went wrong","Bir şeyler yanlış gitti"
"Could not save","Kaydedilemedi"
"No such entity","Böyle bir varlık yok"
"Excl. Tax","Vergi Hariç"
"Note:","Not:"
"Leave this field empty if you wish to use the tax identifier.","Vergi tanımlayıcısını kullanmak isterseniz bu alanı boş bırakın."
"An error occurred","Bir hata oluştu"
"Do you really want to delete this tax rate?","Bu vergi oranını gerçekten silmek istiyor musunuz?"
"Save","Kaydet"
"Add New Class","Yeni Sınıf Ekle"
"Grand Total Excl. Tax","Genel Toplam Vergi Hariç"
"Grand Total Incl. Tax","Genel Toplam Vergi Hariç"
"Not yet calculated","Henüz hesaplanamadı"
"Taxes","Vergiler"
"Tax Section","Vergi Bölümü"
"Tax Classes","Vergi Sınıfları"
"Tax Class for Shipping","Teslimat için Vergi Sınıfı"
"Default Tax Class for Product","Ürün için Varsayılan Vergisi Sınıfı"
"Default Tax Class for Customer","Müşteri için Varsayılan Vergiye Sınıfı"
"Calculation Settings","Hesaplama Ayarları"
"Tax Calculation Method Based On","Vergi Hesaplama Yöntemi"
"Tax Calculation Based On","Vergi Hesaplama Yöntemi"
"Catalog Prices","Katalog Fiyatları"
"This sets whether catalog prices entered from Magento Admin include tax.","Bu, Magento Yönetici'den girilen katalog fiyatlarına vergi dahil edip etmeyeceğini belirler."
"Shipping Prices","Teslimat Ücretleri"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Bu, Magento Yönetici'den girilen veya ağ geçitlerinde elde edilen nakliye tutarlarının vergileri içermeyeceğini belirtir."
"Apply Customer Tax","Müşteri Vergisini Uygula"
"Apply Discount On Prices","Fiyatlara İndirim Uygula"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Uyarı: İndirimi indirimden sonra uygulamak ve vergi dahil olmak üzere vergiyi uygulamak için Katalog Fiyatlarını ""Vergi Dahil"" olarak ayarlayın."
"Apply Tax On","Vergiyi Uygula"
"Enable Cross Border Trade","Sınır Ötesi Ticareti Etkinleştir"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Katalog fiyatı vergileri içerdiğinde, müşterinin vergi oranından bağımsız olarak fiyatı düzeltmek için bu ayarı etkinleştirin."
"Default Tax Destination Calculation","Varsayılan Bölgeye Göre Vergi Hesaplama"
"Default Country","Varsayılan Ülke"
"Default State","Varsayılan Eyalet"
"Default Post Code","Varsayılan Posta Kodu"
"Price Display Settings","Fiyat Gösterim Ayarları"
"Display Product Prices In Catalog","Katalogda Ürün Fiyatlarını Göster"
"Display Shipping Prices","Teslimat Fiyatlarını Göster"
"Shopping Cart Display Settings","Alışveriş Sepeti Gösterim Seçenekleri"
"Display Prices","Fiyatları Göster"
"Display Subtotal","Ara Toplamı Göster"
"Display Shipping Amount","Teslimat Tutarını Göster"
"Include Tax In Order Total","Sipariş toplamına vergi ekleyin"
"Display Full Tax Summary","Tam Vergi Özeti Göster"
"Display Zero Tax Subtotal","Vergisiz Ara Toplamı Göster"
"Orders, Invoices, Credit Memos Display Settings","Siparişler, Faturalar, iade Kayıtları Gösterim Ayarları"
"State/Region","Eyalet/Bölge"
"Rate","Oran"
"Subtotal Only","Sadece Alt Toplam"
"(Excl. Tax)","(Vergi hariç)"
"(Incl. Tax)","(Vergi Dahil)"
"Order Total Excl. Tax","Sipariş toplamı KDV hariç"
"Order Total Incl. Tax","Sipariş toplamı KDV dahil"
"Order Total","Sipariş Toplamı"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
