"Tax Rate Information","Údaje sazby"
"Subtotal (Incl. Tax)","Mezisoučet (s DPH)"
"Subtotal","Mezisoučet"
"Unit Price","Cena za kus"
"Row Total","Celkem za položku"
"Total","Celkem"
"Before Discount","Před slevou"
"After Discount","Po slevě"
"Excluding Tax","Bez daně"
"Including Tax","Včetně DPH"
"None","Nic"
"Including and Excluding Tax","Včetně a bez DPH"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","Chcete-li použít slevy na ceny včetně daně a uplatňovat daň po slevě, nastavte katalog ceny ""Včetně DPH"". "
"Store(s) affected: ","Ovlivněné obchody:"
"Click on the link to <a href=""%1"">ignore this notification</a>","Chcete-li toto oznámení ignorovat, klikněte na <a href=""%1"">tento odkaz</a>."
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Při nastavení výpočtu DPH zákazníka ""Před slevou"" nemusí výsledná sleva odpovídat očekávání zákazníků. "
"Your current tax configuration may result in rounding errors. ","Aktuální konfigurace daně může vést k chybám zaokrouhlení. "
"Please see <a href=""%1"">documentation</a> for more details. ","Více informací v <a href=""%1"">dokumentaci</a>. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Přejděte do <a href=""%1"">Nastavení DPH</a> a upravte nastavení."
"Invalid type of tax class ""%1""","Neplatný typ třídy DPH ""%1"""
"Updating classType is not allowed.","Úprava ClassType není povolena."
"A class with the same name already exists for ClassType %1.","Třída se stejným názvem již existuje pro ClassType %1."
"customer group","skupina zákazníků"
"product","produkt"
"Excl. tax:","Bez DPH:"
"Incl. Tax","s DPH"
"Entity already exists","Entita již existuje"
"Cannot save titles","Nelze uložit názvy"
"Some Message","Nějaká zpráva"
"Something went wrong","Něco se pokazilo"
"Could not save","Nelze uložit"
"No such entity","Žádná taková entita"
"Excl. Tax","bez DPH"
"Note:","Poznámka:"
"Leave this field empty if you wish to use the tax identifier.","Chcete-li použít identifikátor DPH, nechte údaj prázdný."
"An error occurred","Došlo k chybě"
"Do you really want to delete this tax rate?","Skutečně chcete tuto sazbu DPH odstranit?"
"Save","Uložit"
"Add New Class","Přidat novou třídu"
"Grand Total Excl. Tax","Celkem k úhradě bez DPH"
"Grand Total Incl. Tax","Celkem k úhradě s DPH"
"Not yet calculated","Dosud nevypočteno"
"Taxes","Sazby"
"Tax Section","Sekce DPH"
"Tax Classes","Třídy DPH"
"Tax Class for Shipping","Třída DPH přepravného"
"Default Tax Class for Product","Výchozí třída DPH produktů"
"Default Tax Class for Customer","Výchozí třída DPH zákazníků"
"Calculation Settings","Nastavení výpočtu"
"Tax Calculation Method Based On","Způsob výpočtu DPH odvozen od"
"Tax Calculation Based On","Výpočet DPH na základě"
"Catalog Prices","Ceny produktů jsou"
"This sets whether catalog prices entered from Magento Admin include tax.","Zde můžete nastavit, jestli vkládané ceny ve správě Magenta obsahují DPH."
"Shipping Prices","Ceny přepravného jsou"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Zde můžete nastavit, jestli ceny přepravného vkládaného ve správě Magenta obsahují DPH."
"Apply Customer Tax","Výpočet DPH zákazníka"
"Apply Discount On Prices","Výpočet slevy z ceny"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Upozornění: Pokud chcete uplatnit slevu na ceny včetně daně a uplatňovat daň po slevě, nastavte katalog ceny ""Včetně DPH""."
"Apply Tax On","Výpočet DPH je prováděn z"
"Enable Cross Border Trade","Zapnout přeshraniční obchod"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Jsou-li ceny v katalogu včetně DPH, po zapnutí této volby bude cena stanovena bez ohledu na sazbu DPH zákazníka."
"Default Tax Destination Calculation","Nastavení výchozího regionu pro výpočet DPH"
"Default Country","Výchozí země"
"Default State","Výchozí situace"
"Default Post Code","Výchozí PSČ"
"Price Display Settings","Nastavení zobrazených cen"
"Display Product Prices In Catalog","Ceny produktů v katalogu zobrazit"
"Display Shipping Prices","Ceny přepravného zobrazit"
"Shopping Cart Display Settings","Nastavení v košíku zobrazených cen"
"Display Prices","Ceny produktů zobrazit"
"Display Subtotal","Mezisoučet produktů zobrazit"
"Display Shipping Amount","Cenu přepravného zobrazit"
"Include Tax In Order Total","Zahrnout DPH v celkovém součtu"
"Display Full Tax Summary","Zobrazit kompletní souhrn DPH"
"Display Zero Tax Subtotal","Zobrazit nulový mezisoučet DPH"
"Orders, Invoices, Credit Memos Display Settings","Nastavení cen zobrazených v objednávce, faktuře a dobropisu"
"State/Region","Kraj / region"
"Rate","Sazba"
"Subtotal Only","Pouze mezisoučet"
"(Excl. Tax)","(Bez DPH)"
"(Incl. Tax)","(s DPH)"
"Order Total Excl. Tax","Celkem bez DPH"
"Order Total Incl. Tax","Celkem s DPH"
"Order Total","Celkem za"
"You will be charged for","Bude vám účtováno za"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
