"Tax Rate Information","Informacje o stawce podatku"
"Excl. Tax","Bez podatku"
"Note:","Notatka:"
"Leave this field empty if you wish to use the tax identifier.","Pozostaw to pole puste, jeśli chcesz użyć identyfikatora podatkowego."
"An error occurred","Wystąpił błąd"
"Do you really want to delete this tax rate?","Czy na pewno chcesz usunąć tę klasę podatku?"
"Save","Zapisz"
"Add New Class","Dodaj nową klasę"
"Grand Total Excl. Tax","Suma łączna bez podatku"
"Grand Total Incl. Tax","Suma łączna z podatkiem"
"Not yet calculated","Jeszcze nie obliczone"
"Taxes","Podatki"
"Tax Section","Sekcja podatków"
"Tax Classes","Klasy podatku"
"Tax Class for Shipping","Klasa podatku dla dostawy"
"Default Tax Class for Product","Domyślna klasa podatku dla produktu"
"Default Tax Class for Customer","Domyślna klasa podatku dla klienta"
"Calculation Settings","Ustawienia obliczeń"
"Tax Calculation Method Based On","Metoda obliczania podatku oparta na"
"Tax Calculation Based On","Obliczanie podatku oparte na"
"Catalog Prices","Ceny katalogu"
"This sets whether catalog prices entered from Magento Admin include tax.","Ustawia, czy Katalog ceny wprowadzany z Magento Admin zawiera podatek."
"Shipping Prices","Ceny dostawy"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Czy koszty dostawy pobrane z Magento Admin lub pobrane z zewnątrz zawierają podatek."
"Apply Customer Tax","Zastosuj podatek klienta"
"Apply Discount On Prices","Zastosuj zniżkę na cenach"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”."
"Apply Tax On","Zastosuj podatek na"
"Enable Cross Border Trade","Włącz handel transgraniczny"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Kiedy cena katalog zawiera podatek, włączenie tego ustawienia naprawi cenę bez względu na to, jaka jest ustawiona stawka podatkowa klienta."
"Default Tax Destination Calculation","Domyślne obliczanie pochodzenia dla podatku"
"Default Country","Domyślny kraj"
"Default State","Domyślne województwo"
"Default Post Code","Domyślny kod pocztowy"
"Price Display Settings","Ustawienia wyświetlania ceny"
"Display Product Prices In Catalog","Wyświetlaj ceny produktu w katalogu"
"Display Shipping Prices","Wyświetlaj ceny dostawy"
"Shopping Cart Display Settings","Ustawienia wyświetlania koszyka"
"Display Prices","Wyświetlaj ceny"
"Display Subtotal","Wyświetlaj sumę częściową"
"Display Shipping Amount","Wyświetlaj koszt dostawy"
"Include Tax In Order Total","Zawrzyj podatek w sumie zamówienia"
"Display Full Tax Summary","Wyświetlaj pełne podsumowanie podatku"
"Display Zero Tax Subtotal","Wyświetlaj zerową podsumę podatku"
"Orders, Invoices, Credit Memos Display Settings","Ustawienia wyświetlania zamówień, faktur, faktur korygujących"
"State/Region","Województwo/Region"
"Rate","Stawka"
"Subtotal Only","Tylko suma częściowa"
"(Excl. Tax)","(bez podatku)"
"(Incl. Tax)","(z podatkiem)"
"Order Total Excl. Tax","Suma zamówienia bez podatku"
"Order Total Incl. Tax","Suma zamówienia z podatkiem"
"Order Total","Podsumowanie"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
