"Tax Rate Information","Steuersatz Information"
"Edit Tax Rate","Steuersatz bearbeiten"
"You saved the tax rate.","Sie haben den Steuersatz gespeichert."
"Tax Rules","Steuerregeln"
"An error occurred while loading tax rates.","An error occurred while loading tax rates."
"The tax rule has been deleted.","Die Steuerregel wurde wurde gelöscht."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Something went wrong deleting this tax rule.","Beim Löschen der Steuerregel ist ein Fehler aufgetreten."
"New Tax Rule","Neue Steuerregel"
"Edit Rule","Regel bearbeiten"
"New Rule","Neue Regel"
"You saved the tax rule.","Sie haben die Steuerregel gespeichert."
"We can't save this tax rule right now.","Diese Steuerregel kann momentan nicht gespeichert werden."
"Invalid name of tax class specified.","Invalid name of tax class specified."
"We can't delete this tax class right now.","Diese Steuerklasse kann momentan nicht gelöscht werden."
"We can't save this tax class right now.","Diese Steuerklasse kann momentan nicht gespeichert werden."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximale Länge der Postleitzahl ist 9 Zeichen."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"This class no longer exists.","This class no longer exists."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first."
"You cannot delete this tax class because it is used in existing %1(s).","You cannot delete this tax class because it is used in existing %1(s)."
"Custom price if available","Custom price if available"
"Original price only","Original price only"
"Shipping Address","Lieferadresse"
"Billing Address","Rechnungsadresse"
"Shipping Origin","Shipping Origin"
"No (price without tax)","Nein (Preis ohne Steuern)"
"Yes (only price with tax)","Ja (nur Preis inkl. Steuer)"
"Both (without and with tax)","Beides (ohne und mit Steuern)"
"Invalid attribute %1","Ungültiges Attribut %1"
"Code","Code"
"Invalid type supplied","Invalid type supplied"
"Class name and class type","Class name and class type"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Gesamt (zzgl. Steuern)"
"Grand Total (Incl. Tax)","Gesamtsumme (inkl. MwSt.)"
"Shipping (Excl. Tax)","Versand (zzgl. Steuern)"
"Shipping (Incl. Tax)","Versand (inkl. MwSt.)"
"Subtotal (Excl. Tax)","Zwischensumme (zzgl. Steuern)"
"Subtotal (Incl. Tax)","Zwischensumme (inkl. MwSt.)"
"Subtotal","Zwischensumme"
"Unit Price","Einzelpreis"
"Row Total","Pos. Zwischensumme"
"Total","Gesamtsumme"
"Before Discount","Vor Rabatt"
"After Discount","Nach Rabatt"
"Excluding Tax","Zuzüglich Steuern"
"Including Tax","Inklusive Steuern"
"None","Keine"
"Including and Excluding Tax","Inklusive und zuzüglich Steuern"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","Um den Rabatt auf Preise inklusive Steuern und die Steuer nach Rabatt anzuwenden, setzen Sie Katalogpreise auf ""Inklusive Steuern"". "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">ignore this notification</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. "
"Your current tax configuration may result in rounding errors. ","Your current tax configuration may result in rounding errors. "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">documentation</a> for more details. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings."
"Invalid type of tax class ""%1""","Invalid type of tax class ""%1"""
"Updating classType is not allowed.","Updating classType is not allowed."
"A class with the same name already exists for ClassType %1.","A class with the same name already exists for ClassType %1."
"customer group","customer group"
"product","product"
"Excl. tax:","Zzgl. Steuern:"
"Incl. Tax","Inkl. MwSt."
"Entity already exists","Entity already exists"
"Cannot save titles","Cannot save titles"
"Some Message","Some Message"
"Something went wrong","Es ist ein Fehler aufgetreten"
"Could not save","Could not save"
"No such entity","No such entity"
"Excl. Tax","Exkl. Steuern"
"Note:","Note:"
"Leave this field empty if you wish to use the tax identifier.","Lassen Sie dieses Feld leer, wenn Sie den Steueridentifikator nutzen möchten."
"An error occurred","An error occurred"
"Do you really want to delete this tax rate?","Do you really want to delete this tax rate?"
"Save","Speichern"
"Add New Class","Add New Class"
"Grand Total Excl. Tax","Gesamtsumme zzgl. MwSt."
"Grand Total Incl. Tax","Gesamtsumme inkl. MwSt."
"Not yet calculated","Noch nicht berechnet"
"Taxes","Steuern"
"Tax Section","Tax Section"
"Tax Classes","Steuerklassen"
"Tax Class for Shipping","Steuerklasse für den Versand"
"Default Tax Class for Product","Default Tax Class for Product"
"Default Tax Class for Customer","Default Tax Class for Customer"
"Calculation Settings","Einstellungen für die Berechnung"
"Tax Calculation Method Based On","Steuerberechnungsmethode basiert auf"
"Tax Calculation Based On","Steuerberechnung basiert auf"
"Catalog Prices","Katalogpreise"
"This sets whether catalog prices entered from Magento Admin include tax.","Hier wird eingestellt, ob die im Magento Backend eingegebenen Katalogpreise die Steuer enthalten."
"Shipping Prices","Versandkosten"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Apply Discount On Prices"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Achtung: Um den Rabatt auf Preise inklusive Steuern und die Steuer nach Rabatt anzuwenden, setzen Sie Katalogpreise auf ""Inklusive Steuern""."
"Apply Tax On","Steuer anwenden auf"
"Enable Cross Border Trade","Enable Cross Border Trade"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate."
"Default Tax Destination Calculation","Steuerberechnung basierend auf"
"Default Country","Standardland"
"Default State","Standard Bundesland"
"Default Post Code","Standard-Postleitzahl"
"Price Display Settings","Einstellungen für Preisanzeige"
"Display Product Prices In Catalog","Artikelpreise im Shop-Frontend"
"Display Shipping Prices","Versandkosten anzeigen"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Display Prices","Display Prices"
"Display Subtotal","Display Subtotal"
"Display Shipping Amount","Display Shipping Amount"
"Include Tax In Order Total","Include Tax In Order Total"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"State/Region","State/Region"
"Rate","Satz"
"Subtotal Only","Subtotal Only"
"(Excl. Tax)","(Zzgl. Steuern)"
"(Incl. Tax)","(Inkl. MwSt.)"
"Order Total Excl. Tax","Order Total Excl. Tax"
"Order Total Incl. Tax","Bestellsumme inkl. MwSt."
"Order Total","Bestellsumme"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Der Rabatt auf den Preis inklusive Steuern wird auf Basis des Steuersatzes des Stores berechnet, wenn ""Steuer nach Rabatt anwenden"" gewählt ist."
"Your credit card will be charged for","Ihre Kreditkarte wird belastet für"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","Wird die Kundensteuerklasse ""Vor Rabatt"" angewenet, kann die finale Rabattkalkulation eventuell von den Erwartungen der Kunden abweichen."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
