"Tax Rate Information","BTW-tariefgegevens"
"This class no longer exists.","Deze klasse bestaat niet meer."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Je kan deze BTW-tariefgroep niet verwijderen omdat hij nog gebruikt wordt in BTW-regels. Je moet eerst de regels verwijderen waarin hij wordt gebruikt."
"You cannot delete this tax class because it is used in existing %1(s).","Je kan deze BTW-tariefgroep niet verwijderen aangezien het wordt gebruikt in bestaande %1(s)."
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Original price only","Alleen oorspronkelijke prijs"
"Shipping Address","Bezorgadres"
"Billing Address","Factuuradres"
"Shipping Origin","Plaats van verzending"
"No (price without tax)","Nee (prijs excl. BTW)"
"Yes (only price with tax)","Ja (alleen prijzen incl. BTW)"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Invalid attribute %1","Ongeldig attribuut %1"
"Code","Interne naam"
"Invalid type supplied","Ongeldig type opgegeven"
"Class name and class type","Klassenaam en klassetype"
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (incl. BTW)"
"Shipping (Excl. Tax)","Verzendkosten (excl. BTW)"
"Shipping (Incl. Tax)","Verzendkosten (incl. BTW)"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Subtotal","Subtotaal"
"Unit Price","Stukprijs"
"Row Total","Rijtotaal"
"Total","Totaal"
"Before Discount","Voorafgaand aan korting"
"After Discount","Na korting"
"Excluding Tax","Exclusief BTW"
"Including Tax","Inclusief BTW"
"None","Geen"
"Including and Excluding Tax","In- en exclusief BTW"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","Toepassen van de korting op de prijzen inclusief Btw en de belastingen na korting toe te passen, zet je Catalogus prijzen naar""Met inbegrip van belasting"". "
"Store(s) affected: ","Winkel(s) getroffen: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Klik op de link om <a href=""%1"">deze notificatie te negeren</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Met klant belasting toegepast ""Vóór korting"", de definitieve berekening mogelijk niet overeen met de verwachtingen van klanten. "
"Your current tax configuration may result in rounding errors. ","Waarschuwing: Deze BTW-configuratie kan in afrondingsfouten resulteren. "
"Please see <a href=""%1"">documentation</a> for more details. ","Raadpleeg <a href=""%1"">de documenatie</a> voor meer uitleg. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Ga naar <a href=""%1"">BTW configuratie</a> om je instellingen aan te passen."
"Invalid type of tax class ""%1""","Ongeldig soort BTW-tariefgroep ""%1"""
"Updating classType is not allowed.","Klasse type bijwerken is niet toegestaan."
"A class with the same name already exists for ClassType %1.","Een klasse met dezelfde naam bestaat reeds voor klasse type %1."
"customer group","Klantengroep"
"product","product"
"Excl. tax:","Excl. BTW:"
"Incl. Tax","Incl. BTW"
"Entity already exists","Entiteit bestaat al"
"Cannot save titles","Kan de titels niet opslaan"
"Some Message","Één of ander bericht"
"Something went wrong","Er ging iets mis"
"Could not save","Kan niet opslaan"
"No such entity","Entiteit bestaat niet"
"Excl. Tax","Excl. BTW"
"Note:","Notitie:"
"Leave this field empty if you wish to use the tax identifier.","Laat dit veld leeg wanneer je de BTW-identifier wenst te gebruiken."
"An error occurred","Er is een fout opgetreden"
"Do you really want to delete this tax rate?","Wil je dit BTW-tarief te verwijderen?"
"Save","Opslaan"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Grand Total Excl. Tax","Eindtotaal excl. BTW"
"Grand Total Incl. Tax","Eindtotaal incl. BTW"
"Not yet calculated","Nog niet berekend"
"Taxes","BTW"
"Tax Section","BTW Sectie"
"Tax Classes","BTW-tariefgroepen"
"Tax Class for Shipping","BTW-tariefgroep voor verzending"
"Default Tax Class for Product","Standaard BTW-tariefgroep voor producten"
"Default Tax Class for Customer","Standaard BTW-tariefgroep voor klant"
"Calculation Settings","BTW berekeningsmethodiek"
"Tax Calculation Method Based On","BTW berekeningsmethodiek o.b.v"
"Tax Calculation Based On","BTW berekening op basis van"
"Catalog Prices","Catalogusprijzen"
"This sets whether catalog prices entered from Magento Admin include tax.","Dit kenmerk bepaalt of de catalogus prijzen die zijn ingevoerd vanuit Magento Admin inclusief BTW zijn."
"Shipping Prices","Verzendkosten"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Dit kenmerk bepaalt of de verzendkosten die zijn ingevoerd vanuit Magento Admin of verkregen via gateways inclusief BTW zijn."
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Waarschuwing: Toepassen van de korting op de prijzen inclusief Btw en de belastingen na korting toe te passen, zet je Catalogus prijzen naar""Met inbegrip van belasting""."
"Apply Tax On","Bereken BTW op"
"Enable Cross Border Trade","Grensoverschrijdend handelsverkeer toestaan"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Indien de catalogusprijs inclusief BTW is, schakel deze optie dan in om de prijs aan te passen voor elk Btw-tarief van de klant."
"Default Tax Destination Calculation","Land van herkomst"
"Default Country","Standaard land"
"Default State","Standaard provincie"
"Default Post Code","Standaard postcode"
"Price Display Settings","Prijsweergave instellingen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Prices","Transportkosten tonen"
"Shopping Cart Display Settings","Winkelwagen weergave instellingen"
"Display Prices","Prijzen tonen"
"Display Subtotal","Subtotaal tonen"
"Display Shipping Amount","Verzendkosten tonen"
"Include Tax In Order Total","Voeg BTW toe in ordertotaal"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Zero Tax Subtotal","BTW van nul tonen in subtotaal"
"Orders, Invoices, Credit Memos Display Settings","Instellingen vertoning voor bestellingen, facturen, creditfacturen"
"State/Region","Provincie"
"Rate","Ratio"
"Subtotal Only","Enkel subtotaal"
"(Excl. Tax)","(Excl. BTW)"
"(Incl. Tax)","(Incl. BTW)"
"Order Total Excl. Tax","Totaal (excl. BTW)"
"Order Total Incl. Tax","Totaal (incl. BTW)"
"Order Total","Totaal"
"You will be charged for","Wij incasseren een bedrag van"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","De verplichte gegevens zijn verkeerd. Controleer de gegevens en probeer opnieuw."
"The Rate Percent is invalid. Enter a positive number and try again.","Het percentage is ongeldig. Voer een positief getal in en probeer het opnieuw."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","De lengte van de postcode is ongeldig. Controleer of de lengte negen tekens of minder is en probeer het opnieuw."
"The ZIP Code is invalid. Use numbers only.","De postcode is ongeldig. Gebruik alleen getallen."
"The tax rate can't be removed because it exists in a tax rule.","Het belastingtarief kan niet worden verwijderd omdat het wordt gebruikt in een belastingregel."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is vereist. Voer in en probeer het opnieuw."
