"Tax Rate Information","פרטי שיעור המס"
"This class no longer exists.","This class no longer exists."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first."
"You cannot delete this tax class because it is used in existing %1(s).","You cannot delete this tax class because it is used in existing %1(s)."
"Custom price if available","Custom price if available"
"Original price only","Original price only"
"Shipping Address","כתובת למשלוח"
"Billing Address","כתובת חיוב"
"Shipping Origin","Shipping Origin"
"No (price without tax)","No (price without tax)"
"Yes (only price with tax)","Yes (only price with tax)"
"Both (without and with tax)","Both (without and with tax)"
"Invalid attribute %1","תכונה לא חוקית %1"
"Code","קוד"
"Invalid type supplied","Invalid type supplied"
"Class name and class type","Class name and class type"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Subtotal (Excl. Tax)","סכום ביניים (למעט מס)"
"Subtotal (Incl. Tax)","סכום ביניים (כולל מס)"
"Subtotal","סכום ביניים"
"Unit Price","מחיר יחידה"
"Row Total","סה״כ השורה"
"Total","סה""כ"
"Before Discount","Before Discount"
"After Discount","לאחר הנחה"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"None","ללא"
"Including and Excluding Tax","Including and Excluding Tax"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">ignore this notification</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. "
"Your current tax configuration may result in rounding errors. ","Your current tax configuration may result in rounding errors. "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">documentation</a> for more details. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings."
"Invalid type of tax class ""%1""","Invalid type of tax class ""%1"""
"Updating classType is not allowed.","Updating classType is not allowed."
"A class with the same name already exists for ClassType %1.","A class with the same name already exists for ClassType %1."
"customer group","קבוצת לקוחות"
"product","מוצר"
"Excl. tax:","למעט מס:"
"Incl. Tax","כולל מס"
"Entity already exists","Entity already exists"
"Cannot save titles","Cannot save titles"
"Some Message","Some Message"
"Something went wrong","משהו השתבש"
"Could not save","Could not save"
"No such entity","No such entity"
"Excl. Tax","למעט מס"
"Note:","Note:"
"Leave this field empty if you wish to use the tax identifier.","Leave this field empty if you wish to use the tax identifier."
"An error occurred","An error occurred"
"Do you really want to delete this tax rate?","Do you really want to delete this tax rate?"
"Save","שמור"
"Add New Class","Add New Class"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Not yet calculated","עדיין לא חושב"
"Taxes","Taxes"
"Tax Section","Tax Section"
"Tax Classes","Tax Classes"
"Tax Class for Shipping","Tax Class for Shipping"
"Default Tax Class for Product","Default Tax Class for Product"
"Default Tax Class for Customer","Default Tax Class for Customer"
"Calculation Settings","Calculation Settings"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Calculation Based On","Tax Calculation Based On"
"Catalog Prices","Catalog Prices"
"This sets whether catalog prices entered from Magento Admin include tax.","This sets whether catalog prices entered from Magento Admin include tax."
"Shipping Prices","Shipping Prices"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","החל הנחה על מחירים"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”."
"Apply Tax On","החלת מס על"
"Enable Cross Border Trade","Enable Cross Border Trade"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate."
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Default Country","מדינת בררת מחדל"
"Default State","Default State"
"Default Post Code","מיקוד ברירת מחדל"
"Price Display Settings","הגדרות תצוגת מחיר"
"Display Product Prices In Catalog","הצגת מחירי המוצרים בקטלוג"
"Display Shipping Prices","תצוגת מחירי משלוח"
"Shopping Cart Display Settings","הגדרות תצוגת עגלת קניות"
"Display Prices","הצגת מחירים"
"Display Subtotal","הצגת ביניים"
"Display Shipping Amount","Display Shipping Amount"
"Include Tax In Order Total","Include Tax In Order Total"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"State/Region","אזור/מדינה"
"Rate","תעריף"
"Subtotal Only","סכום ביניים בלבד"
"(Excl. Tax)","(למעט מס)"
"(Incl. Tax)","(כולל מס)"
"Order Total Excl. Tax","סה""כ הזמנה ללא מס"
"Order Total Incl. Tax","סה""כ הזמנה כולל מס"
"Order Total","סה""כ להזמנה"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
