"Tax Rate Information","Informații rata de impozitare"
"Something went wrong deleting this tax rule.","A avut loc o eroare la ștergerea acestei reguli de taxă."
"New Tax Rule","Regulă taxă nouă"
"Edit Rule","Modificați regulă"
"New Rule","Regulă nouă"
"You saved the tax rule.","Ați salvat regula taxei."
"We can't save this tax rule right now.","Nu se poate salva această regulă de taxă momentan."
"Invalid name of tax class specified.","Nume clasă taxă specificat nevalid."
"We can't delete this tax class right now.","Nu se poate șterge această clasă de taxă momentan."
"We can't save this tax class right now.","Nu se poate slva această clasă de taxă momentan."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Gama până la trebuie să fie egală sau mai mare dect Gama de la."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"This class no longer exists.","Această clasă nu mai există."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Nu puteți șterge această clasă de taxe deoarece este folosită în Regulile de Taxă. Trebuie să ștergeți întâi regulile în care este folosită."
"You cannot delete this tax class because it is used in existing %1(s).","Nu puteți șterge această clasă de taxe deoarece este folosită în %1(s) existente."
"Custom price if available","Preț personalizat dacă este disponibil."
"Original price only","Doar prețul original"
"Shipping Address","Adresa de livrare"
"Billing Address","Adresă facturare"
"Shipping Origin","Origine livrare"
"No (price without tax)","Nu (preț fără taxe)"
"Yes (only price with tax)","Da (doar preț cu taxe)"
"Both (without and with tax)","Ambele (cu și fără taxe)"
"Invalid attribute %1","Atribut nevalid %1"
"Code","Cod"
"Invalid type supplied","Tip furnizat nevalid"
"Class name and class type","Nume clasă și tip clasă"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Total general (fără taxe incluse)"
"Grand Total (Incl. Tax)","Total general (cu taxe incluse)"
"Shipping (Excl. Tax)","Livrare (fără taxe incluse)"
"Shipping (Incl. Tax)","Livrare (cu taxe incluse)"
"Subtotal (Excl. Tax)","Subtotal (fără taxe incluse)"
"Subtotal (Incl. Tax)","Subtotal (cu taxe incluse)"
"Subtotal","Subtotal"
"Unit Price","Preț unitar"
"Row Total","Total rând"
"Total","Total"
"Before Discount","înainte de aplicarea reducerii"
"After Discount","După aplicarea reducerii"
"Excluding Tax","Fără taxe incluse"
"Including Tax","Cu taxe incluse"
"None","Nici unul"
"Including and Excluding Tax","Cu și fără taxe incluse"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Faceți click pe link pentru a <a href=""%1"">ignora această notificare</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. "
"Your current tax configuration may result in rounding errors. ","Your current tax configuration may result in rounding errors. "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">documentation</a> for more details. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Faceți click aici pentru a merge la <a href=""%1"">Configurație taxe</a> și modificați-vă setările."
"Invalid type of tax class ""%1""","Tip clasă taxe nevalidă ""%1"""
"Updating classType is not allowed.","Actualizarea tipului de clasă nu este permisă."
"A class with the same name already exists for ClassType %1.","O clasă cu același nume există deja pentru Tipul de clasă %1."
"customer group","grup clienți"
"product","Produs"
"Excl. tax:","Fără taxe incluse:"
"Incl. Tax","Includere taxe"
"Entity already exists","Entitatea există deja"
"Cannot save titles","Nu se pot salva titlurile"
"Some Message","Unele mesaje"
"Something went wrong","A avut loc o eroare"
"Could not save","Nu se poate salva"
"No such entity","Nu există o astfel de entitate"
"Excl. Tax","Cără taxe incluse"
"Note:","Observație:"
"Leave this field empty if you wish to use the tax identifier.","Lăsați acest câmp necompletat dacă nu doriți să folosiți identificatorul de taxe."
"An error occurred","A avut loc o eroare"
"Do you really want to delete this tax rate?","Sunteți sigur că doriți să ștergeți această rată de taxe?"
"Save","Salvare"
"Add New Class","Adăugați clasă nouă"
"Grand Total Excl. Tax","Total general fără taxe incluse"
"Grand Total Incl. Tax","Total general cu taxe incluse"
"Not yet calculated","Nu este încă calculat"
"Taxes","Taxes"
"Tax Section","Tax Section"
"Tax Classes","Clase taxă"
"Tax Class for Shipping","Clase taxă pentru livrare"
"Default Tax Class for Product","Clasă taxă implicită pentru produs"
"Default Tax Class for Customer","Clasă taxă implicită pentru client"
"Calculation Settings","Setări calculare"
"Tax Calculation Method Based On","Modalitate calculare taxă bazată pe"
"Tax Calculation Based On","Calculare taxă bazată pe"
"Catalog Prices","Prețuri catalog"
"This sets whether catalog prices entered from Magento Admin include tax.","Aceasta setează opțiunea includerii taxei la prețurile de catalog introduse în Administrator Magento"
"Shipping Prices","Prețuri de livrare"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Aceasta setează opțiunea includerii taxei la sumele de livrare din Administrator Magento sau la cele obținute din gateway-uri."
"Apply Customer Tax","Aplică taxă client"
"Apply Discount On Prices","Aplică reducere la prețuri"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”."
"Apply Tax On","Aplică taxă la"
"Enable Cross Border Trade","Activați Comerț Transfrontalier"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Atunci când prețul de catalog include taxe, activați această setare pentru a regla prețul indiferent care este rata taxei clientului."
"Default Tax Destination Calculation","Calculare implicită destinație taxă"
"Default Country","#ERROR!"
"Default State","Stat implicit"
"Default Post Code","Cod poștal implicit"
"Price Display Settings","Setări afișare preț"
"Display Product Prices In Catalog","Afișați prețuri produse în catalog"
"Display Shipping Prices","Afișați prețuri de livrare"
"Shopping Cart Display Settings","Setări afișare coș de cumpărături"
"Display Prices","Afișați prețuri"
"Display Subtotal","Afișați Subtotal"
"Display Shipping Amount","Afișați cantitatea de livrare"
"Include Tax In Order Total","Includeți taxa în Total comandă"
"Display Full Tax Summary","Afișați conținut taxă completă"
"Display Zero Tax Subtotal","Afișați subtotal taxă zero"
"Orders, Invoices, Credit Memos Display Settings","Setări de afișare comenzi, facturi, note de credit"
"State/Region","Stat/Regiune"
"Rate","Rată"
"Subtotal Only","Numai Subtotal"
"(Excl. Tax)","(fără taxe incluse)"
"(Incl. Tax)","(cu taxe incluse)"
"Order Total Excl. Tax","Total comandă fără taxe incluse"
"Order Total Incl. Tax","Total comandă cu taxe incluse"
"Order Total","Total comandă"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
