"Tax Rate Information","Порез Рате Информације"
"Order Total Incl. Tax","Поруџбина Укупно Инцл. Порез"
"Order Total","Укупан износ"
"You will be charged for","You will be charged for"
"Warning tax configuration can result in rounding errors. ","Упозорење таx цонфигуратион цан ресулт ин роундинг еррорс."
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Упозорење: конфигурација пореског попуста може резултирати другачијим попустима
                                него што купац очекује. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Примена попуста на цену укључујући порез се израчунава на основу пореза продавнице ако је изабрано ""Примени порез после попуста""."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","Wитх цустомер таx апплиед “Бефоре Попуст”, тхе финал дисцоунт цалцулатион маy нот матцх цустомерс’ еxпецтатионс."
"The required information is invalid. Verify the information and try again.","Тхе реqуиред информатион ис неисправан. Верифy тхе информатион анд покушајте поново."
"The Rate Percent is invalid. Enter a positive number and try again.","Тхе Рате Перцент ис неисправан. Ентер а поситиве нумбер анд покушајте поново."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","Тхе ЗИП Код ленгтх ис неисправан. Верифy тхат тхе ленгтх ис нине цхарацтерс ор феwер анд покушајте поново."
"The ZIP Code is invalid. Use numbers only.","Тхе ЗИП Код ис неисправан. Усе нумберс онлy."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%имеПоља"" је обавезно. Унесите и пробајте поново."
