"Tax Rate Information","اطلاعات نرخ مالیات"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue وجود ندارد"
"Grand Total (Excl. Tax)","جمع کل (مالیات غیر)"
"Grand Total (Incl. Tax)","جمع کل (شامل مالیات)"
"Shipping (Excl. Tax)","ارسال (بی مالیات)"
"Shipping (Incl. Tax)","ارسال (با مالیات)"
"Subtotal (Excl. Tax)","جمع ​​(مالیات غیر)"
"Subtotal (Incl. Tax)","جمع (شامل مالیات)"
"Subtotal","جمع جز"
"Unit Price","قیمت واحد"
"Row Total","جمع سطر"
"Total","مجموع"
"Before Discount","پیش از تخفیف"
"After Discount","پس از تخفیف"
"Excluding Tax","بدون مالیات"
"Including Tax","شامل مالیات"
"None","هیچ یک"
"Including and Excluding Tax","شامل و بدون مالیات"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","برای اعمال تخفیف در قیمت ها از جمله مالیات و اعمال مالیات پس از تخفیف، کاتالوگ قیمت را به ""شامل مالیات"" را تنظیم کنید. "
"Store(s) affected: ","فروشگاه (های) تحت تاثیر قرار: "
"Click on the link to <a href=""%1"">ignore this notification</a>","روی پیوند به <a href=""<a href=""%1"">""> روی این اعلان نادیده بگیرید </a> را کلیک کنید"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","با مشتری مالیات اعمال ""قبل از تخفیف""، محاسبه تخفیف نهایی انتظارات مشتریان را مطابق نباشد. "
"Your current tax configuration may result in rounding errors. ","پیکربندی مالیات فعلی شما ممکن است باعث اشتباه گرد کردن شود. "
"Please see <a href=""%1"">documentation</a> for more details. ","لطفا برای جزئیات بیشتر <a href=""<a href=""%1"">""> مستندات </a> را ببینید. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","اینجا را کلیک کنید برای رفتن به <a href=""%1""></a> مالیاتی پیکربندی و تنظیمات را تغییر دهید."
"Invalid type of tax class ""%1""","نوع نامعتبر کلاس مالیات ""%1"""
"Updating classType is not allowed.","به روز رسانی classType مجاز نیست."
"A class with the same name already exists for ClassType %1.","یک کلاس با همان نام برای ClassType %1 وجود دارد."
"customer group","گروه مشتری"
"product","محصول"
"Excl. tax:","بدون مالیات:"
"Incl. Tax","با مالیات"
"Entity already exists","در حال حاضر وجود دارد"
"Cannot save titles","عناوین را نمیتوان ذخیره کرد"
"Some Message","برخی از پیام"
"Something went wrong","مشکلی پیش آمده است"
"Could not save","نمی توان ذخیره کرد"
"No such entity","چنین چیزی وجود ندارد"
"Excl. Tax","بدون مالیات"
"Note:","توجه:"
"Leave this field empty if you wish to use the tax identifier.","اگر می خواهید از شناسه مالیات استفاده کنید، این فیلد را خالی بگذارید."
"An error occurred","خطایی رخ داده است"
"Do you really want to delete this tax rate?","آیا واقعا می خواهید این نرخ مالیات را حذف کنید?"
"Save","ذخيره"
"Add New Class","افزودن کلاس جدید"
"Grand Total Excl. Tax","جمع کل نهایی بی مالیات"
"Grand Total Incl. Tax","جمع کل نهایی با مالیات"
"Not yet calculated","هنوز محاسبه نشده است"
"Taxes","مالیات‌ها"
"Tax Section","بخش مالیات"
"Tax Classes","کلاس‌های مالیات"
"Tax Class for Shipping","کلاس مالیات برای ارسال"
"Default Tax Class for Product","پیش فرض طبقه مالیات برای محصول"
"Default Tax Class for Customer","کلاس مالیات پیش فرض برای مشتری"
"Calculation Settings","تنظیمات محاسبه"
"Tax Calculation Method Based On","روش محاسبه‌ی مالیات بر اساس"
"Tax Calculation Based On","محاسبه مالیات بر اساس"
"Catalog Prices","قیمت‌های کاتالوگ"
"This sets whether catalog prices entered from Magento Admin include tax.","این تعیین می کند که آیا قیمت های فروشگاهی وارد شده از Magento Admin شامل مالیات است."
"Shipping Prices","قیمت‌های ارسال"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","این تعیین می کند که آیا مقادیر حمل و نقل وارد شده از Magento Admin یا از دروازه های دریافت شده شامل مالیات هستند."
"Apply Customer Tax","اعمال مالیات مشتری"
"Apply Discount On Prices","اعمال تخفیف بر قیمت‌ها"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","هشدار: برای اعمال تخفیف در قیمت ها از جمله مالیات و اعمال مالیات پس از تخفیف، کاتالوگ قیمت را به ""شامل مالیات"" را تنظیم کنید."
"Apply Tax On","اعمال مالیات بر"
"Enable Cross Border Trade","فعال کردن تجارت مرزی"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","وقتی قیمت کاتالوگ شامل مالیات می شود، این تنظیم را برای اصلاح قیمت بدون توجه به میزان مالیات مشتری فعال کنید."
"Default Tax Destination Calculation","محاسبه‌ی مقصد مالیات پیش فرض"
"Default Country","کشور پیش فرض"
"Default State","ایالت پیش فرض"
"Default Post Code","کد پستی پیش فرض"
"Price Display Settings","تنظیمات نمایش قیمت"
"Display Product Prices In Catalog","نمایش قیمت‌های محصول در کاتالوگ"
"Display Shipping Prices","نمایش قیمت‌های ارسال"
"Shopping Cart Display Settings","تنظیمات نمایش سبد خرید"
"Display Prices","نمایش قیمت‌ها"
"Display Subtotal","نمایش جمع جز"
"Display Shipping Amount","نمایش مبلغ ارسال"
"Include Tax In Order Total","شامل مالیات در مجموع کل"
"Display Full Tax Summary","نمایش خلاصه‌ی مالیات کامل"
"Display Zero Tax Subtotal","نمایش جمع جز مالیات صفر"
"Orders, Invoices, Credit Memos Display Settings","سفارشات، فاکتورها، یادداشت های اعتباری تنظیمات صفحه نمایش"
"State/Region","استان/منطقه"
"Rate","نرخ"
"Subtotal Only","تنها زیرمجموعه"
"(Excl. Tax)","(بدون مالیات)"
"(Incl. Tax)","(شامل مالیات)"
"Order Total Excl. Tax","سفارش کل بدون مالیات"
"Order Total Incl. Tax","سفارش کل شامل مالیات"
"Order Total","مجموع سفارش"
"You will be charged for","شما شارژ خواهد شد برای"
"Warning tax configuration can result in rounding errors. ","Warning tax configuration can result in rounding errors. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Warning tax discount configuration might result in different discounts
                                than a customer might expect. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected."
"Your credit card will be charged for","Your credit card will be charged for"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations."
"The required information is invalid. Verify the information and try again.","The required information is invalid. Verify the information and try again."
"The Rate Percent is invalid. Enter a positive number and try again.","The Rate Percent is invalid. Enter a positive number and try again."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again."
"The ZIP Code is invalid. Use numbers only.","The ZIP Code is invalid. Use numbers only."
"The tax rate can't be removed because it exists in a tax rule.","The tax rate can't be removed because it exists in a tax rule."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
