"Add New Template","Añadir Nueva Plantilla"
"Design params must be set before calling this method","Parámetros de diseño se deben establecer antes de llamar a este método"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","Error de inclusión de CSS:"
"Error filtering template: %s","Error de filtrado plantilla: %s"
"We're sorry, an error has occurred while generating this content.","Lo sentimos, que ha ocurrido un error al generar este contenido."
"Invalid sender data","Datos de remitente inválidos"
"Title","Título"
"Load default template","Subir plantilla por defecto"
"Template","Plantilla"
"Are you sure you want to strip tags?","¿Seguro que deseas retirar las etiquetas?"
"Are you sure you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"The template did not load. Please review the log for details.","La plantilla no se cargó. Por favor, revise el registro para más detalles."
"Footer","Pie de página"
"Thank you, %store_name","Gracias, %store_name"
"Header","Encabezado"
"Communications","Comunicaciones"
"No Templates Found","No se encontraron plantillas"
"ID","Número de Identificación (ID)"
"Added","Añadido"
"Updated","Actualizado"
"Subject","Asunto"
"Template Type","Tipo de plantilla"
"Action","Acción"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Permite tipos de archivo: jpg, jpeg, gif, png. Para optimizar la insignia para pantallas de alta resolución, subir una imagen que es tamaño normal x 3 y especificar dimensiones de x 1 en los campos anchura y altura más abajo."
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necesario únicamente si una imagen se ha sobre escrito. Introduzca el número de píxeles, sin añadir ""px""."
"Logo Width","Ancho del logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necesario únicamente si una imagen se ha sobre escrito. Introduzca la altura de la imagen en píxeles sin añadir ""px""."
"Logo Height","Altura del logotipo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Header Template","Plantilla de cabecera"
"Footer Template","Plantilla de pie de página"
"We're sorry, an error has occurred while generating this email.","Lo sentimos, se ha producido un error al generar este correo electrónico."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Permite tipos de archivo: jpg, jpeg, gif, png. Para optimizar la insignia para pantallas de alta resolución, subir una imagen que es tamaño normal x 3 y especificar dimensiones de x 1 en los campos anchura y altura más abajo."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Sólo es necesario si la imagen se ha subido encima. Introduzca el número de píxeles, sin adición de ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","La configuración del diseño necesita un área y una tienda. Compruebe que ambos estén configurados y vuelva a intentarlo."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Para optimizar el logotipo para pantallas de alta resolución, cargue una imagen que sea 3 veces el tamaño normal y luego especifique 1 veces el tamaño normal en dimensiones de los campos de ancho / alto a continuación."
