"Add New Template","Přidat novou šablonu"
"No Templates Found","Nebyly nalezeny žádné šablony"
"ID","ID"
"Added","Přidáno"
"Updated","Upraveno"
"Subject","Předmět"
"Template Type","Typ šablony"
"Action","Akce"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Obrázek loga"
"Logo Image Alt","Alternativní text loga"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Nezbytné, pouze pokud byl obrázek výše nahrán. Zadejte počet pixelů bez ""px""."
"Logo Width","Šířka loga"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Nezbytné, pouze pokud byl obrázek výše nahrán. Zadejte počet pixelů výšky obrázku bez ""px""."
"Logo Height","Výška loga"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová šablona je postavena na záložním tématu."
"Header Template","Šablona záhlaví"
"Footer Template","Šablona zápatí"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
