"Add New Template","नया टेम्पलेट जोड़ें"
"Please enter a template name.","कृपया एक टेम्पलेट नाम दर्ज करें।"
"Duplicate Of Template Name","टेम्प्लेट नाम का डुप्लिकेट"
"Invalid transactional email code: %1","अमान्य ट्रांजेक्शनल ईमेल कोड: %1"
"Requested invalid store ""%1""","अनुरोधित अमान्य स्टोर ""%1"""
"""file"" parameter must be specified","""फ़ाइल"" पैरामीटर निर्दिष्ट किया जाना चाहिए"
"Contents of %s could not be loaded or is empty","%s की सामग्री लोड नहीं की जा सकी या रिक्त नहीं है"
"""file"" parameter must be specified and must not be empty","""फ़ाइल"" पैरामीटर निर्दिष्ट किया जाना चाहिए और खाली नहीं होना चाहिए"
"Design params must be set before calling this method","इस पद्धति को कॉल करने से पहले डिज़ाइन पैरामीटर सेट करना होगा"
"<pre> %1 </pre>","<pre>%1 </pre>"
"CSS inlining error:","सीएसएस इनलाइनिंग त्रुटि:"
"Error filtering template: %s","टेम्प्लेट फ़िल्टर करने में त्रुटि: %s"
"We're sorry, an error has occurred while generating this content.","हमें खेद है, इस सामग्री को बनाते समय एक त्रुटि हुई है।"
"Invalid sender data","अमान्य प्रेषक डेटा"
"Title","शीर्षक"
"Load default template","डिफ़ॉल्ट टेम्पलेट लोड करें"
"Template","खाका"
"Are you sure you want to strip tags?","क्या आप वाकई टैग टैग करना चाहते हैं?"
"Are you sure you want to delete this template?","क्या आप वाकई इस टेम्पलेट को हटाना चाहते हैं?"
"The template did not load. Please review the log for details.","टेम्प्लेट लोड नहीं हुआ। कृपया विवरण के लिए लॉग की समीक्षा करें।"
"Footer","फ़ुटबाल"
"Thank you, %store_name","धन्यवाद, %store_name"
"Header","हैडर"
"Communications","संचार"
"No Templates Found","कोई टेम्पलेट नहीं मिला"
"ID","आईडी"
"Added","जोड़ा गया"
"Updated","अपडेट किया गया"
"Subject","विषय"
"Template Type","साँचा प्रकार"
"Action","कार्य"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","अनुमत फ़ाइल प्रकार: jpg, jpeg, gif, png। उच्च-रिज़ॉल्यूशन डिस्प्ले के लिए लोगो का अनुकूलन करने के लिए, एक छवि अपलोड करें जो 3x सामान्य आकार है और फिर नीचे चौड़ाई / ऊंचाई फ़ील्ड में 1x आयाम निर्दिष्ट करें।"
"Logo Image","लोगो छवि"
"Logo Image Alt","लोगो छवि Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","आवश्यक केवल तभी जब कोई छवि ऊपर अपलोड की गई हो। ""Px"" को जोड़े बिना, पिक्सेल की संख्या दर्ज करें।"
"Logo Width","लोगो की चौड़ाई"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","आवश्यक केवल तभी जब कोई छवि ऊपर अपलोड की गई हो। ""Px"" को जोड़े बिना पिक्सेल में छवि ऊंचाई का आकार दर्ज करें।"
"Logo Height","लोगो की ऊँचाई"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","थीम फ़ॉलबैक के आधार पर ईमेल टेम्पलेट चुना जाता है, जब ""डिफ़ॉल्ट"" विकल्प चुना जाता है।"
"Header Template","हैडर टेम्पलेट"
"Footer Template","पाद टेम्पलेट"
"We're sorry, an error has occurred while generating this email.","हमें क्षमा करें, इस ईमेल को बनाते समय एक त्रुटि हुई है।"
"Emails","ईमेल"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","अनुमत फ़ाइल प्रकार: jpg, jpeg, gif, png। उच्च-रिज़ॉल्यूशन डिस्प्ले के लिए लोगो का अनुकूलन करने के लिए, ऐसी छवि अपलोड करें जो 3x सामान्य आकार की हो और फिर नीचे चौड़ाई / ऊंचाई वाले क्षेत्रों में 1x आयाम निर्दिष्ट करें।"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","केवल तभी आवश्यक है जब छवि ऊपर अपलोड की गई हो। ""Px"" को जोड़े बिना, पिक्सेल की संख्या दर्ज करें।"
"Email template chosen based on theme fallback when ""Default"" option is selected.","जब ""डिफ़ॉल्ट"" विकल्प चुना जाता है तो थीम फ़ॉलबैक के आधार पर ईमेल टेम्पलेट चुना जाता है।"
"<pre>' . . . . '</pre>","<पूर्व> '। । । । '</ Pre>"
"The design config needs an area and a store. Verify that both are set and try again.","डिज़ाइन कॉन्फ़िगरेशन के लिए एक क्षेत्र और एक स्टोर की आवश्यकता होती है। सत्यापित करें कि दोनों सेट हैं और पुनः प्रयास करें।"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","उच्च-रिज़ॉल्यूशन डिस्प्ले के लिए लोगो का अनुकूलन करने के लिए, एक छवि अपलोड करें जो 3x सामान्य आकार है और फिर नीचे चौड़ाई / ऊंचाई फ़ील्ड में 1x आयाम निर्दिष्ट करें।"
