"Add New Template","Yeni Şablon Ekle"
"Logo Height","Logo yüksekliği"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde, temanın geri düşümü temel alınarak seçildi."
"Header Template","Başlık Şablonu"
"Footer Template","Altbilgi Şablonu"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","Tasarım konfigürasyonunun bir alana ve bir mağazaya ihtiyacı var. Her ikisinin de ayarlandığından emin olun ve tekrar deneyin."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Yüksek çözünürlüklü ekranlarda logoyu optimize etmek için normal boyutun 3x katı resim yükleyin ve ardından aşağıdaki genişlik / yükseklik alanlarına normal boyutu girin."
