"Add New Template","新しいテンプレートの追加"
"Duplicate Of Template Name","テンプレート名の複製"
"Invalid transactional email code: %1","不正なトランザクション用Emailコード: %1"
"Requested invalid store ""%1""","不正なストア ""%1""が注文されました "
"""file"" parameter must be specified","""ファイル"" パラメーターは指定されていなければなりません"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""ファイル"" パラメーターは指定されていなければならないし空であってもならない。"
"Design params must be set before calling this method","このメソッドを呼ぶ前にデザインパラメーターは設定されてなければならない"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS インラインエラー:"
"Error filtering template: %s","テンプレ−トのフィルタリングエラー: %s"
"We're sorry, an error has occurred while generating this content.","申し訳ありません、このコンテンツを生成中に問題が発生しました。"
"Invalid sender data","不正な送信者データ"
"Title","タイトル"
"Load default template","Load default template"
"Template","テンプレート"
"Are you sure you want to strip tags?","本当にタグを外しますか？"
"Are you sure you want to delete this template?","このテンプレートを本当に削除しますか？"
"The template did not load. Please review the log for details.","テンプレートが読み込みませんでした。詳細はログをご覧ください。"
"Footer","フッター"
"Thank you, %store_name","ありがとうございます, %store_name"
"Header","ヘッダー"
"Communications","コミュニケーション"
"No Templates Found","テンプレートが見つかりませんでした"
"ID","ID"
"Added","追加済み"
"Updated","更新"
"Subject","件名"
"Template Type","テンプレートタイプ"
"Action","アクション"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","ロゴ画像"
"Logo Image Alt","ロゴイメージAlt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","画像が上にアップロードされている場合のみ必要です。   ""px""を付けずにピクセル数を入力してください。"
"Logo Width","ロゴ幅"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","画像が上にアップロードされている場合のみ必要です。  ""px""を付加しないでイメージの高さのサイズをピクセル単位で入力してください。"
"Logo Height","ロゴ高さ"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","""デフォルト""オプションが選択されている場合、テーマフォールバックに基づいて選択された電子メールテンプレート。"
"Header Template","ヘッダーテンプレート"
"Footer Template","フッターテンプレート"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","デザインの設定には、エリアとストアが必要です。 両方が設定されていることを確認し、再度お試し下さい。"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","高解像度ディスプレイ用のロゴを最適化するには、通常の3倍の画像をアップロードし、次に下記の幅/高さのフィールドに1倍のサイズを指定します。"
