"Add New Template","Προσθήκη Νέου Πρότυπου"
"Custom1 Contact Email","Προσαρμοσμένο 1 Email Επαφής"
"Custom2 Contact Name","Προσαρμοσμένο 2 Όνομα Επαφής"
"Custom2 Contact Email","Προσαρμοσμένο 2 Email Επαφής"
"Store Name","Όνομα Καταστήματος"
"Store Phone Number","Αριθμός Τηλεφώνου Καταστήματος"
"Store Hours","Ωράριο καταστήματος"
"Country","Χώρα"
"Region/State","Περιοχή/Κράτος"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"City","Πόλη"
"Street Address 1","Διεύθυνση 1"
"Street Address 2","Διεύθυνση 2"
"VAT Number","Α.Φ.Μ."
"Store Contact Information","Στοιχεία επικοινωνίας Καταστήματος"
"%1","%1"
"Template Variables","Μεταβλητές Προτύπου"
"Please enter a template name.","Παρακαλώ εισάγετε το όνομα ενός προτύπου."
"Duplicate Of Template Name","Διπλότυπο ονόματος προτύπου"
"Invalid transactional email code: %1","Μη έγκυρος κωδικός ηλεκτρονικών συναλλαγών: %1"
"Requested invalid store ""%1""","Ζητήθηκε μη έγκυρο κατάστημα ""%1"""
"""file"" parameter must be specified","πρέπει να καθοριστεί η παράμετρος ""αρχείο"""
"Contents of %s could not be loaded or is empty","Τα περιεχόμενα του %s δεν ήταν δυνατόν να φορτωθούν ή είναι κενά"
"""file"" parameter must be specified and must not be empty","«αρχείο» η παράμετρος πρέπει να καθορίζεται και δεν πρέπει να είναι κενή"
"Design params must be set before calling this method","Οι παράμετροι σχεδιασμού πρέπει να οριστούν πριν από την κλήση αυτής της μεθόδου"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","Εσωτερικό CSS σφάλμα:"
"Error filtering template: %s","Σφάλμα φιλτραρίσματος προτύπου: %s"
"We're sorry, an error has occurred while generating this content.","Λυπούμαστε, Παρουσιάστηκε ένα σφάλμα κατά τη δημιουργία αυτού του περιεχομένου."
"Invalid sender data","Μη έγκυρα δεδομένα αποστολέα"
"Title","Τίτλος"
"Load default template","Φόρτωση προεπιλεγμένου προτύπου"
"Template","Πρότυπο"
"Are you sure you want to strip tags?","Είστε βέβαιοι ότι θέλετε να διαχωρίσετε ετικέτες;"
"Are you sure you want to delete this template?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το πρότυπο;"
"The template did not load. Please review the log for details.","Το πρότυπο δεν φορτώθηκε. Παρακαλώ εξετάστε το αρχείο καταγραφής για λεπτομέρειες."
"Footer","Υποσέλιδο"
"Thank you, %store_name","Σας ευχαριστούμε, %store_name"
"Header","Κεφαλίδα"
"Communications","Επικοινωνίες"
"No Templates Found","Δεν Βρέθηκε Κανένα Πρότυπο"
"ID","ID"
"Added","Προστέθηκε"
"Updated","Ενημερώθηκε"
"Subject","Θέμα"
"Template Type","Τύπος προτύπου"
"Action","Ενέργεια"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Επιτρέπεται τύπους αρχείων: jpg, jpeg, gif, png. Για να βελτιστοποιήσετε το λογότυπο για οθόνες υψηλής ανάλυσης, ανεβάστε μια εικόνα που είναι 3 x κανονικό μέγεθος και στη συνέχεια καθορίστε 1 x Διαστάσεις στα παρακάτω πεδία ύψους/πλάτους."
"Logo Image","Εικόνα λογότυπου"
"Logo Image Alt","Εναλλακτικό Κείμενο εικόνας Λογότυπου"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Απαραίτητες μόνο εάν μια εικόνα έχει φορτωθεί από πάνω. Εισαγάγετε αριθμό pixel, χωρίς προσάρτηση «px»."
"Logo Width","Πλάτος Λογότυπου"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Απαραίτητες μόνο εάν μια εικόνα έχει φορτωθεί από πάνω. Εισάγετε ύψος εικόνας σε pixel χωρίς προσάρτηση «px»."
"Logo Height","Ύψος Λογότυπου"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Το πρότυπο του email που επιλέγονται με βάση το θέμα επιστρέφει όταν είναι ενεργοποιημένη η επιλογή ""Προεπιλογή""."
"Header Template","Πρότυπο Κεφαλίδας"
"Footer Template","Πρότυπο Υποσέλιδου"
"We're sorry, an error has occurred while generating this email.","Λυπούμαστε, Παρουσιάστηκε ένα σφάλμα κατά τη δημιουργία αυτού του email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Επιτρέπεται τύπους αρχείων: jpg, jpeg, gif, png. Για να βελτιστοποιήσετε το λογότυπο για οθόνες υψηλής ανάλυσης, ανεβάστε μια εικόνα που είναι 3 x κανονικό μέγεθος και στη συνέχεια καθορίστε 1 x Διαστάσεις στα παρακάτω πεδία ύψους/πλάτους."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Απαραίτητες μόνο εάν μια εικόνα έχει φορτωθεί από πάνω. Εισαγάγετε αριθμό pixel, χωρίς προσάρτηση «px»."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Το επιλεγμένο πρότυπο Email βασίζεται στo μητρικό θέμα όταν έχει επιλεχθεί η επιλογή ""Default""."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","Η διαμόρφωση σχεδιασμού χρειάζεται μια περιοχή και ένα κατάστημα. Βεβαιωθείτε ότι έχουν ρυθμιστεί και τα δύο και δοκιμάστε ξανά."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Για να βελτιστοποιήσετε το λογότυπο για οθόνες υψηλής ανάλυσης, ανεβάστε μια εικόνα που είναι 3 x κανονικό μέγεθος και στη συνέχεια καθορίστε 1 x Διαστάσεις στα παρακάτω πεδία ύψους/πλάτους."
